timestamp,open,high,low,close,Volume
1735776000000,17.38,18.05,17.23,17.69,593595.08
1735862400000,17.7,19.24,17.1,19.16,759188.27
1735948800000,19.15,19.88,18.71,19.47,462869.26
1736035200000,19.47,19.67,18.75,19.62,304442.22
1736121600000,19.63,19.91,18.75,18.94,694027.84
1736208000000,18.94,18.99,16.75,16.77,897269.7
1736294400000,16.76,17.06,14.93,15.93,1042388.73
1736380800000,15.93,16.29,14.72,15.0,943866.3
1736467200000,15.01,16.38,15.0,16.06,741853.5
1736553600000,16.08,16.27,15.63,15.89,235235.09
1736640000000,15.9,15.97,15.32,15.54,273454.93
1736726400000,15.55,15.95,13.96,15.19,865633.35
1736812800000,15.2,15.9,15.12,15.77,355706.42
1736899200000,15.77,16.94,15.14,16.88,564699.88
1736985600000,16.88,17.92,16.1,17.1,822567.03
1737072000000,17.11,18.43,17.06,18.16,785634.07
1737158400000,18.17,18.33,15.79,16.49,915046.28
1737244800000,16.48,17.47,15.11,15.47,1250499.52
1737331200000,15.46,17.04,14.18,14.72,1471934.49
1737417600000,14.71,15.53,13.96,15.34,845977.87
1737504000000,15.34,15.82,15.0,15.21,434458.48
1737590400000,15.21,15.52,14.48,15.0,463905.44
1737676800000,15.01,15.25,14.22,14.32,340083.95
1737763200000,14.31,14.73,14.01,14.48,351356.5
1737849600000,14.49,14.84,14.07,14.1,376342.89
1737936000000,14.08,14.11,12.31,13.4,1573929.04
1738022400000,13.4,13.67,12.53,12.65,449333.44
1738108800000,12.66,13.47,12.52,12.9,526735.83
1738195200000,12.91,16.49,12.77,16.2,1341300.39
1738281600000,16.2,16.75,15.48,15.88,1592518.09
1738368000000,15.88,16.13,13.75,13.89,730899.44
1738454400000,13.89,14.32,11.89,12.51,1609717.85
1738540800000,12.51,12.52,8.58,11.73,4736021.4
1738627200000,11.72,11.79,9.93,10.39,2004488.49
1738713600000,10.38,11.07,10.0,10.18,1392259.94
1738800000000,10.18,10.36,9.45,9.55,1173548.85
1738886400000,9.55,10.17,8.74,8.95,1769780.82
1738972800000,8.95,10.01,8.89,9.89,891537.21
1739059200000,9.89,9.94,8.43,8.94,1239891.67
1739145600000,8.94,9.3,8.54,8.91,1095954.56
1739232000000,8.91,9.7,8.88,9.36,1259157.26
1739318400000,9.36,9.7,8.67,9.61,1847378.3
1739404800000,9.62,9.69,8.74,9.06,1112328.76
1739491200000,9.06,9.65,9.0,9.44,992019.19
1739577600000,9.43,9.8,9.08,9.22,681518.7
1739664000000,9.21,9.58,8.96,9.26,638443.67
1739750400000,9.25,9.72,8.87,9.21,1297144.35
1739836800000,9.21,9.26,8.2,8.77,1657633.58
1739923200000,8.77,9.3,8.5,9.13,1252147.55
1740009600000,9.14,10.43,9.07,9.76,1481734.66
1740096000000,9.77,10.34,9.07,9.41,1934002.9
1740182400000,9.41,9.8,9.34,9.62,739217.62
1740268800000,9.61,9.68,9.1,9.25,609394.8
1740355200000,9.25,9.33,7.51,7.87,1813991.88
1740441600000,7.88,8.28,7.23,8.08,2521915.0
1740528000000,8.08,8.43,7.93,8.32,1344190.17
1740614400000,8.32,8.68,8.21,8.51,1113799.63
1740700800000,8.51,8.51,7.53,8.31,1866916.55
1740787200000,8.32,8.38,7.8,8.24,758915.24
1740873600000,8.25,9.0,8.0,8.95,1643373.98
1740960000000,8.96,8.98,7.3,7.42,1765539.35
1741046400000,7.41,7.5,6.68,7.41,2037870.04
1741132800000,7.4,7.71,7.27,7.64,852567.43
1741219200000,7.64,7.79,7.19,7.26,633795.73
1741305600000,7.27,7.49,6.89,7.11,861479.39
1741392000000,7.11,7.27,6.9,7.13,619565.49
1741478400000,7.13,7.19,6.26,6.37,935479.12
1741564800000,6.37,6.62,5.49,5.64,2100775.68
1741651200000,5.64,6.23,5.29,6.01,1817335.58
1741737600000,6.02,6.3,5.83,6.11,1083530.07
1741824000000,6.11,6.17,5.78,5.98,695019.69
1741910400000,5.98,6.71,5.96,6.45,1327233.5
1741996800000,6.46,6.73,6.35,6.63,616534.7
1742083200000,6.63,6.79,6.32,6.64,965959.84
1742169600000,6.63,7.11,6.63,6.9,1345866.51
1742256000000,6.89,6.91,6.62,6.86,821426.42
1742342400000,6.87,7.3,6.85,7.24,952241.15
1742428800000,7.23,7.27,6.75,6.81,600365.65
1742515200000,6.82,6.92,6.52,6.73,626155.24
1742601600000,6.72,7.54,6.7,7.2,1098567.77
1742688000000,7.2,7.56,7.06,7.22,657824.67
1742774400000,7.22,7.59,7.12,7.41,1008469.33
1742860800000,7.42,7.77,7.23,7.52,929891.85
1742947200000,7.52,7.57,7.25,7.36,639450.51
1743033600000,7.36,7.61,7.24,7.4,573338.82
