timestamp,open,high,low,close,Volume
1735693200000,2.55,2.55,2.523,2.529,203106.82
1735696800000,2.529,2.536,2.523,2.525,78448.04
1735700400000,2.526,2.527,2.513,2.513,86693.97
1735704000000,2.512,2.515,2.501,2.504,104564.23
1735707600000,2.505,2.524,2.504,2.513,78831.43
1735711200000,2.515,2.53,2.513,2.524,93473.17
1735714800000,2.525,2.535,2.523,2.532,72414.34
1735718400000,2.532,2.535,2.498,2.499,194308.2
1735722000000,2.499,2.505,2.481,2.503,202371.69
1735725600000,2.502,2.53,2.5,2.521,252662.17
1735729200000,2.52,2.541,2.508,2.532,119971.93
1735732800000,2.531,2.549,2.526,2.547,122913.18
1735736400000,2.547,2.577,2.546,2.571,379940.53
1735740000000,2.571,2.591,2.553,2.573,332861.99
1735743600000,2.573,2.585,2.561,2.583,159189.36
1735747200000,2.583,2.591,2.561,2.569,157855.06
1735750800000,2.568,2.58,2.547,2.577,199929.5
1735754400000,2.58,2.593,2.557,2.592,177011.54
1735758000000,2.592,2.619,2.585,2.613,229509.88
1735761600000,2.612,2.625,2.608,2.622,104045.79
1735765200000,2.622,2.626,2.603,2.61,102975.39
1735768800000,2.61,2.628,2.595,2.618,179956.43
1735772400000,2.616,2.621,2.602,2.608,58841.5
1735776000000,2.607,2.647,2.607,2.62,546802.5
1735779600000,2.621,2.637,2.614,2.631,122498.08
1735783200000,2.631,2.636,2.617,2.634,100650.83
1735786800000,2.634,2.637,2.61,2.621,130750.65
1735790400000,2.621,2.657,2.615,2.651,226130.8
1735794000000,2.652,2.652,2.632,2.637,121897.95
1735797600000,2.637,2.644,2.615,2.629,152027.27
1735801200000,2.631,2.64,2.622,2.628,87403.1
1735804800000,2.63,2.656,2.63,2.655,110133.95
1735808400000,2.653,2.683,2.646,2.68,249988.7
1735812000000,2.68,2.681,2.656,2.67,249993.54
1735815600000,2.67,2.691,2.661,2.688,204055.7
1735819200000,2.688,2.731,2.688,2.705,430505.06
1735822800000,2.705,2.712,2.686,2.692,275968.2
1735826400000,2.693,2.721,2.664,2.698,498466.61
1735830000000,2.699,2.699,2.66,2.661,329982.66
1735833600000,2.661,2.678,2.645,2.671,249860.89
1735837200000,2.671,2.684,2.646,2.66,181877.57
1735840800000,2.661,2.669,2.651,2.668,164138.07
1735844400000,2.668,2.673,2.657,2.659,94518.19
1735848000000,2.659,2.676,2.657,2.663,78528.41
1735851600000,2.664,2.675,2.659,2.665,67776.36
1735855200000,2.664,2.664,2.645,2.656,102121.83
1735858800000,2.655,2.677,2.653,2.67,68219.59
1735862400000,2.67,2.676,2.654,2.655,119588.16
1735866000000,2.655,2.665,2.645,2.665,95740.28
1735869600000,2.665,2.69,2.656,2.664,207649.06
1735873200000,2.666,2.685,2.659,2.683,74240.58
1735876800000,2.682,2.682,2.663,2.665,89468.63
1735880400000,2.665,2.67,2.654,2.661,129537.6
1735884000000,2.661,2.681,2.652,2.654,81402.39
1735887600000,2.654,2.656,2.635,2.638,213762.3
1735891200000,2.637,2.653,2.627,2.644,149536.94
1735894800000,2.642,2.676,2.642,2.658,134668.19
1735898400000,2.658,2.672,2.646,2.666,110649.87
1735902000000,2.666,2.716,2.666,2.707,277297.62
1735905600000,2.707,2.718,2.697,2.698,147426.04
1735909200000,2.698,2.714,2.691,2.698,110186.17
1735912800000,2.7,2.751,2.7,2.738,471273.11
1735916400000,2.739,2.761,2.724,2.757,311810.62
1735920000000,2.756,2.793,2.749,2.784,308060.72
1735923600000,2.786,2.79,2.766,2.768,281377.24
1735927200000,2.767,2.788,2.764,2.779,161359.6
1735930800000,2.78,2.788,2.771,2.775,316107.12
1735934400000,2.775,2.779,2.75,2.77,211131.0
1735938000000,2.77,2.801,2.761,2.78,160018.2
1735941600000,2.78,2.807,2.78,2.793,113582.1
1735945200000,2.793,2.811,2.786,2.811,105995.73
1735948800000,2.811,2.845,2.793,2.795,456420.56
1735952400000,2.796,2.8,2.772,2.79,189623.23
1735956000000,2.791,2.854,2.781,2.851,590535.94
1735959600000,2.852,2.929,2.846,2.924,722444.04
1735963200000,2.923,2.926,2.85,2.879,502522.07
1735966800000,2.881,2.925,2.864,2.903,356179.1
1735970400000,2.903,2.919,2.88,2.909,278967.85
