Open time,Open,High,Low,Close,Volume
1735704000000,0.91970000,0.92280000,0.91240000,0.91750000,5701186.79000000
1735718400000,0.91760000,0.92330000,0.89390000,0.91870000,12869633.76000000
1735732800000,0.91870000,0.94080000,0.90600000,0.93740000,10668471.21000000
1735747200000,0.93740000,0.95050000,0.91380000,0.94800000,12382040.48000000
1735761600000,0.94780000,0.97180000,0.94780000,0.95910000,9762927.36000000
1735776000000,0.95930000,0.99300000,0.95930000,0.97390000,12787421.09000000
1735790400000,0.97400000,1.02280000,0.97010000,1.01280000,19553952.27000000
1735804800000,1.01290000,1.05030000,1.01120000,1.04830000,19870092.84000000
1735819200000,1.04830000,1.07800000,1.04290000,1.04920000,26836078.22000000
1735833600000,1.04940000,1.06000000,1.03250000,1.04480000,16605202.35000000
1735848000000,1.04500000,1.05200000,1.02080000,1.03320000,10165989.66000000
1735862400000,1.03350000,1.06820000,1.02430000,1.05730000,12866907.57000000
1735876800000,1.05730000,1.06070000,1.02130000,1.02410000,14187586.82000000
1735891200000,1.02400000,1.06450000,1.02010000,1.06170000,13219803.86000000
1735905600000,1.06180000,1.22180000,1.05890000,1.19340000,67538016.35000000
1735920000000,1.19360000,1.24870000,1.18520000,1.24560000,27356667.56000000
1735934400000,1.24540000,1.24660000,1.21310000,1.21410000,18151402.49000000
1735948800000,1.21400000,1.21740000,1.18400000,1.19220000,20880920.22000000
1735963200000,1.19220000,1.21180000,1.18650000,1.18790000,9634234.07000000
1735977600000,1.18800000,1.20640000,1.17440000,1.19590000,14967989.83000000
1735992000000,1.19610000,1.31240000,1.19540000,1.26360000,42564627.42000000
1736006400000,1.26400000,1.28120000,1.23110000,1.24310000,19826742.97000000
1736020800000,1.24310000,1.25680000,1.22930000,1.23390000,9142345.29000000
1736035200000,1.23380000,1.23950000,1.20720000,1.21060000,12077549.57000000
1736049600000,1.21060000,1.22730000,1.20230000,1.20360000,9516738.45000000
1736064000000,1.20370000,1.30000000,1.19450000,1.27900000,41698199.29000000
1736078400000,1.27890000,1.30190000,1.23380000,1.28000000,43093231.49000000
1736092800000,1.27970000,1.28300000,1.22000000,1.23680000,14137026.93000000
1736107200000,1.23670000,1.27490000,1.23360000,1.26260000,12700453.09000000
1736121600000,1.26260000,1.28720000,1.24320000,1.24840000,25730635.19000000
1736136000000,1.24850000,1.25730000,1.21140000,1.21160000,16852892.24000000
1736150400000,1.21150000,1.21840000,1.18880000,1.21500000,20175593.76000000
1736164800000,1.21500000,1.24090000,1.19020000,1.23250000,28514327.45000000
1736179200000,1.23250000,1.25210000,1.19320000,1.20110000,17287938.58000000
1736193600000,1.20100000,1.21050000,1.16150000,1.17200000,13411489.22000000
1736208000000,1.17200000,1.18460000,1.14050000,1.16150000,17258763.63000000
1736222400000,1.16150000,1.16460000,1.14470000,1.15740000,9989231.18000000
1736236800000,1.15740000,1.17280000,1.14360000,1.15210000,13202787.92000000
1736251200000,1.15210000,1.17740000,1.09240000,1.10850000,57878876.39000000
1736265600000,1.10840000,1.12140000,1.05710000,1.05780000,40701492.63000000
1736280000000,1.05780000,1.07300000,1.03410000,1.03570000,19113356.32000000
1736294400000,1.03560000,1.05330000,1.00300000,1.00800000,23926361.03000000
1736308800000,1.00790000,1.01180000,0.96160000,0.98490000,36029841.72000000
1736323200000,0.98490000,1.00180000,0.95330000,0.97450000,28977489.11000000
1736337600000,0.97460000,0.97780000,0.94420000,0.95830000,29951572.44000000
1736352000000,0.95840000,0.97790000,0.90060000,0.95590000,52803186.12000000
