Open time,Open,High,Low,Close,Volume
1735776000000,3.17800000,3.30100000,3.12200000,3.14700000,3109364.10000000
1735862400000,3.14700000,3.26900000,2.98500000,3.19200000,3397417.70000000
1735948800000,3.19300000,3.22700000,3.07000000,3.09600000,1984479.70000000
1736035200000,3.09700000,3.16300000,3.04700000,3.10800000,1080303.70000000
1736121600000,3.10900000,3.24500000,3.07700000,3.23800000,1748852.40000000
1736208000000,3.24000000,3.27900000,2.99900000,3.00300000,3081178.30000000
1736294400000,3.00400000,3.11000000,2.78400000,3.08800000,4192612.40000000
1736380800000,3.08700000,3.10200000,2.73700000,2.78500000,2727990.60000000
1736467200000,2.78800000,2.90600000,2.68400000,2.73300000,2243537.90000000
1736553600000,2.73400000,2.76500000,2.65400000,2.69300000,881938.10000000
1736640000000,2.69400000,2.70500000,2.56300000,2.59500000,907950.90000000
1736726400000,2.59600000,2.67700000,2.21500000,2.42800000,3230289.30000000
1736812800000,2.42800000,2.54400000,2.42700000,2.48600000,1065664.90000000
1736899200000,2.48800000,2.75700000,2.38300000,2.75400000,2791624.80000000
1736985600000,2.75400000,2.82500000,2.63100000,2.66600000,4560144.60000000
1737072000000,2.66800000,3.03300000,2.66700000,3.00400000,3475950.10000000
1737158400000,3.00400000,3.46000000,2.93100000,3.21100000,15873076.50000000
1737244800000,3.21100000,3.46000000,2.87300000,2.96600000,16543419.90000000
1737331200000,2.96600000,3.13200000,2.75900000,2.92000000,9035091.40000000
1737417600000,2.92200000,3.13500000,2.76600000,2.98500000,3914020.20000000
1737504000000,2.98400000,3.22400000,2.93500000,3.07800000,4627382.50000000
1737590400000,3.07700000,3.07900000,2.71300000,2.79800000,3777902.50000000
1737676800000,2.79700000,3.01200000,2.71500000,2.75800000,3780739.60000000
1737763200000,2.75900000,2.93500000,2.68800000,2.88000000,3167432.80000000
1737849600000,2.88200000,3.17400000,2.83300000,2.90100000,5060659.20000000
1737936000000,2.90100000,2.95000000,2.58200000,2.90500000,5402208.70000000
1738022400000,2.90500000,3.07700000,2.79000000,2.83300000,4770485.90000000
1738108800000,2.83300000,3.39200000,2.83100000,3.23400000,8232251.40000000
1738195200000,3.23300000,3.40800000,3.19200000,3.35500000,3646681.70000000
1738281600000,3.35500000,3.54900000,3.31500000,3.39200000,4770784.00000000
1738368000000,3.39100000,3.42400000,2.99200000,3.00000000,3395919.20000000
1738454400000,2.99900000,3.14600000,2.71100000,2.86900000,5950910.20000000
1738540800000,2.87100000,3.14800000,2.25800000,3.10500000,11604693.30000000
1738627200000,3.10600000,3.30000000,2.84300000,2.94200000,9824480.10000000
1738713600000,2.94300000,2.95200000,2.57100000,2.62500000,6527900.90000000
1738800000000,2.62400000,3.15200000,2.44800000,2.49800000,11407188.00000000
1738886400000,2.49900000,2.67900000,2.40900000,2.47100000,4761491.20000000
1738972800000,2.47000000,2.55300000,2.42600000,2.53100000,1896912.10000000
1739059200000,2.53100000,2.62000000,2.36200000,2.47800000,2788966.50000000
1739145600000,2.47900000,2.65700000,2.43000000,2.55800000,2606417.50000000
1739232000000,2.55700000,2.69400000,2.55000000,2.62700000,2897239.90000000
1739318400000,2.62600000,3.01800000,2.59100000,2.99200000,5491670.70000000
1739404800000,2.99200000,3.11100000,2.92000000,3.02600000,3391352.70000000
