timestamp,open,high,low,close,Volume
1735704000000,1.757,1.769,1.736,1.749,819054.54
1735718400000,1.749,1.751,1.711,1.732,1569334.11
1735732800000,1.732,1.768,1.722,1.766,1851238.53
1735747200000,1.766,1.798,1.746,1.788,1376828.71
1735761600000,1.788,1.853,1.786,1.806,1469097.04
1735776000000,1.807,1.844,1.803,1.81,891748.16
1735790400000,1.81,1.852,1.805,1.841,1181025.49
1735804800000,1.843,1.894,1.82,1.86,2086457.58
1735819200000,1.861,1.949,1.861,1.902,3862642.11
1735833600000,1.903,1.95,1.89,1.893,1437829.04
1735848000000,1.894,1.919,1.858,1.883,1195601.52
1735862400000,1.885,1.89,1.838,1.851,1449101.55
1735876800000,1.851,1.855,1.817,1.821,1142257.7
1735891200000,1.82,1.921,1.812,1.917,1954962.98
1735905600000,1.916,1.971,1.888,1.956,2747490.85
1735920000000,1.956,1.981,1.948,1.976,1947128.89
1735934400000,1.976,2.01,1.957,2.01,1601349.03
1735948800000,2.009,2.051,1.971,1.991,2213859.23
1735963200000,1.991,2.021,1.974,2.012,633578.05
1735977600000,2.013,2.042,1.972,2.039,1617577.19
1735992000000,2.039,2.097,2.028,2.033,3755727.03
1736006400000,2.032,2.071,2.011,2.046,1466155.32
1736020800000,2.046,2.075,2.042,2.06,1204406.23
1736035200000,2.061,2.064,2.014,2.044,938623.86
1736049600000,2.044,2.055,2.026,2.043,538558.42
1736064000000,2.041,2.058,2.006,2.039,1456878.55
1736078400000,2.041,2.09,2.014,2.045,1876862.66
1736092800000,2.046,2.107,2.028,2.098,2261046.09
1736107200000,2.097,2.145,2.072,2.09,1657671.99
1736121600000,2.09,2.119,2.053,2.067,2439344.64
1736136000000,2.067,2.118,2.043,2.055,2237521.12
1736150400000,2.055,2.069,2.029,2.057,1085647.41
1736164800000,2.057,2.099,2.015,2.077,2378465.78
1736179200000,2.078,2.108,2.022,2.048,2023311.88
1736193600000,2.045,2.049,2.001,2.019,1180572.25
1736208000000,2.019,2.037,1.989,1.997,1393821.37
1736222400000,1.997,2.015,1.977,2.005,867231.6
1736236800000,2.005,2.022,1.972,1.987,1908407.32
1736251200000,1.988,2.01,1.865,1.892,5711168.47
1736265600000,1.891,1.9,1.806,1.807,4354356.16
1736280000000,1.808,1.821,1.767,1.768,2085072.54
1736294400000,1.767,1.799,1.736,1.748,1954304.12
1736308800000,1.747,1.757,1.694,1.732,3366859.73
1736323200000,1.732,1.756,1.707,1.725,1812533.86
1736337600000,1.724,1.732,1.681,1.695,2124111.34
1736352000000,1.695,1.697,1.575,1.635,6161722.64
1736366400000,1.635,1.665,1.62,1.651,1723448.12
1736380800000,1.651,1.689,1.643,1.658,1373014.95
1736395200000,1.659,1.674,1.617,1.622,1131626.25
1736409600000,1.622,1.675,1.616,1.659,1450421.76
1736424000000,1.658,1.682,1.575,1.667,2842796.57
1736438400000,1.666,1.676,1.573,1.578,2358733.6
1736452800000,1.579,1.607,1.551,1.589,2150639.18
1736467200000,1.589,1.636,1.589,1.634,2241356.73
1736481600000,1.634,1.702,1.627,1.682,1363974.12
1736496000000,1.682,1.697,1.649,1.663,1028351.49
1736510400000,1.663,1.67,1.567,1.61,4410138.52
1736524800000,1.61,1.657,1.589,1.638,1419628.33
1736539200000,1.636,1.639,1.611,1.624,483818.17
1736553600000,1.624,1.631,1.592,1.594,720670.56
1736568000000,1.594,1.612,1.586,1.597,362315.36
1736582400000,1.597,1.626,1.582,1.621,675327.52
1736596800000,1.621,1.622,1.588,1.594,509086.62
1736611200000,1.594,1.604,1.572,1.577,824093.77
1736625600000,1.577,1.637,1.574,1.592,1235881.75
1736640000000,1.593,1.595,1.574,1.587,1039384.76
1736654400000,1.588,1.604,1.568,1.584,962200.29
1736668800000,1.584,1.586,1.557,1.581,865754.81
1736683200000,1.579,1.606,1.568,1.603,779946.25
1736697600000,1.603,1.608,1.576,1.579,646063.92
1736712000000,1.579,1.588,1.537,1.561,1070498.85
1736726400000,1.561,1.611,1.511,1.521,2031362.74
1736740800000,1.52,1.561,1.499,1.519,1867329.52
1736755200000,1.519,1.523,1.416,1.419,4611995.66
1736769600000,1.419,1.509,1.4,1.502,6142318.67
1736784000000,1.502,1.591,1.495,1.567,4459278.2
1736798400000,1.567,1.653,1.552,1.623,5046401.95
1736812800000,1.624,1.653,1.61,1.633,2374760.21
1736827200000,1.633,1.665,1.626,1.634,1658000.76
1736841600000,1.634,1.685,1.626,1.646,2000861.15
1736856000000,1.646,1.692,1.623,1.681,2259259.4
1736870400000,1.681,1.806,1.668,1.783,4495885.74
1736884800000,1.784,1.889,1.772,1.845,3370609.49
1736899200000,1.846,1.858,1.795,1.829,1935089.19
1736913600000,1.83,1.842,1.787,1.818,1133272.5
1736928000000,1.819,1.836,1.783,1.803,1805915.44
1736942400000,1.803,1.93,1.784,1.89,5242211.59
1736956800000,1.89,2.035,1.89,2.01,4543666.25
1736971200000,2.01,2.1,1.998,2.081,1958440.76
1736985600000,2.081,2.136,2.031,2.065,6576287.48
1737000000000,2.064,2.066,2.007,2.024,1584646.35
1737014400000,2.024,2.086,1.992,2.078,2042828.16
1737028800000,2.077,2.078,1.952,1.994,3974267.13
1737043200000,1.993,2.015,1.977,1.999,1370568.64
1737057600000,1.998,2.006,1.938,1.966,1096276.31
1737072000000,1.967,2.032,1.965,1.995,1521568.98
1737086400000,1.996,2.023,1.99,2.007,985843.9
1737100800000,2.006,2.035,2.001,2.023,1547834.62
