timestamp,open,high,low,close,Volume
1735776000000,0.931,1.007,0.928,0.963,2933310.2
1735862400000,0.963,0.977,0.927,0.967,2989335.5
1735948800000,0.967,0.977,0.931,0.948,2037580.7
1736035200000,0.948,0.985,0.938,0.958,2261473.8
1736121600000,0.957,0.973,0.934,0.952,1553902.1
1736208000000,0.95,0.96,0.843,0.844,2677972.9
1736294400000,0.844,0.857,0.768,0.817,2399829.3
1736380800000,0.815,0.826,0.773,0.8,1718421.3
1736467200000,0.8,0.831,0.79,0.817,1388968.2
1736553600000,0.816,0.825,0.795,0.81,1270933.2
1736640000000,0.811,0.816,0.78,0.792,1134556.7
1736726400000,0.792,0.82,0.714,0.774,2141369.6
1736812800000,0.773,0.809,0.766,0.804,880206.4
1736899200000,0.805,0.859,0.778,0.856,1959287.9
1736985600000,0.858,0.877,0.834,0.862,2220635.3
1737072000000,0.862,0.941,0.862,0.937,1323974.1
1737158400000,0.938,0.944,0.863,0.896,2326686.5
1737244800000,0.896,0.92,0.793,0.806,3760269.1
1737331200000,0.804,0.869,0.757,0.809,7235900.1
1737417600000,0.808,0.862,0.783,0.847,2050809.3
1737504000000,0.847,0.958,0.74,0.746,9983574.1
1737590400000,0.745,0.752,0.625,0.671,8984021.0
1737676800000,0.672,0.681,0.594,0.611,5022969.2
1737763200000,0.611,0.632,0.593,0.597,1844397.5
1737849600000,0.597,0.618,0.59,0.592,2319752.5
1737936000000,0.591,0.65,0.551,0.605,6745831.2
1738022400000,0.605,0.614,0.553,0.562,2381547.8
1738108800000,0.561,0.61,0.559,0.584,2899464.6
1738195200000,0.583,0.61,0.575,0.585,3811285.8
1738281600000,0.586,0.604,0.521,0.532,6957387.8
1738368000000,0.533,1.54,0.532,1.206,131651109.6
1738454400000,1.206,1.49,0.836,0.852,120687431.3
1738540800000,0.851,1.078,0.614,0.845,56507868.8
1738627200000,0.844,1.081,0.753,0.886,51882944.1
1738713600000,0.887,0.98,0.814,0.832,24877467.7
1738800000000,0.832,0.943,0.724,0.736,16488378.4
1738886400000,0.737,0.819,0.699,0.747,8303698.2
1738972800000,0.747,0.87,0.713,0.749,18187582.7
1739059200000,0.749,0.758,0.63,0.694,11091289.2
