timestamp,open,high,low,close,Volume
1735704000000,27.36,27.41,27.12,27.34,74836.77
1735718400000,27.35,27.45,26.73,27.01,114281.35
1735732800000,26.99,27.59,26.96,27.51,69930.47
1735747200000,27.51,27.83,27.21,27.71,124050.02
1735761600000,27.7,27.9,27.58,27.6,41628.68
1735776000000,27.61,28.09,27.49,27.93,144494.37
1735790400000,27.91,28.31,27.82,28.13,91952.81
1735804800000,28.13,28.54,28.0,28.41,134500.62
1735819200000,28.42,28.81,28.19,28.32,114549.79
1735833600000,28.31,28.59,28.01,28.1,93768.94
1735848000000,28.11,28.25,27.68,28.08,41126.37
1735862400000,28.08,28.26,27.82,28.08,31751.63
1735876800000,28.05,28.12,27.54,27.61,68336.66
1735891200000,27.61,28.47,27.56,28.42,60683.03
1735905600000,28.41,28.9,28.2,28.84,125657.81
1735920000000,28.84,29.2,28.68,29.02,116661.69
1735934400000,29.03,29.26,28.78,29.16,52334.46
1735948800000,29.17,29.19,28.72,29.01,62096.4
1735963200000,29.0,30.39,28.7,29.77,235028.34
1735977600000,29.76,29.82,28.83,29.13,260113.78
1735992000000,29.13,29.74,28.73,28.88,147821.47
1736006400000,28.88,29.52,28.82,29.34,57920.81
1736020800000,29.34,29.5,29.19,29.3,79381.5
1736035200000,29.3,29.33,28.62,28.92,83302.11
1736049600000,28.91,29.03,28.73,28.87,57254.44
1736064000000,28.87,28.91,28.28,28.67,78865.45
1736078400000,28.67,28.92,28.32,28.88,79661.83
1736092800000,28.87,29.29,28.76,29.08,54020.33
1736107200000,29.09,29.42,28.98,29.18,61586.47
1736121600000,29.19,29.66,28.84,29.56,100779.13
1736136000000,29.57,29.67,29.12,29.27,63721.39
1736150400000,29.28,29.95,29.0,29.82,63529.41
1736164800000,29.82,30.05,29.34,29.81,172619.4
1736179200000,29.82,30.19,29.38,29.71,109878.93
1736193600000,29.71,29.83,29.36,29.59,49033.38
1736208000000,29.58,29.78,28.94,29.17,110393.35
1736222400000,29.18,29.19,28.86,28.97,52060.55
1736236800000,28.98,29.2,28.35,28.55,99933.2
1736251200000,28.55,28.8,26.35,26.77,475779.7
1736265600000,26.76,26.96,25.8,25.95,262507.62
1736280000000,25.95,26.08,25.28,25.31,150513.56
1736294400000,25.31,25.72,24.88,25.11,151161.04
1736308800000,25.11,25.14,24.09,24.46,188480.52
1736323200000,24.46,24.89,24.11,24.32,158906.15
1736337600000,24.33,24.91,24.21,24.63,240188.66
1736352000000,24.64,24.65,22.42,23.33,537184.13
1736366400000,23.33,23.75,23.07,23.56,83581.53
1736380800000,23.55,24.14,23.45,23.53,151642.87
1736395200000,23.52,23.76,23.06,23.15,101523.27
1736409600000,23.14,24.03,23.13,23.97,125107.68
1736424000000,23.97,24.46,23.21,24.22,187033.47
1736438400000,24.22,24.81,23.68,23.78,115344.66
1736452800000,23.78,24.12,23.35,23.83,148791.36
1736467200000,23.83,24.48,23.83,24.39,183231.34
1736481600000,24.4,25.53,24.33,25.37,253172.67
1736496000000,25.35,25.52,25.12,25.32,223451.39
1736510400000,25.32,25.41,24.25,25.13,330510.19
1736524800000,25.12,25.93,24.73,25.87,147751.18
1736539200000,25.88,26.23,25.54,26.11,113604.34
1736553600000,26.11,26.31,25.46,25.56,85382.91
1736568000000,25.56,25.88,25.32,25.8,74697.17
1736582400000,25.79,26.3,25.73,26.1,115370.47
1736596800000,26.11,26.16,25.7,25.9,61069.98
1736611200000,25.89,26.29,25.78,25.84,119778.59
1736625600000,25.84,26.54,25.84,26.01,68651.85
1736640000000,26.02,26.22,25.88,26.01,40376.31
1736654400000,26.02,26.04,25.64,25.76,49176.66
1736668800000,25.77,25.82,25.43,25.54,54434.27
1736683200000,25.54,25.94,25.44,25.94,49564.88
1736697600000,25.94,26.17,25.75,25.81,63279.0
1736712000000,25.81,25.86,25.15,25.5,48077.3
1736726400000,25.5,26.19,24.64,24.79,134922.63
1736740800000,24.78,25.16,24.33,24.77,112479.65
1736755200000,24.77,24.79,23.27,23.28,256366.16
1736769600000,23.28,24.15,22.6,23.93,335103.07
1736784000000,23.93,24.1,22.88,23.48,224289.72
1736798400000,23.47,24.62,23.31,24.37,83154.23
1736812800000,24.37,24.81,24.28,24.64,75624.03
1736827200000,24.65,25.09,24.64,24.73,89447.23
1736841600000,24.74,25.44,24.73,25.02,93175.66
1736856000000,25.02,25.37,24.81,24.87,163278.15
1736870400000,24.87,25.33,24.67,25.25,77505.57
1736884800000,25.26,25.93,25.09,25.58,48215.56
1736899200000,25.59,25.8,25.39,25.58,70022.65
1736913600000,25.58,25.74,25.21,25.4,93506.25
1736928000000,25.4,25.52,24.68,24.86,74169.83
1736942400000,24.87,26.36,24.74,26.19,253882.84
1736956800000,26.2,26.52,25.7,26.37,201802.75
1736971200000,26.37,26.92,26.33,26.84,97954.81
1736985600000,26.84,26.97,26.1,26.26,105911.2
1737000000000,26.25,26.45,26.08,26.36,49316.61
1737014400000,26.36,26.4,25.79,26.3,87146.48
1737028800000,26.29,26.79,25.55,26.37,244914.66
1737043200000,26.37,26.85,26.36,26.79,93903.4
1737057600000,26.79,26.86,26.14,26.3,42526.89
1737072000000,26.31,27.07,26.3,26.91,82093.33
1737086400000,26.92,27.19,26.8,26.98,69689.81
1737100800000,26.99,27.39,26.9,27.0,145295.18
1737115200000,27.0,27.24,26.75,27.09,158841.55
1737129600000,27.09,27.31,26.68,27.0,70564.92
1737144000000,26.98,27.56,26.97,27.3,79088.41
1737158400000,27.3,27.71,26.23,26.34,106402.74
1737172800000,26.32,26.48,24.86,24.93,191928.52
1737187200000,24.93,25.08,24.4,24.96,187071.79
1737201600000,24.96,25.05,24.4,24.43,269772.42
1737216000000,24.42,24.58,23.92,24.31,202487.54
1737230400000,24.32,24.57,23.94,24.48,62332.99
1737244800000,24.49,25.68,24.38,24.92,146357.36
1737259200000,24.92,24.94,23.7,24.04,180059.54
1737273600000,24.05,24.05,21.71,21.92,570788.55
1737288000000,21.93,23.44,21.87,23.06,393802.93
1737302400000,23.05,24.43,22.87,24.27,192408.99
1737316800000,24.28,24.53,20.72,21.28,945350.84
1737331200000,21.28,21.31,19.94,20.23,798407.07
1737345600000,20.23,22.4,20.0,21.65,918490.26
1737360000000,21.65,21.84,20.65,20.96,268881.73
1737374400000,20.97,20.98,19.77,20.08,542179.45
1737388800000,20.09,20.17,18.04,19.05,1448953.89
1737403200000,19.05,19.48,18.65,19.04,282600.35
1737417600000,19.04,19.34,18.25,18.73,314398.1
1737432000000,18.72,19.56,18.14,18.93,423373.08
1737446400000,18.93,20.0,18.77,19.87,329666.17
1737460800000,19.87,20.18,19.54,19.81,222505.73
1737475200000,19.8,20.71,19.75,20.33,220343.62
1737489600000,20.33,20.39,20.01,20.19,108226.32
1737504000000,20.18,20.47,20.07,20.33,101430.32
1737518400000,20.33,20.48,20.06,20.24,128312.3
1737532800000,20.24,20.85,20.09,20.71,183403.32
1737547200000,20.71,20.82,20.27,20.64,227759.22
1737561600000,20.64,21.45,20.44,20.54,417743.62
1737576000000,20.54,20.69,20.07,20.3,164455.44
1737590400000,20.3,20.53,19.93,20.25,140091.02
1737604800000,20.26,20.45,20.0,20.44,200619.81
1737619200000,20.43,20.58,20.1,20.43,151610.17
1737633600000,20.42,20.58,19.98,20.44,256981.18
1737648000000,20.44,20.8,19.67,19.78,208686.29
1737662400000,19.77,20.46,19.61,20.31,292613.8
1737676800000,20.31,20.4,19.31,19.56,129851.79
1737691200000,19.56,20.41,19.47,20.32,135243.1
1737705600000,20.32,20.81,20.26,20.73,103188.15
1737720000000,20.72,20.85,20.25,20.41,113024.93
1737734400000,20.43,20.66,20.27,20.33,82798.35
1737748800000,20.34,20.47,19.68,19.79,104644.35
1737763200000,19.79,19.82,19.17,19.75,147841.27
1737777600000,19.75,19.94,19.46,19.56,97474.3
1737792000000,19.56,20.15,19.46,20.09,96046.33
1737806400000,20.08,20.83,19.9,20.66,217967.73
1737820800000,20.66,21.1,20.55,20.58,140207.46
1737835200000,20.58,20.74,20.34,20.37,46461.5
1737849600000,20.38,20.66,20.28,20.57,131936.68
1737864000000,20.57,20.72,20.3,20.45,86700.23
1737878400000,20.45,20.51,20.12,20.42,68073.1
1737892800000,20.41,20.49,20.28,20.39,47037.34
1737907200000,20.38,20.74,20.26,20.71,54849.85
1737921600000,20.71,20.74,19.54,19.59,110158.0
1737936000000,19.59,19.62,18.32,18.64,265350.21
1737950400000,18.65,18.65,17.07,17.6,458604.4
1737964800000,17.6,17.76,17.12,17.41,215610.11
1737979200000,17.41,18.43,17.3,18.29,252574.05
1737993600000,18.3,18.39,17.53,17.75,128579.66
1738008000000,17.77,18.9,17.76,18.79,181333.52
1738022400000,18.79,18.95,18.34,18.75,116877.12
1738036800000,18.76,18.88,18.36,18.41,85126.42
1738051200000,18.41,18.51,18.13,18.24,108165.72
1738065600000,18.25,18.63,18.17,18.35,137770.27
1738080000000,18.36,18.39,17.79,17.99,112871.3
1738094400000,17.99,18.07,16.95,17.19,207724.4
1738108800000,17.19,18.09,16.88,17.93,259331.06
1738123200000,17.93,18.32,17.7,18.29,138254.47
1738137600000,18.28,18.45,17.99,18.23,119839.86
1738152000000,18.24,18.28,17.72,17.88,102277.62
1738166400000,17.88,18.67,17.53,18.41,345512.85
1738180800000,18.4,18.86,18.07,18.12,155366.07
1738195200000,18.12,18.72,17.89,18.7,101124.4
1738209600000,18.7,18.85,18.55,18.79,74860.14
1738224000000,18.8,18.95,18.63,18.77,65164.86
1738238400000,18.78,19.39,18.72,19.17,281048.93
1738252800000,19.18,19.42,19.07,19.35,107554.19
1738267200000,19.36,19.41,19.14,19.17,48677.72
1738281600000,19.19,19.74,19.06,19.43,125447.73
1738296000000,19.42,19.78,19.22,19.27,166695.51
1738310400000,19.26,20.19,19.17,20.05,95194.34
1738324800000,20.06,21.35,19.94,21.06,323661.83
1738339200000,21.07,21.34,19.86,20.15,323181.36
1738353600000,20.14,20.2,19.63,19.88,113153.55
1738368000000,19.88,20.34,19.7,20.01,87347.1
1738382400000,20.01,20.2,19.67,19.76,55236.73
1738396800000,19.76,19.84,19.0,19.43,120074.71
1738411200000,19.42,19.6,19.04,19.22,70406.52
1738425600000,19.22,19.33,18.14,18.23,144003.18
1738440000000,18.22,18.27,17.17,17.35,203709.08
1738454400000,17.35,18.02,17.24,17.31,258543.13
1738468800000,17.31,17.97,17.24,17.72,168273.48
1738483200000,17.72,17.91,17.23,17.34,118096.28
1738497600000,17.33,17.72,17.13,17.38,206145.43
1738512000000,17.38,17.39,14.55,14.97,1230883.15
1738526400000,14.97,15.34,12.19,13.81,990963.26
1738540800000,13.81,13.82,9.87,11.51,3554330.02
1738555200000,11.52,12.37,11.14,12.35,1224940.79
1738569600000,12.35,12.44,11.67,12.06,827247.64
1738584000000,12.07,13.05,11.58,12.93,1548865.03
1738598400000,12.92,13.25,12.73,13.23,945225.04
1738612800000,13.22,14.01,12.92,13.53,487507.02
1738627200000,13.53,13.6,12.76,12.88,312320.48
1738641600000,12.89,13.16,11.69,12.0,842763.81
1738656000000,12.0,12.39,11.95,12.25,372490.97
1738670400000,12.26,12.75,12.23,12.56,448120.91
1738684800000,12.55,13.19,12.5,12.65,260804.7
1738699200000,12.66,12.85,12.27,12.77,376915.23
1738713600000,12.77,13.03,12.64,12.96,245130.92
1738728000000,12.96,13.16,12.8,12.91,200730.38
1738742400000,12.9,13.03,12.72,12.79,151741.01
1738756800000,12.79,12.9,12.47,12.8,228594.1
1738771200000,12.8,12.89,12.15,12.49,271193.04
1738785600000,12.49,12.57,12.01,12.32,116126.4
1738800000000,12.32,12.43,12.17,12.31,136964.63
1738814400000,12.31,12.45,12.17,12.21,142677.34
1738828800000,12.22,12.27,11.85,11.98,216172.21
1738843200000,11.98,12.12,11.3,11.39,549976.89
1738857600000,11.39,11.5,11.1,11.15,334285.49
1738872000000,11.14,11.41,11.04,11.18,171203.27
1738886400000,11.18,11.57,11.17,11.38,149648.69
1738900800000,11.39,11.46,11.04,11.33,156076.09
1738915200000,11.33,11.67,11.25,11.65,184705.66
1738929600000,11.65,12.05,11.52,11.69,439480.01
1738944000000,11.7,11.74,11.35,11.51,210915.86
1738958400000,11.51,11.51,10.71,11.18,310039.21
1738972800000,11.18,11.36,11.12,11.27,141492.17
1738987200000,11.26,11.49,11.17,11.4,175416.42
1739001600000,11.4,11.59,11.31,11.57,142179.37
1739016000000,11.58,12.01,11.53,11.79,346354.83
1739030400000,11.8,12.54,11.76,12.15,358753.38
1739044800000,12.16,12.25,11.96,12.16,121490.49
1739059200000,12.17,12.33,12.0,12.27,177801.74
1739073600000,12.27,12.45,12.07,12.34,216345.39
1739088000000,12.34,12.56,12.28,12.33,301833.57
1739102400000,12.32,12.46,11.94,12.15,192014.56
1739116800000,12.15,12.31,11.94,12.07,127439.41
1739131200000,12.07,12.27,11.47,12.21,302409.91
1739145600000,12.2,12.54,11.64,12.15,317216.17
1739160000000,12.15,12.34,11.98,12.08,232860.51
1739174400000,12.08,12.26,11.95,12.01,165167.6
1739188800000,12.01,12.34,11.87,12.19,171977.58
1739203200000,12.19,12.32,11.96,12.01,156199.97
1739217600000,12.01,12.09,11.87,11.99,93963.54
1739232000000,11.99,12.36,11.97,12.16,143379.0
1739246400000,12.17,12.57,12.13,12.3,277191.14
1739260800000,12.29,12.37,11.88,11.96,174205.71
1739275200000,11.96,11.97,11.06,11.32,678384.87
1739289600000,11.32,11.45,10.89,10.98,285414.04
1739304000000,10.97,11.24,10.96,11.22,274952.36
1739318400000,11.22,11.42,11.05,11.15,260625.6
1739332800000,11.16,11.24,10.98,11.13,172642.46
1739347200000,11.13,11.28,11.06,11.14,111308.54
1739361600000,11.14,11.38,10.54,11.12,772418.87
1739376000000,11.12,11.71,10.93,11.65,398141.7
1739390400000,11.66,12.11,11.59,11.97,258913.04
1739404800000,11.97,12.36,11.93,12.34,257665.64
1739419200000,12.34,12.35,11.86,11.86,199890.0
1739433600000,11.87,12.06,11.67,11.99,161695.7
1739448000000,12.0,12.03,11.72,11.88,245608.37
1739462400000,11.87,12.08,11.73,11.87,174289.79
