Open time,Open,High,Low,Close,Volume
1735776000000,4.86400000,5.18600000,4.85600000,5.06700000,4450830.15000000
1735862400000,5.06700000,5.50700000,4.95800000,5.50000000,7335483.12000000
1735948800000,5.49800000,5.70700000,5.39300000,5.56500000,5033109.77000000
1736035200000,5.56500000,5.61500000,5.36600000,5.55400000,3402827.92000000
1736121600000,5.55500000,5.67800000,5.33500000,5.52400000,6280994.26000000
1736208000000,5.52400000,5.59700000,4.87400000,4.87900000,8444901.03000000
1736294400000,4.87800000,4.93900000,4.33200000,4.51400000,12162806.71000000
1736380800000,4.51300000,4.73200000,4.37100000,4.53200000,7030529.39000000
1736467200000,4.53300000,4.87200000,4.43200000,4.83400000,5341884.90000000
1736553600000,4.83400000,4.95700000,4.60000000,4.92900000,5266288.46000000
1736640000000,4.93000000,5.19400000,4.76500000,4.93400000,6154043.88000000
1736726400000,4.93400000,5.11600000,4.31600000,4.61300000,10484215.64000000
1736812800000,4.61200000,4.82600000,4.57000000,4.76700000,3930058.38000000
1736899200000,4.76700000,5.27300000,4.63200000,5.24200000,9978627.34000000
1736985600000,5.24300000,5.26800000,4.87600000,5.00900000,7787626.72000000
1737072000000,5.00900000,5.49000000,5.00900000,5.36900000,9495108.85000000
1737158400000,5.36900000,5.47700000,4.76100000,4.85300000,7975015.95000000
1737244800000,4.85400000,5.28600000,4.46700000,4.65300000,20333944.81000000
1737331200000,4.65200000,5.22000000,4.36700000,4.60400000,19083479.02000000
1737417600000,4.60400000,5.00000000,4.40100000,4.88700000,7916823.22000000
1737504000000,4.88700000,4.98800000,4.65600000,4.67900000,4475930.45000000
1737590400000,4.67900000,4.75400000,4.45000000,4.63500000,6699131.98000000
1737676800000,4.63500000,4.83900000,4.50000000,4.54200000,4718938.33000000
1737763200000,4.54300000,4.66200000,4.45100000,4.54300000,2921175.78000000
1737849600000,4.54300000,4.63800000,4.33700000,4.34600000,2639434.80000000
1737936000000,4.34500000,4.34500000,3.82000000,4.05300000,12030684.38000000
1738022400000,4.05300000,4.12200000,3.75600000,3.80700000,4483251.28000000
1738108800000,3.80700000,4.09500000,3.79300000,3.92200000,6103938.63000000
1738195200000,3.92200000,4.35800000,3.86200000,4.24500000,5237684.39000000
1738281600000,4.24500000,4.54000000,4.13600000,4.34100000,6223752.28000000
1738368000000,4.33900000,4.45600000,3.87500000,3.92500000,4939389.40000000
1738454400000,3.92500000,4.02500000,3.00000000,3.30000000,16211074.94000000
1738540800000,3.30100000,3.51400000,2.35300000,3.49900000,37783674.95000000
1738627200000,3.49800000,3.51100000,3.03900000,3.24900000,14358103.60000000
1738713600000,3.25000000,3.31400000,2.97400000,3.02600000,7955077.83000000
1738800000000,3.02600000,3.14000000,2.82200000,2.91600000,11186095.89000000
1738886400000,2.91700000,3.10800000,2.72300000,2.82000000,6918519.87000000
1738972800000,2.82100000,3.04700000,2.77500000,3.03300000,4555827.98000000
1739059200000,3.03300000,3.18700000,2.91700000,3.11400000,6460398.07000000
1739145600000,3.11300000,3.32000000,3.00900000,3.23200000,6183441.26000000
1739232000000,3.23200000,3.57000000,3.18400000,3.22400000,8321663.71000000
1739318400000,3.22400000,3.30900000,2.96800000,3.22200000,9225626.11000000
1739404800000,3.22200000,3.25600000,2.94200000,3.04400000,5882023.65000000
1739491200000,3.04500000,3.30500000,3.03200000,3.18000000,5423758.47000000
1739577600000,3.17900000,3.22400000,3.01500000,3.06600000,3099382.80000000
1739664000000,3.06700000,3.10800000,2.97600000,3.03000000,3587124.50000000
1739750400000,3.03100000,3.23200000,2.99800000,3.13000000,5423476.24000000
1739836800000,3.13100000,3.20900000,2.92900000,3.00200000,8351903.10000000
1739923200000,3.00300000,3.20900000,2.92800000,3.14200000,5852739.40000000
1740009600000,3.14200000,3.78800000,3.12800000,3.66300000,15849965.13000000
1740096000000,3.66200000,3.79500000,3.46100000,3.59000000,11687803.94000000
1740182400000,3.58900000,4.00000000,3.50400000,3.75800000,10092070.14000000
1740268800000,3.75700000,3.80900000,3.66300000,3.70900000,3947681.69000000
1740355200000,3.70900000,3.75300000,3.20000000,3.24200000,9390478.23000000
1740441600000,3.24100000,3.80700000,3.01100000,3.64200000,14162408.71000000
1740528000000,3.64300000,4.09700000,3.58000000,3.83000000,17182863.35000000
1740614400000,3.83000000,3.98900000,3.60300000,3.63900000,7305103.73000000
1740700800000,3.63800000,4.15700000,3.38900000,4.08400000,13120322.69000000
1740787200000,4.08200000,4.31800000,4.03900000,4.16900000,8762638.01000000
1740873600000,4.16800000,4.50000000,4.08000000,4.15400000,10117360.57000000
1740960000000,4.15300000,4.16100000,3.31700000,3.41900000,12516873.12000000
1741046400000,3.41900000,3.60400000,3.18600000,3.41900000,13247460.12000000
1741132800000,3.41800000,3.50400000,3.23000000,3.37700000,5711702.97000000
1741219200000,3.37800000,3.49300000,3.12900000,3.17300000,7417173.25000000
1741305600000,3.17400000,3.30600000,3.06300000,3.15800000,6081054.50000000
1741392000000,3.15900000,3.35900000,3.06700000,3.29300000,4515366.43000000
1741478400000,3.29300000,3.34800000,3.00800000,3.03100000,7317299.52000000
1741564800000,3.03200000,3.20600000,2.73700000,2.80000000,10537789.90000000
1741651200000,2.80100000,3.21600000,2.62900000,3.20800000,8889104.88000000
1741737600000,3.20800000,3.79800000,3.16600000,3.67700000,14933947.02000000
1741824000000,3.67600000,3.72000000,3.42700000,3.63000000,6562761.86000000
1741910400000,3.63200000,3.71700000,3.51700000,3.52900000,4858582.45000000
1741996800000,3.52800000,3.75800000,3.49600000,3.61700000,3204283.80000000
1742083200000,3.61900000,3.68600000,3.37000000,3.38600000,2924480.99000000
1742169600000,3.38600000,3.50600000,3.34100000,3.38800000,3669962.54000000
1742256000000,3.38900000,3.45400000,3.12200000,3.23100000,6482978.58000000
1742342400000,3.23200000,3.45800000,3.19300000,3.41800000,7102123.47000000
1742428800000,3.41800000,3.46000000,3.25000000,3.35100000,3348686.40000000
1742515200000,3.35100000,3.45700000,3.25100000,3.29600000,3603584.15000000
1742601600000,3.29500000,3.49300000,3.26400000,3.38100000,2660204.85000000
1742688000000,3.38100000,3.59700000,3.32100000,3.54500000,3494413.28000000
1742774400000,3.54500000,3.72700000,3.51200000,3.64700000,4356472.79000000
1742860800000,3.64600000,3.75500000,3.60700000,3.68700000,3177947.53000000
1742947200000,3.68600000,3.72400000,3.46700000,3.58300000,3447455.75000000
1743033600000,3.58300000,3.81300000,3.57600000,3.70900000,4151225.29000000
1743120000000,3.70900000,3.81300000,3.37600000,3.42900000,4254448.23000000
1743206400000,3.43000000,3.47500000,3.13000000,3.21600000,2379452.81000000
1743292800000,3.21600000,3.37900000,3.18100000,3.24600000,1696567.39000000
1743379200000,3.24700000,3.45600000,3.02000000,3.06400000,3558882.88000000
1743465600000,3.06300000,3.21200000,3.04300000,3.14600000,2891046.30000000
1743552000000,3.14500000,3.23600000,2.88100000,2.91500000,4083950.52000000
1743638400000,2.91400000,2.98100000,2.65200000,2.83800000,5340660.21000000
1743724800000,2.83900000,2.86800000,2.62600000,2.73100000,5293122.58000000
1743811200000,2.73100000,2.79200000,2.63600000,2.69700000,2555203.40000000
1743897600000,2.69800000,2.70400000,2.29800000,2.34900000,6252986.55000000
1743984000000,2.35000000,2.58500000,2.14600000,2.48000000,11228649.22000000
1744070400000,2.48000000,2.56900000,2.31300000,2.33300000,5605723.60000000
