Open time,Open,High,Low,Close,Volume
1735704000000,5.50800000,5.50800000,5.47200000,5.48700000,233273.35000000
1735718400000,5.48800000,5.49300000,5.40200000,5.44700000,418241.89000000
1735732800000,5.44600000,5.47900000,5.40500000,5.47700000,366919.52000000
1735747200000,5.47700000,5.53400000,5.43900000,5.52700000,463259.91000000
1735761600000,5.52700000,5.53600000,5.49700000,5.51600000,243875.69000000
1735776000000,5.51700000,5.61000000,5.50200000,5.59000000,371288.05000000
1735790400000,5.59100000,5.66400000,5.59000000,5.64900000,403150.05000000
1735804800000,5.64900000,5.70600000,5.64400000,5.67600000,552841.10000000
1735819200000,5.67600000,5.69000000,5.60200000,5.62500000,814972.89000000
1735833600000,5.62400000,5.67100000,5.59600000,5.62700000,353900.54000000
1735848000000,5.62800000,5.65300000,5.59200000,5.64800000,188940.05000000
1735862400000,5.64900000,5.68800000,5.62200000,5.67900000,309978.10000000
1735876800000,5.67900000,5.68400000,5.59500000,5.60500000,310034.32000000
1735891200000,5.60600000,5.68100000,5.59400000,5.67600000,553826.61000000
1735905600000,5.67500000,5.77100000,5.66500000,5.76100000,1008136.72000000
1735920000000,5.76000000,5.82200000,5.75800000,5.79000000,974636.18000000
1735934400000,5.79100000,5.83800000,5.78700000,5.80100000,401850.83000000
1735948800000,5.80200000,5.82300000,5.74000000,5.79400000,391564.49000000
1735963200000,5.79400000,5.81900000,5.74800000,5.80400000,366733.67000000
1735977600000,5.80400000,5.80800000,5.71900000,5.76500000,399834.79000000
1735992000000,5.76500000,5.81900000,5.68400000,5.71000000,909417.82000000
1736006400000,5.71000000,5.76000000,5.70800000,5.74800000,339623.25000000
1736020800000,5.74800000,5.76900000,5.71000000,5.72500000,269513.49000000
1736035200000,5.72500000,5.72800000,5.66700000,5.70800000,350275.79000000
1736049600000,5.70800000,5.72100000,5.68000000,5.68300000,308096.22000000
1736064000000,5.68300000,5.68700000,5.63100000,5.67900000,456176.11000000
1736078400000,5.67900000,5.71500000,5.63300000,5.67900000,350388.99000000
1736092800000,5.67800000,5.70000000,5.64700000,5.67200000,220815.47000000
1736107200000,5.67200000,5.74900000,5.66000000,5.72400000,298113.72000000
1736121600000,5.72400000,5.76400000,5.65900000,5.75400000,465122.05000000
1736136000000,5.75500000,5.76200000,5.68000000,5.70300000,487558.29000000
1736150400000,5.70400000,5.71300000,5.64000000,5.71100000,624596.69000000
1736164800000,5.71100000,5.76900000,5.66100000,5.74000000,983071.64000000
1736179200000,5.74100000,5.80400000,5.69800000,5.74900000,861195.99000000
1736193600000,5.74900000,5.76600000,5.68300000,5.70800000,345475.47000000
1736208000000,5.70800000,5.76100000,5.68100000,5.70200000,398316.10000000
1736222400000,5.70300000,5.72200000,5.67400000,5.70300000,270965.83000000
1736236800000,5.70400000,5.76000000,5.64200000,5.68200000,576512.69000000
1736251200000,5.68200000,5.73600000,5.40800000,5.48100000,2275810.70000000
1736265600000,5.48100000,5.52100000,5.32700000,5.35400000,1029631.91000000
1736280000000,5.35400000,5.39400000,5.30300000,5.31600000,674031.37000000
1736294400000,5.31600000,5.36000000,5.21500000,5.24400000,916717.27000000
1736308800000,5.24400000,5.25600000,5.10000000,5.20400000,1210918.56000000
1736323200000,5.20400000,5.28500000,5.18900000,5.22900000,744977.01000000
1736337600000,5.22800000,5.35700000,5.21600000,5.34700000,1120372.10000000
1736352000000,5.34700000,5.34800000,5.11000000,5.28600000,2058793.93000000
1736366400000,5.28100000,5.33800000,5.24000000,5.30900000,466595.47000000
1736380800000,5.30800000,5.34900000,5.25600000,5.29900000,566800.18000000
1736395200000,5.30000000,5.31300000,5.18500000,5.20200000,549645.10000000
1736409600000,5.20100000,5.28000000,5.18800000,5.23100000,632189.42000000
1736424000000,5.23100000,5.28400000,5.10100000,5.26600000,1093610.49000000
1736438400000,5.26600000,5.27900000,5.14800000,5.14900000,902597.58000000
1736452800000,5.15000000,5.20300000,5.09400000,5.20000000,656381.59000000
1736467200000,5.20000000,5.23600000,5.18500000,5.21300000,322749.03000000
1736481600000,5.21400000,5.28600000,5.19800000,5.26100000,358903.33000000
1736496000000,5.26200000,5.30000000,5.23000000,5.26200000,356920.03000000
1736510400000,5.26100000,5.27000000,5.12800000,5.21700000,1188894.94000000
1736524800000,5.21700000,5.34900000,5.20600000,5.34000000,711830.94000000
1736539200000,5.34000000,5.38900000,5.30700000,5.38100000,405855.94000000
1736553600000,5.38200000,5.40600000,5.34000000,5.38300000,433461.84000000
1736568000000,5.38300000,5.40800000,5.33400000,5.35700000,337237.13000000
1736582400000,5.35800000,5.40700000,5.32900000,5.39900000,342098.03000000
1736596800000,5.40000000,5.45200000,5.38200000,5.45200000,501102.85000000
1736611200000,5.45200000,5.47700000,5.42200000,5.43500000,558890.64000000
1736625600000,5.43600000,5.44600000,5.39600000,5.40000000,379921.95000000
1736640000000,5.40000000,5.43700000,5.38800000,5.39300000,221742.64000000
1736654400000,5.39400000,5.40200000,5.35000000,5.38000000,202036.64000000
1736668800000,5.38000000,5.40800000,5.32100000,5.37700000,378087.96000000
1736683200000,5.37700000,5.40900000,5.25400000,5.38600000,1677329.69000000
1736697600000,5.38700000,5.40000000,5.35100000,5.36600000,253054.89000000
1736712000000,5.36600000,5.37500000,5.28000000,5.30700000,343775.38000000
1736726400000,5.30900000,5.37000000,5.15100000,5.17000000,1068321.82000000
1736740800000,5.17000000,5.22400000,5.11500000,5.16900000,857282.59000000
1736755200000,5.16900000,5.17700000,5.00000000,5.00300000,1524987.38000000
1736769600000,5.00300000,5.22500000,4.99700000,5.20200000,2539181.67000000
1736784000000,5.20200000,5.24400000,5.12500000,5.20600000,1300474.71000000
1736798400000,5.20600000,5.32800000,5.19800000,5.29800000,717581.54000000
1736812800000,5.29800000,5.31000000,5.24700000,5.25400000,320983.91000000
1736827200000,5.25400000,5.27700000,5.21500000,5.21500000,334429.77000000
1736841600000,5.21600000,5.32700000,5.21500000,5.31800000,656810.55000000
1736856000000,5.31800000,5.40400000,5.27200000,5.34600000,1753148.64000000
1736870400000,5.34600000,5.44000000,5.32700000,5.42700000,671006.40000000
1736884800000,5.42800000,5.43200000,5.34900000,5.36200000,492988.09000000
1736899200000,5.36200000,5.37500000,5.32700000,5.37400000,427121.96000000
1736913600000,5.37400000,5.39000000,5.34500000,5.38800000,291606.71000000
1736928000000,5.38800000,5.44900000,5.30300000,5.33500000,1388816.10000000
1736942400000,5.33500000,5.44900000,5.30500000,5.40800000,1538874.48000000
1736956800000,5.40900000,5.47400000,5.40900000,5.47200000,1224056.61000000
1736971200000,5.47200000,5.52400000,5.43600000,5.51600000,918431.00000000
1736985600000,5.51500000,5.53000000,5.42000000,5.48500000,737061.09000000
1737000000000,5.48600000,5.57600000,5.47800000,5.54600000,774917.33000000
1737014400000,5.54600000,5.54700000,5.45500000,5.53800000,1105043.99000000
1737028800000,5.53800000,5.58000000,5.44600000,5.54000000,1728179.22000000
1737043200000,5.54000000,5.58000000,5.51400000,5.53700000,792419.90000000
1737057600000,5.53600000,5.54400000,5.44800000,5.47500000,928106.93000000
1737072000000,5.47600000,5.55400000,5.47100000,5.52100000,737386.91000000
