timestamp,open,high,low,close,Volume
1739098800000,0.139,0.528,0.139,0.4,277022110.8
1739102400000,0.3992,0.4205,0.332,0.3697,186484516.5
1739106000000,0.3697,0.37,0.309,0.3279,180304839.9
1739109600000,0.3278,0.3505,0.2598,0.2799,264349143.0
1739113200000,0.2802,0.3173,0.2683,0.2797,148049337.6
1739116800000,0.2798,0.3113,0.2745,0.2973,59236929.3
1739120400000,0.2971,0.3188,0.288,0.3127,50607338.8
1739124000000,0.313,0.3377,0.2844,0.2941,80694059.0
1739127600000,0.294,0.3,0.2701,0.281,36452399.2
1739131200000,0.2808,0.2812,0.2366,0.246,112884128.4
1739134800000,0.2461,0.2541,0.2158,0.2266,98306636.8
1739138400000,0.2266,0.2488,0.2189,0.2329,52415522.9
1739142000000,0.2327,0.2473,0.2087,0.2245,63212340.1
1739145600000,0.2242,0.2318,0.1888,0.1946,105804176.8
1739149200000,0.1948,0.197,0.1571,0.1766,176387849.1
1739152800000,0.1766,0.186,0.1594,0.177,127110956.9
1739156400000,0.1771,0.1945,0.1749,0.1919,98160246.5
1739160000000,0.192,0.1925,0.165,0.1729,76819089.9
1739163600000,0.173,0.1894,0.173,0.1852,58307667.7
1739167200000,0.1849,0.2123,0.1754,0.1955,131379858.9
1739170800000,0.1953,0.2188,0.1936,0.1991,131173663.8
1739174400000,0.1992,0.2137,0.1831,0.1859,67652041.2
1739178000000,0.186,0.1931,0.1714,0.176,107699651.3
1739181600000,0.176,0.1816,0.1533,0.1632,124717735.0
1739185200000,0.1632,0.1661,0.1464,0.1617,136162386.8
1739188800000,0.1617,0.1688,0.1561,0.1661,91716207.3
1739192400000,0.1661,0.181,0.162,0.1708,121160721.7
1739196000000,0.1708,0.172,0.155,0.1594,130680420.8
1739199600000,0.1597,0.173,0.1592,0.1688,66054294.4
1739203200000,0.1688,0.185,0.1666,0.1715,102341224.5
1739206800000,0.1715,0.1761,0.166,0.1753,37888812.6
1739210400000,0.1753,0.176,0.1677,0.1696,26812773.1
1739214000000,0.1694,0.1816,0.1694,0.1778,36173120.0
1739217600000,0.1777,0.185,0.1775,0.1826,31384020.7
1739221200000,0.1827,0.1954,0.1741,0.1784,49227560.1
1739224800000,0.1785,0.1818,0.1655,0.167,25795223.0
1739228400000,0.1672,0.1687,0.1602,0.166,32030820.0
1739232000000,0.1661,0.1832,0.1646,0.1812,50335620.6
1739235600000,0.1811,0.196,0.1768,0.1866,69025121.5
1739239200000,0.1864,0.19,0.174,0.178,45390786.5
1739242800000,0.1781,0.196,0.1775,0.1957,49690801.6
1739246400000,0.1956,0.217,0.1858,0.2099,90188595.7
1739250000000,0.21,0.2364,0.206,0.2284,189935021.4
1739253600000,0.2284,0.252,0.2222,0.2263,130372571.3
1739257200000,0.2263,0.2414,0.2167,0.2262,92038888.8
1739260800000,0.2264,0.2385,0.209,0.2132,63770793.9
1739264400000,0.2133,0.2244,0.2031,0.2178,65993312.5
1739268000000,0.2176,0.2245,0.2057,0.2194,51969750.3
1739271600000,0.2194,0.2278,0.2114,0.2222,44880005.9
1739275200000,0.2222,0.2242,0.2091,0.2144,30908896.9
1739278800000,0.2145,0.215,0.1783,0.1847,137221652.7
1739282400000,0.1848,0.1897,0.175,0.1838,90742881.3
1739286000000,0.1839,0.192,0.1817,0.1857,46364250.2
1739289600000,0.1856,0.187,0.163,0.169,63112072.5
1739293200000,0.169,0.178,0.166,0.1758,43196879.9
1739296800000,0.1759,0.1771,0.1575,0.1616,53977483.3
