timestamp,open,high,low,close,Volume
1744714800000,0.2,0.4113,0.2,0.3489,78740806.1
1744718400000,0.3487,0.3487,0.3075,0.3288,26792569.4
1744722000000,0.3286,0.3689,0.3203,0.35,27886004.6
1744725600000,0.35,0.3769,0.331,0.3397,26536267.2
1744729200000,0.3399,0.3634,0.335,0.3469,13124253.7
1744732800000,0.3471,0.3592,0.3172,0.3307,15797319.0
1744736400000,0.3311,0.3369,0.316,0.3315,6727604.8
1744740000000,0.3318,0.3318,0.316,0.3251,6264901.4
1744743600000,0.3251,0.3404,0.324,0.3328,5084101.1
1744747200000,0.3329,0.3349,0.31,0.313,4790724.6
1744750800000,0.3132,0.3135,0.2912,0.308,8252235.8
1744754400000,0.3082,0.3172,0.2861,0.2871,4980371.0
1744758000000,0.2869,0.2962,0.2762,0.2851,7897922.2
1744761600000,0.285,0.294,0.28,0.2927,4135406.3
1744765200000,0.2929,0.325,0.291,0.3107,8955700.9
1744768800000,0.3112,0.3186,0.3007,0.3037,3590144.6
1744772400000,0.3037,0.3195,0.3031,0.3177,5256839.0
1744776000000,0.3167,0.3399,0.3108,0.3302,8153926.5
1744779600000,0.3302,0.5406,0.3169,0.5132,60217779.5
1744783200000,0.5137,0.605,0.51,0.5383,58240350.9
1744786800000,0.5383,0.5729,0.5308,0.5511,31115110.0
1744790400000,0.551,0.6537,0.5448,0.5886,38633474.8
1744794000000,0.5886,0.591,0.4522,0.4584,43241919.1
1744797600000,0.4585,0.4888,0.4227,0.4246,18771242.1
1744801200000,0.4245,0.4525,0.423,0.4402,21781065.7
1744804800000,0.4405,0.4406,0.39,0.4021,20089776.6
1744808400000,0.402,0.408,0.3608,0.3765,16181779.1
1744812000000,0.3761,0.4224,0.3723,0.3969,24212692.5
1744815600000,0.3969,0.4026,0.3815,0.3941,9816693.3
1744819200000,0.3943,0.3943,0.3669,0.3792,9950266.1
1744822800000,0.3791,0.4028,0.378,0.3842,10656105.3
1744826400000,0.3841,0.4148,0.3811,0.4026,10390824.1
1744830000000,0.4026,0.4061,0.3871,0.4024,6256384.7
1744833600000,0.4028,0.4513,0.3979,0.4455,17464898.0
1744837200000,0.4455,0.48,0.4201,0.4255,19231413.9
1744840800000,0.4255,0.445,0.4161,0.4303,6490790.4
1744844400000,0.43,0.4458,0.43,0.4354,6288392.4
1744848000000,0.4352,0.4353,0.4027,0.4196,8707040.5
1744851600000,0.4194,0.4286,0.3883,0.4032,6121214.9
1744855200000,0.4031,0.4184,0.398,0.4119,3795790.0
1744858800000,0.4117,0.465,0.41,0.4313,17061293.9
1744862400000,0.431,0.4338,0.4001,0.4099,11936181.9
1744866000000,0.4099,0.4238,0.4069,0.4122,8552107.5
1744869600000,0.4122,0.4137,0.3926,0.4065,6542942.3
1744873200000,0.4063,0.4098,0.3934,0.3989,5954080.2
1744876800000,0.3987,0.4087,0.3857,0.3863,7074272.8
1744880400000,0.3863,0.3956,0.3756,0.3909,5870247.5
1744884000000,0.3909,0.4,0.3853,0.3879,4611257.6
1744887600000,0.3878,0.3987,0.3869,0.3929,4376610.0
1744891200000,0.393,0.395,0.3824,0.394,4564013.4
1744894800000,0.394,0.4142,0.3891,0.4032,8957724.8
1744898400000,0.4027,0.4048,0.3841,0.3897,5178264.9
1744902000000,0.3897,0.3956,0.38,0.3883,4720768.2
1744905600000,0.3883,0.3938,0.3719,0.3892,7265431.4
1744909200000,0.3892,0.3964,0.3869,0.3928,2561840.9
1744912800000,0.3928,0.3961,0.388,0.3905,1913893.0
