timestamp,open,high,low,close,Volume
1735704000000,5.024,5.035,4.988,5.022,149543.23
1735718400000,5.021,5.034,4.923,5.022,267988.22
1735732800000,5.016,5.134,4.994,5.126,349566.46
1735747200000,5.127,5.228,5.053,5.211,329155.72
1735761600000,5.214,5.309,5.183,5.243,314342.9
1735776000000,5.244,5.484,5.227,5.367,1020182.95
1735790400000,5.368,5.441,5.332,5.394,285226.39
1735804800000,5.394,5.487,5.371,5.443,329739.96
1735819200000,5.445,5.498,5.364,5.389,467617.12
1735833600000,5.389,5.461,5.341,5.38,370797.63
1735848000000,5.381,5.436,5.343,5.413,203262.41
1735862400000,5.415,5.449,5.353,5.42,202473.07
1735876800000,5.418,5.419,5.306,5.331,221284.75
1735891200000,5.333,5.533,5.32,5.523,487932.12
1735905600000,5.524,5.746,5.5,5.722,690830.56
1735920000000,5.722,5.826,5.707,5.783,501379.04
1735934400000,5.786,5.815,5.73,5.785,225633.38
1735948800000,5.785,5.817,5.672,5.735,374128.86
1735963200000,5.734,5.769,5.647,5.743,251580.55
1735977600000,5.741,5.75,5.602,5.688,317663.73
1735992000000,5.689,5.897,5.675,5.697,672828.61
1736006400000,5.695,5.796,5.675,5.765,285262.36
1736020800000,5.765,5.795,5.726,5.759,216962.04
1736035200000,5.76,5.76,5.632,5.703,287208.39
1736049600000,5.705,5.74,5.637,5.643,195049.49
1736064000000,5.643,5.665,5.561,5.614,423588.11
1736078400000,5.616,5.688,5.554,5.678,337737.85
1736092800000,5.678,5.776,5.636,5.751,353092.03
1736107200000,5.752,5.849,5.726,5.784,297462.73
1736121600000,5.784,5.865,5.663,5.81,337848.17
1736136000000,5.812,5.908,5.76,5.79,302688.3
1736150400000,5.791,5.847,5.715,5.846,229988.07
1736164800000,5.846,6.038,5.753,6.017,821530.19
1736179200000,6.016,6.084,5.85,5.917,505715.91
1736193600000,5.916,5.964,5.824,5.894,236913.69
1736208000000,5.895,5.942,5.763,5.794,297395.06
1736222400000,5.794,5.832,5.736,5.788,215349.84
1736236800000,5.789,5.84,5.619,5.672,405939.19
1736251200000,5.672,5.73,5.332,5.42,1100659.78
1736265600000,5.418,5.459,5.2,5.233,820675.11
1736280000000,5.235,5.29,5.164,5.216,458706.23
1736294400000,5.216,5.312,5.07,5.103,618962.09
1736308800000,5.105,5.111,4.885,4.981,709642.32
1736323200000,4.981,5.047,4.904,4.936,507128.13
1736337600000,4.935,4.987,4.875,4.924,473478.96
1736352000000,4.923,4.933,4.582,4.798,1458824.52
1736366400000,4.799,4.912,4.736,4.887,298140.31
1736380800000,4.88,4.951,4.814,4.826,370830.53
1736395200000,4.827,4.866,4.686,4.692,435944.75
1736409600000,4.694,4.798,4.667,4.735,533409.82
1736424000000,4.732,4.834,4.561,4.792,1012925.07
1736438400000,4.791,4.847,4.59,4.596,891243.02
1736452800000,4.598,4.647,4.507,4.589,729610.95
1736467200000,4.588,4.686,4.557,4.672,514785.82
1736481600000,4.671,4.846,4.646,4.803,395005.51
1736496000000,4.801,4.829,4.754,4.785,328306.37
1736510400000,4.786,4.791,4.523,4.614,1786133.25
1736524800000,4.616,4.753,4.534,4.708,609731.24
1736539200000,4.706,4.713,4.637,4.676,173080.79
1736553600000,4.676,4.708,4.597,4.606,229569.73
1736568000000,4.606,4.668,4.569,4.613,160342.97
1736582400000,4.618,4.706,4.583,4.691,169357.16
1736596800000,4.692,4.697,4.613,4.629,198949.23
1736611200000,4.629,4.653,4.585,4.615,231439.4
1736625600000,4.615,4.793,4.602,4.688,375812.97
1736640000000,4.693,4.72,4.651,4.688,152373.86
1736654400000,4.688,4.708,4.614,4.652,127982.83
1736668800000,4.653,4.672,4.561,4.636,247037.52
1736683200000,4.636,4.711,4.609,4.686,233489.77
1736697600000,4.687,4.706,4.621,4.631,192924.29
1736712000000,4.632,4.647,4.489,4.58,283497.48
1736726400000,4.581,4.718,4.392,4.421,586580.72
1736740800000,4.421,4.51,4.283,4.309,706491.98
1736755200000,4.308,4.322,3.973,3.975,2089080.91
1736769600000,3.975,4.227,3.887,4.169,2379492.4
1736784000000,4.168,4.199,4.004,4.091,863272.93
1736798400000,4.091,4.341,4.06,4.295,675368.97
1736812800000,4.295,4.387,4.248,4.313,454524.02
1736827200000,4.314,4.409,4.313,4.316,334214.88
1736841600000,4.317,4.497,4.317,4.389,485752.65
1736856000000,4.389,4.486,4.318,4.401,595151.44
1736870400000,4.4,4.451,4.354,4.393,318799.78
1736884800000,4.395,4.473,4.362,4.431,372242.42
1736899200000,4.433,4.461,4.336,4.41,346786.46
1736913600000,4.41,4.441,4.353,4.382,197389.37
1736928000000,4.385,4.423,4.239,4.272,353456.83
1736942400000,4.27,4.663,4.232,4.596,1264473.46
1736956800000,4.596,4.724,4.543,4.702,453611.69
1736971200000,4.703,4.766,4.672,4.763,459109.84
1736985600000,4.762,4.796,4.591,4.607,388657.26
1737000000000,4.605,4.644,4.588,4.629,173062.48
1737014400000,4.629,4.632,4.488,4.609,436528.02
1737028800000,4.608,4.691,4.451,4.575,910737.28
1737043200000,4.574,4.692,4.543,4.651,1487186.82
1737057600000,4.651,4.738,4.575,4.619,1078519.2
1737072000000,4.62,4.793,4.611,4.731,506260.67
1737086400000,4.73,4.858,4.707,4.795,405213.45
1737100800000,4.795,4.929,4.786,4.866,591458.02
1737115200000,4.869,4.997,4.819,4.938,789920.74
1737129600000,4.94,5.012,4.875,4.918,601121.02
1737144000000,4.919,5.118,4.913,5.049,538516.48
1737158400000,5.05,5.182,4.862,4.885,771197.68
1737172800000,4.881,4.909,4.665,4.678,868294.99
1737187200000,4.677,4.747,4.6,4.739,628616.33
1737201600000,4.733,4.761,4.608,4.622,621870.98
1737216000000,4.623,4.653,4.504,4.58,666382.54
1737230400000,4.581,4.609,4.492,4.598,367859.82
1737244800000,4.598,4.79,4.566,4.662,433494.04
1737259200000,4.661,4.664,4.401,4.451,770973.99
1737273600000,4.451,4.451,4.101,4.14,1760270.73
1737288000000,4.14,4.632,4.131,4.537,1766442.96
1737302400000,4.535,4.659,4.509,4.627,575094.03
1737316800000,4.628,4.665,4.076,4.171,2892115.49
1737331200000,4.171,4.193,3.983,4.18,2117563.16
1737345600000,4.18,4.624,4.109,4.501,1870417.49
1737360000000,4.503,4.566,4.412,4.525,757151.29
1737374400000,4.526,4.527,4.268,4.279,1255538.87
1737388800000,4.282,4.374,4.044,4.26,2449031.89
1737403200000,4.258,4.28,4.087,4.107,511894.83
1737417600000,4.107,4.116,3.924,4.011,1169878.29
1737432000000,4.01,4.052,3.923,4.025,581583.63
1737446400000,4.021,4.176,3.984,4.165,580481.81
1737460800000,4.167,4.214,4.06,4.105,1040577.99
1737475200000,4.105,4.345,4.092,4.285,725384.66
1737489600000,4.286,4.325,4.209,4.257,470704.05
1737504000000,4.249,4.292,4.174,4.242,278641.71
1737518400000,4.242,4.273,4.141,4.147,247747.82
1737532800000,4.149,4.215,4.092,4.197,350951.34
1737547200000,4.197,4.213,4.046,4.075,620709.6
1737561600000,4.075,4.124,4.013,4.046,562500.56
1737576000000,4.047,4.103,3.972,4.005,523962.71
1737590400000,4.005,4.02,3.911,3.945,364015.68
1737604800000,3.945,4.0,3.906,3.997,293430.83
1737619200000,3.997,4.001,3.883,3.911,348602.52
1737633600000,3.911,4.104,3.846,4.056,1065511.75
1737648000000,4.059,4.155,3.864,3.885,760261.66
1737662400000,3.883,4.079,3.86,4.036,1091120.29
1737676800000,4.037,4.059,3.86,3.925,413176.82
1737691200000,3.924,4.122,3.9,4.063,660927.46
1737705600000,4.066,4.135,4.049,4.106,429217.55
1737720000000,4.105,4.166,4.009,4.051,881190.92
1737734400000,4.051,4.058,3.951,3.96,478772.8
1737748800000,3.961,3.974,3.783,3.805,758368.88
1737763200000,3.805,3.874,3.725,3.869,569908.18
1737777600000,3.868,3.868,3.791,3.798,209437.2
1737792000000,3.798,3.829,3.747,3.812,310454.84
1737806400000,3.81,3.965,3.794,3.936,478809.87
1737820800000,3.937,3.966,3.899,3.927,288585.56
1737835200000,3.926,3.974,3.89,3.898,202924.45
1737849600000,3.901,3.989,3.886,3.92,302295.64
1737864000000,3.918,3.966,3.899,3.914,267948.52
