Symbol,Entry_cp,Exit_cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown
1000CAT,-4.5,-2.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,-1.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,0.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,1.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,2.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,3.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,4.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-4.5,5.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,-2.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,-1.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,0.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,1.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,2.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,3.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,4.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-3.5,5.0,10000.0,9096.214841171453,-9.037851588285466,2,50.0,-1.7886081577583437,-11.396129510070676
1000CAT,-2.5,-2.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
1000CAT,-2.5,-1.0,10000.0,6287.1043556796085,-37.12895644320391,5,60.0,-1.7703016790059367,-50.13661202185793
