Symbol,cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown,BTC_cp,ETH_cp,SOL_cp
1000CAT,-10.0,10000.0,10000.0,0.0,0,0.0,,0.0,-10.0,-10.0,-10.0
1000CAT,-9.5,10000.0,10000.0,0.0,0,0.0,,0.0,-9.5,-9.5,-9.5
1000CAT,-9.0,10000.0,10000.0,0.0,0,0.0,,0.0,-9.0,-9.0,-9.0
1000CAT,-8.5,10000.0,10000.0,0.0,0,0.0,,0.0,-8.5,-8.5,-8.5
1000CAT,-8.0,10000.0,10000.0,0.0,0,0.0,,0.0,-8.0,-8.0,-8.0
1000CAT,-7.5,10000.0,10000.0,0.0,0,0.0,,0.0,-7.5,-7.5,-7.5
1000CAT,-7.0,10000.0,10000.0,0.0,0,0.0,,0.0,-7.0,-7.0,-7.0
1000CAT,-6.5,10000.0,10000.0,0.0,0,0.0,,0.0,-6.5,-6.5,-6.5
1000CAT,-6.0,10000.0,10000.0,0.0,0,0.0,,0.0,-6.0,-6.0,-6.0
1000CAT,-5.5,10000.0,10000.0,0.0,0,0.0,,0.0,-5.5,-5.5,-5.5
1000CAT,-5.0,10000.0,10000.0,0.0,0,0.0,,0.0,-5.0,-5.0,-5.0
1000CAT,-4.5,10000.0,10000.0,0.0,0,0.0,,0.0,-4.5,-4.5,-4.5
1000CAT,-4.0,10000.0,9593.147751605997,-4.068522483940033,1,0.0,-1.652732522074548,-4.06852248394005,-4.0,-4.0,-4.0
1000CAT,-3.5,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582,-3.5,-3.5,-3.5
1000CAT,-3.0,10000.0,14257.905486353651,42.57905486353651,6,66.66666666666666,3.131801556754641,-9.905660377358503,-3.0,-3.0,-3.0
1000CAT,-2.5,10000.0,11286.581204276197,12.865812042761974,9,55.55555555555556,0.8360016711442274,-41.89435336976321,-2.5,-2.5,-2.5
1000CAT,-2.0,10000.0,12547.33026625159,25.473302662515906,15,53.333333333333336,1.2334767060775818,-41.8943533697632,-2.0,-2.0,-2.0
1000CAT,-1.5,10000.0,12276.004079236884,22.760040792368834,26,50.0,1.0688343879478814,-41.8943533697632,-1.5,-1.5,-1.5
1000CAT,-1.0,10000.0,17518.88083440043,75.18880834400429,44,59.09090909090909,1.8415456309576947,-47.870117353217346,-1.0,-1.0,-1.0
1000CAT,-0.5,10000.0,13730.815926178537,37.30815926178537,50,52.0,1.3129091875062902,-54.43245661946292,-0.5,-0.5,-0.5
1000CAT,0.0,10000.0,12179.401548269454,21.79401548269454,37,56.75675675675676,1.1055395948723774,-67.57851184632494,0.0,0.0,0.0
1000CAT,0.5,10000.0,6588.1772629466095,-34.1182273705339,21,33.33333333333333,0.031010297175867247,-77.89765195117783,0.5,0.5,0.5
1000CAT,1.0,10000.0,5265.248465826278,-47.347515341737214,13,46.15384615384615,-0.3440617084838464,-82.43480616550909,1.0,1.0,1.0
1000CAT,1.5,10000.0,4063.2878500444363,-59.36712149955563,7,42.857142857142854,-0.779164733813254,-86.44462096051114,1.5,1.5,1.5
1000CAT,2.0,10000.0,3494.711866348726,-65.05288133651274,3,33.33333333333333,-1.0284474582349363,-88.13416198652997,2.0,2.0,2.0
1000CAT,2.5,10000.0,3494.711866348726,-65.05288133651274,3,33.33333333333333,-1.0284474582349363,-88.13416198652997,2.5,2.5,2.5
1000CAT,3.0,10000.0,3363.259401651205,-66.36740598348794,2,50.0,-1.092615155371206,-88.58049167327519,3.0,3.0,3.0
1000CAT,3.5,10000.0,3363.259401651205,-66.36740598348794,2,50.0,-1.092615155371206,-88.58049167327519,3.5,3.5,3.5
1000CAT,4.0,10000.0,3363.259401651205,-66.36740598348794,2,50.0,-1.092615155371206,-88.58049167327519,4.0,4.0,4.0
1000CAT,4.5,10000.0,3363.259401651205,-66.36740598348794,2,50.0,-1.092615155371206,-88.58049167327519,4.5,4.5,4.5
1000CAT,5.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,5.0,5.0,5.0
1000CAT,5.5,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,5.5,5.5,5.5
1000CAT,6.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,6.0,6.0,6.0
1000CAT,6.5,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,6.5,6.5,6.5
1000CAT,7.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,7.0,7.0,7.0
1000CAT,7.5,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,7.5,7.5,7.5
1000CAT,8.0,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,8.0,8.0,8.0
1000CAT,8.5,10000.0,3247.7118393858877,-67.52288160614113,1,0.0,-1.1512091373855586,-88.58049167327519,8.5,8.5,8.5
