Open time,Open,High,Low,Close,Volume
1735776000000,2.35600000,2.48600000,2.35400000,2.41200000,6139110.40000000
1735862400000,2.41200000,2.53300000,2.37900000,2.50500000,6355998.00000000
1735948800000,2.50500000,2.54000000,2.44400000,2.46500000,3662980.80000000
1736035200000,2.46700000,2.50400000,2.40400000,2.45400000,2774971.30000000
1736121600000,2.45600000,2.62800000,2.40500000,2.56400000,5144756.20000000
1736208000000,2.56400000,2.57800000,2.27800000,2.28500000,8010783.40000000
1736294400000,2.28600000,2.32300000,2.05200000,2.15000000,6927726.90000000
1736380800000,2.14900000,2.20400000,2.06700000,2.11700000,6217986.60000000
1736467200000,2.11600000,2.20900000,2.08100000,2.17200000,4572130.50000000
1736553600000,2.17300000,2.20200000,2.10300000,2.15600000,3146531.50000000
1736640000000,2.15800000,2.24700000,2.08700000,2.11000000,9505919.70000000
1736726400000,2.11000000,2.17600000,1.89100000,2.06100000,7262632.50000000
1736812800000,2.06100000,2.19600000,2.03800000,2.16800000,4559648.20000000
1736899200000,2.17000000,2.40400000,2.13800000,2.39000000,6371646.70000000
1736985600000,2.39000000,2.48700000,2.32400000,2.40500000,6520347.90000000
1737072000000,2.40600000,2.52400000,2.40600000,2.51300000,5968286.80000000
1737158400000,2.51400000,2.53400000,2.22900000,2.29100000,6052893.60000000
1737244800000,2.29100000,2.36600000,1.95100000,2.00300000,17471522.90000000
1737331200000,2.00300000,2.20800000,1.92500000,2.01100000,10950984.70000000
1737417600000,2.01000000,2.18100000,1.93300000,2.11600000,5787702.80000000
1737504000000,2.11500000,2.16500000,2.02900000,2.04800000,3554722.20000000
1737590400000,2.04700000,2.09100000,1.97100000,2.03500000,4323348.60000000
1737676800000,2.03600000,2.08600000,1.96600000,1.97800000,3068901.80000000
1737763200000,1.97700000,2.02100000,1.95700000,2.00200000,1959852.20000000
1737849600000,2.00200000,2.04500000,1.93700000,1.94100000,2224072.80000000
1737936000000,1.94000000,1.94900000,1.74500000,1.90300000,7158000.70000000
1738022400000,1.90400000,1.95000000,1.77600000,1.79900000,3689213.40000000
1738108800000,1.80000000,1.96500000,1.79300000,1.89300000,4215638.40000000
1738195200000,1.89300000,2.03500000,1.88300000,1.95200000,2882090.20000000
1738281600000,1.95200000,2.20200000,1.89900000,1.93100000,8360144.50000000
1738368000000,1.93200000,2.06800000,1.75200000,1.77000000,6940148.30000000
1738454400000,1.76900000,1.79900000,1.45600000,1.54400000,11965757.80000000
1738540800000,1.54500000,1.57800000,1.14600000,1.56800000,20715556.60000000
1738627200000,1.56700000,1.58900000,1.37500000,1.43800000,8810586.90000000
1738713600000,1.43800000,1.47400000,1.35200000,1.36600000,5241857.60000000
1738800000000,1.36600000,1.41800000,1.28800000,1.30500000,4284451.00000000
1738886400000,1.30500000,1.41100000,1.27000000,1.32000000,5113650.00000000
1738972800000,1.31800000,1.34500000,1.27600000,1.33300000,3882231.70000000
1739059200000,1.33300000,1.36800000,1.21500000,1.27900000,4386613.10000000
1739145600000,1.27900000,1.40400000,1.23700000,1.37600000,9352736.40000000
1739232000000,1.37500000,1.46500000,1.34600000,1.36200000,4558241.00000000
1739318400000,1.36200000,1.45800000,1.28300000,1.43700000,6142985.30000000
1739404800000,1.43800000,1.45000000,1.35300000,1.37600000,3821045.40000000
1739491200000,1.37600000,1.46500000,1.37000000,1.41900000,3518248.80000000
1739577600000,1.41800000,1.43600000,1.34300000,1.36100000,2531521.40000000
1739664000000,1.36000000,1.38700000,1.32000000,1.34000000,2153278.40000000
1739750400000,1.33800000,1.38700000,1.29300000,1.32700000,4175020.40000000
1739836800000,1.32800000,1.33500000,1.21400000,1.25800000,4021462.60000000
1739923200000,1.25800000,1.28800000,1.22600000,1.27300000,3853319.30000000
1740009600000,1.27100000,1.34500000,1.26400000,1.34300000,2712730.10000000
1740096000000,1.34400000,1.42700000,1.29100000,1.31800000,6700422.90000000
1740182400000,1.31800000,1.36300000,1.31100000,1.35300000,1764597.60000000
1740268800000,1.35300000,1.35700000,1.28500000,1.31600000,2395771.70000000
1740355200000,1.31800000,1.34600000,1.12400000,1.14000000,8761425.70000000
1740441600000,1.13900000,1.18500000,1.06500000,1.16900000,10353848.60000000
1740528000000,1.16700000,1.20200000,1.13000000,1.18100000,5816545.50000000
1740614400000,1.18200000,1.23000000,1.14500000,1.17500000,3981174.80000000
1740700800000,1.17400000,1.18000000,1.05800000,1.16700000,7458903.50000000
1740787200000,1.16700000,1.18100000,1.11200000,1.17300000,3233815.50000000
1740873600000,1.17300000,1.30100000,1.13900000,1.29400000,7624116.60000000
1740960000000,1.29600000,1.31000000,1.07000000,1.08700000,8332044.80000000
1741046400000,1.08800000,1.09600000,0.95000000,1.03400000,12374770.20000000
1741132800000,1.03400000,1.10100000,1.02300000,1.08500000,4098356.60000000
1741219200000,1.08500000,1.11500000,1.04500000,1.06000000,4311899.10000000
1741305600000,1.06000000,1.09200000,1.00000000,1.04500000,5461376.40000000
1741392000000,1.04500000,1.05200000,0.99700000,1.00800000,2662479.20000000
1741478400000,1.00800000,1.01500000,0.88300000,0.89700000,6056940.00000000
1741564800000,0.89800000,0.94100000,0.80000000,0.81300000,8797936.90000000
1741651200000,0.81400000,0.88000000,0.75000000,0.85900000,10103040.70000000
1741737600000,0.85900000,0.91800000,0.83300000,0.90000000,6133034.40000000
1741824000000,0.90100000,0.90400000,0.83800000,0.86700000,4504050.00000000
1741910400000,0.86700000,0.91100000,0.86300000,0.89100000,3653018.90000000
1741996800000,0.89100000,0.92800000,0.88200000,0.91000000,2807082.20000000
1742083200000,0.91000000,0.91600000,0.85000000,0.86100000,3482080.50000000
1742169600000,0.86100000,0.93800000,0.85900000,0.91200000,5338460.50000000
1742256000000,0.91200000,0.91900000,0.87900000,0.91700000,3470935.90000000
1742342400000,0.91800000,0.96800000,0.89900000,0.96400000,7209416.90000000
1742428800000,0.96400000,0.96700000,0.92000000,0.94900000,4188860.10000000
1742515200000,0.94900000,0.96200000,0.90100000,0.91800000,3025426.60000000
