Open time,Open,High,Low,Close,Volume
1735693200000,3.41800000,3.42000000,3.35000000,3.35000000,79694.80000000
1735696800000,3.34900000,3.34900000,3.27300000,3.27300000,179476.50000000
1735700400000,3.27300000,3.27600000,3.25200000,3.25500000,96331.70000000
1735704000000,3.25500000,3.25700000,3.22700000,3.24200000,63973.80000000
1735707600000,3.24000000,3.26200000,3.22300000,3.22700000,46272.30000000
1735711200000,3.22700000,3.23200000,3.19000000,3.19600000,75612.80000000
1735714800000,3.19700000,3.21900000,3.18300000,3.20200000,160891.10000000
1735718400000,3.20100000,3.23300000,3.17700000,3.18000000,83335.60000000
1735722000000,3.18000000,3.18700000,3.11200000,3.13100000,170482.30000000
1735725600000,3.13400000,3.15700000,3.13000000,3.13600000,129994.40000000
1735729200000,3.13600000,3.15500000,3.11800000,3.13900000,77347.20000000
1735732800000,3.13900000,3.17000000,3.13000000,3.16200000,33524.90000000
1735736400000,3.16100000,3.16900000,3.11800000,3.14400000,37925.50000000
1735740000000,3.14800000,3.18900000,3.12700000,3.18800000,73684.60000000
1735743600000,3.18800000,3.21000000,3.17000000,3.20200000,51694.00000000
1735747200000,3.20100000,3.21600000,3.16800000,3.17900000,42290.80000000
1735750800000,3.17900000,3.18700000,3.14800000,3.17800000,268468.50000000
1735754400000,3.17900000,3.25900000,3.17600000,3.23000000,94920.20000000
1735758000000,3.23100000,3.26700000,3.21600000,3.23800000,79067.80000000
1735761600000,3.23800000,3.26300000,3.23800000,3.25000000,68234.20000000
1735765200000,3.25000000,3.26100000,3.24400000,3.25700000,48588.70000000
1735768800000,3.25800000,3.26500000,3.24400000,3.24500000,68346.40000000
1735772400000,3.24500000,3.25600000,3.14400000,3.17700000,373281.90000000
1735776000000,3.17800000,3.25200000,3.16700000,3.23100000,222099.20000000
1735779600000,3.23300000,3.24600000,3.20400000,3.21600000,60181.30000000
1735783200000,3.21800000,3.23500000,3.21200000,3.23300000,51599.30000000
1735786800000,3.23400000,3.24100000,3.21500000,3.22100000,37968.30000000
1735790400000,3.22200000,3.26800000,3.21700000,3.25500000,327130.30000000
1735794000000,3.25500000,3.26200000,3.24100000,3.24800000,138620.80000000
1735797600000,3.24800000,3.26000000,3.21700000,3.24700000,108883.30000000
1735801200000,3.24600000,3.26000000,3.24400000,3.25200000,88401.50000000
1735804800000,3.25300000,3.25900000,3.23300000,3.25500000,83177.40000000
1735808400000,3.25300000,3.30100000,3.24200000,3.25400000,372709.90000000
1735812000000,3.25400000,3.26200000,3.23800000,3.25300000,115447.10000000
1735815600000,3.25400000,3.25900000,3.23100000,3.23800000,217981.50000000
1735819200000,3.23800000,3.25500000,3.21900000,3.24600000,177314.30000000
1735822800000,3.24600000,3.24700000,3.20700000,3.21100000,80996.20000000
1735826400000,3.21200000,3.25000000,3.18800000,3.22100000,134637.40000000
1735830000000,3.22400000,3.24100000,3.18900000,3.21700000,167864.30000000
1735833600000,3.21800000,3.25300000,3.20700000,3.24900000,132689.60000000
1735837200000,3.24900000,3.25500000,3.18700000,3.19100000,140558.10000000
1735840800000,3.18900000,3.19800000,3.16900000,3.19700000,73683.70000000
1735844400000,3.19700000,3.20600000,3.16900000,3.17100000,78556.40000000
1735848000000,3.17100000,3.18800000,3.15700000,3.16400000,64508.80000000
1735851600000,3.16300000,3.17000000,3.15100000,3.16800000,53355.50000000
1735855200000,3.16800000,3.16800000,3.12200000,3.13200000,122908.20000000
1735858800000,3.13200000,3.14900000,3.12200000,3.14700000,58091.70000000
1735862400000,3.14700000,3.15200000,3.06100000,3.07400000,248744.40000000
1735866000000,3.07500000,3.10400000,3.06900000,3.09900000,115308.50000000
1735869600000,3.09900000,3.12800000,3.08800000,3.08800000,61577.60000000
1735873200000,3.08800000,3.09300000,3.04700000,3.06600000,157253.90000000
1735876800000,3.06500000,3.07100000,3.01400000,3.01900000,153117.20000000
1735880400000,3.01900000,3.04200000,3.01500000,3.03000000,78507.80000000
1735884000000,3.03200000,3.04300000,2.99300000,2.99800000,156487.50000000
1735887600000,2.99800000,3.00600000,2.98500000,3.00100000,142905.70000000
1735891200000,3.00100000,3.03700000,2.99900000,3.02800000,91270.00000000
1735894800000,3.02600000,3.08300000,3.02600000,3.06100000,142012.20000000
1735898400000,3.06200000,3.06200000,3.03000000,3.03300000,153806.80000000
1735902000000,3.03200000,3.10000000,3.03200000,3.09700000,151083.60000000
1735905600000,3.09500000,3.11100000,3.07000000,3.07500000,125738.50000000
1735909200000,3.07600000,3.10500000,3.06200000,3.08900000,129101.80000000
1735912800000,3.08800000,3.16300000,3.08800000,3.16000000,175504.20000000
1735916400000,3.16100000,3.21100000,3.14500000,3.19700000,315790.00000000
1735920000000,3.20100000,3.26900000,3.19100000,3.24800000,253295.20000000
1735923600000,3.24900000,3.25700000,3.23200000,3.25400000,148935.10000000
1735927200000,3.25400000,3.26300000,3.21700000,3.21700000,126601.30000000
1735930800000,3.21700000,3.23500000,3.20500000,3.22200000,150212.50000000
1735934400000,3.22300000,3.22600000,3.18400000,3.18900000,171812.00000000
1735938000000,3.18900000,3.21000000,3.18600000,3.19700000,58909.70000000
1735941600000,3.19700000,3.21600000,3.17800000,3.18100000,43508.90000000
1735945200000,3.18100000,3.19300000,3.17400000,3.19200000,45933.30000000
1735948800000,3.19300000,3.22700000,3.18500000,3.20100000,123947.80000000
1735952400000,3.20000000,3.20200000,3.16600000,3.18300000,85520.40000000
1735956000000,3.18300000,3.19600000,3.15800000,3.18800000,84342.40000000
1735959600000,3.19000000,3.20000000,3.17600000,3.18600000,66325.50000000
1735963200000,3.18600000,3.18700000,3.13800000,3.15700000,143340.70000000
1735966800000,3.15700000,3.17400000,3.14000000,3.14800000,60172.50000000
1735970400000,3.14800000,3.18000000,3.14000000,3.17000000,67721.70000000
1735974000000,3.17000000,3.18300000,3.15300000,3.17800000,74669.20000000
1735977600000,3.17900000,3.18000000,3.12600000,3.13200000,104126.60000000
1735981200000,3.13100000,3.16100000,3.13100000,3.15200000,46009.80000000
1735984800000,3.15000000,3.15600000,3.13000000,3.14400000,68691.30000000
1735988400000,3.14300000,3.15500000,3.13700000,3.14900000,47520.30000000
1735992000000,3.14800000,3.18100000,3.14400000,3.17500000,83649.30000000
1735995600000,3.17500000,3.18700000,3.15900000,3.17800000,67449.20000000
1735999200000,3.17800000,3.18400000,3.17000000,3.17400000,53501.20000000
1736002800000,3.17400000,3.19100000,3.07000000,3.10000000,285962.20000000
1736006400000,3.09900000,3.11100000,3.07400000,3.08000000,99279.50000000
1736010000000,3.08100000,3.09400000,3.07500000,3.08800000,71429.30000000
1736013600000,3.08700000,3.11100000,3.07800000,3.09500000,66388.10000000
1736017200000,3.09500000,3.11100000,3.08900000,3.10900000,23854.50000000
1736020800000,3.11100000,3.12800000,3.10700000,3.11500000,34348.70000000
1736024400000,3.11700000,3.12400000,3.07700000,3.07800000,79712.00000000
1736028000000,3.08000000,3.09700000,3.07300000,3.09000000,69742.20000000
1736031600000,3.08900000,3.10000000,3.07800000,3.09600000,76775.30000000
1736035200000,3.09700000,3.09800000,3.07700000,3.08600000,64776.30000000
1736038800000,3.08600000,3.09400000,3.05800000,3.07100000,75715.00000000
1736042400000,3.07200000,3.11900000,3.06900000,3.11600000,77555.40000000
1736046000000,3.11500000,3.16300000,3.10200000,3.14400000,118759.30000000
1736049600000,3.14400000,3.15600000,3.13600000,3.14200000,36499.30000000
1736053200000,3.14100000,3.14400000,3.12100000,3.14200000,46657.80000000
1736056800000,3.14200000,3.15000000,3.12300000,3.14800000,23216.70000000
1736060400000,3.14700000,3.15000000,3.11200000,3.11500000,44039.80000000
1736064000000,3.11700000,3.12000000,3.08500000,3.10900000,66998.00000000
1736067600000,3.10800000,3.11200000,3.07900000,3.08600000,42958.60000000
1736071200000,3.09000000,3.11100000,3.08200000,3.10300000,48324.30000000
1736074800000,3.10300000,3.12800000,3.10100000,3.11400000,27159.50000000
1736078400000,3.11300000,3.13100000,3.10300000,3.10600000,25701.00000000
1736082000000,3.10400000,3.11700000,3.08700000,3.09100000,33292.30000000
1736085600000,3.09200000,3.09300000,3.05600000,3.08900000,69485.20000000
1736089200000,3.08700000,3.09900000,3.07000000,3.08500000,47348.60000000
1736092800000,3.08600000,3.10300000,3.06500000,3.07000000,37119.10000000
1736096400000,3.07100000,3.08000000,3.05100000,3.06100000,19383.00000000
1736100000000,3.06100000,3.06800000,3.04700000,3.06600000,27283.20000000
1736103600000,3.06800000,3.08700000,3.06800000,3.08200000,27585.00000000
1736107200000,3.08400000,3.09700000,3.07400000,3.09000000,30829.50000000
1736110800000,3.09000000,3.11700000,3.08900000,3.11700000,23110.30000000
1736114400000,3.11800000,3.13000000,3.10600000,3.12600000,30836.30000000
1736118000000,3.12600000,3.13100000,3.10100000,3.10800000,35670.20000000
1736121600000,3.10900000,3.11800000,3.08800000,3.09700000,51703.90000000
1736125200000,3.09700000,3.13500000,3.08500000,3.12300000,91698.20000000
1736128800000,3.12200000,3.15000000,3.11800000,3.14000000,105995.80000000
1736132400000,3.13800000,3.14700000,3.12700000,3.13400000,39575.70000000
1736136000000,3.14000000,3.14600000,3.11000000,3.12400000,73369.10000000
1736139600000,3.12500000,3.15400000,3.12000000,3.13400000,39124.50000000
1736143200000,3.13600000,3.13800000,3.11100000,3.11800000,31167.30000000
1736146800000,3.11900000,3.13100000,3.09100000,3.11000000,138986.60000000
1736150400000,3.11000000,3.12800000,3.08800000,3.08900000,48694.00000000
1736154000000,3.08900000,3.10100000,3.07700000,3.09300000,19619.90000000
1736157600000,3.09400000,3.11400000,3.08000000,3.10500000,22432.50000000
1736161200000,3.10700000,3.13900000,3.10400000,3.13700000,29353.30000000
1736164800000,3.13700000,3.14600000,3.12300000,3.12500000,41325.00000000
1736168400000,3.12500000,3.14300000,3.09700000,3.13600000,75828.00000000
1736172000000,3.13500000,3.17500000,3.10500000,3.15000000,151168.20000000
1736175600000,3.15000000,3.18500000,3.13700000,3.18100000,134745.10000000
1736179200000,3.18300000,3.23100000,3.17400000,3.21200000,238381.40000000
1736182800000,3.20800000,3.20800000,3.16300000,3.18300000,80706.30000000
1736186400000,3.18500000,3.21900000,3.16800000,3.21100000,41070.60000000
1736190000000,3.21100000,3.22500000,3.19400000,3.22400000,38144.30000000
1736193600000,3.22500000,3.23900000,3.19700000,3.21000000,58891.30000000
1736197200000,3.21000000,3.21700000,3.17900000,3.21300000,58361.40000000
1736200800000,3.21300000,3.23800000,3.20400000,3.22600000,68389.10000000
1736204400000,3.23000000,3.24500000,3.21300000,3.23800000,70120.90000000
1736208000000,3.24000000,3.25800000,3.22100000,3.22100000,76989.30000000
1736211600000,3.22100000,3.24700000,3.20800000,3.22500000,41696.30000000
1736215200000,3.22500000,3.23200000,3.18300000,3.18600000,55695.40000000
1736218800000,3.18800000,3.23500000,3.18800000,3.21700000,47169.20000000
1736222400000,3.21900000,3.23200000,3.21000000,3.21200000,53099.60000000
1736226000000,3.21400000,3.21500000,3.18500000,3.20200000,46650.20000000
1736229600000,3.20400000,3.23100000,3.19900000,3.20800000,132222.60000000
1736233200000,3.20900000,3.22400000,3.20000000,3.22200000,42469.40000000
1736236800000,3.22300000,3.24300000,3.21200000,3.24000000,47139.00000000
1736240400000,3.24300000,3.24400000,3.21500000,3.22900000,50250.10000000
1736244000000,3.22800000,3.23900000,3.21600000,3.22700000,83383.00000000
1736247600000,3.22600000,3.25200000,3.19200000,3.23800000,120776.10000000
1736251200000,3.23900000,3.27900000,3.22100000,3.27000000,280730.40000000
1736254800000,3.26900000,3.27000000,3.23400000,3.24200000,105028.20000000
1736258400000,3.24400000,3.25200000,3.20200000,3.21900000,145781.50000000
1736262000000,3.21800000,3.24400000,3.13300000,3.18500000,679071.40000000
1736265600000,3.18300000,3.20800000,3.12500000,3.13100000,255353.10000000
1736269200000,3.13000000,3.13600000,3.06100000,3.07200000,242222.10000000
1736272800000,3.06900000,3.09400000,3.04800000,3.06500000,86792.00000000
1736276400000,3.06500000,3.06700000,3.02600000,3.03500000,96821.70000000
1736280000000,3.03500000,3.06200000,3.02300000,3.03700000,84524.40000000
1736283600000,3.03700000,3.06700000,3.01200000,3.01200000,57270.00000000
1736287200000,3.01100000,3.03200000,2.99900000,3.02900000,111924.50000000
1736290800000,3.02800000,3.03900000,2.99900000,3.00300000,138118.80000000
1736294400000,3.00400000,3.03500000,2.97700000,3.02800000,173238.00000000
1736298000000,3.02900000,3.03000000,2.96900000,2.98400000,143355.90000000
1736301600000,2.98400000,3.00300000,2.97000000,2.97000000,63240.60000000
1736305200000,2.97100000,2.97100000,2.89800000,2.92300000,404178.40000000
1736308800000,2.92400000,2.94600000,2.88800000,2.90100000,201075.90000000
1736312400000,2.90300000,2.92400000,2.88500000,2.89100000,63144.50000000
1736316000000,2.89100000,2.90400000,2.82400000,2.82500000,162561.80000000
1736319600000,2.82400000,2.89600000,2.82100000,2.88200000,173384.40000000
1736323200000,2.88200000,2.94000000,2.88000000,2.93300000,132002.00000000
1736326800000,2.93300000,2.96200000,2.92700000,2.93600000,88455.20000000
1736330400000,2.93600000,2.95700000,2.91400000,2.95100000,67112.30000000
1736334000000,2.95100000,2.96300000,2.91300000,2.93400000,96434.60000000
1736337600000,2.93500000,2.95300000,2.92500000,2.94500000,88011.60000000
1736341200000,2.94600000,2.99400000,2.94500000,2.97100000,103340.70000000
1736344800000,2.97000000,3.03200000,2.96600000,3.00400000,149307.20000000
1736348400000,3.00300000,3.06200000,3.00000000,3.03900000,230331.90000000
1736352000000,3.04000000,3.05100000,2.93100000,2.94100000,191242.40000000
1736355600000,2.94200000,2.96000000,2.78400000,2.86600000,606701.80000000
1736359200000,2.86700000,2.91500000,2.85200000,2.87200000,162280.30000000
1736362800000,2.87200000,2.92100000,2.86700000,2.87100000,191216.20000000
1736366400000,2.87300000,2.92200000,2.86700000,2.91500000,67761.10000000
1736370000000,2.91700000,2.95800000,2.89900000,2.94900000,92237.50000000
1736373600000,2.95300000,3.08000000,2.95100000,3.06500000,261753.20000000
1736377200000,3.06400000,3.11000000,3.03700000,3.08800000,280244.90000000
1736380800000,3.08700000,3.10200000,3.00700000,3.03800000,160992.60000000
1736384400000,3.04100000,3.07200000,3.03800000,3.03900000,101863.50000000
1736388000000,3.03900000,3.04800000,2.99500000,3.01200000,174439.30000000
1736391600000,3.01800000,3.02800000,2.93500000,2.94600000,143932.10000000
1736395200000,2.94500000,2.96500000,2.92800000,2.94900000,86671.80000000
1736398800000,2.94700000,2.94700000,2.91500000,2.91700000,24102.90000000
1736402400000,2.91900000,2.93000000,2.89400000,2.89400000,67374.30000000
1736406000000,2.89400000,2.91000000,2.84200000,2.85000000,316760.40000000
1736409600000,2.85100000,2.91200000,2.83900000,2.89700000,106801.70000000
1736413200000,2.89700000,2.92600000,2.88800000,2.92300000,43505.90000000
1736416800000,2.92300000,2.93700000,2.86900000,2.90900000,67149.10000000
1736420400000,2.90700000,2.95400000,2.89100000,2.92800000,113419.00000000
1736424000000,2.92700000,2.93900000,2.90300000,2.91300000,44341.80000000
1736427600000,2.91300000,2.92000000,2.84700000,2.85100000,141892.50000000
1736431200000,2.85100000,2.89600000,2.82300000,2.88100000,155496.20000000
1736434800000,2.88200000,2.93600000,2.85500000,2.91600000,195014.80000000
1736438400000,2.91500000,2.96300000,2.90400000,2.94200000,150178.90000000
1736442000000,2.94300000,2.95100000,2.85600000,2.87200000,69648.50000000
1736445600000,2.87200000,2.89200000,2.85900000,2.86700000,44866.80000000
1736449200000,2.86600000,2.87600000,2.81700000,2.82800000,74479.20000000
1736452800000,2.82900000,2.84800000,2.77800000,2.79800000,171333.80000000
1736456400000,2.79600000,2.81200000,2.75200000,2.75500000,128368.20000000
1736460000000,2.75300000,2.79500000,2.73700000,2.78200000,62606.00000000
1736463600000,2.78200000,2.80500000,2.77500000,2.78500000,82751.30000000
1736467200000,2.78800000,2.83200000,2.78700000,2.79800000,90063.50000000
1736470800000,2.80000000,2.81200000,2.76400000,2.77700000,73993.60000000
1736474400000,2.77600000,2.82700000,2.77600000,2.78500000,165617.50000000
1736478000000,2.78500000,2.80100000,2.77600000,2.79800000,47759.70000000
1736481600000,2.79900000,2.82600000,2.79900000,2.81500000,79794.00000000
1736485200000,2.81500000,2.88700000,2.81000000,2.85700000,135327.00000000
1736488800000,2.85800000,2.89400000,2.84300000,2.88800000,56762.20000000
1736492400000,2.88800000,2.90300000,2.87400000,2.88700000,78290.60000000
1736496000000,2.88700000,2.90600000,2.87200000,2.88200000,57943.60000000
1736499600000,2.88200000,2.89500000,2.86600000,2.88400000,36985.60000000
1736503200000,2.88500000,2.89400000,2.86600000,2.88700000,45366.60000000
1736506800000,2.88500000,2.88700000,2.84800000,2.87700000,47759.40000000
1736510400000,2.87800000,2.88100000,2.84900000,2.85500000,59135.80000000
1736514000000,2.85400000,2.86300000,2.75000000,2.76900000,426734.10000000
1736517600000,2.76700000,2.82500000,2.74900000,2.76700000,122365.50000000
1736521200000,2.76500000,2.78700000,2.71300000,2.75300000,152631.40000000
1736524800000,2.75300000,2.75700000,2.69500000,2.69600000,99029.30000000
1736528400000,2.69600000,2.81300000,2.68400000,2.80700000,103643.00000000
1736532000000,2.80700000,2.81000000,2.76500000,2.77200000,67324.10000000
1736535600000,2.77500000,2.78500000,2.75300000,2.76900000,57784.90000000
