Open time,Open,High,Low,Close,Volume
1735693200000,1.76200000,1.76400000,1.74400000,1.75200000,489280.46000000
1735696800000,1.75200000,1.76200000,1.75000000,1.76000000,250352.50000000
1735700400000,1.75900000,1.76800000,1.73600000,1.75800000,1020551.64000000
1735704000000,1.75700000,1.76900000,1.75500000,1.76200000,208207.68000000
1735707600000,1.76200000,1.76600000,1.74800000,1.75100000,182622.93000000
1735711200000,1.75200000,1.75800000,1.73600000,1.74800000,282315.52000000
1735714800000,1.74700000,1.75200000,1.73900000,1.74900000,145908.41000000
1735718400000,1.74900000,1.75100000,1.72200000,1.72300000,390242.40000000
1735722000000,1.72400000,1.73000000,1.71100000,1.72100000,532798.12000000
1735725600000,1.72200000,1.72900000,1.71100000,1.72200000,381048.73000000
1735729200000,1.72200000,1.73700000,1.71500000,1.73200000,265244.86000000
1735732800000,1.73200000,1.74800000,1.73000000,1.74600000,178606.89000000
1735736400000,1.74500000,1.75700000,1.72400000,1.73100000,800364.15000000
1735740000000,1.73100000,1.74800000,1.72200000,1.73800000,359302.76000000
1735743600000,1.73800000,1.76800000,1.73500000,1.76600000,512964.73000000
1735747200000,1.76600000,1.77300000,1.74800000,1.75500000,415974.22000000
1735750800000,1.75400000,1.77300000,1.74600000,1.77100000,234796.76000000
1735754400000,1.77100000,1.79800000,1.75300000,1.78600000,445613.09000000
1735758000000,1.78700000,1.79800000,1.76800000,1.78800000,280444.64000000
1735761600000,1.78800000,1.80300000,1.78600000,1.80200000,214534.99000000
1735765200000,1.80300000,1.85200000,1.79500000,1.85000000,480503.54000000
1735768800000,1.85100000,1.85300000,1.81400000,1.82200000,350360.23000000
1735772400000,1.82000000,1.82500000,1.80000000,1.80600000,423698.28000000
1735776000000,1.80700000,1.84400000,1.80400000,1.83000000,383872.06000000
1735779600000,1.83100000,1.83500000,1.80300000,1.80800000,239157.66000000
1735783200000,1.80900000,1.81900000,1.80400000,1.81900000,120306.59000000
1735786800000,1.82000000,1.82400000,1.80800000,1.81000000,148411.85000000
1735790400000,1.81000000,1.85200000,1.80500000,1.84000000,270612.41000000
1735794000000,1.84100000,1.84300000,1.82600000,1.83500000,340240.39000000
1735797600000,1.83500000,1.84600000,1.81500000,1.82500000,201129.02000000
1735801200000,1.82500000,1.84800000,1.81600000,1.84100000,369043.67000000
1735804800000,1.84300000,1.84500000,1.82000000,1.84200000,230076.28000000
1735808400000,1.84100000,1.88400000,1.83900000,1.88200000,713892.03000000
1735812000000,1.88300000,1.89400000,1.85900000,1.88400000,645203.91000000
1735815600000,1.88500000,1.88500000,1.85200000,1.86000000,497285.36000000
1735819200000,1.86100000,1.90100000,1.86100000,1.90100000,446031.47000000
1735822800000,1.90100000,1.91600000,1.88200000,1.89800000,1009862.30000000
1735826400000,1.89700000,1.94900000,1.88700000,1.93200000,1675186.01000000
1735830000000,1.93100000,1.93500000,1.88700000,1.90200000,731562.33000000
1735833600000,1.90300000,1.95000000,1.89500000,1.93600000,590620.55000000
1735837200000,1.93700000,1.94000000,1.89600000,1.90500000,322089.26000000
1735840800000,1.90500000,1.91300000,1.89300000,1.90500000,314236.12000000
1735844400000,1.90500000,1.90500000,1.89000000,1.89300000,210883.11000000
1735848000000,1.89400000,1.91900000,1.89400000,1.90200000,272025.14000000
1735851600000,1.90200000,1.90600000,1.87600000,1.88200000,523999.01000000
1735855200000,1.88300000,1.88500000,1.85800000,1.86900000,255687.87000000
1735858800000,1.86800000,1.88700000,1.86400000,1.88300000,143889.50000000
1735862400000,1.88500000,1.89000000,1.86600000,1.86800000,227594.83000000
1735866000000,1.86800000,1.87400000,1.84700000,1.86000000,514904.97000000
1735869600000,1.86100000,1.87700000,1.84700000,1.84800000,482275.02000000
1735873200000,1.84900000,1.85300000,1.83800000,1.85100000,224326.73000000
1735876800000,1.85100000,1.85500000,1.83600000,1.83800000,216897.88000000
1735880400000,1.83900000,1.84300000,1.82900000,1.83600000,248088.75000000
1735884000000,1.83800000,1.85300000,1.82700000,1.82800000,341669.98000000
1735887600000,1.82900000,1.83400000,1.81700000,1.82100000,335601.09000000
1735891200000,1.82000000,1.83700000,1.81200000,1.83200000,554419.05000000
1735894800000,1.83200000,1.86400000,1.83200000,1.85300000,245117.48000000
1735898400000,1.85400000,1.87100000,1.84400000,1.86400000,317872.49000000
1735902000000,1.86400000,1.92100000,1.86000000,1.91700000,837553.96000000
1735905600000,1.91600000,1.92700000,1.90000000,1.90200000,429843.10000000
1735909200000,1.90300000,1.91400000,1.88800000,1.90100000,524183.66000000
1735912800000,1.90100000,1.95300000,1.90100000,1.94000000,908756.79000000
1735916400000,1.94000000,1.97100000,1.92400000,1.95600000,884707.30000000
1735920000000,1.95600000,1.98000000,1.95000000,1.96400000,814559.30000000
1735923600000,1.96500000,1.96800000,1.94800000,1.95100000,458504.89000000
1735927200000,1.95100000,1.97900000,1.95100000,1.96900000,351415.91000000
1735930800000,1.97000000,1.98100000,1.96600000,1.97600000,322648.79000000
1735934400000,1.97600000,1.98900000,1.95700000,1.98300000,502686.30000000
1735938000000,1.98300000,1.99800000,1.97300000,1.98300000,352550.29000000
1735941600000,1.98500000,2.00500000,1.98200000,1.98400000,387304.62000000
1735945200000,1.98400000,2.01000000,1.98300000,2.01000000,358807.82000000
1735948800000,2.00900000,2.05100000,1.99700000,2.01100000,640106.35000000
1735952400000,2.00800000,2.00800000,1.97100000,1.99000000,950100.64000000
1735956000000,1.99000000,2.00700000,1.98800000,1.98800000,398082.47000000
1735959600000,1.98900000,1.99800000,1.98000000,1.99100000,225569.77000000
1735963200000,1.99100000,1.99400000,1.97400000,1.99000000,174163.88000000
1735966800000,1.99100000,1.99800000,1.98000000,1.99100000,99834.68000000
1735970400000,1.99200000,2.00500000,1.98900000,2.00400000,155182.84000000
1735974000000,2.00400000,2.02100000,2.00000000,2.01200000,204396.65000000
1735977600000,2.01300000,2.01500000,1.97900000,1.98000000,326901.38000000
1735981200000,1.98100000,2.00700000,1.98100000,1.99400000,269276.84000000
1735984800000,1.99300000,2.00900000,1.97200000,2.00200000,655103.42000000
1735988400000,2.00100000,2.04200000,1.99300000,2.03900000,366295.55000000
1735992000000,2.03900000,2.08600000,2.03000000,2.07600000,1551227.24000000
1735995600000,2.07600000,2.09700000,2.06400000,2.08500000,828852.47000000
1735999200000,2.08500000,2.09000000,2.06400000,2.06800000,410701.36000000
1736002800000,2.06900000,2.08800000,2.02800000,2.03300000,964945.96000000
1736006400000,2.03200000,2.03600000,2.01100000,2.02600000,569713.87000000
1736010000000,2.02600000,2.03400000,2.01200000,2.02900000,314800.33000000
1736013600000,2.02900000,2.03900000,2.02000000,2.03500000,220115.84000000
1736017200000,2.03500000,2.07100000,2.03300000,2.04600000,361525.28000000
1736020800000,2.04600000,2.07300000,2.04200000,2.06700000,416753.52000000
1736024400000,2.06800000,2.07500000,2.05800000,2.06400000,431918.70000000
1736028000000,2.06500000,2.07300000,2.05100000,2.06200000,201665.44000000
1736031600000,2.06100000,2.06800000,2.05400000,2.06000000,154068.57000000
1736035200000,2.06100000,2.06400000,2.03500000,2.03800000,257344.91000000
1736038800000,2.03800000,2.03800000,2.01400000,2.02300000,261891.88000000
1736042400000,2.02200000,2.04300000,2.01700000,2.04300000,288369.89000000
1736046000000,2.04300000,2.05100000,2.03100000,2.04400000,131017.18000000
1736049600000,2.04400000,2.05100000,2.03500000,2.04500000,103948.63000000
1736053200000,2.04400000,2.04400000,2.02600000,2.03400000,111016.82000000
1736056800000,2.03500000,2.05100000,2.02700000,2.04700000,177465.81000000
1736060400000,2.04700000,2.05500000,2.03200000,2.04300000,146127.16000000
1736064000000,2.04100000,2.04800000,2.00600000,2.04100000,391931.54000000
1736067600000,2.04200000,2.05600000,2.03200000,2.03600000,456684.16000000
1736071200000,2.03900000,2.05800000,2.02900000,2.04500000,466338.49000000
