Open time,Open,High,Low,Close,Volume
1735693200000,2.26200000,2.26200000,2.21600000,2.22900000,212338.00000000
1735696800000,2.22900000,2.24700000,2.22400000,2.24500000,169836.00000000
1735700400000,2.24500000,2.24500000,2.21900000,2.22400000,92403.10000000
1735704000000,2.22300000,2.22500000,2.20200000,2.20600000,136979.30000000
1735707600000,2.20500000,2.23000000,2.20500000,2.22100000,125756.50000000
1735711200000,2.22300000,2.23200000,2.21100000,2.22800000,206481.40000000
1735714800000,2.22800000,2.23000000,2.17200000,2.18400000,852727.90000000
1735718400000,2.18400000,2.19400000,2.15500000,2.15800000,460264.50000000
1735722000000,2.16000000,2.16500000,2.14100000,2.15700000,317263.90000000
1735725600000,2.15800000,2.16700000,2.14700000,2.15500000,178236.40000000
1735729200000,2.15600000,2.18500000,2.14600000,2.17100000,155030.90000000
1735732800000,2.17000000,2.19900000,2.16300000,2.19800000,134211.20000000
1735736400000,2.19600000,2.23800000,2.19400000,2.22600000,679637.90000000
1735740000000,2.22600000,2.25200000,2.19500000,2.21000000,244418.20000000
1735743600000,2.21100000,2.25300000,2.19400000,2.25000000,345288.20000000
1735747200000,2.25000000,2.27500000,2.22900000,2.23900000,186389.40000000
1735750800000,2.23800000,2.25800000,2.21200000,2.25500000,150250.80000000
1735754400000,2.25500000,2.31600000,2.24500000,2.30900000,267357.80000000
1735758000000,2.30800000,2.36600000,2.30700000,2.34100000,643674.30000000
1735761600000,2.34100000,2.37100000,2.34100000,2.35400000,396218.40000000
1735765200000,2.35300000,2.37600000,2.32600000,2.33500000,316422.80000000
1735768800000,2.33600000,2.34100000,2.31100000,2.33900000,215312.80000000
1735772400000,2.33900000,2.36900000,2.33100000,2.35500000,301508.00000000
1735776000000,2.35600000,2.47700000,2.35600000,2.45800000,1056811.90000000
1735779600000,2.45900000,2.46500000,2.39100000,2.39500000,367774.60000000
1735783200000,2.39700000,2.42200000,2.39100000,2.40900000,160182.10000000
1735786800000,2.41100000,2.41800000,2.39600000,2.40400000,189329.80000000
1735790400000,2.40500000,2.43900000,2.39100000,2.41900000,311927.20000000
1735794000000,2.41900000,2.41900000,2.37700000,2.38500000,153239.40000000
1735797600000,2.38500000,2.40600000,2.36600000,2.37000000,223399.10000000
1735801200000,2.37200000,2.38600000,2.36300000,2.37200000,227599.00000000
1735804800000,2.37300000,2.38100000,2.35400000,2.37900000,243373.90000000
1735808400000,2.37800000,2.41600000,2.36900000,2.41200000,331731.40000000
1735812000000,2.41400000,2.43800000,2.39900000,2.42800000,317765.40000000
1735815600000,2.43100000,2.44000000,2.41200000,2.43200000,182947.40000000
1735819200000,2.43400000,2.45000000,2.40300000,2.41800000,132022.10000000
1735822800000,2.42000000,2.46600000,2.41500000,2.42300000,561275.30000000
1735826400000,2.42400000,2.48600000,2.39900000,2.43600000,415710.80000000
1735830000000,2.43700000,2.44800000,2.39900000,2.41800000,181996.20000000
1735833600000,2.42100000,2.44400000,2.40400000,2.43500000,234223.90000000
1735837200000,2.43400000,2.44000000,2.39300000,2.41400000,207476.80000000
1735840800000,2.41500000,2.42100000,2.40300000,2.41300000,99163.70000000
1735844400000,2.41300000,2.42100000,2.40100000,2.40600000,92995.80000000
1735848000000,2.40800000,2.41900000,2.38800000,2.39900000,74174.80000000
1735851600000,2.40000000,2.41200000,2.39200000,2.41000000,63507.20000000
1735855200000,2.41000000,2.41200000,2.38000000,2.40100000,156853.90000000
1735858800000,2.40200000,2.42400000,2.39800000,2.41200000,153628.70000000
1735862400000,2.41200000,2.44600000,2.41100000,2.42600000,175410.40000000
1735866000000,2.42700000,2.45400000,2.41100000,2.44300000,280735.20000000
1735869600000,2.44300000,2.48800000,2.43700000,2.44900000,563187.10000000
1735873200000,2.44900000,2.45900000,2.41300000,2.44500000,204771.80000000
1735876800000,2.44400000,2.44400000,2.41100000,2.41700000,154736.10000000
1735880400000,2.41700000,2.42300000,2.40200000,2.41200000,129841.60000000
1735884000000,2.41500000,2.42800000,2.40800000,2.41200000,73052.90000000
1735887600000,2.41000000,2.41300000,2.38700000,2.39400000,141605.20000000
1735891200000,2.39400000,2.40700000,2.37900000,2.39600000,232702.90000000
1735894800000,2.39700000,2.44100000,2.39700000,2.41700000,103020.60000000
1735898400000,2.41800000,2.45500000,2.40600000,2.44800000,259514.60000000
1735902000000,2.44900000,2.49000000,2.44900000,2.48000000,497120.60000000
1735905600000,2.48000000,2.51900000,2.47500000,2.50200000,447909.50000000
1735909200000,2.50100000,2.53000000,2.48800000,2.49600000,401301.40000000
1735912800000,2.49600000,2.53300000,2.49600000,2.51100000,257796.10000000
1735916400000,2.51100000,2.51600000,2.48400000,2.50000000,704860.10000000
1735920000000,2.50000000,2.52800000,2.49600000,2.51400000,299434.00000000
1735923600000,2.51400000,2.52400000,2.49600000,2.50100000,286848.70000000
1735927200000,2.50100000,2.51200000,2.49900000,2.50900000,153768.70000000
1735930800000,2.50900000,2.50900000,2.49200000,2.49500000,136350.40000000
1735934400000,2.49600000,2.49700000,2.47100000,2.49000000,270199.30000000
1735938000000,2.48900000,2.50800000,2.48100000,2.49900000,271392.40000000
1735941600000,2.49900000,2.50700000,2.48800000,2.49400000,171947.90000000
1735945200000,2.49600000,2.50500000,2.48500000,2.50500000,138490.50000000
1735948800000,2.50500000,2.52500000,2.46700000,2.47900000,377108.10000000
1735952400000,2.47900000,2.51700000,2.46400000,2.51300000,159702.10000000
1735956000000,2.51400000,2.52100000,2.49800000,2.51300000,123657.80000000
1735959600000,2.51400000,2.52400000,2.50000000,2.52000000,78608.10000000
1735963200000,2.52100000,2.52100000,2.49100000,2.51200000,141068.90000000
1735966800000,2.51100000,2.54000000,2.50800000,2.51800000,269252.10000000
1735970400000,2.51700000,2.53300000,2.51100000,2.53000000,197387.20000000
1735974000000,2.53000000,2.53400000,2.51300000,2.51500000,154372.00000000
1735977600000,2.51600000,2.51700000,2.47800000,2.48100000,206410.60000000
1735981200000,2.48100000,2.49900000,2.48100000,2.48900000,86909.80000000
