Open time,Open,High,Low,Close,Volume
1735693200000,0.00260400,0.00260800,0.00256700,0.00256800,11421028.00000000
1735696800000,0.00257300,0.00258700,0.00257000,0.00258600,4832090.00000000
1735700400000,0.00258300,0.00258400,0.00256000,0.00256800,6366105.00000000
1735704000000,0.00257100,0.00257100,0.00255000,0.00255600,6089897.00000000
1735707600000,0.00255200,0.00258000,0.00255100,0.00257500,21790546.00000000
1735711200000,0.00257200,0.00258000,0.00255600,0.00256800,5885521.00000000
1735714800000,0.00256800,0.00258000,0.00256200,0.00257400,6114388.00000000
1735718400000,0.00257400,0.00258100,0.00253800,0.00253900,5085073.00000000
1735722000000,0.00253900,0.00254800,0.00251100,0.00253000,21440900.00000000
1735725600000,0.00253000,0.00255100,0.00252300,0.00253600,7446259.00000000
1735729200000,0.00253900,0.00257000,0.00253000,0.00256300,5827282.00000000
1735732800000,0.00256000,0.00257800,0.00255000,0.00257800,9629335.00000000
1735736400000,0.00257800,0.00259000,0.00256000,0.00257200,8080089.00000000
1735740000000,0.00256900,0.00262000,0.00256900,0.00259900,35720307.00000000
1735743600000,0.00259900,0.00263300,0.00259100,0.00262700,8403311.00000000
1735747200000,0.00262700,0.00264200,0.00260400,0.00260700,10545471.00000000
1735750800000,0.00260900,0.00263900,0.00258700,0.00263000,21819858.00000000
1735754400000,0.00263400,0.00269200,0.00261600,0.00268600,30925429.00000000
1735758000000,0.00268600,0.00272100,0.00267900,0.00271600,36416550.00000000
1735761600000,0.00271600,0.00273200,0.00270600,0.00273100,19075157.00000000
1735765200000,0.00273100,0.00274000,0.00271500,0.00272300,10222897.00000000
1735768800000,0.00272600,0.00272900,0.00270500,0.00272300,13196719.00000000
1735772400000,0.00272000,0.00273800,0.00271600,0.00273800,12079871.00000000
1735776000000,0.00273200,0.00276800,0.00271600,0.00274600,59355898.00000000
1735779600000,0.00274600,0.00277800,0.00273800,0.00275400,21995338.00000000
1735783200000,0.00275600,0.00277000,0.00273800,0.00276700,16607442.00000000
1735786800000,0.00276700,0.00277800,0.00274700,0.00276200,23784131.00000000
1735790400000,0.00276200,0.00282000,0.00275700,0.00281600,33877596.00000000
1735794000000,0.00281400,0.00283000,0.00278600,0.00280700,20433468.00000000
1735797600000,0.00281200,0.00282600,0.00277700,0.00279300,23563210.00000000
1735801200000,0.00279100,0.00281600,0.00278200,0.00280400,22068982.00000000
1735804800000,0.00280400,0.00282000,0.00278400,0.00278900,17512349.00000000
1735808400000,0.00279000,0.00279700,0.00276100,0.00279400,40862572.00000000
1735812000000,0.00279200,0.00279400,0.00276400,0.00277500,23232945.00000000
1735815600000,0.00277500,0.00278500,0.00276000,0.00277900,14061037.00000000
1735819200000,0.00277900,0.00278800,0.00276300,0.00277900,22316509.00000000
1735822800000,0.00278100,0.00279400,0.00275300,0.00276300,28298340.00000000
1735826400000,0.00276400,0.00280500,0.00274400,0.00277600,46571159.00000000
1735830000000,0.00278100,0.00278200,0.00274900,0.00276400,12612512.00000000
1735833600000,0.00276900,0.00281100,0.00275800,0.00280800,27899271.00000000
1735837200000,0.00281000,0.00284600,0.00278900,0.00281000,43851451.00000000
1735840800000,0.00281300,0.00282300,0.00279300,0.00280900,21189565.00000000
1735844400000,0.00281000,0.00284100,0.00280900,0.00281200,32346137.00000000
1735848000000,0.00281700,0.00283800,0.00281300,0.00282800,44073465.00000000
1735851600000,0.00282800,0.00283100,0.00280400,0.00281500,11870348.00000000
1735855200000,0.00281200,0.00281600,0.00277800,0.00278700,19308778.00000000
1735858800000,0.00278400,0.00279700,0.00278000,0.00278600,8954480.00000000
1735862400000,0.00278700,0.00279600,0.00276900,0.00277300,9957528.00000000
1735866000000,0.00277400,0.00278200,0.00275500,0.00277600,14145201.00000000
1735869600000,0.00277800,0.00280900,0.00276900,0.00277500,11064782.00000000
1735873200000,0.00277700,0.00279800,0.00276300,0.00279400,9281465.00000000
1735876800000,0.00279400,0.00279400,0.00275700,0.00275700,7277796.00000000
1735880400000,0.00276000,0.00276900,0.00274500,0.00275400,7515013.00000000
1735884000000,0.00275300,0.00277600,0.00275300,0.00276700,17547833.00000000
1735887600000,0.00276900,0.00277600,0.00274700,0.00275600,18462605.00000000
1735891200000,0.00275300,0.00278200,0.00275200,0.00277100,10187777.00000000
1735894800000,0.00276800,0.00279400,0.00276200,0.00277900,21967768.00000000
1735898400000,0.00277700,0.00279900,0.00276500,0.00279500,14822288.00000000
1735902000000,0.00279600,0.00282700,0.00278400,0.00282500,18617066.00000000
1735905600000,0.00282300,0.00290000,0.00280900,0.00289300,70372426.00000000
1735909200000,0.00289300,0.00291900,0.00285700,0.00286200,77525778.00000000
1735912800000,0.00286400,0.00291000,0.00286400,0.00290100,22699610.00000000
1735916400000,0.00290100,0.00294000,0.00288500,0.00292700,55795335.00000000
1735920000000,0.00292600,0.00296200,0.00292500,0.00296100,34737271.00000000
1735923600000,0.00296300,0.00299200,0.00294800,0.00294900,37815207.00000000
1735927200000,0.00294900,0.00298900,0.00294400,0.00297200,30893134.00000000
1735930800000,0.00297100,0.00301400,0.00295800,0.00299500,40941365.00000000
1735934400000,0.00299700,0.00300300,0.00297800,0.00299800,28612452.00000000
1735938000000,0.00299800,0.00300000,0.00297000,0.00297000,25100666.00000000
1735941600000,0.00297200,0.00300900,0.00296800,0.00298900,17528661.00000000
1735945200000,0.00298900,0.00299400,0.00296800,0.00299300,11121943.00000000
1735948800000,0.00299400,0.00300700,0.00295100,0.00295100,10719760.00000000
1735952400000,0.00295200,0.00297000,0.00293500,0.00296500,18339034.00000000
1735956000000,0.00296700,0.00297900,0.00293700,0.00296400,19200243.00000000
1735959600000,0.00296400,0.00296400,0.00293700,0.00294800,8032772.00000000
1735963200000,0.00294700,0.00295000,0.00292400,0.00294000,15531884.00000000
1735966800000,0.00293700,0.00295100,0.00292900,0.00294700,5583051.00000000
1735970400000,0.00294800,0.00296600,0.00294500,0.00296500,6675491.00000000
1735974000000,0.00296500,0.00299700,0.00296200,0.00298100,8997429.00000000
1735977600000,0.00298100,0.00298600,0.00292400,0.00292800,17090017.00000000
1735981200000,0.00292800,0.00294600,0.00292200,0.00292400,8864621.00000000
1735984800000,0.00292600,0.00293900,0.00289400,0.00291000,28123333.00000000
1735988400000,0.00290900,0.00291600,0.00288700,0.00290400,14451823.00000000
1735992000000,0.00290400,0.00295400,0.00290100,0.00295100,19702476.00000000
