Open time,Open,High,Low,Close,Volume
1735704000000,6.21100000,6.21200000,6.13600000,6.14900000,151296.48000000
1735718400000,6.15100000,6.20400000,6.04700000,6.17700000,353698.91000000
1735732800000,6.17700000,6.35700000,6.16000000,6.35500000,301122.93000000
1735747200000,6.35500000,6.60400000,6.29300000,6.58000000,698562.63000000
1735761600000,6.58200000,6.65600000,6.52100000,6.54700000,483800.73000000
1735776000000,6.54600000,6.72500000,6.54600000,6.60500000,509167.87000000
1735790400000,6.60600000,6.69400000,6.59400000,6.67200000,301625.33000000
1735804800000,6.67300000,6.77800000,6.64700000,6.75000000,363191.09000000
1735819200000,6.75200000,6.81000000,6.62800000,6.67200000,468215.01000000
1735833600000,6.67200000,6.74300000,6.63000000,6.67800000,244522.66000000
1735848000000,6.68000000,6.72200000,6.63700000,6.70100000,179736.98000000
1735862400000,6.70200000,6.87900000,6.67200000,6.86300000,366268.30000000
1735876800000,6.86400000,6.86400000,6.69000000,6.70700000,287458.72000000
1735891200000,6.70800000,7.03200000,6.70800000,6.98200000,630956.54000000
1735905600000,6.98200000,7.31300000,6.98100000,7.29700000,811073.04000000
1735920000000,7.29900000,7.40100000,7.29300000,7.34200000,707346.88000000
1735934400000,7.34300000,7.46400000,7.27900000,7.42300000,567279.39000000
1735948800000,7.42400000,7.47600000,7.29700000,7.39100000,405307.48000000
1735963200000,7.39000000,7.40200000,7.31500000,7.36000000,210078.23000000
1735977600000,7.36000000,7.36100000,7.24200000,7.29400000,395050.48000000
1735992000000,7.29400000,7.44600000,7.23700000,7.28200000,728272.29000000
1736006400000,7.27900000,7.34000000,7.26700000,7.29100000,175979.13000000
1736020800000,7.29400000,7.34200000,7.26000000,7.29500000,157232.11000000
1736035200000,7.29600000,7.42600000,7.21000000,7.27600000,313281.25000000
1736049600000,7.27800000,7.36100000,7.24000000,7.32200000,160660.26000000
1736064000000,7.32300000,7.33100000,7.22500000,7.25200000,267620.56000000
1736078400000,7.25400000,7.29600000,7.14300000,7.23800000,348937.85000000
1736092800000,7.23800000,7.32400000,7.20300000,7.32100000,228815.16000000
