Open time,Open,High,Low,Close,Volume
1735704000000,2.14500000,2.15300000,2.12000000,2.13200000,923464.30000000
1735718400000,2.13100000,2.13800000,2.07400000,2.10300000,2093300.90000000
1735732800000,2.10300000,2.16700000,2.10000000,2.14900000,2340221.20000000
1735747200000,2.14800000,2.19100000,2.10900000,2.17900000,1801388.70000000
1735761600000,2.17900000,2.20400000,2.17500000,2.18800000,1324292.00000000
1735776000000,2.18900000,2.25100000,2.18100000,2.21800000,2606805.60000000
1735790400000,2.21900000,2.24200000,2.20300000,2.24100000,1543799.10000000
1735804800000,2.24100000,2.28500000,2.22100000,2.25400000,2080299.60000000
1735819200000,2.25400000,2.28600000,2.21200000,2.24100000,3035398.10000000
1735833600000,2.24200000,2.26800000,2.20900000,2.22000000,1338278.60000000
1735848000000,2.22000000,2.23600000,2.17300000,2.23400000,1445332.10000000
1735862400000,2.23500000,2.25100000,2.19700000,2.22400000,1050649.90000000
1735876800000,2.22500000,2.22600000,2.16700000,2.17600000,1124061.00000000
1735891200000,2.17500000,2.28900000,2.17000000,2.27000000,1388909.70000000
1735905600000,2.27100000,2.39000000,2.26600000,2.37400000,4322021.30000000
1735920000000,2.37400000,2.41800000,2.35000000,2.39300000,3122454.60000000
1735934400000,2.39400000,2.40500000,2.36700000,2.39200000,966062.40000000
1735948800000,2.39200000,2.40100000,2.33500000,2.36000000,941820.90000000
1735963200000,2.36000000,2.41200000,2.32900000,2.39200000,1172616.20000000
1735977600000,2.39300000,2.39700000,2.34700000,2.37700000,926978.00000000
1735992000000,2.37700000,2.46800000,2.36000000,2.37100000,3464212.00000000
1736006400000,2.37000000,2.39400000,2.35600000,2.37200000,1156366.20000000
1736020800000,2.37300000,2.40600000,2.37300000,2.38900000,879442.20000000
1736035200000,2.39000000,2.40700000,2.34600000,2.37900000,1057932.30000000
1736049600000,2.37900000,2.40300000,2.35500000,2.35600000,594919.00000000
1736064000000,2.35600000,2.36400000,2.31700000,2.33200000,1356184.90000000
1736078400000,2.33300000,2.35500000,2.28700000,2.33700000,1793027.00000000
1736092800000,2.33500000,2.37900000,2.32500000,2.35900000,1266163.70000000
1736107200000,2.36000000,2.39800000,2.35300000,2.37600000,1063860.40000000
1736121600000,2.37700000,2.43800000,2.33100000,2.42000000,1434806.90000000
1736136000000,2.42100000,2.44800000,2.37700000,2.40100000,1492259.20000000
1736150400000,2.40000000,2.42600000,2.36500000,2.39700000,1423014.90000000
1736164800000,2.39700000,2.46900000,2.36600000,2.46800000,3158042.50000000
1736179200000,2.46900000,2.50700000,2.40500000,2.42000000,2323354.10000000
1736193600000,2.42000000,2.43400000,2.35800000,2.39800000,1098693.80000000
1736208000000,2.39800000,2.41200000,2.35800000,2.37700000,1089107.00000000
1736222400000,2.37800000,2.39200000,2.35600000,2.38000000,571517.40000000
1736236800000,2.38100000,2.40300000,2.30000000,2.34200000,2554458.70000000
1736251200000,2.34200000,2.35800000,2.17600000,2.21900000,5698753.70000000
1736265600000,2.21700000,2.24200000,2.12400000,2.13100000,3309642.00000000
1736280000000,2.13200000,2.16800000,2.07500000,2.08600000,2517669.70000000
1736294400000,2.08600000,2.11400000,2.01600000,2.03100000,2483501.80000000
1736308800000,2.03000000,2.03500000,1.94200000,1.98700000,3686776.20000000
1736323200000,1.98700000,2.02400000,1.94700000,1.96400000,2276039.40000000
1736337600000,1.96400000,2.03100000,1.93900000,1.98200000,2540941.60000000
1736352000000,1.98300000,1.98500000,1.84800000,1.93200000,5801086.40000000
1736366400000,1.93100000,1.95800000,1.90400000,1.94500000,1018528.40000000
1736380800000,1.94500000,1.97500000,1.91800000,1.92800000,1607967.20000000
1736395200000,1.93100000,1.93700000,1.85200000,1.86000000,1952521.70000000
1736409600000,1.86000000,1.94000000,1.85600000,1.90900000,1779340.30000000
1736424000000,1.90800000,1.95000000,1.82200000,1.93300000,2618185.50000000
1736438400000,1.93200000,1.94400000,1.83600000,1.83800000,2328285.70000000
1736452800000,1.83800000,1.88500000,1.81600000,1.87000000,1523868.80000000
1736467200000,1.86900000,1.91100000,1.86900000,1.90500000,1160963.00000000
1736481600000,1.90400000,1.98300000,1.89600000,1.96200000,2277386.80000000
1736496000000,1.96100000,1.97500000,1.93000000,1.94500000,1382593.90000000
1736510400000,1.94500000,1.95500000,1.84600000,1.88900000,4512777.60000000
1736524800000,1.88900000,1.94400000,1.85500000,1.92900000,2062224.90000000
1736539200000,1.92800000,1.93300000,1.90100000,1.92300000,758982.40000000
1736553600000,1.92100000,1.93600000,1.90200000,1.90700000,609111.40000000
1736568000000,1.90800000,1.94700000,1.89600000,1.92000000,883616.90000000
1736582400000,1.91900000,1.94000000,1.89400000,1.93400000,1037055.80000000
1736596800000,1.93400000,1.93600000,1.89300000,1.89700000,810637.30000000
1736611200000,1.89700000,1.90700000,1.87400000,1.88600000,622127.90000000
1736625600000,1.88700000,1.96000000,1.88100000,1.90600000,914463.40000000
1736640000000,1.90700000,1.91900000,1.88400000,1.89800000,557705.60000000
1736654400000,1.89900000,1.90700000,1.87600000,1.88900000,739604.30000000
1736668800000,1.89000000,1.89700000,1.86000000,1.89200000,756714.30000000
1736683200000,1.89200000,1.93300000,1.87600000,1.92700000,1030606.40000000
1736697600000,1.92800000,1.93100000,1.89700000,1.90100000,682284.90000000
1736712000000,1.90100000,1.90900000,1.83000000,1.86200000,1402172.10000000
1736726400000,1.86300000,1.92200000,1.80200000,1.81100000,2011406.40000000
1736740800000,1.81100000,1.86100000,1.76800000,1.79700000,2601885.90000000
1736755200000,1.79700000,1.80500000,1.66300000,1.66300000,4909978.20000000
1736769600000,1.66400000,1.76500000,1.63100000,1.73400000,6786158.50000000
1736784000000,1.73400000,1.74200000,1.64700000,1.69000000,3586807.80000000
1736798400000,1.69000000,1.81300000,1.67500000,1.78500000,3016753.70000000
1736812800000,1.78600000,1.81800000,1.77300000,1.79500000,706696.70000000
1736827200000,1.79600000,1.82400000,1.78800000,1.78800000,795592.70000000
1736841600000,1.78900000,1.85700000,1.78100000,1.81000000,2039515.50000000
1736856000000,1.81100000,1.85600000,1.77900000,1.83200000,1939390.30000000
1736870400000,1.83100000,1.86300000,1.81100000,1.85100000,1170067.70000000
1736884800000,1.85100000,1.92300000,1.83400000,1.90400000,1180447.20000000
1736899200000,1.90500000,1.92000000,1.86800000,1.89500000,1204870.10000000
1736913600000,1.89500000,1.92500000,1.87200000,1.90300000,825440.80000000
1736928000000,1.90400000,1.91900000,1.83900000,1.85700000,1640549.70000000
1736942400000,1.85700000,2.02700000,1.84200000,1.99000000,5962002.10000000
1736956800000,1.99100000,2.06100000,1.97300000,2.05100000,2257758.50000000
1736971200000,2.05100000,2.07200000,2.01700000,2.04900000,1552790.20000000
1736985600000,2.05000000,2.07100000,1.99300000,2.00400000,1652121.70000000
1737000000000,2.00500000,2.03000000,1.99300000,2.01900000,1146638.20000000
1737014400000,2.01800000,2.02200000,1.95600000,2.01000000,1540303.50000000
1737028800000,2.01000000,2.06900000,1.94600000,2.06900000,5635235.80000000
1737043200000,2.06900000,2.09900000,2.03500000,2.07300000,2506212.10000000
1737057600000,2.07300000,2.08200000,2.00100000,2.02400000,921283.30000000
1737072000000,2.02500000,2.09900000,2.02500000,2.06800000,1720127.70000000
1737086400000,2.07000000,2.09700000,2.06200000,2.08000000,1038525.60000000
1737100800000,2.08000000,2.14400000,2.08000000,2.10200000,1981751.40000000
1737115200000,2.10300000,2.11100000,2.07100000,2.09100000,2151347.40000000
1737129600000,2.09200000,2.11400000,2.05500000,2.07100000,1409640.40000000
1737144000000,2.07100000,2.16100000,2.06900000,2.12500000,2092914.50000000
1737158400000,2.12600000,2.15700000,2.02700000,2.03600000,1264141.80000000
1737172800000,2.03600000,2.04700000,1.90600000,1.91500000,4283518.90000000
1737187200000,1.91300000,1.95600000,1.88300000,1.95000000,3591104.70000000
1737201600000,1.94900000,1.95600000,1.90200000,1.91400000,2546579.50000000
1737216000000,1.91500000,1.93000000,1.85000000,1.88100000,4049164.40000000
1737230400000,1.88200000,1.90100000,1.84500000,1.88900000,1461524.10000000
1737244800000,1.88900000,1.98400000,1.87900000,1.94300000,2166948.90000000
1737259200000,1.94400000,1.94400000,1.84400000,1.86600000,2962772.10000000
1737273600000,1.86700000,1.86700000,1.70000000,1.71100000,8434090.50000000
1737288000000,1.71100000,2.01000000,1.70900000,1.96800000,12783149.40000000
1737302400000,1.96800000,2.03000000,1.96200000,2.01400000,5158742.60000000
1737316800000,2.01600000,2.03000000,1.75300000,1.79000000,12758800.80000000
1737331200000,1.79000000,1.80700000,1.68900000,1.76600000,11578509.30000000
1737345600000,1.76400000,2.04100000,1.74200000,1.97700000,10602762.60000000
1737360000000,1.97700000,1.99900000,1.91200000,1.97300000,3787984.00000000
1737374400000,1.97300000,1.97300000,1.86800000,1.88500000,5222856.20000000
1737388800000,1.88600000,1.91800000,1.76500000,1.84000000,6907276.00000000
1737403200000,1.83900000,1.85900000,1.77600000,1.78600000,2024153.40000000
1737417600000,1.78600000,1.79000000,1.70300000,1.72600000,3468894.00000000
1737432000000,1.72600000,1.72800000,1.67600000,1.70000000,3360250.70000000
1737446400000,1.69900000,1.75300000,1.66100000,1.74500000,5945379.60000000
1737460800000,1.74500000,1.76900000,1.70800000,1.73600000,3624281.90000000
1737475200000,1.73400000,1.85100000,1.72800000,1.81000000,4032968.90000000
1737489600000,1.81100000,1.86000000,1.79200000,1.83200000,1810476.10000000
1737504000000,1.83100000,1.86500000,1.79500000,1.81100000,1648213.10000000
1737518400000,1.81300000,1.81700000,1.77300000,1.77500000,929968.70000000
1737532800000,1.77500000,1.81800000,1.76100000,1.80300000,1475125.40000000
1737547200000,1.80400000,1.81400000,1.74600000,1.76600000,1774818.20000000
1737561600000,1.76600000,1.79800000,1.74700000,1.75400000,1671098.80000000
1737576000000,1.75400000,1.78400000,1.72800000,1.74300000,1479153.60000000
1737590400000,1.74300000,1.74300000,1.68500000,1.70800000,1523167.70000000
1737604800000,1.70900000,1.71900000,1.68200000,1.71100000,1298919.30000000
1737619200000,1.71000000,1.71400000,1.67200000,1.68800000,1400616.10000000
1737633600000,1.68800000,1.75500000,1.66200000,1.72800000,3624358.30000000
1737648000000,1.72800000,1.77300000,1.65700000,1.66400000,2600037.70000000
1737662400000,1.66300000,1.77500000,1.65500000,1.75300000,4056538.00000000
1737676800000,1.75400000,1.77700000,1.67700000,1.70800000,2376300.40000000
1737691200000,1.70700000,1.84100000,1.69800000,1.80100000,5089358.90000000
1737705600000,1.80200000,1.83900000,1.79300000,1.80100000,3197810.10000000
1737720000000,1.80100000,1.82300000,1.73400000,1.77000000,3992246.20000000
1737734400000,1.77100000,1.78600000,1.73700000,1.74100000,1605429.90000000
1737748800000,1.74100000,1.75200000,1.67100000,1.68800000,1853926.30000000
1737763200000,1.68800000,1.70600000,1.64400000,1.70400000,1745342.60000000
1737777600000,1.70300000,1.70300000,1.66700000,1.67300000,1072207.10000000
1737792000000,1.67300000,1.69200000,1.65600000,1.68700000,864003.60000000
1737806400000,1.68800000,1.74900000,1.67300000,1.73600000,2029100.10000000
1737820800000,1.73600000,1.74900000,1.72400000,1.73200000,1712817.80000000
1737835200000,1.73200000,1.75000000,1.71100000,1.71300000,596952.00000000
1737849600000,1.71400000,1.75100000,1.70300000,1.73700000,633496.40000000
1737864000000,1.73700000,1.76600000,1.72600000,1.74100000,839311.70000000
1737878400000,1.74200000,1.75300000,1.70800000,1.73900000,759927.20000000
1737892800000,1.73800000,1.74500000,1.72300000,1.73800000,951645.10000000
1737907200000,1.73700000,1.77000000,1.72700000,1.76900000,919651.60000000
1737921600000,1.76900000,1.77000000,1.66100000,1.66900000,1782116.70000000
1737936000000,1.66900000,1.67300000,1.56300000,1.59300000,3604120.60000000
1737950400000,1.59400000,1.59500000,1.47700000,1.52900000,4820408.80000000
1737964800000,1.52800000,1.55500000,1.50000000,1.52600000,2380548.60000000
1737979200000,1.52600000,1.62100000,1.51400000,1.61000000,3918697.00000000
1737993600000,1.61100000,1.61900000,1.53200000,1.55700000,1917924.00000000
1738008000000,1.55800000,1.65500000,1.55800000,1.60900000,1597591.70000000
1738022400000,1.61000000,1.62800000,1.57900000,1.62100000,942934.90000000
1738036800000,1.62100000,1.64500000,1.58200000,1.58700000,1312535.80000000
1738051200000,1.58700000,1.59500000,1.55700000,1.56800000,1496901.00000000
1738065600000,1.56900000,1.57800000,1.53100000,1.55800000,2853008.00000000
1738080000000,1.55900000,1.56000000,1.49200000,1.51000000,3164598.20000000
1738094400000,1.51100000,1.52500000,1.41600000,1.44000000,4161951.70000000
1738108800000,1.44000000,1.48100000,1.43000000,1.47900000,1421095.60000000
1738123200000,1.48000000,1.53900000,1.47500000,1.53500000,1041501.40000000
1738137600000,1.53400000,1.54600000,1.50800000,1.53900000,1160661.20000000
1738152000000,1.54100000,1.54400000,1.48200000,1.49900000,2159082.00000000
1738166400000,1.50000000,1.58300000,1.47500000,1.56800000,6160446.10000000
1738180800000,1.56800000,1.62000000,1.52500000,1.52900000,4574217.40000000
1738195200000,1.53000000,1.58500000,1.50700000,1.58000000,1257604.60000000
1738209600000,1.58000000,1.59000000,1.54800000,1.56500000,1044369.80000000
1738224000000,1.56400000,1.61200000,1.55100000,1.61100000,1842915.00000000
1738238400000,1.61100000,1.65200000,1.59000000,1.61500000,3700743.90000000
1738252800000,1.61600000,1.63400000,1.58500000,1.60400000,1330642.40000000
1738267200000,1.60500000,1.60500000,1.56700000,1.58200000,858164.80000000
1738281600000,1.58300000,1.60300000,1.54400000,1.55800000,896249.10000000
1738296000000,1.55700000,1.60900000,1.53900000,1.58800000,1098502.00000000
1738310400000,1.58800000,1.66200000,1.56700000,1.65600000,2202499.40000000
1738324800000,1.65600000,1.73900000,1.64700000,1.73600000,5430054.00000000
1738339200000,1.73500000,1.74700000,1.63400000,1.67100000,3771219.50000000
1738353600000,1.66800000,1.67300000,1.62000000,1.64500000,1726736.70000000
1738368000000,1.64600000,1.67300000,1.62400000,1.63300000,1093329.20000000
1738382400000,1.63400000,1.64500000,1.60500000,1.60900000,900045.00000000
1738396800000,1.60800000,1.61400000,1.53200000,1.57000000,2165909.90000000
1738411200000,1.57000000,1.59400000,1.51700000,1.53900000,1846388.60000000
1738425600000,1.54000000,1.55600000,1.47100000,1.48000000,2344366.60000000
1738440000000,1.48000000,1.48800000,1.42300000,1.44400000,3569878.00000000
1738454400000,1.44400000,1.47800000,1.38900000,1.39800000,3825033.60000000
1738468800000,1.39700000,1.44500000,1.39300000,1.41400000,3084441.80000000
1738483200000,1.41500000,1.45900000,1.39200000,1.39600000,2827512.30000000
1738497600000,1.39700000,1.44000000,1.39400000,1.41000000,4149481.20000000
1738512000000,1.41000000,1.41100000,1.22700000,1.28000000,16218237.80000000
1738526400000,1.28100000,1.30900000,1.12300000,1.17700000,9614519.00000000
1738540800000,1.17800000,1.17800000,0.80600000,0.93400000,34740253.70000000
1738555200000,0.93500000,1.03800000,0.89100000,1.03500000,7865969.80000000
1738569600000,1.03400000,1.05200000,0.99500000,1.02800000,7964616.10000000
1738584000000,1.02800000,1.12800000,0.97400000,1.11100000,12820879.90000000
1738598400000,1.11000000,1.15800000,1.08700000,1.15700000,4889985.70000000
1738612800000,1.15600000,1.60000000,1.11700000,1.28600000,12108488.50000000
1738627200000,1.28600000,1.28600000,1.18200000,1.21600000,5047885.50000000
1738641600000,1.21600000,1.24700000,1.11700000,1.12300000,9394882.30000000
1738656000000,1.12300000,1.19200000,1.11700000,1.17400000,7755055.70000000
1738670400000,1.17500000,1.23400000,1.14600000,1.17600000,11586268.30000000
1738684800000,1.17700000,1.22600000,1.16000000,1.17200000,6952151.20000000
1738699200000,1.17200000,1.19500000,1.11800000,1.18100000,9807391.80000000
1738713600000,1.18200000,1.19400000,1.16400000,1.17300000,3027989.20000000
1738728000000,1.17200000,1.20100000,1.16300000,1.18600000,2934285.00000000
1738742400000,1.18500000,1.22600000,1.17400000,1.20400000,2850962.50000000
1738756800000,1.20400000,1.20700000,1.15200000,1.17600000,3967664.50000000
1738771200000,1.17500000,1.25800000,1.13500000,1.17700000,16682975.60000000
1738785600000,1.17800000,1.20200000,1.14300000,1.16100000,6007080.40000000
1738800000000,1.16000000,1.19100000,1.14000000,1.17400000,3967654.10000000
1738814400000,1.17300000,1.19600000,1.16700000,1.17100000,5014004.20000000
1738828800000,1.17100000,1.17900000,1.13700000,1.15400000,5026952.30000000
1738843200000,1.15400000,1.15700000,1.07200000,1.08200000,8931593.70000000
1738857600000,1.08200000,1.12200000,1.07200000,1.09600000,6389017.10000000
1738872000000,1.09600000,1.11500000,1.07400000,1.08700000,4034572.00000000
1738886400000,1.08700000,1.13000000,1.08600000,1.12200000,3551633.10000000
1738900800000,1.12300000,1.13600000,1.08100000,1.09900000,3824303.10000000
1738915200000,1.09900000,1.15300000,1.09200000,1.15000000,4897218.30000000
1738929600000,1.14900000,1.20300000,1.13600000,1.15400000,9631227.30000000
1738944000000,1.15500000,1.15700000,1.11100000,1.11900000,5092868.50000000
1738958400000,1.11900000,1.12000000,1.04300000,1.09000000,5727259.90000000
1738972800000,1.08900000,1.12500000,1.08400000,1.10600000,2829323.40000000
1738987200000,1.10600000,1.11500000,1.08400000,1.10700000,2187075.10000000
1739001600000,1.10600000,1.10900000,1.07500000,1.08700000,2868230.00000000
1739016000000,1.08600000,1.11400000,1.07800000,1.09700000,3526064.30000000
1739030400000,1.09700000,1.13700000,1.08600000,1.12700000,4071964.60000000
1739044800000,1.12700000,1.14400000,1.11000000,1.13600000,1666833.00000000
1739059200000,1.13500000,1.18000000,1.13100000,1.17500000,2608008.30000000
1739073600000,1.17500000,1.17500000,1.15500000,1.16700000,1920518.90000000
1739088000000,1.16700000,1.17100000,1.14900000,1.15000000,3057953.30000000
1739102400000,1.15000000,1.15500000,1.10300000,1.13900000,2831155.00000000
1739116800000,1.13900000,1.14800000,1.10700000,1.10800000,1477034.50000000
1739131200000,1.10700000,1.12400000,1.04500000,1.11500000,4842065.40000000
1739145600000,1.11500000,1.13700000,1.07500000,1.11800000,3630156.00000000
1739160000000,1.11800000,1.14800000,1.11000000,1.12700000,3471097.60000000
1739174400000,1.12700000,1.14400000,1.11100000,1.12300000,2429659.90000000
1739188800000,1.12300000,1.15900000,1.10100000,1.13300000,4689730.50000000
1739203200000,1.13300000,1.15800000,1.12700000,1.13200000,3493584.90000000
1739217600000,1.13200000,1.14500000,1.11300000,1.12900000,2450404.90000000
1739232000000,1.12900000,1.16000000,1.12700000,1.14800000,3301873.30000000
1739246400000,1.14700000,1.20000000,1.14300000,1.19200000,4206385.80000000
1739260800000,1.19200000,1.20500000,1.15800000,1.17800000,3158158.40000000
1739275200000,1.17800000,1.17900000,1.11200000,1.12900000,3830036.30000000
1739289600000,1.13000000,1.14000000,1.07800000,1.08100000,4694334.50000000
1739304000000,1.08100000,1.10800000,1.07700000,1.09600000,2240843.50000000
1739318400000,1.09600000,1.10900000,1.06700000,1.07700000,2976538.80000000
1739332800000,1.07700000,1.09100000,1.06200000,1.08300000,2657004.30000000
1739347200000,1.08300000,1.09500000,1.06600000,1.08000000,2585883.60000000
1739361600000,1.08000000,1.11400000,1.01700000,1.06500000,12002761.40000000
1739376000000,1.06400000,1.13800000,1.04100000,1.13400000,5944753.80000000
1739390400000,1.13500000,1.21700000,1.12500000,1.18800000,5597341.50000000
1739404800000,1.18800000,1.22300000,1.18300000,1.20100000,4801717.90000000
1739419200000,1.20200000,1.20300000,1.15300000,1.15600000,4512964.80000000
1739433600000,1.15600000,1.16700000,1.13600000,1.15200000,3859634.30000000
1739448000000,1.15300000,1.17300000,1.12500000,1.14800000,6556212.60000000
1739462400000,1.14700000,1.17100000,1.12600000,1.15200000,3032078.30000000
1739476800000,1.15200000,1.17300000,1.15100000,1.17000000,2055487.20000000
1739491200000,1.17100000,1.17700000,1.14900000,1.16600000,4429429.10000000
1739505600000,1.16600000,1.16700000,1.13200000,1.14700000,3593351.00000000
1739520000000,1.14800000,1.18300000,1.14100000,1.15200000,5399585.40000000
1739534400000,1.15200000,1.18700000,1.14100000,1.17800000,5528656.90000000
1739548800000,1.17900000,1.21500000,1.16300000,1.18300000,5832787.50000000
1739563200000,1.18300000,1.19600000,1.15000000,1.17700000,3191513.40000000
1739577600000,1.17800000,1.17900000,1.15300000,1.16600000,1653474.40000000
1739592000000,1.16700000,1.17400000,1.13900000,1.14500000,2299723.00000000
1739606400000,1.14500000,1.15400000,1.12400000,1.13600000,2437008.80000000
1739620800000,1.13600000,1.14900000,1.11400000,1.11900000,2998130.20000000
1739635200000,1.12000000,1.12600000,1.09600000,1.10100000,3123389.80000000
1739649600000,1.10200000,1.11900000,1.08700000,1.11100000,2038018.30000000
1739664000000,1.11000000,1.11800000,1.08900000,1.10300000,1459132.50000000
1739678400000,1.10300000,1.12800000,1.09900000,1.10400000,1984251.80000000
1739692800000,1.10500000,1.13200000,1.09700000,1.12900000,2397087.10000000
1739707200000,1.12900000,1.13200000,1.08900000,1.10300000,2567506.20000000
1739721600000,1.10300000,1.11500000,1.07400000,1.09100000,2107157.90000000
1739736000000,1.09100000,1.10100000,1.07400000,1.09700000,2054885.30000000
1739750400000,1.09700000,1.14000000,1.09500000,1.11800000,3716701.50000000
1739764800000,1.11800000,1.13400000,1.08800000,1.11200000,4792615.80000000
1739779200000,1.11200000,1.18900000,1.10800000,1.16900000,9229188.10000000
1739793600000,1.16900000,1.20300000,1.15400000,1.16000000,9350861.80000000
1739808000000,1.16000000,1.16700000,1.09500000,1.11700000,8325746.40000000
1739822400000,1.11600000,1.17000000,1.11500000,1.14700000,4226461.30000000
1739836800000,1.14600000,1.15600000,1.12300000,1.12900000,2982733.70000000
1739851200000,1.12900000,1.13800000,1.06900000,1.09200000,5604801.50000000
1739865600000,1.09200000,1.12400000,1.08200000,1.09800000,3573399.40000000
1739880000000,1.09800000,1.12600000,1.05800000,1.06100000,5476707.80000000
1739894400000,1.06100000,1.07100000,1.02100000,1.05700000,5661471.10000000
1739908800000,1.05800000,1.09500000,1.04300000,1.09300000,2957262.20000000
1739923200000,1.09300000,1.10200000,1.07300000,1.08800000,1955002.10000000
