Open time,Open,High,Low,Close,Volume
1735704000000,4.96000000,4.98100000,4.92400000,4.94400000,413093.16000000
1735718400000,4.94500000,4.96600000,4.84900000,4.93900000,913716.00000000
1735732800000,4.93800000,5.06900000,4.91400000,5.06000000,1479572.73000000
1735747200000,5.05900000,5.19400000,4.99400000,5.16600000,1404757.99000000
1735761600000,5.16600000,5.19600000,5.10000000,5.12100000,1241441.23000000
1735776000000,5.12200000,5.25700000,5.12200000,5.19000000,1236249.69000000
1735790400000,5.19100000,5.25600000,5.14500000,5.20600000,1253934.74000000
1735804800000,5.20600000,5.31000000,5.18000000,5.26500000,1364457.99000000
1735819200000,5.26500000,5.36800000,5.21700000,5.24300000,1669766.11000000
1735833600000,5.24400000,5.30500000,5.19600000,5.25800000,877695.23000000
1735848000000,5.25800000,5.33200000,5.24100000,5.30600000,634781.15000000
1735862400000,5.30700000,5.43600000,5.25600000,5.42300000,1087518.03000000
1735876800000,5.42200000,5.42300000,5.24000000,5.25300000,1204968.72000000
1735891200000,5.25500000,5.44300000,5.24100000,5.42300000,1409830.21000000
1735905600000,5.42300000,5.65600000,5.42300000,5.63400000,2548502.24000000
1735920000000,5.63700000,5.75300000,5.62500000,5.64600000,1730754.52000000
1735934400000,5.64600000,5.67200000,5.61600000,5.66400000,677715.78000000
1735948800000,5.66400000,5.68200000,5.56700000,5.66200000,1683379.93000000
1735963200000,5.66300000,5.68300000,5.61300000,5.65600000,582624.37000000
1735977600000,5.65600000,5.65700000,5.58200000,5.62000000,674449.52000000
1735992000000,5.61900000,5.73300000,5.56300000,5.58000000,1323663.50000000
1736006400000,5.58000000,5.63800000,5.56900000,5.62000000,575056.66000000
1736020800000,5.61900000,5.66400000,5.60800000,5.63900000,462920.14000000
1736035200000,5.64100000,5.66700000,5.57300000,5.60600000,688197.31000000
1736049600000,5.60700000,5.68400000,5.60400000,5.65300000,711792.37000000
1736064000000,5.65300000,5.66000000,5.56600000,5.59900000,1047982.76000000
1736078400000,5.59800000,5.64500000,5.50000000,5.62300000,1391504.44000000
1736092800000,5.62400000,5.84900000,5.58100000,5.82000000,1416851.89000000
1736107200000,5.82400000,5.97600000,5.72900000,5.91200000,2099330.99000000
1736121600000,5.91300000,6.30400000,5.78600000,6.25600000,6173637.35000000
1736136000000,6.25800000,6.26900000,6.10000000,6.10800000,2846994.21000000
1736150400000,6.10800000,6.13300000,5.99200000,6.08900000,2092161.49000000
1736164800000,6.08800000,6.14500000,5.94400000,6.09400000,2218466.94000000
1736179200000,6.09600000,6.15700000,5.96900000,6.01000000,1079228.71000000
1736193600000,6.00800000,6.03100000,5.90900000,5.98600000,798534.74000000
1736208000000,5.98600000,5.98900000,5.90400000,5.95800000,761543.56000000
1736222400000,5.95800000,6.10300000,5.91900000,6.03300000,1002485.78000000
1736236800000,6.03400000,6.10400000,5.93000000,5.98200000,1318046.03000000
1736251200000,5.98300000,6.04400000,5.48100000,5.58200000,6047820.94000000
1736265600000,5.58400000,5.65300000,5.40200000,5.43100000,2606980.71000000
1736280000000,5.43200000,5.46000000,5.33300000,5.35200000,1609426.94000000
1736294400000,5.35300000,5.48800000,5.31000000,5.34400000,1956030.06000000
1736308800000,5.34300000,5.37500000,5.14600000,5.24400000,2329081.52000000
1736323200000,5.24400000,5.33800000,5.16700000,5.21000000,1180357.44000000
1736337600000,5.21100000,5.26500000,5.12700000,5.18700000,1744949.60000000
1736352000000,5.18600000,5.19000000,4.90000000,5.04400000,4116366.06000000
1736366400000,5.04300000,5.14900000,5.00200000,5.11200000,752503.00000000
1736380800000,5.11100000,5.19100000,5.05900000,5.10200000,1393099.13000000
1736395200000,5.10200000,5.14700000,4.98800000,5.00200000,1283993.27000000
1736409600000,5.00100000,5.12400000,4.98000000,5.10000000,1608567.71000000
1736424000000,5.09700000,5.19000000,4.91100000,5.16000000,2602431.49000000
1736438400000,5.15900000,5.18900000,4.99100000,5.00700000,1608755.01000000
1736452800000,5.00700000,5.09800000,4.92000000,5.05100000,1633211.71000000
1736467200000,5.05100000,5.10400000,5.02800000,5.08000000,740368.69000000
1736481600000,5.07900000,5.23000000,5.04300000,5.17600000,1070302.54000000
1736496000000,5.17600000,5.21300000,5.12800000,5.17100000,1152733.33000000
1736510400000,5.17100000,5.22500000,5.01200000,5.12900000,3067137.40000000
1736524800000,5.13000000,5.26200000,5.05900000,5.20100000,1138127.15000000
1736539200000,5.20200000,5.24600000,5.14400000,5.20900000,424892.10000000
1736553600000,5.20900000,5.22000000,5.12300000,5.14300000,611611.56000000
1736568000000,5.14400000,5.18700000,5.12300000,5.14200000,411471.01000000
1736582400000,5.14200000,5.20300000,5.10300000,5.19000000,605232.70000000
1736596800000,5.19100000,5.19600000,5.12900000,5.14900000,435185.07000000
1736611200000,5.14900000,5.17300000,5.11600000,5.14200000,383582.43000000
1736625600000,5.14300000,5.31500000,5.13500000,5.20300000,910246.10000000
