Open time,Open,High,Low,Close,Volume
1735704000000,6.78800000,6.78800000,6.71200000,6.72700000,246503.93000000
1735718400000,6.72900000,6.81300000,6.63300000,6.76400000,435709.16000000
1735732800000,6.76400000,6.93000000,6.73800000,6.92600000,561921.77000000
1735747200000,6.92500000,7.12700000,6.85800000,7.08000000,735752.78000000
1735761600000,7.08200000,7.26900000,7.08100000,7.17800000,592859.63000000
1735776000000,7.17800000,7.37000000,7.15800000,7.35500000,528914.15000000
1735790400000,7.35400000,7.50000000,7.34000000,7.49800000,549399.96000000
1735804800000,7.49800000,7.88400000,7.49800000,7.74000000,1306831.88000000
1735819200000,7.74100000,7.79400000,7.53800000,7.57700000,1173360.56000000
1735833600000,7.57800000,7.70800000,7.54200000,7.70800000,609028.19000000
1735848000000,7.70900000,7.78200000,7.55200000,7.63000000,489943.15000000
1735862400000,7.63200000,7.71700000,7.53500000,7.68500000,464880.06000000
1735876800000,7.68600000,7.68600000,7.47300000,7.50300000,432553.48000000
1735891200000,7.50300000,7.87600000,7.48500000,7.87500000,697031.88000000
1735905600000,7.87200000,8.07500000,7.73900000,8.06600000,1142970.11000000
1735920000000,8.06600000,8.14300000,7.97100000,8.05100000,910572.20000000
1735934400000,8.05100000,8.08300000,7.97300000,8.06200000,379053.24000000
1735948800000,8.06200000,8.08800000,7.92500000,8.03800000,554252.41000000
1735963200000,8.03700000,8.08900000,7.96000000,8.08900000,417464.93000000
1735977600000,8.08900000,8.10200000,7.93300000,8.07300000,361304.11000000
1735992000000,8.07300000,8.25000000,7.94100000,7.98900000,1128653.40000000
1736006400000,7.98900000,8.14400000,7.96900000,8.11200000,456351.37000000
1736020800000,8.11300000,8.14300000,8.01700000,8.06300000,381639.27000000
1736035200000,8.06300000,8.09300000,7.99500000,8.08000000,281289.49000000
1736049600000,8.08000000,8.16200000,8.03100000,8.09400000,299059.64000000
1736064000000,8.09400000,8.11600000,7.96800000,8.00300000,499539.47000000
1736078400000,8.00500000,8.10000000,7.91300000,8.07300000,508591.80000000
1736092800000,8.07300000,8.13600000,7.97500000,8.12200000,360353.66000000
1736107200000,8.12200000,8.45000000,8.08000000,8.27800000,892641.45000000
1736121600000,8.28100000,8.38900000,8.08700000,8.27700000,851162.58000000
1736136000000,8.28100000,8.52100000,8.22300000,8.43700000,854001.19000000
1736150400000,8.43700000,8.73700000,8.43600000,8.72200000,1323773.48000000
1736164800000,8.72100000,8.99600000,8.58800000,8.94300000,1902063.53000000
1736179200000,8.94700000,9.02400000,8.78500000,8.91100000,1307685.83000000
1736193600000,8.91000000,8.95500000,8.73300000,8.91200000,847380.27000000
1736208000000,8.91100000,8.92300000,8.65300000,8.76700000,510320.89000000
1736222400000,8.76900000,8.77500000,8.63100000,8.65000000,459324.30000000
1736236800000,8.65100000,8.74900000,8.51100000,8.57500000,609782.50000000
1736251200000,8.57800000,8.71900000,8.23000000,8.38800000,2472797.64000000
1736265600000,8.38500000,8.54700000,8.10800000,8.14600000,1795860.39000000
1736280000000,8.14600000,8.28300000,8.03100000,8.10100000,1295439.09000000
1736294400000,8.09900000,8.24800000,7.94100000,7.99300000,1215721.92000000
1736308800000,7.99400000,8.04200000,7.55300000,7.84700000,1901696.17000000
1736323200000,7.84600000,8.04000000,7.69200000,7.72800000,1099597.11000000
1736337600000,7.73000000,7.81200000,7.56500000,7.62800000,1269672.40000000
1736352000000,7.62900000,7.64200000,7.11000000,7.42400000,2270426.65000000
1736366400000,7.42300000,7.63500000,7.32000000,7.56800000,768670.01000000
1736380800000,7.56700000,7.64000000,7.35800000,7.38500000,913823.94000000
1736395200000,7.38300000,7.46800000,7.15100000,7.18700000,668799.40000000
1736409600000,7.18800000,7.36300000,7.13600000,7.22800000,914975.84000000
1736424000000,7.22600000,7.39400000,6.89900000,7.33500000,1828544.88000000
1736438400000,7.33600000,7.42000000,6.99600000,7.01100000,1368512.92000000
1736452800000,7.01000000,7.11700000,6.89200000,7.02600000,828825.08000000
1736467200000,7.02700000,7.29000000,7.02600000,7.25900000,596735.12000000
1736481600000,7.25900000,7.75900000,7.25300000,7.58800000,2059065.86000000
1736496000000,7.58600000,7.65200000,7.45400000,7.50200000,778234.13000000
1736510400000,7.50300000,7.52800000,7.09500000,7.27900000,1952242.38000000
