Open time,Open,High,Low,Close,Volume
1735704000000,0.40050000,0.40130000,0.39720000,0.39880000,4093676.90000000
1735718400000,0.39880000,0.40060000,0.39030000,0.39910000,9027026.80000000
1735732800000,0.39910000,0.40800000,0.39790000,0.40690000,10713370.70000000
1735747200000,0.40690000,0.42160000,0.40270000,0.42000000,12657557.50000000
1735761600000,0.42010000,0.42440000,0.41870000,0.42080000,6644985.70000000
1735776000000,0.42080000,0.42890000,0.42080000,0.42380000,9056285.60000000
1735790400000,0.42380000,0.43350000,0.42380000,0.43170000,8618647.80000000
1735804800000,0.43180000,0.43680000,0.42650000,0.43560000,10779736.10000000
1735819200000,0.43560000,0.44090000,0.42900000,0.43130000,11604672.20000000
1735833600000,0.43140000,0.43560000,0.42740000,0.42940000,6829924.40000000
1735848000000,0.42950000,0.43360000,0.42150000,0.43050000,9197565.70000000
1735862400000,0.43060000,0.43260000,0.42360000,0.43100000,7081222.90000000
1735876800000,0.43110000,0.43110000,0.41930000,0.42010000,7799192.10000000
1735891200000,0.42020000,0.44310000,0.42020000,0.44260000,12478068.10000000
1735905600000,0.44260000,0.45790000,0.43790000,0.45710000,19997978.50000000
1735920000000,0.45720000,0.46090000,0.45400000,0.45780000,13879146.60000000
1735934400000,0.45770000,0.45790000,0.45160000,0.45770000,8651853.60000000
1735948800000,0.45770000,0.45860000,0.44910000,0.45620000,7651555.10000000
1735963200000,0.45620000,0.46610000,0.45110000,0.46340000,9606325.20000000
1735977600000,0.46340000,0.46340000,0.45290000,0.46200000,12224763.70000000
1735992000000,0.46200000,0.48040000,0.46100000,0.46590000,26987794.00000000
1736006400000,0.46580000,0.47010000,0.46170000,0.46680000,8290202.70000000
1736020800000,0.46690000,0.47640000,0.46690000,0.47090000,10072075.80000000
1736035200000,0.47090000,0.47120000,0.46160000,0.46400000,5796615.20000000
1736049600000,0.46390000,0.46800000,0.46190000,0.46370000,5378581.50000000
1736064000000,0.46370000,0.46480000,0.45320000,0.45820000,10239789.20000000
1736078400000,0.45820000,0.46030000,0.44930000,0.45710000,14435298.50000000
1736092800000,0.45720000,0.45950000,0.45020000,0.45630000,7759385.50000000
1736107200000,0.45630000,0.46200000,0.44990000,0.45850000,12412701.40000000
1736121600000,0.45860000,0.46400000,0.44700000,0.46020000,17431861.50000000
1736136000000,0.46040000,0.46610000,0.45520000,0.45770000,12938998.50000000
1736150400000,0.45760000,0.46190000,0.45120000,0.46090000,13009412.40000000
1736164800000,0.46090000,0.47180000,0.45380000,0.47050000,22437784.90000000
1736179200000,0.47070000,0.47920000,0.46190000,0.46640000,17498562.20000000
1736193600000,0.46630000,0.47080000,0.45900000,0.46450000,9828561.30000000
1736208000000,0.46440000,0.46670000,0.45460000,0.45790000,9260796.90000000
1736222400000,0.45790000,0.46600000,0.45440000,0.45980000,7301776.00000000
1736236800000,0.45990000,0.46680000,0.44980000,0.45380000,14147885.10000000
1736251200000,0.45400000,0.45890000,0.42790000,0.43430000,48625324.00000000
1736265600000,0.43430000,0.43860000,0.41840000,0.41990000,25527857.70000000
1736280000000,0.42000000,0.42450000,0.41350000,0.41380000,18358279.20000000
1736294400000,0.41380000,0.41890000,0.40300000,0.40510000,21634081.10000000
1736308800000,0.40510000,0.40640000,0.39110000,0.39780000,21705199.50000000
1736323200000,0.39770000,0.40460000,0.39180000,0.39490000,19505686.90000000
1736337600000,0.39510000,0.40160000,0.39180000,0.39730000,20776765.70000000
1736352000000,0.39730000,0.39830000,0.37260000,0.38800000,47862189.70000000
1736366400000,0.38790000,0.39780000,0.38460000,0.39510000,13148087.10000000
1736380800000,0.39500000,0.40030000,0.38930000,0.39100000,10849888.90000000
1736395200000,0.39080000,0.39290000,0.37900000,0.38040000,11771575.90000000
1736409600000,0.38020000,0.38880000,0.37840000,0.38430000,11510103.70000000
1736424000000,0.38440000,0.39100000,0.36910000,0.38780000,25606392.40000000
1736438400000,0.38780000,0.39150000,0.37290000,0.37400000,19006864.00000000
1736452800000,0.37410000,0.37670000,0.36650000,0.37440000,21825561.50000000
1736467200000,0.37440000,0.38020000,0.37280000,0.37970000,10288443.10000000
1736481600000,0.37970000,0.39400000,0.37810000,0.39140000,16150789.80000000
1736496000000,0.39140000,0.39420000,0.38750000,0.39080000,13044926.30000000
1736510400000,0.39080000,0.39180000,0.37300000,0.38170000,34699090.90000000
1736524800000,0.38180000,0.39300000,0.37600000,0.39230000,16806280.90000000
1736539200000,0.39230000,0.39230000,0.38410000,0.38900000,8425505.90000000
1736553600000,0.38890000,0.39090000,0.38290000,0.38370000,8176679.10000000
1736568000000,0.38380000,0.38760000,0.38110000,0.38450000,5837321.80000000
1736582400000,0.38450000,0.38930000,0.38100000,0.38850000,6084644.70000000
1736596800000,0.38850000,0.38890000,0.38180000,0.38370000,5786085.50000000
1736611200000,0.38370000,0.38570000,0.38060000,0.38260000,6604164.10000000
1736625600000,0.38280000,0.39590000,0.38190000,0.38900000,10372379.30000000
1736640000000,0.38900000,0.39280000,0.38770000,0.39110000,5947659.60000000
1736654400000,0.39110000,0.39350000,0.38490000,0.38690000,4908386.70000000
1736668800000,0.38680000,0.38860000,0.38040000,0.38730000,4911644.10000000
1736683200000,0.38740000,0.39260000,0.38460000,0.39230000,9995100.60000000
1736697600000,0.39240000,0.39340000,0.38630000,0.38700000,5867735.20000000
1736712000000,0.38710000,0.38870000,0.37590000,0.38260000,8404313.10000000
1736726400000,0.38270000,0.39230000,0.36800000,0.37060000,18096819.50000000
1736740800000,0.37050000,0.37890000,0.36070000,0.36430000,18910030.30000000
1736755200000,0.36430000,0.36480000,0.34290000,0.34300000,28597506.40000000
1736769600000,0.34300000,0.36000000,0.33820000,0.35330000,38404011.20000000
1736784000000,0.35330000,0.35540000,0.33860000,0.34600000,48985754.20000000
1736798400000,0.34600000,0.36750000,0.34300000,0.36420000,19406148.90000000
1736812800000,0.36430000,0.37000000,0.36200000,0.36480000,7777003.70000000
1736827200000,0.36490000,0.37110000,0.36490000,0.36600000,6526314.10000000
1736841600000,0.36590000,0.38240000,0.36590000,0.37450000,15934640.20000000
1736856000000,0.37460000,0.38000000,0.36970000,0.37550000,17600192.40000000
1736870400000,0.37540000,0.37860000,0.37130000,0.37540000,11675057.40000000
1736884800000,0.37540000,0.38080000,0.37270000,0.37740000,7737412.00000000
1736899200000,0.37740000,0.38360000,0.37530000,0.38010000,14198013.60000000
1736913600000,0.38020000,0.38250000,0.37570000,0.37970000,7882155.80000000
1736928000000,0.37970000,0.38210000,0.36710000,0.37020000,12929601.20000000
1736942400000,0.37020000,0.40170000,0.36730000,0.39660000,45615403.80000000
1736956800000,0.39670000,0.40380000,0.39050000,0.40280000,14831628.50000000
1736971200000,0.40290000,0.40730000,0.39780000,0.40580000,10803009.50000000
1736985600000,0.40590000,0.40720000,0.39590000,0.40020000,9707463.90000000
1737000000000,0.40030000,0.40470000,0.39890000,0.40240000,3957011.70000000
1737014400000,0.40240000,0.40620000,0.39100000,0.40500000,16102044.70000000
1737028800000,0.40500000,0.41700000,0.39720000,0.40790000,40928207.80000000
1737043200000,0.40790000,0.41790000,0.40700000,0.41550000,20675522.30000000
1737057600000,0.41550000,0.41690000,0.40090000,0.40430000,16853294.20000000
1737072000000,0.40440000,0.41320000,0.40320000,0.40810000,14645906.10000000
1737086400000,0.40810000,0.41520000,0.40660000,0.41160000,12887284.60000000
1737100800000,0.41150000,0.42290000,0.41040000,0.41990000,18821682.60000000
1737115200000,0.41990000,0.42420000,0.41380000,0.42020000,19596236.10000000
1737129600000,0.42020000,0.42600000,0.41440000,0.41780000,13172434.50000000
1737144000000,0.41790000,0.42820000,0.41700000,0.42380000,14434764.90000000
1737158400000,0.42380000,0.43390000,0.41050000,0.41180000,18357192.60000000
1737172800000,0.41180000,0.41470000,0.39510000,0.39680000,21557720.30000000
1737187200000,0.39680000,0.40240000,0.39080000,0.40090000,15155058.20000000
1737201600000,0.40090000,0.40240000,0.39170000,0.39440000,15329600.00000000
1737216000000,0.39450000,0.39700000,0.38420000,0.39080000,24485750.40000000
1737230400000,0.39080000,0.39480000,0.38420000,0.39350000,9729264.40000000
1737244800000,0.39350000,0.40340000,0.39140000,0.39310000,10870632.90000000
