Open time,Open,High,Low,Close,Volume
1714536000000,1.38900000,1.39800000,1.25900000,1.27600000,3614031.32000000
1714550400000,1.27600000,1.38100000,1.23800000,1.38100000,3849402.95000000
1714564800000,1.38000000,1.40000000,1.34600000,1.36600000,2188227.36000000
1714579200000,1.36500000,1.43800000,1.34100000,1.35900000,2550834.04000000
1714593600000,1.36000000,1.38500000,1.34600000,1.37700000,1150099.92000000
1714608000000,1.37700000,1.38100000,1.30800000,1.32400000,1223829.94000000
1714622400000,1.32300000,1.33400000,1.30400000,1.32000000,800887.61000000
1714636800000,1.32100000,1.38600000,1.31500000,1.38200000,1585718.68000000
1714651200000,1.38200000,1.41100000,1.34900000,1.38100000,3218935.96000000
1714665600000,1.38100000,1.39900000,1.35800000,1.38600000,1259327.41000000
1714680000000,1.38600000,1.39600000,1.35800000,1.38300000,1066649.12000000
1714694400000,1.38300000,1.43800000,1.36900000,1.41800000,1743279.39000000
1714708800000,1.41700000,1.43800000,1.39800000,1.41400000,1473597.89000000
1714723200000,1.41400000,1.48900000,1.39400000,1.44500000,4284338.21000000
1714737600000,1.44500000,1.47400000,1.42800000,1.44800000,3747214.64000000
1714752000000,1.44700000,1.47300000,1.43200000,1.46700000,1504635.98000000
1714766400000,1.46700000,1.48900000,1.45300000,1.45600000,1291704.92000000
1714780800000,1.45500000,1.46500000,1.42500000,1.44900000,1159736.38000000
1714795200000,1.45000000,1.47300000,1.45000000,1.46100000,1197886.59000000
1714809600000,1.46000000,1.52600000,1.45900000,1.49000000,2485441.97000000
1714824000000,1.49000000,1.49200000,1.45000000,1.47600000,1498343.79000000
1714838400000,1.47700000,1.47900000,1.45200000,1.47500000,978919.56000000
1714852800000,1.47600000,1.48200000,1.44000000,1.44600000,826358.20000000
1714867200000,1.44500000,1.45600000,1.37700000,1.39100000,1532060.43000000
1714881600000,1.39100000,1.40700000,1.37700000,1.40000000,711926.02000000
1714896000000,1.40000000,1.42100000,1.39100000,1.40500000,1363253.31000000
1714910400000,1.40500000,1.44000000,1.38000000,1.43700000,1558644.98000000
1714924800000,1.43700000,1.47100000,1.42700000,1.44500000,1344602.43000000
1714939200000,1.44500000,1.44800000,1.41100000,1.43300000,627135.10000000
1714953600000,1.43300000,1.47200000,1.41900000,1.43000000,973905.30000000
1714968000000,1.43000000,1.48200000,1.42100000,1.47600000,1524597.13000000
1714982400000,1.47600000,1.48700000,1.41300000,1.43000000,2836754.99000000
1714996800000,1.43000000,1.43200000,1.37000000,1.39200000,2888971.26000000
1715011200000,1.39100000,1.39500000,1.35400000,1.38200000,1628461.23000000
1715025600000,1.38200000,1.41900000,1.37800000,1.41100000,1124818.91000000
1715040000000,1.41100000,1.44600000,1.37400000,1.39700000,1689126.29000000
1715054400000,1.39600000,1.43300000,1.38500000,1.39800000,1345543.86000000
1715068800000,1.39900000,1.44000000,1.38000000,1.38300000,2372837.74000000
1715083200000,1.38400000,1.42500000,1.36100000,1.40400000,2307583.07000000
1715097600000,1.40400000,1.41500000,1.36200000,1.36600000,1486028.35000000
1715112000000,1.36600000,1.37000000,1.31500000,1.32500000,1388653.58000000
1715126400000,1.32400000,1.34200000,1.31600000,1.32700000,974828.26000000
1715140800000,1.32800000,1.32800000,1.28200000,1.29000000,2009664.67000000
1715155200000,1.28900000,1.29700000,1.27000000,1.27700000,1570506.22000000
1715169600000,1.27700000,1.31600000,1.26500000,1.29700000,2501713.24000000
1715184000000,1.29600000,1.29600000,1.25500000,1.26200000,1505430.30000000
1715198400000,1.26200000,1.26700000,1.21400000,1.23100000,1966385.60000000
1715212800000,1.23100000,1.27100000,1.22500000,1.24400000,1326476.51000000
1715227200000,1.24400000,1.25200000,1.22200000,1.22800000,1613103.92000000
1715241600000,1.22700000,1.23400000,1.20200000,1.22400000,1193410.71000000
1715256000000,1.22400000,1.25000000,1.21200000,1.24500000,1463306.15000000
1715270400000,1.24400000,1.25800000,1.22500000,1.25400000,1054249.64000000
1715284800000,1.25400000,1.28400000,1.24700000,1.26500000,817744.02000000
1715299200000,1.26500000,1.27700000,1.24900000,1.25600000,836360.14000000
1715313600000,1.25700000,1.28300000,1.25400000,1.26900000,1005829.43000000
1715328000000,1.26900000,1.27600000,1.25900000,1.27400000,908118.32000000
1715342400000,1.27400000,1.27500000,1.18500000,1.20300000,2769236.89000000
1715356800000,1.20200000,1.20800000,1.15800000,1.17900000,2191547.01000000
1715371200000,1.17900000,1.19600000,1.17300000,1.19100000,917884.85000000
1715385600000,1.19100000,1.21000000,1.18200000,1.19700000,794268.17000000
1715400000000,1.19600000,1.21800000,1.18000000,1.21200000,553278.45000000
1715414400000,1.21200000,1.21900000,1.17700000,1.18900000,888323.21000000
1715428800000,1.19000000,1.26300000,1.19000000,1.25600000,2277848.54000000
1715443200000,1.25600000,1.25800000,1.23100000,1.23300000,912544.00000000
1715457600000,1.23400000,1.23500000,1.20500000,1.21100000,654809.35000000
1715472000000,1.21100000,1.21600000,1.19900000,1.20800000,605783.53000000
1715486400000,1.20800000,1.27000000,1.20400000,1.24100000,1864831.23000000
1715500800000,1.24000000,1.25300000,1.21700000,1.24300000,1547630.71000000
1715515200000,1.24400000,1.25000000,1.21600000,1.23700000,1205924.91000000
1715529600000,1.23700000,1.24300000,1.19400000,1.20200000,878951.62000000
1715544000000,1.20200000,1.20300000,1.17000000,1.18300000,1112618.52000000
1715558400000,1.18200000,1.18700000,1.08200000,1.09800000,3226216.40000000
1715572800000,1.09800000,1.16300000,1.08800000,1.15900000,2308045.20000000
1715587200000,1.15900000,1.17300000,1.10100000,1.11600000,3945158.88000000
1715601600000,1.11600000,1.11600000,1.03800000,1.07100000,5972532.53000000
