Open time,Open,High,Low,Close,Volume
1714536000000,1.17100000,1.17800000,1.10000000,1.11800000,3918257.91000000
1714550400000,1.11800000,1.14800000,1.09200000,1.14800000,2147785.12000000
1714564800000,1.14800000,1.17000000,1.14500000,1.15900000,1884780.17000000
1714579200000,1.15800000,1.21700000,1.15000000,1.18100000,3293272.01000000
1714593600000,1.18200000,1.19600000,1.16500000,1.17400000,1191052.70000000
1714608000000,1.17300000,1.17900000,1.14200000,1.16200000,1568579.81000000
1714622400000,1.16100000,1.17400000,1.15300000,1.16500000,822400.86000000
1714636800000,1.16500000,1.18900000,1.16200000,1.18500000,1114734.28000000
1714651200000,1.18500000,1.20900000,1.17800000,1.20000000,1669781.15000000
1714665600000,1.20100000,1.20600000,1.19100000,1.20600000,1328472.85000000
1714680000000,1.20600000,1.21400000,1.19200000,1.20400000,847149.68000000
1714694400000,1.20300000,1.23000000,1.20000000,1.21700000,1162141.21000000
1714708800000,1.21700000,1.22500000,1.20200000,1.21000000,1001584.29000000
1714723200000,1.20900000,1.21600000,1.19400000,1.20200000,806150.51000000
1714737600000,1.20300000,1.23800000,1.19900000,1.23300000,2079889.80000000
1714752000000,1.23300000,1.24100000,1.22800000,1.23600000,918680.40000000
1714766400000,1.23600000,1.25500000,1.23500000,1.24300000,1182700.22000000
1714780800000,1.24400000,1.25200000,1.23400000,1.24300000,907034.40000000
1714795200000,1.24300000,1.24900000,1.23900000,1.24000000,495058.53000000
1714809600000,1.24000000,1.26600000,1.24000000,1.25000000,970181.68000000
1714824000000,1.25000000,1.25700000,1.23900000,1.25000000,995441.22000000
1714838400000,1.24900000,1.25900000,1.24400000,1.25400000,722537.17000000
1714852800000,1.25400000,1.25700000,1.23700000,1.23900000,694440.85000000
1714867200000,1.23800000,1.24400000,1.21300000,1.22400000,1233637.25000000
1714881600000,1.22300000,1.22600000,1.20900000,1.22200000,654384.00000000
1714896000000,1.22200000,1.23500000,1.22100000,1.23200000,603915.08000000
1714910400000,1.23300000,1.27500000,1.22200000,1.26900000,1659900.95000000
1714924800000,1.26800000,1.28100000,1.25500000,1.26400000,1282239.93000000
1714939200000,1.26400000,1.26700000,1.25300000,1.26300000,484279.77000000
1714953600000,1.26300000,1.27800000,1.25500000,1.26400000,658755.28000000
1714968000000,1.26300000,1.29900000,1.25900000,1.29800000,904051.08000000
1714982400000,1.29700000,1.32100000,1.28100000,1.29000000,2719551.28000000
1714996800000,1.29100000,1.29200000,1.24100000,1.26700000,3675006.79000000
1715011200000,1.26600000,1.27700000,1.25200000,1.26100000,1654762.22000000
