Open time,Open,High,Low,Close,Volume
1714608000000,2.15500000,2.28600000,2.07200000,2.24300000,988207.59000000
1714694400000,2.24400000,2.48400000,2.22800000,2.39300000,2163726.29000000
1714780800000,2.39300000,2.43000000,2.37300000,2.38300000,934185.01000000
1714867200000,2.38300000,2.52100000,2.32500000,2.46300000,953543.67000000
1714953600000,2.46100000,2.52100000,2.32800000,2.33200000,1510510.45000000
1715040000000,2.33100000,2.44100000,2.27600000,2.27600000,1653502.87000000
1715126400000,2.27500000,2.72100000,2.23700000,2.56000000,6176330.26000000
1715212800000,2.55900000,2.79300000,2.41500000,2.48600000,6678800.14000000
1715299200000,2.48700000,2.56200000,2.28500000,2.30900000,2254535.72000000
1715385600000,2.30900000,2.50300000,2.30400000,2.35200000,1864640.76000000
1715472000000,2.35200000,2.46400000,2.31900000,2.33300000,1581465.99000000
1715558400000,2.33400000,2.35400000,2.16500000,2.26700000,1639952.43000000
1715644800000,2.26800000,2.28200000,2.14400000,2.15800000,1185717.08000000
1715731200000,2.15800000,2.38700000,2.13200000,2.35500000,1081089.16000000
1715817600000,2.35500000,2.49900000,2.30500000,2.44900000,1742421.17000000
1715904000000,2.44900000,2.63800000,2.43700000,2.55500000,2796928.91000000
1715990400000,2.55500000,2.64800000,2.53000000,2.55500000,1367666.24000000
1716076800000,2.55600000,2.55800000,2.44300000,2.49300000,986049.84000000
1716163200000,2.49300000,2.65900000,2.39700000,2.64700000,2669705.06000000
1716249600000,2.64700000,2.69600000,2.57200000,2.63800000,1765546.26000000
1716336000000,2.63900000,2.84700000,2.58100000,2.74300000,2660431.09000000
1716422400000,2.74400000,3.01000000,2.66100000,2.87600000,4156154.04000000
1716508800000,2.87600000,2.93700000,2.68300000,2.78600000,1279110.74000000
1716595200000,2.78600000,2.92800000,2.73500000,2.78300000,996568.81000000
1716681600000,2.78600000,2.80400000,2.67500000,2.71400000,713620.67000000
1716768000000,2.71500000,3.25000000,2.70800000,3.06800000,5241182.88000000
1716854400000,3.06800000,3.21600000,2.94600000,3.02800000,2792293.25000000
1716940800000,3.02900000,3.37000000,2.94100000,3.10100000,5801566.13000000
1717027200000,3.10100000,3.21300000,2.94400000,3.03600000,2666793.69000000
