Open time,Open,High,Low,Close,Volume
1714536000000,0.09970000,0.10030000,0.09560000,0.09610000,1435712.00000000
1714550400000,0.09610000,0.09880000,0.09350000,0.09880000,2197582.00000000
1714564800000,0.09870000,0.09900000,0.09600000,0.09630000,2643758.00000000
1714579200000,0.09630000,0.10080000,0.09510000,0.09840000,5272339.00000000
1714593600000,0.09820000,0.10130000,0.09780000,0.10060000,1410382.00000000
1714608000000,0.10060000,0.10230000,0.09660000,0.09820000,2531604.00000000
1714622400000,0.09810000,0.09870000,0.09680000,0.09860000,1584582.00000000
1714636800000,0.09850000,0.10280000,0.09790000,0.10200000,2803870.00000000
1714651200000,0.10210000,0.10350000,0.10070000,0.10270000,2886169.00000000
1714665600000,0.10280000,0.10360000,0.10170000,0.10230000,2933415.00000000
1714680000000,0.10230000,0.10420000,0.10170000,0.10280000,2742572.00000000
1714694400000,0.10280000,0.10440000,0.10210000,0.10290000,5237702.00000000
1714708800000,0.10290000,0.10340000,0.10150000,0.10200000,2727873.00000000
1714723200000,0.10200000,0.10260000,0.10080000,0.10180000,3004601.00000000
1714737600000,0.10190000,0.10570000,0.10160000,0.10520000,3736878.00000000
1714752000000,0.10520000,0.10660000,0.10500000,0.10610000,2447625.00000000
1714766400000,0.10610000,0.10720000,0.10560000,0.10620000,2521474.00000000
1714780800000,0.10620000,0.10650000,0.10390000,0.10490000,2860964.00000000
1714795200000,0.10490000,0.10570000,0.10450000,0.10500000,1470731.00000000
1714809600000,0.10490000,0.10710000,0.10490000,0.10580000,3076256.00000000
1714824000000,0.10570000,0.10670000,0.10560000,0.10570000,3013082.00000000
1714838400000,0.10560000,0.10590000,0.10460000,0.10540000,2559877.00000000
1714852800000,0.10530000,0.10570000,0.10430000,0.10510000,1845324.00000000
1714867200000,0.10500000,0.10510000,0.10290000,0.10360000,2194917.00000000
1714881600000,0.10350000,0.10410000,0.10280000,0.10380000,883940.00000000
1714896000000,0.10380000,0.10460000,0.10360000,0.10430000,1139477.00000000
1714910400000,0.10430000,0.10640000,0.10360000,0.10610000,1880736.00000000
1714924800000,0.10620000,0.10640000,0.10480000,0.10540000,1069661.00000000
1714939200000,0.10540000,0.10560000,0.10470000,0.10510000,901192.00000000
1714953600000,0.10510000,0.10570000,0.10340000,0.10370000,1534936.00000000
1714968000000,0.10380000,0.10630000,0.10360000,0.10610000,1849648.00000000
1714982400000,0.10600000,0.10730000,0.10440000,0.10500000,2811135.00000000
1714996800000,0.10500000,0.10530000,0.10310000,0.10410000,2684741.00000000
1715011200000,0.10400000,0.10430000,0.10260000,0.10310000,1832017.00000000
1715025600000,0.10310000,0.10480000,0.10280000,0.10300000,1562491.00000000
1715040000000,0.10280000,0.10530000,0.10230000,0.10360000,2696538.00000000
1715054400000,0.10360000,0.10380000,0.10270000,0.10360000,1413971.00000000
1715068800000,0.10370000,0.10670000,0.10350000,0.10510000,3309053.00000000
1715083200000,0.10500000,0.10610000,0.10390000,0.10500000,2477495.00000000
