Open time,Open,High,Low,Close,Volume
1714536000000,3.70400000,3.74200000,3.43400000,3.49900000,190480.00000000
1714550400000,3.50000000,3.56200000,3.43400000,3.56200000,105689.30000000
1714564800000,3.55800000,3.60600000,3.47000000,3.47300000,92048.60000000
1714579200000,3.47300000,3.66500000,3.44800000,3.55700000,188211.40000000
1714593600000,3.55700000,3.75400000,3.54200000,3.70000000,120821.20000000
1714608000000,3.70400000,3.70700000,3.58900000,3.61900000,29762.40000000
1714622400000,3.61600000,3.67500000,3.59200000,3.62000000,46810.10000000
1714636800000,3.62000000,3.68500000,3.59300000,3.68200000,64341.40000000
1714651200000,3.68300000,3.70200000,3.60700000,3.67800000,87914.20000000
1714665600000,3.67800000,3.77500000,3.60200000,3.63000000,206738.90000000
1714680000000,3.63000000,3.66300000,3.57000000,3.60500000,173828.90000000
1714694400000,3.60700000,3.64900000,3.58700000,3.61400000,55480.60000000
1714708800000,3.61400000,3.62100000,3.57600000,3.58200000,56444.10000000
1714723200000,3.58300000,3.58800000,3.50600000,3.53800000,97996.30000000
1714737600000,3.53800000,3.64000000,3.52000000,3.61800000,159798.80000000
1714752000000,3.62300000,3.65500000,3.60100000,3.61200000,59179.80000000
1714766400000,3.61600000,3.65900000,3.61300000,3.61800000,50543.00000000
1714780800000,3.62300000,3.63800000,3.57500000,3.62500000,42723.70000000
1714795200000,3.62200000,3.70800000,3.62000000,3.64400000,81753.20000000
1714809600000,3.64400000,3.66300000,3.61100000,3.62500000,63592.80000000
1714824000000,3.62700000,3.65800000,3.60600000,3.64900000,59662.50000000
1714838400000,3.64700000,3.67500000,3.60700000,3.65900000,109204.30000000
1714852800000,3.65900000,3.75000000,3.62800000,3.70200000,106175.60000000
1714867200000,3.69700000,3.70800000,3.62900000,3.64800000,37220.70000000
1714881600000,3.64500000,3.68900000,3.63200000,3.64700000,61846.40000000
1714896000000,3.64700000,3.67400000,3.61400000,3.65900000,65360.90000000
1714910400000,3.65300000,3.65900000,3.59600000,3.61400000,86591.10000000
1714924800000,3.60900000,3.63800000,3.59900000,3.61800000,50204.10000000
1714939200000,3.61900000,3.64000000,3.57200000,3.60100000,50831.50000000
1714953600000,3.60100000,3.62800000,3.55100000,3.56500000,34378.20000000
1714968000000,3.57400000,3.63600000,3.55400000,3.62300000,47563.80000000
1714982400000,3.62600000,3.65600000,3.57100000,3.58600000,107959.20000000
1714996800000,3.58500000,3.59900000,3.51700000,3.57100000,78951.90000000
1715011200000,3.57100000,3.58200000,3.49200000,3.51700000,52739.60000000
1715025600000,3.51700000,3.53100000,3.41600000,3.43400000,97081.70000000
1715040000000,3.43400000,3.47700000,3.40400000,3.41500000,67979.60000000
1715054400000,3.41500000,3.41600000,3.34600000,3.38300000,86451.40000000
1715068800000,3.38400000,3.47700000,3.38000000,3.43300000,78342.40000000
1715083200000,3.43300000,3.50600000,3.41600000,3.45700000,61704.30000000
1715097600000,3.45800000,3.60400000,3.42100000,3.55600000,244012.90000000
1715112000000,3.55700000,3.56500000,3.39600000,3.40100000,126875.20000000
1715126400000,3.40100000,3.40900000,3.32200000,3.33500000,58199.90000000
1715140800000,3.33500000,3.34100000,3.22600000,3.23800000,116885.90000000
1715155200000,3.23400000,3.29200000,3.23200000,3.24900000,65045.80000000
