Open time,Open,High,Low,Close,Volume
1714536000000,2.49500000,2.49900000,2.36100000,2.37100000,91643.93000000
1714550400000,2.37000000,2.38600000,2.31600000,2.38400000,185064.99000000
1714564800000,2.38100000,2.42300000,2.34800000,2.36400000,113329.61000000
1714579200000,2.36000000,2.45900000,2.35000000,2.39000000,151882.81000000
1714593600000,2.39000000,2.43900000,2.37000000,2.42300000,81279.16000000
1714608000000,2.42200000,2.44100000,2.35200000,2.38100000,54475.77000000
1714622400000,2.38400000,2.41700000,2.36200000,2.39800000,48806.14000000
1714636800000,2.39800000,2.45100000,2.39300000,2.44800000,67325.09000000
1714651200000,2.44500000,2.46500000,2.39900000,2.43300000,155475.14000000
1714665600000,2.43400000,2.44700000,2.42100000,2.43600000,76054.80000000
1714680000000,2.44100000,2.47400000,2.43400000,2.45900000,116219.66000000
1714694400000,2.46300000,2.51400000,2.45000000,2.48700000,51485.29000000
1714708800000,2.48600000,2.50200000,2.45900000,2.46900000,55659.97000000
1714723200000,2.46900000,2.48900000,2.43500000,2.45200000,49253.84000000
1714737600000,2.45200000,2.53500000,2.44200000,2.53100000,158437.97000000
1714752000000,2.52900000,2.54800000,2.51200000,2.53800000,69820.43000000
1714766400000,2.53800000,2.56800000,2.52400000,2.53700000,57014.49000000
1714780800000,2.53500000,2.55500000,2.52400000,2.53800000,45555.71000000
1714795200000,2.54100000,2.56000000,2.52800000,2.53300000,40574.45000000
1714809600000,2.53600000,2.55100000,2.51200000,2.52300000,68636.58000000
1714824000000,2.52300000,2.55300000,2.52100000,2.54600000,59602.66000000
1714838400000,2.54600000,2.62400000,2.53400000,2.60000000,207134.98000000
1714852800000,2.60200000,2.61000000,2.56200000,2.58000000,67518.39000000
1714867200000,2.58000000,2.58600000,2.51900000,2.53000000,47142.19000000
1714881600000,2.53200000,2.55200000,2.51400000,2.53800000,66848.50000000
1714896000000,2.53500000,2.56000000,2.53200000,2.54300000,51481.74000000
1714910400000,2.54400000,2.57900000,2.52500000,2.57700000,48146.84000000
1714924800000,2.57700000,2.58700000,2.56400000,2.57900000,49061.52000000
1714939200000,2.57900000,2.59700000,2.56000000,2.59100000,47393.58000000
1714953600000,2.58800000,2.61400000,2.56200000,2.57100000,55473.01000000
1714968000000,2.57100000,2.59600000,2.55400000,2.59200000,57740.96000000
1714982400000,2.59300000,2.63300000,2.56700000,2.58500000,114651.61000000
1714996800000,2.58300000,2.59800000,2.51400000,2.54600000,73643.38000000
1715011200000,2.54600000,2.56000000,2.51000000,2.52300000,47329.65000000
1715025600000,2.52800000,2.57000000,2.52300000,2.56100000,57174.25000000
1715040000000,2.56100000,2.58400000,2.52400000,2.53200000,52871.49000000
1715054400000,2.52900000,2.55400000,2.51500000,2.54400000,37099.39000000
1715068800000,2.54400000,2.59700000,2.52600000,2.56800000,59085.16000000
1715083200000,2.56800000,2.61000000,2.56200000,2.58100000,57918.50000000
1715097600000,2.58100000,2.62800000,2.56800000,2.58100000,115966.92000000
1715112000000,2.58000000,2.60400000,2.50700000,2.50800000,142117.96000000
1715126400000,2.50800000,2.53500000,2.48500000,2.52000000,71084.10000000
1715140800000,2.52000000,2.52500000,2.45000000,2.46600000,117615.21000000
1715155200000,2.46900000,2.47400000,2.36100000,2.36200000,269176.94000000
1715169600000,2.36200000,2.44400000,2.35000000,2.41500000,182305.86000000
1715184000000,2.41600000,2.45300000,2.40900000,2.41600000,62660.89000000
1715198400000,2.41600000,2.42800000,2.38000000,2.40800000,81844.38000000
1715212800000,2.40800000,2.44900000,2.38400000,2.41600000,63579.14000000
1715227200000,2.41500000,2.42800000,2.35400000,2.35800000,108105.09000000
1715241600000,2.35600000,2.37000000,2.31200000,2.33300000,73062.61000000
1715256000000,2.33300000,2.37100000,2.32100000,2.36900000,61625.81000000
1715270400000,2.37000000,2.43600000,2.34500000,2.42400000,126756.95000000
1715284800000,2.42400000,2.49500000,2.41200000,2.46700000,186619.30000000
1715299200000,2.46700000,2.52200000,2.46700000,2.50100000,74264.66000000
1715313600000,2.50000000,2.53000000,2.48200000,2.50500000,80569.43000000
1715328000000,2.50200000,2.51900000,2.48200000,2.48800000,71289.20000000
1715342400000,2.48800000,2.49500000,2.35300000,2.37900000,149252.64000000
1715356800000,2.37800000,2.58800000,2.37200000,2.40400000,1052596.80000000
1715371200000,2.40400000,2.44400000,2.38700000,2.38700000,132650.87000000
1715385600000,2.38700000,2.41600000,2.37500000,2.38400000,80985.25000000
1715400000000,2.38700000,2.40800000,2.37200000,2.38700000,72803.43000000
1715414400000,2.38700000,2.70000000,2.38700000,2.69400000,490843.59000000
1715428800000,2.69400000,2.86200000,2.45800000,2.50000000,984346.06000000
1715443200000,2.50000000,2.52000000,2.46300000,2.47800000,142857.80000000
1715457600000,2.47700000,2.60000000,2.45500000,2.48500000,290717.11000000
1715472000000,2.48600000,2.54900000,2.47100000,2.47800000,72544.74000000
1715486400000,2.47500000,2.48800000,2.42900000,2.44100000,81625.00000000
1715500800000,2.43900000,2.46100000,2.42900000,2.43700000,124178.16000000
1715515200000,2.43800000,2.46200000,2.42000000,2.42900000,91627.69000000
1715529600000,2.42800000,2.49100000,2.41100000,2.44600000,116304.89000000
1715544000000,2.44600000,2.48400000,2.41500000,2.47900000,69783.50000000
1715558400000,2.47900000,2.47900000,2.40600000,2.41500000,80801.07000000
1715572800000,2.41600000,2.52300000,2.40800000,2.48100000,126629.53000000
1715587200000,2.48100000,2.49300000,2.42800000,2.44100000,108564.47000000
1715601600000,2.44100000,2.44900000,2.41600000,2.44200000,53554.22000000
1715616000000,2.43900000,2.46600000,2.40000000,2.40700000,168341.83000000
1715630400000,2.40600000,2.43300000,2.40000000,2.40000000,56322.17000000
1715644800000,2.40200000,2.42600000,2.39400000,2.39400000,30766.92000000
1715659200000,2.39500000,2.39700000,2.33900000,2.34400000,121968.78000000
1715673600000,2.34400000,2.37600000,2.31800000,2.33700000,106413.79000000
1715688000000,2.33700000,2.37500000,2.30100000,2.34400000,75663.06000000
1715702400000,2.34300000,2.37200000,2.30900000,2.35700000,106634.52000000
1715716800000,2.35600000,2.36200000,2.33000000,2.34300000,36840.82000000
1715731200000,2.34300000,2.38300000,2.33300000,2.34300000,54255.48000000
1715745600000,2.34300000,2.35300000,2.33700000,2.34700000,16093.50000000
1715760000000,2.34700000,2.37400000,2.30500000,2.33800000,67741.71000000
1715774400000,2.33700000,2.42800000,2.31900000,2.41300000,83399.18000000
1715788800000,2.41300000,2.44600000,2.39600000,2.44500000,36827.21000000
1715803200000,2.44500000,2.45300000,2.42200000,2.44300000,53357.37000000
1715817600000,2.44300000,2.46500000,2.43100000,2.45900000,43272.92000000
1715832000000,2.45900000,2.46700000,2.43800000,2.46500000,27004.52000000
1715846400000,2.46500000,2.47700000,2.43900000,2.45300000,48209.11000000
1715860800000,2.45300000,2.46000000,2.35100000,2.38500000,88419.20000000
1715875200000,2.38500000,2.42400000,2.37300000,2.40400000,44606.81000000
1715889600000,2.40400000,2.43900000,2.39800000,2.42700000,39238.00000000
1715904000000,2.42600000,2.46000000,2.41900000,2.45800000,27871.74000000
1715918400000,2.45800000,2.48200000,2.43700000,2.47800000,51228.01000000
1715932800000,2.47800000,2.48800000,2.46600000,2.48000000,31415.44000000
1715947200000,2.48100000,2.50700000,2.46300000,2.49600000,76398.79000000
1715961600000,2.49500000,2.50900000,2.46400000,2.47800000,48892.23000000
1715976000000,2.47800000,2.50600000,2.46700000,2.48700000,49301.81000000
1715990400000,2.48500000,2.53800000,2.47600000,2.53600000,44808.72000000
1716004800000,2.53500000,2.53800000,2.50100000,2.50800000,51627.58000000
1716019200000,2.51200000,2.52300000,2.50000000,2.51300000,47373.38000000
1716033600000,2.51300000,2.54700000,2.48400000,2.53900000,125282.13000000
1716048000000,2.53900000,2.60600000,2.51200000,2.53400000,211183.17000000
1716062400000,2.53700000,2.54400000,2.50000000,2.51600000,107060.79000000
1716076800000,2.51300000,2.52200000,2.49300000,2.49900000,80854.14000000
1716091200000,2.49800000,2.50900000,2.47400000,2.50200000,77460.33000000
1716105600000,2.50400000,2.53400000,2.48200000,2.50400000,120027.88000000
1716120000000,2.50700000,2.51700000,2.42600000,2.45000000,110502.73000000
1716134400000,2.45000000,2.45800000,2.41300000,2.42300000,78413.34000000
1716148800000,2.42300000,2.44700000,2.40200000,2.41200000,69720.46000000
1716163200000,2.41200000,2.45300000,2.40100000,2.43400000,44357.87000000
1716177600000,2.43400000,2.49900000,2.42800000,2.45500000,40545.53000000
1716192000000,2.45800000,2.48400000,2.43900000,2.46600000,93166.71000000
1716206400000,2.46500000,2.48900000,2.43700000,2.48600000,72072.15000000
1716220800000,2.48600000,2.57100000,2.47300000,2.57100000,145730.36000000
1716235200000,2.57100000,2.61500000,2.54700000,2.60700000,190800.30000000
1716249600000,2.60700000,2.65000000,2.58500000,2.61700000,106102.69000000
1716264000000,2.62000000,2.65100000,2.59700000,2.62300000,96340.39000000
1716278400000,2.62200000,2.67000000,2.62000000,2.65300000,129940.03000000
1716292800000,2.65300000,2.70200000,2.62100000,2.62700000,177418.28000000
1716307200000,2.62900000,2.68000000,2.62600000,2.64300000,66535.92000000
1716321600000,2.64300000,2.67000000,2.63800000,2.65600000,53451.90000000
1716336000000,2.65600000,2.66000000,2.61400000,2.61700000,39601.70000000
1716350400000,2.61800000,2.64600000,2.57700000,2.64000000,50702.44000000
1716364800000,2.64100000,2.65500000,2.60800000,2.61200000,52121.77000000
1716379200000,2.61100000,2.65300000,2.56200000,2.64500000,70921.18000000
1716393600000,2.64500000,2.65600000,2.59100000,2.61500000,48879.06000000
1716408000000,2.61500000,2.63100000,2.57300000,2.57700000,62846.03000000
1716422400000,2.57700000,2.61300000,2.57500000,2.61000000,38979.64000000
1716436800000,2.61000000,2.62800000,2.59100000,2.59200000,51539.59000000
1716451200000,2.59200000,2.60800000,2.53700000,2.59200000,99424.67000000
1716465600000,2.59100000,2.63200000,2.51000000,2.52900000,156682.59000000
1716480000000,2.52900000,2.54400000,2.49200000,2.49400000,79035.23000000
1716494400000,2.49800000,2.55700000,2.45000000,2.52000000,92234.42000000
1716508800000,2.52000000,2.55100000,2.50600000,2.53500000,43626.05000000
1716523200000,2.53500000,2.54000000,2.43600000,2.46800000,58178.16000000
1716537600000,2.46500000,2.48600000,2.43600000,2.47800000,39968.55000000
1716552000000,2.47900000,2.50900000,2.46200000,2.48900000,64755.01000000
1716566400000,2.48800000,2.53600000,2.47200000,2.52600000,50799.94000000
