Open time,Open,High,Low,Close,Volume
1714608000000,378.50000000,397.70000000,362.00000000,389.50000000,4721.69100000
1714694400000,389.50000000,409.60000000,383.40000000,402.60000000,6236.67400000
1714780800000,402.20000000,410.90000000,396.70000000,402.80000000,3998.70700000
1714867200000,402.40000000,417.60000000,393.20000000,409.30000000,3703.88700000
1714953600000,409.30000000,426.60000000,405.10000000,408.80000000,4026.24600000
1715040000000,408.90000000,423.00000000,402.90000000,404.50000000,3874.32000000
1715126400000,404.90000000,411.70000000,391.60000000,400.70000000,4005.56100000
1715212800000,401.10000000,412.50000000,390.80000000,408.30000000,3865.56800000
1715299200000,408.70000000,424.70000000,379.40000000,381.20000000,4642.40100000
1715385600000,381.30000000,391.70000000,374.70000000,375.70000000,1704.62400000
1715472000000,375.60000000,382.00000000,371.20000000,371.30000000,1749.91300000
1715558400000,371.30000000,373.60000000,355.90000000,362.20000000,1940.76900000
1715644800000,361.90000000,364.00000000,342.00000000,343.90000000,2630.18800000
1715731200000,343.60000000,352.90000000,342.40000000,348.90000000,5063.09600000
1715817600000,349.10000000,352.00000000,332.60000000,337.00000000,3954.23000000
1715904000000,337.10000000,345.40000000,330.80000000,340.40000000,2701.01000000
1715990400000,340.40000000,348.70000000,338.00000000,343.50000000,1564.84800000
1716076800000,343.50000000,348.90000000,332.60000000,332.80000000,2474.81900000
1716163200000,332.70000000,362.50000000,330.90000000,359.50000000,3645.09800000
1716249600000,359.30000000,372.00000000,357.10000000,368.30000000,2907.80200000
1716336000000,368.80000000,380.00000000,365.50000000,375.80000000,2804.98200000
1716422400000,376.20000000,379.10000000,347.60000000,356.80000000,4737.50500000
1716508800000,357.10000000,367.40000000,345.30000000,366.00000000,2722.15800000
1716595200000,366.00000000,377.70000000,361.70000000,372.90000000,2667.46300000
1716681600000,372.90000000,388.20000000,370.00000000,378.60000000,4163.83700000
1716768000000,378.40000000,395.90000000,374.90000000,386.40000000,5128.57200000
1716854400000,386.60000000,389.20000000,372.60000000,384.20000000,2897.03300000
1716940800000,384.40000000,391.10000000,376.20000000,377.20000000,3005.38900000
1717027200000,376.90000000,392.40000000,367.40000000,382.00000000,4805.79200000
1717113600000,382.00000000,392.50000000,372.80000000,387.90000000,4727.56800000
1717200000000,387.60000000,391.20000000,375.10000000,375.10000000,2745.05800000
1717286400000,375.30000000,381.10000000,366.40000000,368.70000000,1909.78400000
1717372800000,368.70000000,382.00000000,365.10000000,372.20000000,1896.05700000
1717459200000,372.20000000,390.00000000,365.30000000,387.00000000,2514.30000000
1717545600000,387.00000000,411.20000000,386.70000000,406.40000000,3806.35500000
1717632000000,406.40000000,411.80000000,397.90000000,407.10000000,2369.04800000
1717718400000,407.00000000,413.20000000,358.10000000,363.90000000,3110.72900000
1717804800000,363.90000000,367.60000000,351.20000000,353.90000000,2059.21400000
1717891200000,353.90000000,364.00000000,350.10000000,361.10000000,922.25100000
1717977600000,361.10000000,362.70000000,350.00000000,353.40000000,1180.75500000
1718064000000,353.40000000,354.20000000,330.30000000,339.30000000,2311.88700000
1718150400000,339.30000000,359.60000000,334.70000000,353.00000000,2414.43700000
1718236800000,353.20000000,354.90000000,336.30000000,340.00000000,1921.16600000
1718323200000,339.80000000,351.70000000,329.70000000,331.90000000,2790.85000000
1718409600000,332.00000000,349.10000000,330.80000000,339.70000000,4295.93300000
1718496000000,340.00000000,341.20000000,328.70000000,332.20000000,4652.60400000
1718582400000,332.20000000,332.60000000,300.00000000,305.00000000,2783.57700000
1718668800000,305.00000000,321.70000000,290.80000000,303.50000000,5212.79700000
1718755200000,303.80000000,316.20000000,300.70000000,306.60000000,1573.38400000
1718841600000,306.30000000,318.50000000,289.00000000,309.80000000,1742.88900000
