Open time,Open,High,Low,Close,Volume
1714608000000,2.72500000,2.91900000,2.65200000,2.88200000,656387.52000000
1714694400000,2.88200000,3.03400000,2.83500000,2.98800000,545871.42000000
1714780800000,2.98800000,3.03100000,2.95500000,3.00100000,351202.52000000
1714867200000,2.99900000,3.28800000,2.91900000,3.20400000,988041.78000000
1714953600000,3.20200000,3.23800000,3.05500000,3.07700000,690347.88000000
1715040000000,3.07700000,3.18400000,3.03900000,3.06600000,512456.57000000
1715126400000,3.06100000,3.10900000,2.94300000,2.99500000,739582.86000000
1715212800000,2.99800000,3.22800000,2.97600000,3.15800000,983514.84000000
1715299200000,3.15800000,3.19300000,2.96300000,3.00000000,516107.96000000
1715385600000,2.99700000,3.14900000,2.97800000,2.98900000,368886.50000000
1715472000000,2.98700000,3.05500000,2.88400000,2.89300000,351793.73000000
1715558400000,2.89500000,3.01000000,2.69500000,2.85000000,724440.33000000
1715644800000,2.84900000,2.89400000,2.74400000,2.75800000,447276.85000000
1715731200000,2.75900000,2.97900000,2.74700000,2.95500000,411012.62000000
1715817600000,2.95500000,2.99600000,2.81000000,2.94200000,432939.13000000
1715904000000,2.94100000,3.04600000,2.90900000,3.01500000,271689.55000000
1715990400000,3.01600000,3.07200000,2.95600000,3.02100000,273823.13000000
1716076800000,3.02100000,3.04100000,2.85400000,2.88000000,278902.06000000
1716163200000,2.87600000,3.22200000,2.84400000,3.21000000,896189.78000000
1716249600000,3.21000000,3.29200000,3.12200000,3.19400000,955317.11000000
1716336000000,3.19300000,3.19500000,3.05100000,3.14400000,394122.19000000
1716422400000,3.14300000,3.24500000,2.91400000,3.12100000,1052539.71000000
1716508800000,3.12000000,3.24600000,3.01900000,3.19600000,449953.84000000
1716595200000,3.19400000,3.27100000,3.18400000,3.21100000,283061.80000000
1716681600000,3.20500000,3.21500000,3.10000000,3.16000000,283043.42000000
1716768000000,3.16100000,3.51000000,3.15600000,3.40900000,1790784.40000000
1716854400000,3.40800000,3.55300000,3.32400000,3.39400000,1123346.18000000
1716940800000,3.39700000,3.59500000,3.31300000,3.35200000,975435.51000000
1717027200000,3.34800000,3.43800000,3.24500000,3.33400000,422760.11000000
1717113600000,3.32900000,3.38000000,3.25300000,3.34000000,336098.50000000
1717200000000,3.34300000,3.47700000,3.30200000,3.38800000,527846.93000000
1717286400000,3.38600000,3.45400000,3.20700000,3.26500000,497454.02000000
1717372800000,3.26500000,3.50000000,3.22600000,3.31300000,750673.60000000
1717459200000,3.31000000,3.42800000,3.28600000,3.40800000,500403.47000000
1717545600000,3.40700000,3.45200000,3.35000000,3.42600000,380192.30000000
1717632000000,3.43000000,3.47100000,3.27000000,3.34000000,389089.00000000
1717718400000,3.34000000,3.39400000,2.65300000,2.98300000,990871.10000000
1717804800000,2.98000000,3.06100000,2.85100000,2.90300000,439625.18000000
1717891200000,2.90000000,2.95700000,2.85200000,2.93700000,219357.11000000
1717977600000,2.93500000,2.96200000,2.80600000,2.83100000,289105.15000000
1718064000000,2.83000000,2.84200000,2.62400000,2.71500000,475268.84000000
1718150400000,2.71700000,2.90600000,2.64300000,2.81000000,362174.43000000
1718236800000,2.81100000,2.83400000,2.68100000,2.71800000,296381.81000000
1718323200000,2.71800000,2.79600000,2.55600000,2.69500000,448882.86000000
1718409600000,2.70100000,2.80400000,2.67800000,2.74300000,282762.96000000
1718496000000,2.74200000,2.78900000,2.69100000,2.76800000,184190.01000000
1718582400000,2.77200000,2.80300000,2.50000000,2.54900000,590535.28000000
1718668800000,2.54800000,2.56100000,2.10000000,2.26000000,1484547.95000000
1718755200000,2.26100000,2.26100000,1.86800000,1.96200000,4021453.84000000
1718841600000,1.96200000,2.28500000,1.92300000,2.16200000,3413981.50000000
1718928000000,2.16300000,2.19800000,2.04700000,2.09400000,1725205.48000000
1719014400000,2.09100000,2.12900000,2.03300000,2.04500000,694002.77000000
1719100800000,2.04600000,2.10300000,1.94100000,1.98700000,668555.35000000
1719187200000,1.98900000,2.08400000,1.90500000,2.07700000,1037030.91000000
1719273600000,2.07400000,2.14000000,2.05600000,2.10800000,604945.16000000
1719360000000,2.11000000,2.13200000,2.03100000,2.07100000,452468.58000000
1719446400000,2.07100000,2.47000000,2.01100000,2.19200000,5255822.54000000
1719532800000,2.19200000,2.47900000,2.16500000,2.26400000,4745780.76000000
1719619200000,2.26500000,2.57000000,2.12800000,2.16000000,5103495.15000000
1719705600000,2.16100000,2.38800000,2.14100000,2.38400000,1791312.87000000
1719792000000,2.38500000,2.57200000,2.34100000,2.48100000,3553758.86000000
1719878400000,2.48400000,2.49500000,2.33000000,2.36800000,937232.12000000
1719964800000,2.37000000,2.47300000,2.29100000,2.40000000,1394709.52000000
1720051200000,2.39400000,2.45800000,2.16200000,2.26000000,1918048.42000000
1720137600000,2.26000000,2.34700000,1.87600000,2.26400000,3248697.40000000
