Open time,Open,High,Low,Close,Volume
1714525200000,2.56100000,2.57400000,2.53600000,2.54500000,495688.50000000
1714528800000,2.54500000,2.54600000,2.51000000,2.53000000,217006.57000000
1714532400000,2.53000000,2.55400000,2.52700000,2.55200000,76308.96000000
1714536000000,2.55200000,2.56000000,2.53700000,2.54400000,48279.60000000
1714539600000,2.54300000,2.55300000,2.51400000,2.52200000,298516.04000000
1714543200000,2.52400000,2.52500000,2.48900000,2.49200000,177070.88000000
1714546800000,2.49100000,2.49200000,2.42000000,2.42700000,772195.51000000
1714550400000,2.42800000,2.43600000,2.37500000,2.43300000,620001.16000000
1714554000000,2.43100000,2.46600000,2.42800000,2.46100000,260422.24000000
1714557600000,2.46000000,2.47000000,2.44700000,2.46700000,174990.97000000
1714561200000,2.46600000,2.47100000,2.43100000,2.47000000,197734.86000000
1714564800000,2.46900000,2.49600000,2.46200000,2.48100000,196446.62000000
1714568400000,2.48000000,2.48400000,2.44800000,2.45300000,134039.49000000
1714572000000,2.45400000,2.46300000,2.44100000,2.45700000,108197.50000000
1714575600000,2.45600000,2.45600000,2.42200000,2.44000000,171743.10000000
1714579200000,2.43800000,2.46600000,2.42800000,2.44400000,125870.21000000
1714582800000,2.44400000,2.48200000,2.43000000,2.47600000,132832.76000000
1714586400000,2.47600000,2.55300000,2.47500000,2.53700000,447052.82000000
1714590000000,2.53700000,2.54800000,2.46300000,2.47500000,302021.70000000
1714593600000,2.47600000,2.49300000,2.46500000,2.48700000,113208.34000000
1714597200000,2.48500000,2.50900000,2.47800000,2.50500000,76356.07000000
1714600800000,2.50500000,2.51800000,2.50000000,2.50600000,89037.44000000
1714604400000,2.50600000,2.53400000,2.50300000,2.52400000,53918.15000000
1714608000000,2.52500000,2.53000000,2.48400000,2.48700000,171071.11000000
1714611600000,2.48700000,2.49100000,2.44500000,2.45300000,243256.86000000
1714615200000,2.45400000,2.46900000,2.45300000,2.46300000,89283.96000000
1714618800000,2.46100000,2.47600000,2.46100000,2.46300000,47748.47000000
1714622400000,2.46300000,2.47200000,2.44900000,2.45400000,75665.77000000
1714626000000,2.45500000,2.45600000,2.43800000,2.45300000,107505.46000000
1714629600000,2.45400000,2.46300000,2.44600000,2.45500000,98671.03000000
1714633200000,2.45500000,2.47500000,2.45400000,2.46300000,51712.39000000
1714636800000,2.46300000,2.49400000,2.45900000,2.49300000,89444.55000000
1714640400000,2.49300000,2.50000000,2.48300000,2.49900000,63308.60000000
1714644000000,2.49900000,2.51100000,2.48600000,2.50700000,97817.59000000
1714647600000,2.50700000,2.53900000,2.50600000,2.53500000,169050.28000000
1714651200000,2.53600000,2.55300000,2.52200000,2.52300000,134032.80000000
1714654800000,2.52300000,2.52900000,2.49800000,2.50400000,137058.09000000
1714658400000,2.50400000,2.54500000,2.49600000,2.54100000,161051.38000000
1714662000000,2.54100000,2.55800000,2.53500000,2.54400000,191765.56000000
1714665600000,2.54500000,2.54500000,2.52500000,2.53100000,95535.90000000
1714669200000,2.53100000,2.54700000,2.52700000,2.54400000,88059.32000000
1714672800000,2.54500000,2.55800000,2.53300000,2.54400000,98541.95000000
1714676400000,2.54300000,2.55300000,2.53500000,2.55300000,59794.23000000
1714680000000,2.55100000,2.55600000,2.52100000,2.53300000,145941.09000000
1714683600000,2.53300000,2.56300000,2.53300000,2.55000000,82246.07000000
1714687200000,2.55000000,2.56600000,2.55000000,2.55600000,81457.68000000
1714690800000,2.55900000,2.56000000,2.53600000,2.53600000,44008.54000000
1714694400000,2.53500000,2.54300000,2.52300000,2.53100000,58688.60000000
1714698000000,2.53000000,2.56900000,2.52800000,2.55600000,100489.73000000
1714701600000,2.55500000,2.58000000,2.54900000,2.55500000,149973.15000000
1714705200000,2.55500000,2.56800000,2.55200000,2.55600000,44310.09000000
1714708800000,2.55700000,2.56800000,2.54700000,2.55100000,53148.58000000
1714712400000,2.55200000,2.55900000,2.54600000,2.55000000,50805.84000000
