Open time,Open,High,Low,Close,Volume
1714608000000,3.00800000,3.31100000,2.91800000,3.09900000,750338.29000000
1714694400000,3.09900000,3.19700000,3.03000000,3.18200000,358034.37000000
1714780800000,3.18400000,3.23700000,3.15800000,3.16200000,308392.75000000
1714867200000,3.16200000,3.19400000,3.09500000,3.13200000,213078.93000000
1714953600000,3.13200000,3.19900000,2.99800000,3.01900000,320360.60000000
1715040000000,3.02200000,3.08800000,2.98100000,3.04800000,227239.35000000
1715126400000,3.04700000,3.11800000,2.99700000,3.08100000,319914.12000000
1715212800000,3.08100000,3.19300000,3.00700000,3.15500000,350294.99000000
1715299200000,3.15700000,3.95000000,3.11700000,3.53900000,4044077.75000000
1715385600000,3.53900000,3.95000000,3.30100000,3.32400000,3118801.76000000
1715472000000,3.32500000,3.42600000,3.24900000,3.26500000,720796.83000000
1715558400000,3.26700000,3.52000000,3.24100000,3.31600000,1339600.99000000
1715644800000,3.31600000,3.47800000,3.20500000,3.22600000,1308530.73000000
1715731200000,3.22700000,3.26300000,3.06700000,3.22500000,664777.68000000
1715817600000,3.22100000,3.24200000,3.14800000,3.23500000,378029.49000000
1715904000000,3.23500000,3.35000000,3.23200000,3.31300000,363062.30000000
1715990400000,3.31300000,3.49900000,3.30300000,3.39400000,641916.36000000
1716076800000,3.39400000,3.73000000,3.08300000,3.13600000,2094748.11000000
1716163200000,3.13600000,3.30500000,3.01400000,3.19000000,949316.22000000
1716249600000,3.19100000,3.22000000,3.11700000,3.14200000,480043.53000000
1716336000000,3.14200000,3.17000000,3.06600000,3.11500000,326374.78000000
1716422400000,3.11400000,3.13900000,3.03700000,3.06200000,310444.14000000
1716508800000,3.06600000,3.09300000,3.02500000,3.06300000,211897.50000000
1716595200000,3.06000000,3.15300000,3.02300000,3.07600000,620724.18000000
1716681600000,3.07600000,3.78700000,3.04900000,3.10600000,3712224.94000000
1716768000000,3.10500000,3.17500000,3.02600000,3.09600000,1019644.20000000
1716854400000,3.09500000,3.20400000,3.04000000,3.15900000,701659.29000000
1716940800000,3.15900000,3.16900000,3.07700000,3.08000000,507302.29000000
1717027200000,3.08000000,3.14400000,3.01600000,3.03100000,431739.03000000
1717113600000,3.03400000,3.03800000,2.97000000,2.99700000,368360.85000000
1717200000000,2.99600000,3.07100000,2.98000000,3.01800000,264343.57000000
1717286400000,3.01800000,3.05000000,2.95000000,2.97100000,252394.37000000
1717372800000,2.97100000,3.01900000,2.91900000,2.94100000,327196.62000000
1717459200000,2.93800000,3.13200000,2.92100000,2.99900000,841290.43000000
1717545600000,2.99600000,3.10700000,2.97300000,3.01900000,519477.48000000
1717632000000,3.01600000,3.10000000,2.98700000,3.01300000,472240.96000000
1717718400000,3.01100000,3.02700000,2.82000000,2.85200000,398577.42000000
1717804800000,2.85200000,2.90300000,2.74800000,2.76900000,466598.60000000
1717891200000,2.76900000,2.83700000,2.76400000,2.80300000,286139.65000000
1717977600000,2.80300000,2.80700000,2.70000000,2.70500000,360301.46000000
1718064000000,2.70500000,2.72600000,2.52500000,2.61600000,454063.36000000
1718150400000,2.61600000,2.72100000,2.56600000,2.64100000,389291.11000000
1718236800000,2.64100000,2.72000000,2.53000000,2.59200000,577444.51000000
1718323200000,2.58800000,2.83600000,2.51700000,2.55300000,1074939.68000000
1718409600000,2.54900000,2.69500000,2.49800000,2.62300000,495470.18000000
1718496000000,2.62700000,2.65700000,2.57700000,2.59300000,264237.83000000
1718582400000,2.59300000,2.59900000,2.31100000,2.40200000,646749.74000000
1718668800000,2.40100000,2.41800000,2.15000000,2.26300000,366807.35000000
