Open time,Open,High,Low,Close,Volume
1714536000000,3.03300000,3.05500000,2.86800000,2.88700000,74854.31000000
1714550400000,2.88700000,2.97900000,2.83000000,2.97200000,90196.89000000
1714564800000,2.96800000,3.00300000,2.92900000,2.93700000,77336.47000000
1714579200000,2.93700000,3.01600000,2.91900000,2.93500000,95032.09000000
1714593600000,2.93500000,3.03600000,2.92300000,3.01000000,64873.84000000
1714608000000,3.00800000,3.03400000,2.91800000,2.96200000,50014.00000000
1714622400000,2.96300000,2.98900000,2.95000000,2.96400000,52406.45000000
1714636800000,2.96300000,3.07600000,2.96000000,3.07600000,48739.16000000
1714651200000,3.07600000,3.13400000,3.05900000,3.13100000,81022.84000000
1714665600000,3.12800000,3.16900000,3.11000000,3.16600000,81181.04000000
1714680000000,3.16800000,3.31100000,3.09400000,3.09900000,436974.80000000
1714694400000,3.09900000,3.14100000,3.08800000,3.10300000,48632.01000000
1714708800000,3.10600000,3.11400000,3.04900000,3.05300000,61511.24000000
1714723200000,3.05000000,3.06400000,3.03000000,3.03800000,59391.88000000
1714737600000,3.03800000,3.11600000,3.03000000,3.10700000,81364.79000000
1714752000000,3.10400000,3.15700000,3.09400000,3.12800000,63666.25000000
1714766400000,3.12800000,3.19700000,3.12700000,3.18200000,43468.20000000
1714780800000,3.18400000,3.21200000,3.17000000,3.19100000,31478.83000000
1714795200000,3.19400000,3.20900000,3.17600000,3.18000000,37990.62000000
1714809600000,3.18500000,3.22800000,3.18100000,3.20700000,33597.47000000
1714824000000,3.20500000,3.21300000,3.17200000,3.19100000,53142.53000000
1714838400000,3.19300000,3.23700000,3.17300000,3.21200000,81576.66000000
1714852800000,3.21100000,3.21500000,3.15800000,3.16200000,70606.64000000
1714867200000,3.16200000,3.16400000,3.09700000,3.09900000,38894.84000000
1714881600000,3.10100000,3.14100000,3.09500000,3.12900000,24785.73000000
1714896000000,3.13000000,3.14800000,3.11800000,3.14300000,25250.68000000
1714910400000,3.14600000,3.17200000,3.12200000,3.17100000,39133.15000000
1714924800000,3.17100000,3.19400000,3.13100000,3.14600000,59410.00000000
1714939200000,3.14900000,3.15200000,3.11500000,3.13200000,25604.53000000
1714953600000,3.13200000,3.14400000,3.10100000,3.11200000,27701.18000000
1714968000000,3.11200000,3.18100000,3.10200000,3.17600000,31365.77000000
1714982400000,3.17400000,3.19900000,3.12500000,3.13700000,75984.74000000
1714996800000,3.13800000,3.14900000,3.03100000,3.08200000,77527.87000000
1715011200000,3.08300000,3.08300000,2.99800000,3.03400000,79791.62000000
1715025600000,3.03500000,3.05700000,3.01400000,3.01900000,27989.42000000
1715040000000,3.02200000,3.06300000,2.99000000,2.99500000,33852.70000000
1715054400000,2.99300000,3.00600000,2.98100000,3.00600000,35949.03000000
1715068800000,3.00500000,3.06500000,3.00100000,3.03500000,27775.89000000
1715083200000,3.03600000,3.07000000,3.02300000,3.05300000,37406.19000000
1715097600000,3.05400000,3.08800000,3.03900000,3.06600000,38407.69000000
1715112000000,3.06500000,3.08100000,3.02100000,3.04800000,53847.85000000
1715126400000,3.04700000,3.05900000,3.00200000,3.02500000,33688.15000000
1715140800000,3.02500000,3.07300000,2.99700000,3.03200000,76937.62000000
1715155200000,3.03500000,3.06700000,3.02200000,3.03900000,28429.80000000
1715169600000,3.04000000,3.09900000,3.03500000,3.07000000,61431.38000000
1715184000000,3.07000000,3.10700000,3.07000000,3.09700000,53536.00000000
1715198400000,3.09500000,3.11800000,3.04800000,3.08100000,65891.17000000
1715212800000,3.08100000,3.11600000,3.06000000,3.11200000,30052.01000000
1715227200000,3.11100000,3.12600000,3.08000000,3.08500000,27546.52000000
1715241600000,3.08500000,3.09700000,3.00700000,3.03700000,45040.11000000
1715256000000,3.03500000,3.08200000,3.01600000,3.07500000,51658.18000000
1715270400000,3.07500000,3.17700000,3.07000000,3.14600000,112717.54000000
1715284800000,3.14500000,3.19300000,3.13400000,3.15500000,83280.63000000
1715299200000,3.15700000,3.17800000,3.14000000,3.14900000,36718.95000000
1715313600000,3.15300000,3.24000000,3.14700000,3.22600000,46676.26000000
1715328000000,3.22200000,3.25600000,3.20500000,3.21700000,77764.47000000
1715342400000,3.21800000,3.45000000,3.11700000,3.44900000,348323.07000000
1715356800000,3.44900000,3.72900000,3.27000000,3.56400000,2345286.99000000
1715371200000,3.56400000,3.95000000,3.50200000,3.53900000,1189308.01000000
1715385600000,3.53900000,3.66600000,3.39000000,3.47200000,348514.20000000
1715400000000,3.47200000,3.75400000,3.30100000,3.64700000,597086.70000000
1715414400000,3.64700000,3.95000000,3.57000000,3.57100000,1212181.00000000
1715428800000,3.57400000,3.59500000,3.34800000,3.38300000,548692.30000000
1715443200000,3.38200000,3.48600000,3.31300000,3.34900000,293067.92000000
1715457600000,3.34700000,3.37800000,3.32000000,3.32400000,119259.64000000
1715472000000,3.32500000,3.34900000,3.29600000,3.31300000,85843.72000000
1715486400000,3.31300000,3.32600000,3.26400000,3.27300000,82832.55000000
1715500800000,3.27100000,3.35900000,3.26900000,3.32900000,97412.84000000
1715515200000,3.32900000,3.42600000,3.27700000,3.28900000,152312.69000000
1715529600000,3.28900000,3.36300000,3.25200000,3.29000000,198454.48000000
1715544000000,3.28800000,3.30900000,3.24900000,3.26500000,103940.55000000
1715558400000,3.26700000,3.28600000,3.24100000,3.26700000,53068.30000000
1715572800000,3.26300000,3.52000000,3.24800000,3.36100000,455501.81000000
1715587200000,3.36100000,3.36900000,3.30000000,3.34000000,158655.52000000
1715601600000,3.34000000,3.36000000,3.27000000,3.31000000,86664.83000000
1715616000000,3.30500000,3.51500000,3.25200000,3.30800000,441859.74000000
1715630400000,3.30900000,3.39200000,3.24600000,3.31600000,143850.79000000
1715644800000,3.31600000,3.36600000,3.28600000,3.33900000,68596.59000000
1715659200000,3.33800000,3.35600000,3.28800000,3.31500000,84199.95000000
1715673600000,3.31600000,3.38200000,3.29000000,3.32700000,94697.08000000
1715688000000,3.32300000,3.47800000,3.29000000,3.32600000,283602.37000000
1715702400000,3.32600000,3.47800000,3.29000000,3.30800000,502853.96000000
1715716800000,3.30600000,3.39900000,3.20500000,3.22600000,274580.78000000
1715731200000,3.22700000,3.26300000,3.17800000,3.18300000,72556.86000000
1715745600000,3.18300000,3.22000000,3.09000000,3.11900000,114315.50000000
1715760000000,3.11900000,3.14200000,3.06700000,3.11500000,147693.62000000
1715774400000,3.11700000,3.20200000,3.11300000,3.17600000,146958.19000000
1715788800000,3.17700000,3.21500000,3.16200000,3.21100000,103435.65000000
1715803200000,3.21100000,3.23900000,3.20500000,3.22500000,79817.86000000
1715817600000,3.22100000,3.23400000,3.19700000,3.21200000,62889.12000000
1715832000000,3.20800000,3.21500000,3.18900000,3.21100000,67108.82000000
1715846400000,3.21000000,3.21800000,3.19000000,3.19600000,44771.69000000
1715860800000,3.19600000,3.21400000,3.14800000,3.19100000,88528.84000000
1715875200000,3.19300000,3.23500000,3.16400000,3.21200000,87128.41000000
1715889600000,3.21200000,3.24200000,3.20800000,3.23500000,27602.61000000
1715904000000,3.23500000,3.30700000,3.23200000,3.28600000,53704.78000000
1715918400000,3.28700000,3.35000000,3.25300000,3.31800000,109703.49000000
1715932800000,3.31900000,3.33200000,3.27600000,3.29400000,64043.79000000
1715947200000,3.29400000,3.32100000,3.27900000,3.32000000,69914.20000000
1715961600000,3.32000000,3.34200000,3.30800000,3.31200000,51391.21000000
1715976000000,3.31200000,3.32100000,3.30400000,3.31300000,14304.83000000
1715990400000,3.31300000,3.33500000,3.30300000,3.32900000,29866.35000000
1716004800000,3.32900000,3.39900000,3.30800000,3.37200000,59898.52000000
1716019200000,3.37200000,3.43100000,3.35700000,3.43000000,80784.10000000
1716033600000,3.42900000,3.49900000,3.37000000,3.38400000,230510.51000000
1716048000000,3.38300000,3.48400000,3.37200000,3.42600000,134557.62000000
1716062400000,3.42700000,3.46800000,3.35000000,3.39400000,106299.26000000
1716076800000,3.39400000,3.42200000,3.38100000,3.39600000,30139.78000000
1716091200000,3.39000000,3.42100000,3.36800000,3.41000000,63602.65000000
1716105600000,3.40600000,3.73000000,3.40400000,3.58000000,826994.21000000
1716120000000,3.58000000,3.58400000,3.15600000,3.27200000,685208.70000000
1716134400000,3.27200000,3.27700000,3.08300000,3.11400000,420884.07000000
1716148800000,3.11800000,3.16500000,3.10000000,3.13600000,67918.70000000
1716163200000,3.13600000,3.14000000,3.07800000,3.10700000,69590.62000000
1716177600000,3.10800000,3.12600000,3.01400000,3.09900000,142701.81000000
1716192000000,3.09900000,3.30500000,3.08300000,3.17800000,254160.25000000
1716206400000,3.18000000,3.22300000,3.14300000,3.19400000,108694.00000000
1716220800000,3.19800000,3.20000000,3.12000000,3.18300000,174106.21000000
1716235200000,3.18300000,3.24900000,3.11000000,3.19000000,200063.33000000
1716249600000,3.19100000,3.22000000,3.15000000,3.16300000,74134.15000000
1716264000000,3.16100000,3.18600000,3.14700000,3.16500000,74656.42000000
1716278400000,3.16500000,3.17300000,3.13600000,3.15500000,70479.81000000
1716292800000,3.15500000,3.18600000,3.11700000,3.14300000,161605.99000000
1716307200000,3.14000000,3.16700000,3.13100000,3.14200000,64467.30000000
1716321600000,3.14000000,3.15000000,3.13400000,3.14200000,34699.86000000
1716336000000,3.14200000,3.17000000,3.14100000,3.15000000,34786.39000000
1716350400000,3.15000000,3.16200000,3.13100000,3.13700000,44941.01000000
1716364800000,3.13700000,3.14000000,3.09700000,3.09900000,76518.84000000
