Open time,Open,High,Low,Close,Volume
1735693200000,0.89580000,0.89640000,0.88040000,0.88340000,696826.70000000
1735696800000,0.88360000,0.89200000,0.88360000,0.89200000,406105.20000000
1735700400000,0.89170000,0.89680000,0.88750000,0.89660000,268649.60000000
1735704000000,0.89630000,0.89630000,0.88490000,0.88530000,157419.30000000
1735707600000,0.88530000,0.88840000,0.88230000,0.88570000,120497.10000000
1735711200000,0.88580000,0.88870000,0.88260000,0.88400000,175599.20000000
1735714800000,0.88540000,0.88970000,0.88480000,0.88690000,178482.20000000
1735718400000,0.88720000,0.89570000,0.88710000,0.89130000,471226.30000000
1735722000000,0.89130000,0.89320000,0.87210000,0.87580000,737945.30000000
1735725600000,0.87610000,0.88300000,0.87480000,0.87860000,367015.30000000
1735729200000,0.87900000,0.88370000,0.87590000,0.87940000,374843.80000000
1735732800000,0.87980000,0.88280000,0.87240000,0.87290000,672843.50000000
1735736400000,0.87290000,0.87790000,0.86300000,0.87630000,714397.90000000
1735740000000,0.87690000,0.88170000,0.86810000,0.87830000,688821.10000000
1735743600000,0.87880000,0.88620000,0.87480000,0.87990000,348735.50000000
1735747200000,0.87990000,0.88640000,0.86380000,0.86570000,504093.10000000
1735750800000,0.86500000,0.87180000,0.86170000,0.86710000,508057.10000000
1735754400000,0.86750000,0.87320000,0.86370000,0.86820000,269268.30000000
1735758000000,0.86830000,0.87970000,0.86650000,0.87780000,412121.00000000
1735761600000,0.87790000,0.88550000,0.87550000,0.88530000,390414.80000000
1735765200000,0.88530000,0.89320000,0.88060000,0.88410000,457209.10000000
1735768800000,0.88370000,0.90950000,0.88140000,0.90500000,865455.00000000
1735772400000,0.90460000,0.92350000,0.89780000,0.90530000,1667234.40000000
1735776000000,0.90510000,0.92480000,0.88570000,0.91940000,2675374.40000000
1735779600000,0.91910000,0.94130000,0.90210000,0.90990000,3110175.50000000
1735783200000,0.91020000,0.91060000,0.89880000,0.90740000,670115.70000000
1735786800000,0.90730000,0.91450000,0.89930000,0.90620000,1065950.90000000
1735790400000,0.90610000,0.92440000,0.90130000,0.92010000,699112.60000000
1735794000000,0.92040000,0.95300000,0.91250000,0.95070000,3150025.10000000
1735797600000,0.95100000,0.95680000,0.91840000,0.92190000,2030429.30000000
1735801200000,0.92250000,0.93180000,0.91350000,0.92920000,1534800.30000000
1735804800000,0.92940000,0.94130000,0.91670000,0.93910000,782914.10000000
1735808400000,0.93940000,0.95340000,0.93070000,0.94690000,941087.80000000
1735812000000,0.94760000,0.94850000,0.92320000,0.93110000,1499343.80000000
1735815600000,0.93110000,0.94070000,0.92040000,0.93420000,952183.60000000
1735819200000,0.93420000,0.96000000,0.93250000,0.95590000,1383763.50000000
1735822800000,0.95570000,0.97790000,0.93170000,0.93890000,3098590.70000000
1735826400000,0.93880000,0.94750000,0.92740000,0.94010000,1626003.70000000
1735830000000,0.94000000,0.94020000,0.90300000,0.91300000,1615766.70000000
1735833600000,0.91310000,0.92430000,0.90890000,0.92040000,557980.10000000
1735837200000,0.92040000,0.92690000,0.90640000,0.91030000,742714.90000000
1735840800000,0.91010000,0.91210000,0.90190000,0.91130000,373136.10000000
1735844400000,0.91160000,0.91440000,0.90270000,0.90430000,521592.70000000
1735848000000,0.90470000,0.91000000,0.89520000,0.89840000,505392.70000000
1735851600000,0.89840000,0.90550000,0.89710000,0.89980000,258618.20000000
1735855200000,0.90000000,0.90010000,0.88640000,0.89240000,506311.00000000
1735858800000,0.89180000,0.90690000,0.89140000,0.90470000,289359.10000000
1735862400000,0.90510000,0.92370000,0.90510000,0.91320000,1020573.30000000
1735866000000,0.91330000,0.92040000,0.90080000,0.90830000,823183.80000000
1735869600000,0.90760000,0.91180000,0.89320000,0.89360000,444980.90000000
1735873200000,0.89370000,0.89800000,0.88530000,0.88850000,956445.00000000
1735876800000,0.88820000,0.89180000,0.87900000,0.87950000,370917.00000000
1735880400000,0.87990000,0.88650000,0.87620000,0.88230000,706344.70000000
1735884000000,0.88270000,0.88980000,0.88210000,0.88270000,257931.00000000
1735887600000,0.88280000,0.88560000,0.87310000,0.87510000,1035219.10000000
1735891200000,0.87510000,0.87980000,0.86840000,0.87900000,999327.50000000
1735894800000,0.87930000,0.89470000,0.87930000,0.88640000,558891.20000000
1735898400000,0.88650000,0.88670000,0.87560000,0.87680000,537325.90000000
1735902000000,0.87730000,0.89770000,0.87730000,0.89530000,694090.10000000
1735905600000,0.89540000,0.91200000,0.89270000,0.89530000,1935000.00000000
1735909200000,0.89540000,0.90760000,0.88430000,0.89870000,1281566.30000000
