Open time,Open,High,Low,Close,Volume
1735704000000,6.66200000,6.68500000,6.62400000,6.64800000,214296.86000000
1735718400000,6.64700000,6.66300000,6.52000000,6.62200000,652369.14000000
1735732800000,6.62100000,6.81000000,6.61700000,6.80000000,777385.31000000
1735747200000,6.80000000,7.03800000,6.72500000,6.99500000,1621558.99000000
1735761600000,6.99600000,7.14100000,6.99500000,7.05100000,1224276.88000000
1735776000000,7.05200000,7.22900000,7.05100000,7.16200000,1239013.48000000
1735790400000,7.16300000,7.27000000,7.12400000,7.22700000,813929.63000000
1735804800000,7.22700000,7.36000000,7.17700000,7.29600000,1022966.34000000
1735819200000,7.29700000,7.33300000,7.15900000,7.18800000,1505015.85000000
1735833600000,7.19000000,7.25000000,7.10900000,7.15800000,686030.11000000
1735848000000,7.15800000,7.20500000,7.10200000,7.17700000,396043.36000000
1735862400000,7.17900000,7.34900000,7.13500000,7.32600000,711857.90000000
1735876800000,7.32600000,7.33600000,7.19400000,7.22000000,810670.70000000
1735891200000,7.22100000,7.79400000,7.22100000,7.68900000,2934926.78000000
1735905600000,7.68900000,7.93900000,7.68000000,7.86500000,2570267.13000000
1735920000000,7.86600000,8.04400000,7.74300000,7.75600000,2933454.25000000
1735934400000,7.75400000,7.77500000,7.63700000,7.75400000,930893.41000000
1735948800000,7.75300000,7.84600000,7.63100000,7.77100000,969817.24000000
1735963200000,7.77100000,7.82000000,7.69300000,7.75600000,649901.52000000
1735977600000,7.75600000,7.75900000,7.63500000,7.69200000,664496.73000000
1735992000000,7.69000000,7.88200000,7.60400000,7.69000000,1765385.96000000
1736006400000,7.69100000,7.75500000,7.66100000,7.68300000,751535.92000000
1736020800000,7.68100000,7.74000000,7.64800000,7.67700000,598581.72000000
1736035200000,7.67800000,7.71100000,7.57000000,7.61000000,691245.85000000
1736049600000,7.61100000,7.73500000,7.59900000,7.65300000,404344.73000000
1736064000000,7.65300000,7.66500000,7.50300000,7.54800000,680970.17000000
1736078400000,7.54600000,7.61000000,7.46000000,7.57300000,873329.97000000
1736092800000,7.57300000,7.64900000,7.53700000,7.61000000,569433.10000000
1736107200000,7.61300000,7.72900000,7.57600000,7.67100000,645638.54000000
1736121600000,7.67200000,7.82800000,7.54000000,7.81000000,1168839.84000000
1736136000000,7.81500000,7.83700000,7.67400000,7.70700000,625408.18000000
1736150400000,7.71200000,7.76500000,7.58400000,7.70500000,894031.67000000
1736164800000,7.70400000,7.88400000,7.60100000,7.88000000,1849373.04000000
1736179200000,7.88100000,7.98800000,7.69500000,7.81100000,1770034.91000000
1736193600000,7.81000000,7.83900000,7.68500000,7.76800000,773729.34000000
1736208000000,7.77000000,7.78800000,7.65300000,7.71500000,690037.50000000
1736222400000,7.71500000,7.85000000,7.65900000,7.76900000,567920.02000000
1736236800000,7.76900000,7.88800000,7.65000000,7.72500000,1062544.28000000
1736251200000,7.72600000,7.86000000,7.19500000,7.30600000,5868094.74000000
1736265600000,7.30600000,7.40000000,7.04300000,7.09800000,2566250.67000000
1736280000000,7.09900000,7.16300000,7.00600000,7.01400000,1248529.90000000
1736294400000,7.01300000,7.13600000,6.86900000,6.94500000,1586468.17000000
1736308800000,6.94400000,6.96600000,6.71100000,6.87200000,1714805.35000000
1736323200000,6.87100000,7.01400000,6.79600000,6.87200000,1701992.78000000
1736337600000,6.87400000,6.94400000,6.76400000,6.84900000,2256193.68000000
1736352000000,6.85100000,6.85700000,6.42100000,6.64900000,3864159.26000000
1736366400000,6.64900000,6.79300000,6.60500000,6.76000000,1034973.65000000
1736380800000,6.75900000,6.84700000,6.68100000,6.72900000,943857.25000000
1736395200000,6.73100000,6.76600000,6.55900000,6.57400000,813201.09000000
1736409600000,6.57400000,6.71900000,6.55100000,6.69000000,983646.89000000
1736424000000,6.68800000,6.84000000,6.46400000,6.79500000,2321320.58000000
1736438400000,6.79500000,6.83600000,6.52700000,6.53700000,1200685.34000000
1736452800000,6.53700000,6.61800000,6.45400000,6.55900000,973887.75000000
1736467200000,6.55800000,6.66300000,6.53900000,6.62500000,617009.35000000
1736481600000,6.62700000,6.81000000,6.58200000,6.75900000,780303.39000000
1736496000000,6.76000000,6.79500000,6.68100000,6.72700000,669655.58000000
1736510400000,6.72700000,6.79200000,6.48200000,6.63100000,2996481.82000000
1736524800000,6.63300000,6.80900000,6.55600000,6.77100000,1081303.37000000
1736539200000,6.77100000,6.78500000,6.70200000,6.73200000,501174.23000000
1736553600000,6.73100000,6.77000000,6.64700000,6.65900000,430149.58000000
1736568000000,6.66000000,6.70100000,6.61900000,6.63900000,352365.94000000
1736582400000,6.63800000,6.72800000,6.59300000,6.70400000,355688.21000000
1736596800000,6.70300000,6.71700000,6.61400000,6.63900000,354432.06000000
1736611200000,6.63800000,6.66700000,6.58200000,6.63900000,618759.63000000
1736625600000,6.63900000,6.87800000,6.62900000,6.74200000,998203.39000000
1736640000000,6.74100000,6.81700000,6.71200000,6.78300000,453941.02000000
1736654400000,6.78400000,6.78900000,6.66300000,6.72300000,318299.13000000
1736668800000,6.72400000,6.75300000,6.61200000,6.67700000,297328.93000000
1736683200000,6.67700000,6.75900000,6.64400000,6.73600000,445259.54000000
1736697600000,6.73700000,6.76500000,6.67600000,6.69700000,324035.41000000
1736712000000,6.69700000,6.71000000,6.54200000,6.63200000,402751.81000000
1736726400000,6.63200000,6.80800000,6.42400000,6.45300000,1310913.04000000
1736740800000,6.45400000,6.56300000,6.34200000,6.40400000,1306543.53000000
1736755200000,6.40500000,6.41200000,6.05800000,6.05900000,2276221.41000000
1736769600000,6.05900000,6.35200000,6.00000000,6.28600000,3264083.21000000
1736784000000,6.28600000,6.32000000,6.12100000,6.19600000,1129418.76000000
1736798400000,6.19500000,6.48100000,6.15800000,6.39600000,912498.56000000
1736812800000,6.39700000,6.46100000,6.36700000,6.41000000,574098.60000000
1736827200000,6.41200000,6.50000000,6.40100000,6.40300000,672644.46000000
1736841600000,6.40300000,6.59000000,6.40300000,6.46600000,1027589.42000000
1736856000000,6.46700000,6.57400000,6.39300000,6.52400000,1394695.35000000
1736870400000,6.52300000,6.68300000,6.46800000,6.62800000,1023040.52000000
1736884800000,6.62700000,6.69000000,6.56900000,6.66500000,482310.37000000
1736899200000,6.66800000,6.74000000,6.61300000,6.70400000,791508.74000000
1736913600000,6.70500000,6.80200000,6.63800000,6.77500000,757856.62000000
1736928000000,6.77500000,6.83900000,6.56000000,6.59300000,1131689.27000000
1736942400000,6.59500000,7.06600000,6.55800000,7.01800000,3239228.68000000
1736956800000,7.01900000,7.09800000,6.87600000,7.03000000,1870808.00000000
1736971200000,7.02900000,7.19600000,6.96300000,7.16500000,1386732.07000000
1736985600000,7.16600000,7.19500000,6.98900000,7.06100000,1116716.98000000
1737000000000,7.06400000,7.08800000,7.01300000,7.01600000,592693.89000000
1737014400000,7.01300000,7.09000000,6.84700000,7.08100000,1658876.71000000
1737028800000,7.08100000,7.39300000,6.98400000,7.23800000,4572086.75000000
1737043200000,7.23800000,7.35500000,7.20600000,7.32800000,1826040.53000000
1737057600000,7.32800000,7.35100000,7.10000000,7.15000000,1014959.16000000
1737072000000,7.15400000,7.41600000,7.15200000,7.28800000,1286679.72000000
