Open time,Open,High,Low,Close,Volume
1714536000000,3.19500000,3.22600000,3.03100000,3.07800000,404028.20000000
1714550400000,3.07500000,3.15100000,3.01100000,3.15100000,349657.80000000
1714564800000,3.15000000,3.18300000,3.08700000,3.11300000,351242.60000000
1714579200000,3.11000000,3.28300000,3.08300000,3.15800000,538023.70000000
1714593600000,3.16000000,3.22000000,3.13500000,3.20500000,215218.30000000
1714608000000,3.20300000,3.20800000,3.10100000,3.17000000,179469.30000000
1714622400000,3.17000000,3.18000000,3.13400000,3.16100000,150487.10000000
1714636800000,3.16100000,3.25000000,3.15400000,3.24000000,214350.90000000
1714651200000,3.24200000,3.26600000,3.19300000,3.23500000,265241.00000000
1714665600000,3.23600000,3.24800000,3.20000000,3.22300000,218173.60000000
1714680000000,3.22300000,3.24500000,3.17600000,3.21200000,134602.50000000
1714694400000,3.21300000,3.28300000,3.20300000,3.26100000,160435.50000000
1714708800000,3.26100000,3.26900000,3.20200000,3.20800000,144946.00000000
1714723200000,3.20900000,3.23200000,3.16600000,3.18300000,190044.80000000
1714737600000,3.18300000,3.28400000,3.17000000,3.27200000,527201.90000000
1714752000000,3.27400000,3.32300000,3.24500000,3.27800000,304279.80000000
1714766400000,3.27800000,3.33700000,3.27800000,3.30300000,269479.20000000
1714780800000,3.30300000,3.33000000,3.25800000,3.27200000,191453.90000000
1714795200000,3.27200000,3.28900000,3.25700000,3.26000000,138508.10000000
1714809600000,3.26100000,3.37500000,3.25800000,3.30700000,444251.30000000
1714824000000,3.30700000,3.32900000,3.25700000,3.28800000,252916.90000000
1714838400000,3.28900000,3.31900000,3.26200000,3.31700000,155050.00000000
1714852800000,3.31700000,3.32700000,3.26200000,3.26700000,106515.20000000
1714867200000,3.26700000,3.27600000,3.17100000,3.19000000,243760.40000000
1714881600000,3.18900000,3.23200000,3.16000000,3.21700000,208324.70000000
1714896000000,3.21800000,3.29800000,3.21200000,3.27000000,184464.70000000
1714910400000,3.27000000,3.37000000,3.22500000,3.36700000,261955.00000000
1714924800000,3.36800000,3.46000000,3.33500000,3.38100000,451469.90000000
1714939200000,3.37900000,3.38500000,3.34300000,3.36300000,130775.70000000
1714953600000,3.36400000,3.41900000,3.31500000,3.32800000,346650.70000000
1714968000000,3.32800000,3.45400000,3.29100000,3.45000000,505439.50000000
1714982400000,3.45000000,3.51100000,3.32900000,3.36100000,599473.50000000
1714996800000,3.36200000,3.37300000,3.20400000,3.26600000,513329.80000000
1715011200000,3.26500000,3.27700000,3.21400000,3.24300000,272669.30000000
1715025600000,3.24300000,3.26500000,3.19000000,3.19700000,151447.70000000
1715040000000,3.19800000,3.22900000,3.12100000,3.14500000,316675.50000000
1715054400000,3.14500000,3.15800000,3.10500000,3.13800000,270937.90000000
1715068800000,3.13700000,3.20000000,3.11700000,3.11800000,406698.10000000
1715083200000,3.11800000,3.19000000,3.10400000,3.18100000,394286.80000000
1715097600000,3.18200000,3.21200000,3.08400000,3.11800000,556095.80000000
1715112000000,3.11800000,3.12800000,3.01600000,3.02900000,222780.50000000
1715126400000,3.02800000,3.04000000,2.96000000,2.99800000,399633.00000000
1715140800000,3.00100000,3.01700000,2.95200000,2.95600000,329145.10000000
1715155200000,2.95600000,2.97600000,2.91500000,2.94400000,519617.60000000
1715169600000,2.94500000,3.01100000,2.92100000,2.96400000,459951.50000000
1715184000000,2.96500000,2.99600000,2.93200000,2.97300000,245568.10000000
1715198400000,2.97400000,2.99000000,2.89500000,2.92800000,324185.60000000
1715212800000,2.92600000,2.96700000,2.90700000,2.96400000,175433.40000000
1715227200000,2.96400000,3.00900000,2.94800000,2.95800000,322317.40000000
1715241600000,2.96300000,2.97100000,2.85600000,2.91100000,418577.50000000
1715256000000,2.91100000,3.02300000,2.91100000,3.00300000,331580.10000000
1715270400000,3.00200000,3.03600000,2.96600000,3.02600000,217523.00000000
1715284800000,3.02600000,3.06800000,3.00100000,3.04900000,148947.50000000
1715299200000,3.04900000,3.06600000,3.03100000,3.06100000,145576.90000000
1715313600000,3.06000000,3.07800000,3.03800000,3.05500000,166473.80000000
1715328000000,3.05400000,3.06700000,3.03400000,3.06500000,162642.40000000
1715342400000,3.06700000,3.07000000,2.89500000,2.92700000,638916.10000000
1715356800000,2.92700000,2.94600000,2.86200000,2.89300000,283763.40000000
1715371200000,2.89200000,2.96100000,2.87300000,2.94900000,210296.80000000
1715385600000,2.94800000,2.99200000,2.92200000,2.93000000,156313.80000000
1715400000000,2.93100000,2.94200000,2.91500000,2.92000000,114782.20000000
1715414400000,2.92000000,2.93000000,2.88600000,2.89700000,145973.90000000
1715428800000,2.90000000,2.96300000,2.89500000,2.95500000,237310.20000000
1715443200000,2.95600000,2.98700000,2.92100000,2.93900000,167299.70000000
1715457600000,2.93700000,2.93900000,2.88300000,2.89200000,108106.10000000
1715472000000,2.89200000,2.91200000,2.88200000,2.89400000,52136.50000000
1715486400000,2.89300000,2.92000000,2.87700000,2.88000000,89654.50000000
1715500800000,2.88100000,2.94300000,2.86900000,2.91900000,186571.50000000
1715515200000,2.92000000,2.92300000,2.88800000,2.90800000,126869.10000000
1715529600000,2.90800000,2.93400000,2.87700000,2.88600000,106168.90000000
1715544000000,2.88600000,2.88700000,2.84400000,2.86200000,154524.70000000
1715558400000,2.86500000,2.88500000,2.65000000,2.70800000,608785.70000000
1715572800000,2.70900000,2.82600000,2.67400000,2.82300000,246749.70000000
1715587200000,2.82300000,2.88700000,2.80900000,2.82000000,325969.90000000
1715601600000,2.82100000,2.85000000,2.78800000,2.79900000,160449.40000000
1715616000000,2.79900000,2.85700000,2.73000000,2.75300000,354886.30000000
1715630400000,2.75300000,2.75600000,2.69000000,2.71200000,189859.90000000
1715644800000,2.71100000,2.71600000,2.56500000,2.57800000,608942.00000000
1715659200000,2.57700000,2.61900000,2.50700000,2.58000000,538024.00000000
1715673600000,2.58000000,2.63000000,2.54900000,2.55700000,537141.70000000
1715688000000,2.55600000,2.60500000,2.53800000,2.55200000,488133.90000000
1715702400000,2.55400000,2.55400000,2.48200000,2.53600000,434777.10000000
1715716800000,2.53700000,2.55000000,2.51200000,2.52400000,169590.70000000
1715731200000,2.52600000,2.58700000,2.51200000,2.58200000,233061.70000000
1715745600000,2.58200000,2.59000000,2.56400000,2.58100000,224532.00000000
1715760000000,2.58100000,2.61200000,2.52900000,2.56500000,343739.80000000
1715774400000,2.56500000,2.73500000,2.56200000,2.67400000,813996.10000000
1715788800000,2.67600000,2.73800000,2.66100000,2.73800000,305562.00000000
1715803200000,2.73700000,2.77600000,2.72700000,2.73700000,243390.20000000
1715817600000,2.73700000,2.75600000,2.70900000,2.74800000,212916.60000000
1715832000000,2.74700000,2.77300000,2.71200000,2.75200000,160436.90000000
1715846400000,2.75200000,2.76300000,2.71200000,2.72800000,269616.90000000
1715860800000,2.72700000,2.72700000,2.55500000,2.60500000,448596.10000000
1715875200000,2.60500000,2.67600000,2.59300000,2.65600000,219926.20000000
1715889600000,2.65600000,2.66500000,2.62100000,2.65400000,146907.00000000
1715904000000,2.65300000,2.67700000,2.63200000,2.64800000,152866.40000000
1715918400000,2.64800000,2.75100000,2.61400000,2.73600000,240915.20000000
1715932800000,2.73600000,2.74200000,2.67900000,2.68100000,163996.30000000
1715947200000,2.68100000,2.77100000,2.66600000,2.76100000,341449.30000000
1715961600000,2.76300000,2.79600000,2.70800000,2.72600000,315544.40000000
1715976000000,2.72600000,2.75600000,2.71000000,2.71300000,104703.80000000
1715990400000,2.71300000,2.89700000,2.69500000,2.87300000,423839.70000000
1716004800000,2.87500000,2.91500000,2.76300000,2.76800000,373989.20000000
1716019200000,2.76800000,2.80800000,2.76400000,2.76900000,177563.40000000
1716033600000,2.76900000,2.77000000,2.67700000,2.71400000,290851.20000000
1716048000000,2.71600000,2.75000000,2.69400000,2.70600000,372823.50000000
1716062400000,2.70400000,2.71600000,2.68700000,2.70000000,82608.40000000
1716076800000,2.70100000,2.75100000,2.68600000,2.72400000,150122.10000000
1716091200000,2.72400000,2.72500000,2.66000000,2.68800000,136767.00000000
1716105600000,2.68800000,2.68900000,2.62800000,2.64700000,173498.20000000
1716120000000,2.64700000,2.64900000,2.58500000,2.60800000,187542.40000000
1716134400000,2.60600000,2.60700000,2.53100000,2.55300000,379985.20000000
1716148800000,2.55100000,2.56500000,2.51900000,2.55200000,132974.00000000
1716163200000,2.55000000,2.56700000,2.49100000,2.55600000,262405.20000000
1716177600000,2.55600000,2.62300000,2.53900000,2.58300000,173343.30000000
1716192000000,2.58300000,2.63500000,2.57400000,2.60300000,212899.00000000
1716206400000,2.60600000,2.65700000,2.57700000,2.65000000,243575.00000000
1716220800000,2.65000000,2.83700000,2.63600000,2.81800000,529613.40000000
1716235200000,2.81800000,2.85600000,2.77300000,2.83900000,527179.90000000
1716249600000,2.84000000,2.88100000,2.78200000,2.82500000,385468.90000000
1716264000000,2.82600000,2.84800000,2.79300000,2.83500000,387055.20000000
1716278400000,2.83600000,2.91000000,2.82600000,2.84800000,386378.70000000
1716292800000,2.84800000,2.85500000,2.77100000,2.78100000,569805.80000000
1716307200000,2.78100000,2.84100000,2.75300000,2.76700000,475839.30000000
1716321600000,2.76800000,2.85900000,2.76700000,2.84800000,321076.40000000
1716336000000,2.84900000,2.85000000,2.77000000,2.78500000,230746.20000000
1716350400000,2.78700000,2.83300000,2.71500000,2.77400000,408798.90000000
1716364800000,2.77500000,2.82300000,2.75400000,2.75700000,465917.00000000
1716379200000,2.75600000,2.83800000,2.68100000,2.81200000,633516.80000000
1716393600000,2.81100000,2.84500000,2.73200000,2.76100000,418182.10000000
1716408000000,2.76300000,2.78500000,2.71300000,2.74100000,327826.10000000
1716422400000,2.74100000,2.78300000,2.69000000,2.78100000,289813.40000000
1716436800000,2.78100000,2.78400000,2.71200000,2.73100000,230678.60000000
1716451200000,2.73100000,2.73100000,2.66600000,2.72900000,312293.80000000
1716465600000,2.72800000,2.85600000,2.58900000,2.65800000,1041539.10000000
1716480000000,2.65700000,2.66800000,2.56700000,2.61100000,404641.20000000
1716494400000,2.61100000,2.77100000,2.52000000,2.73000000,802542.30000000
1716508800000,2.73000000,2.84600000,2.70900000,2.81500000,361193.40000000
1716523200000,2.81500000,2.82700000,2.64600000,2.67000000,351925.50000000
1716537600000,2.67000000,2.72500000,2.62200000,2.72100000,245864.60000000
1716552000000,2.71800000,2.78700000,2.69000000,2.73500000,262410.10000000
1716566400000,2.73300000,2.75200000,2.69000000,2.73100000,216595.80000000
1716580800000,2.73200000,2.80800000,2.72700000,2.76200000,202010.10000000
1716595200000,2.76500000,2.84600000,2.76100000,2.82100000,268848.90000000
1716609600000,2.82000000,2.86000000,2.78900000,2.82800000,304643.30000000
1716624000000,2.82800000,2.84000000,2.78800000,2.79500000,150999.00000000
1716638400000,2.79500000,2.83500000,2.76000000,2.83100000,223791.30000000
1716652800000,2.83200000,2.83700000,2.78700000,2.79500000,149763.90000000
1716667200000,2.79400000,2.80100000,2.75400000,2.77800000,127915.70000000
1716681600000,2.77700000,2.80500000,2.74500000,2.78000000,232933.50000000
1716696000000,2.78000000,3.19900000,2.74600000,2.99100000,2516793.40000000
1716710400000,2.99300000,3.12100000,2.86500000,2.87200000,1406732.90000000
1716724800000,2.87000000,2.97300000,2.84900000,2.91700000,825674.20000000
1716739200000,2.91500000,3.00400000,2.90600000,2.96900000,528907.10000000
1716753600000,2.96700000,2.97700000,2.88700000,2.92700000,326865.20000000
1716768000000,2.92700000,3.01900000,2.90500000,2.98200000,504163.60000000
1716782400000,2.97900000,3.05900000,2.95400000,3.05100000,994653.00000000
1716796800000,3.04700000,3.09400000,3.00500000,3.06100000,581009.70000000
1716811200000,3.06300000,3.11400000,3.03700000,3.07000000,461826.80000000
1716825600000,3.07200000,3.19200000,3.06200000,3.14600000,599381.40000000
1716840000000,3.14800000,3.30700000,3.14100000,3.24100000,779349.90000000
1716854400000,3.23800000,3.24100000,3.06200000,3.09800000,718697.50000000
1716868800000,3.09800000,3.12500000,3.03600000,3.09000000,596888.50000000
1716883200000,3.09100000,3.25300000,3.08300000,3.20200000,559091.90000000
1716897600000,3.20000000,3.21400000,3.10000000,3.16600000,470674.80000000
1716912000000,3.16700000,3.19200000,3.07500000,3.17400000,489190.40000000
1716926400000,3.17200000,3.17700000,3.10300000,3.13400000,271505.90000000
1716940800000,3.13500000,3.25000000,3.13500000,3.19100000,625561.60000000
1716955200000,3.19200000,3.29400000,3.18600000,3.19900000,728251.90000000
1716969600000,3.19800000,3.22200000,3.11800000,3.14900000,692473.00000000
1716984000000,3.14900000,3.16900000,3.04200000,3.04500000,393398.30000000
1716998400000,3.04500000,3.05000000,2.97200000,2.97600000,320541.30000000
1717012800000,2.97600000,3.00800000,2.96800000,2.99900000,131419.00000000
1717027200000,3.00000000,3.05500000,2.99500000,3.02900000,191074.70000000
1717041600000,3.03000000,3.04300000,2.86600000,2.88900000,369329.00000000
1717056000000,2.88700000,2.98100000,2.86000000,2.95600000,238176.80000000
1717070400000,2.95600000,3.02800000,2.95300000,3.00400000,364530.90000000
1717084800000,3.00300000,3.04900000,2.98200000,2.99100000,159318.60000000
1717099200000,2.98900000,2.99200000,2.94200000,2.95200000,131103.50000000
1717113600000,2.95100000,2.95800000,2.91500000,2.94700000,139496.50000000
1717128000000,2.94900000,2.95400000,2.88700000,2.91800000,134567.50000000
1717142400000,2.91900000,2.99200000,2.90600000,2.98100000,234652.30000000
1717156800000,2.98000000,3.03000000,2.94600000,2.94900000,271593.40000000
1717171200000,2.95000000,2.99700000,2.90200000,2.96700000,341888.90000000
1717185600000,2.96800000,2.99200000,2.95300000,2.98400000,94825.00000000
1717200000000,2.97900000,3.02400000,2.96200000,3.01400000,167842.70000000
1717214400000,3.01400000,3.02400000,2.96300000,2.96800000,146005.40000000
1717228800000,2.96700000,2.99700000,2.95600000,2.96600000,106668.30000000
1717243200000,2.96500000,3.01100000,2.96300000,2.97900000,159317.70000000
1717257600000,2.98000000,3.03000000,2.97800000,3.01300000,194729.90000000
1717272000000,3.01200000,3.07200000,3.00900000,3.02100000,219794.90000000
1717286400000,3.02100000,3.12400000,3.01100000,3.07800000,405083.70000000
1717300800000,3.07800000,3.20000000,3.07500000,3.16900000,620964.00000000
1717315200000,3.17200000,3.23900000,3.08900000,3.22500000,1235539.70000000
1717329600000,3.22500000,3.31900000,3.16100000,3.30600000,900825.90000000
1717344000000,3.30600000,3.34500000,3.17100000,3.31000000,989052.60000000
1717358400000,3.30900000,3.37400000,3.24100000,3.36100000,425675.60000000
1717372800000,3.36100000,3.45300000,3.24900000,3.38100000,760287.70000000
1717387200000,3.38300000,3.38700000,3.27400000,3.29100000,474250.70000000
1717401600000,3.29100000,3.32400000,3.24600000,3.25700000,327356.80000000
1717416000000,3.25700000,3.28600000,3.14300000,3.19200000,537703.30000000
1717430400000,3.19100000,3.20500000,3.14600000,3.18300000,263650.50000000
1717444800000,3.18100000,3.18800000,3.12600000,3.14300000,161548.20000000
1717459200000,3.14300000,3.20100000,3.11900000,3.19900000,345338.70000000
1717473600000,3.19900000,3.21300000,3.14700000,3.15400000,169985.40000000
1717488000000,3.15400000,3.26300000,3.13800000,3.22000000,518560.10000000
1717502400000,3.21700000,3.29200000,3.19500000,3.24000000,857493.80000000
1717516800000,3.24100000,3.27600000,3.20500000,3.22700000,296431.80000000
1717531200000,3.22600000,3.22600000,3.18800000,3.20700000,129375.90000000
1717545600000,3.20700000,3.27000000,3.20000000,3.21800000,214422.90000000
1717560000000,3.21600000,3.24500000,3.18500000,3.20500000,300519.50000000
1717574400000,3.20500000,3.22600000,3.16100000,3.22200000,255961.70000000
1717588800000,3.21900000,3.23700000,3.16500000,3.19400000,242033.10000000
1717603200000,3.19000000,3.21900000,3.18100000,3.20700000,188072.00000000
1717617600000,3.20900000,3.21600000,3.16000000,3.17900000,225570.40000000
1717632000000,3.17800000,3.26100000,3.17200000,3.25400000,301446.10000000
1717646400000,3.25400000,3.28100000,3.20100000,3.25700000,301345.80000000
1717660800000,3.25600000,3.31300000,3.23700000,3.28700000,302575.40000000
1717675200000,3.28500000,3.29500000,3.24700000,3.26700000,241222.40000000
1717689600000,3.26700000,3.27800000,3.17100000,3.17800000,232703.60000000
1717704000000,3.17700000,3.21500000,3.14300000,3.19200000,216407.20000000
1717718400000,3.19000000,3.20400000,3.11800000,3.12900000,188111.50000000
1717732800000,3.12900000,3.16100000,3.12600000,3.15700000,167163.70000000
1717747200000,3.15700000,3.16500000,3.07700000,3.12600000,317649.60000000
1717761600000,3.12600000,3.16100000,3.02900000,3.12800000,516046.80000000
1717776000000,3.12700000,3.12700000,2.47000000,2.75900000,1774209.60000000
1717790400000,2.75900000,2.79800000,2.74500000,2.79000000,221296.00000000
1717804800000,2.79000000,2.81300000,2.76700000,2.80000000,193127.10000000
1717819200000,2.79800000,2.80400000,2.75200000,2.77400000,182169.00000000
1717833600000,2.77400000,2.77400000,2.63000000,2.64500000,574770.90000000
1717848000000,2.64500000,2.67800000,2.57300000,2.65100000,1375539.60000000
1717862400000,2.65000000,2.69700000,2.62500000,2.62600000,752735.30000000
1717876800000,2.62600000,2.63700000,2.59000000,2.60400000,182348.50000000
1717891200000,2.60300000,2.62300000,2.56300000,2.59600000,222590.30000000
1717905600000,2.59500000,2.63000000,2.57600000,2.61900000,159369.00000000
1717920000000,2.61900000,2.63500000,2.59000000,2.59500000,262316.80000000
1717934400000,2.59500000,2.62800000,2.55500000,2.60400000,642962.20000000
1717948800000,2.60400000,2.62000000,2.59300000,2.61100000,97095.90000000
1717963200000,2.61100000,2.61600000,2.59000000,2.60000000,131876.00000000
1717977600000,2.60000000,2.60000000,2.52000000,2.54400000,291171.50000000
1717992000000,2.54400000,2.56500000,2.41300000,2.42000000,1187152.00000000
1718006400000,2.42000000,2.51500000,2.42000000,2.48700000,242124.10000000
1718020800000,2.48800000,2.51000000,2.41900000,2.49400000,611967.90000000
1718035200000,2.49600000,2.50000000,2.42500000,2.43200000,261290.80000000
1718049600000,2.43300000,2.43300000,2.33900000,2.35700000,423629.20000000
1718064000000,2.35800000,2.38000000,2.21100000,2.31100000,625681.50000000
1718078400000,2.31100000,2.33900000,2.26100000,2.29400000,549616.10000000
1718092800000,2.29400000,2.31800000,2.26800000,2.28100000,364433.60000000
1718107200000,2.28100000,2.28800000,2.16000000,2.20200000,719630.90000000
1718121600000,2.20200000,2.23900000,2.16800000,2.22400000,459377.60000000
1718136000000,2.22300000,2.22900000,2.18700000,2.19900000,187933.20000000
1718150400000,2.19800000,2.21800000,2.12100000,2.21300000,429261.40000000
1718164800000,2.21400000,2.22800000,2.18100000,2.22500000,243629.80000000
1718179200000,2.22600000,2.24200000,2.19200000,2.19500000,318333.90000000
