Open time,Open,High,Low,Close,Volume
1735776000000,3.63300000,3.94700000,3.61000000,3.75200000,6917391.97000000
1735862400000,3.75300000,4.12800000,3.57500000,4.03600000,7831152.58000000
1735948800000,4.03700000,4.20400000,3.89000000,4.05100000,6793111.53000000
1736035200000,4.05300000,4.22500000,3.92600000,4.11900000,5488491.54000000
1736121600000,4.12000000,4.27400000,3.98300000,4.05500000,6735540.70000000
1736208000000,4.05400000,4.05500000,3.55800000,3.56700000,9384888.46000000
1736294400000,3.56800000,3.65300000,3.24400000,3.42100000,13902936.89000000
1736380800000,3.41900000,3.47100000,3.13900000,3.20100000,7540293.75000000
1736467200000,3.20100000,3.35200000,3.06400000,3.11800000,8034814.41000000
1736553600000,3.11800000,3.19600000,2.99200000,3.10200000,4770559.69000000
1736640000000,3.10300000,3.24800000,3.05900000,3.08800000,4257331.98000000
1736726400000,3.08800000,3.21800000,2.70000000,2.97900000,15888609.99000000
1736812800000,2.97900000,3.15600000,2.93600000,3.11000000,6056657.95000000
1736899200000,3.11100000,3.43100000,2.96400000,3.40900000,7466554.75000000
1736985600000,3.40800000,3.44800000,3.19600000,3.26200000,7506459.06000000
1737072000000,3.26300000,3.53100000,3.25400000,3.44700000,4988009.48000000
1737158400000,3.44600000,3.53400000,2.80700000,2.85300000,13558140.42000000
1737244800000,2.85200000,3.19700000,2.58800000,2.70100000,29427892.03000000
1737331200000,2.70100000,3.09700000,2.50600000,2.73600000,24088371.73000000
1737417600000,2.73600000,2.87500000,2.59200000,2.77100000,8698139.27000000
1737504000000,2.77000000,2.81700000,2.56700000,2.59300000,7182981.28000000
1737590400000,2.59200000,2.77100000,2.50300000,2.73400000,10676894.59000000
1737676800000,2.73400000,3.00900000,2.58100000,2.75100000,14088714.75000000
1737763200000,2.75000000,2.93300000,2.67400000,2.80600000,6377312.55000000
1737849600000,2.80700000,2.87100000,2.64300000,2.65400000,5529735.84000000
1737936000000,2.65200000,2.67400000,2.33800000,2.57900000,17551228.67000000
1738022400000,2.57900000,2.71900000,2.39500000,2.42100000,8470210.62000000
1738108800000,2.42200000,2.79800000,2.37700000,2.62900000,13910185.88000000
1738195200000,2.63000000,2.96200000,2.59600000,2.80300000,11653734.93000000
1738281600000,2.80300000,3.20300000,2.72200000,3.00400000,14283140.75000000
1738368000000,3.00500000,3.07600000,2.54400000,2.57200000,10748780.43000000
1738454400000,2.57200000,2.67400000,2.05500000,2.17200000,23205007.83000000
1738540800000,2.17300000,2.26000000,1.41800000,2.18600000,59452150.52000000
1738627200000,2.18600000,2.19200000,1.81800000,1.97000000,24352232.94000000
1738713600000,1.97000000,1.98400000,1.82200000,1.88000000,14409356.85000000
1738800000000,1.87900000,1.89300000,1.67100000,1.68900000,10374600.46000000
1738886400000,1.68900000,1.90900000,1.61800000,1.69800000,12093428.26000000
1738972800000,1.70000000,1.84200000,1.66300000,1.82200000,7907799.72000000
1739059200000,1.82100000,1.84900000,1.56300000,1.66400000,17445961.40000000
1739145600000,1.66500000,1.78600000,1.62200000,1.71100000,15401706.32000000
1739232000000,1.71000000,1.82600000,1.62100000,1.65500000,14420972.56000000
1739318400000,1.65500000,1.80900000,1.51000000,1.74400000,22261125.65000000
1739404800000,1.74500000,1.75900000,1.60700000,1.71200000,13773181.01000000
1739491200000,1.71300000,1.81500000,1.67300000,1.74400000,15116318.23000000
1739577600000,1.74500000,1.78800000,1.58600000,1.61500000,10974230.47000000
1739664000000,1.61500000,1.71500000,1.56300000,1.69900000,12339196.28000000
1739750400000,1.69900000,1.91200000,1.67900000,1.81000000,27230012.50000000
1739836800000,1.81000000,1.86400000,1.58100000,1.67700000,24414728.34000000
1739923200000,1.67700000,1.75300000,1.62900000,1.72100000,10349648.12000000
1740009600000,1.72100000,2.00000000,1.71700000,1.95900000,21517311.80000000
1740096000000,1.95800000,2.11500000,1.89500000,1.97000000,23023610.98000000
1740182400000,1.97100000,2.10300000,1.92200000,1.95600000,11996524.62000000
1740268800000,1.95600000,2.05500000,1.85700000,1.89300000,11892242.15000000
1740355200000,1.89200000,1.95000000,1.50000000,1.53600000,27931056.55000000
1740441600000,1.53600000,1.66500000,1.39900000,1.64400000,29113776.25000000
1740528000000,1.64500000,1.76900000,1.58800000,1.72600000,20139695.21000000
1740614400000,1.72600000,1.78500000,1.64900000,1.70900000,10213560.58000000
1740700800000,1.71000000,1.72600000,1.52100000,1.70700000,23701708.36000000
1740787200000,1.70700000,1.71100000,1.56800000,1.60100000,6939008.45000000
1740873600000,1.60000000,1.80700000,1.56300000,1.78600000,17679677.67000000
1740960000000,1.78600000,1.79200000,1.40800000,1.42300000,14433207.23000000
1741046400000,1.42300000,1.45000000,1.26000000,1.41900000,18399992.24000000
1741132800000,1.41900000,1.51600000,1.36600000,1.48200000,9181618.03000000
1741219200000,1.48200000,1.50600000,1.37800000,1.38700000,10297197.30000000
1741305600000,1.38700000,1.41300000,1.28200000,1.29100000,14878133.43000000
1741392000000,1.29100000,1.31900000,1.23400000,1.30800000,8029549.17000000
1741478400000,1.30800000,1.31000000,1.11200000,1.15100000,11141909.07000000
1741564800000,1.15200000,1.23300000,1.05700000,1.08700000,14331859.45000000
1741651200000,1.08800000,1.17200000,0.98100000,1.12500000,17567098.08000000
1741737600000,1.12500000,1.17900000,1.07300000,1.13400000,9634818.81000000
1741824000000,1.13400000,1.14300000,1.00900000,1.06800000,11080294.73000000
1741910400000,1.06800000,1.15400000,1.06200000,1.13200000,6397855.64000000
1741996800000,1.13200000,1.20400000,1.11400000,1.16900000,5373302.02000000
1742083200000,1.16900000,1.17300000,1.08100000,1.09400000,6342778.85000000
1742169600000,1.09400000,1.19400000,1.09400000,1.16800000,7408317.80000000
1742256000000,1.16800000,1.17100000,1.08800000,1.15700000,5049891.94000000
1742342400000,1.15700000,1.22200000,1.12600000,1.21000000,11504200.60000000
1742428800000,1.21000000,1.22100000,1.12300000,1.15600000,5531719.94000000
1742515200000,1.15700000,1.18100000,1.10600000,1.14000000,4752205.37000000
1742601600000,1.14000000,1.22500000,1.12900000,1.20500000,6210313.46000000
1742688000000,1.20600000,1.24800000,1.15700000,1.18600000,6175112.89000000
1742774400000,1.18600000,1.23200000,1.15200000,1.17800000,12090001.16000000
1742860800000,1.17800000,1.20000000,1.12600000,1.18300000,10351007.95000000
1742947200000,1.18300000,1.23600000,1.14300000,1.15200000,8148105.00000000
1743033600000,1.15300000,1.20800000,1.14000000,1.16400000,5470794.82000000
1743120000000,1.16400000,1.17500000,1.00500000,1.02700000,11059448.72000000
1743206400000,1.02700000,1.04000000,0.90400000,0.94500000,9649212.12000000
1743292800000,0.94400000,0.96300000,0.91800000,0.94000000,5051420.62000000
1743379200000,0.94000000,0.94900000,0.88600000,0.93000000,7425015.07000000
1743465600000,0.93000000,0.96200000,0.91100000,0.91600000,7690956.96000000
1743552000000,0.91600000,0.92000000,0.80700000,0.82000000,12875598.71000000
1743638400000,0.81900000,0.86900000,0.76100000,0.82300000,11040912.79000000
1743724800000,0.82300000,0.84800000,0.77600000,0.82500000,9056948.68000000
1743811200000,0.82500000,0.86500000,0.80000000,0.81700000,4511278.28000000
1743897600000,0.81700000,0.82300000,0.71800000,0.74500000,9619720.52000000
1743984000000,0.74400000,0.81800000,0.66000000,0.75700000,16815260.94000000
1744070400000,0.75800000,0.77900000,0.68800000,0.69100000,7326754.58000000
1744156800000,0.69100000,0.84400000,0.66600000,0.81700000,11363307.90000000
1744243200000,0.81600000,0.81700000,0.75100000,0.78400000,6125508.23000000
1744329600000,0.78400000,0.83100000,0.78000000,0.81600000,8074479.26000000
1744416000000,0.81600000,0.87500000,0.81100000,0.86200000,4408231.65000000
1744502400000,0.86200000,0.86400000,0.79600000,0.80900000,5244500.42000000
1744588800000,0.80900000,0.85800000,0.78300000,0.79700000,8009418.46000000
1744675200000,0.79700000,0.81600000,0.76600000,0.77100000,5254768.13000000
1744761600000,0.77200000,0.81500000,0.76000000,0.78600000,7808974.97000000
1744848000000,0.78600000,0.80800000,0.75900000,0.79100000,4992696.69000000
1744934400000,0.79200000,0.82700000,0.78100000,0.82100000,3934364.24000000
1745020800000,0.82000000,0.85000000,0.81700000,0.84100000,3894443.17000000
1745107200000,0.84100000,0.86700000,0.82200000,0.83700000,5618664.14000000
1745193600000,0.83800000,0.88000000,0.82100000,0.82800000,7581686.33000000
1745280000000,0.82700000,0.92000000,0.80000000,0.91600000,9269505.31000000
1745366400000,0.91600000,0.99600000,0.91300000,0.94700000,12418091.00000000
1745452800000,0.94600000,0.97200000,0.89200000,0.96100000,9251001.54000000
1745539200000,0.96200000,1.01700000,0.93600000,0.97500000,9808488.63000000
1745625600000,0.97500000,1.03500000,0.97500000,1.01900000,6968078.96000000
1745712000000,1.02000000,1.02900000,0.90700000,0.91000000,7135622.88000000
1745798400000,0.91000000,0.98600000,0.88400000,0.95500000,8297487.35000000
1745884800000,0.95500000,0.97900000,0.91100000,0.92600000,6477920.41000000
1745971200000,0.92600000,0.96600000,0.89100000,0.93100000,7598769.46000000
1746057600000,0.93100000,1.01300000,0.91800000,1.00700000,8539052.24000000
1746144000000,1.00700000,1.02100000,0.95500000,0.96900000,5476132.24000000
1746230400000,0.96800000,0.97000000,0.85000000,0.87200000,6318438.72000000
1746316800000,0.87200000,0.89000000,0.82800000,0.83800000,6955293.72000000
1746403200000,0.83800000,0.85400000,0.80000000,0.80400000,5447501.77000000
1746489600000,0.80400000,0.81000000,0.75400000,0.79600000,8098858.09000000
1746576000000,0.79500000,0.80800000,0.74400000,0.77500000,8054108.34000000
