Open time,Open,High,Low,Close,Volume
1735704000000,3.59300000,3.60100000,3.51200000,3.53400000,481532.38000000
1735718400000,3.53600000,3.55700000,3.39200000,3.54500000,1868488.87000000
1735732800000,3.54500000,3.65600000,3.50400000,3.60800000,1452762.09000000
1735747200000,3.60900000,3.65400000,3.55300000,3.63600000,742887.48000000
1735761600000,3.63600000,3.68500000,3.61000000,3.63300000,934062.94000000
1735776000000,3.63300000,3.71900000,3.61000000,3.64900000,1177380.95000000
1735790400000,3.64900000,3.73700000,3.63700000,3.72900000,907147.71000000
1735804800000,3.72900000,3.80000000,3.68900000,3.73300000,1312518.60000000
1735819200000,3.73300000,3.94700000,3.73100000,3.82000000,2054288.94000000
1735833600000,3.82300000,3.88700000,3.74700000,3.75500000,934840.88000000
1735848000000,3.75700000,3.80700000,3.70200000,3.75200000,531214.89000000
1735862400000,3.75300000,3.75300000,3.67100000,3.68100000,510430.94000000
1735876800000,3.68200000,3.68600000,3.57800000,3.58100000,693735.40000000
1735891200000,3.58100000,3.74100000,3.57500000,3.72900000,1036151.24000000
1735905600000,3.72800000,3.93700000,3.68600000,3.92000000,2110455.77000000
1735920000000,3.92300000,4.12800000,3.91100000,4.02100000,2517296.41000000
1735934400000,4.02200000,4.07900000,3.97800000,4.03600000,963082.82000000
1735948800000,4.03700000,4.04300000,3.92000000,3.96500000,851623.10000000
1735963200000,3.96400000,4.01000000,3.89000000,3.99200000,656255.87000000
1735977600000,3.99200000,4.01200000,3.93900000,3.98200000,927612.83000000
1735992000000,3.98200000,4.20400000,3.97400000,4.03700000,2605348.39000000
1736006400000,4.03400000,4.05000000,3.97600000,4.00200000,902404.80000000
1736020800000,4.00200000,4.08100000,3.99500000,4.05100000,849866.54000000
1736035200000,4.05300000,4.14800000,3.98700000,4.11800000,1176307.95000000
1736049600000,4.11900000,4.12200000,4.02900000,4.03200000,554174.22000000
1736064000000,4.03100000,4.06400000,3.93600000,4.01100000,966294.51000000
1736078400000,4.01100000,4.04600000,3.92600000,3.98600000,902593.31000000
1736092800000,3.98700000,4.07900000,3.97300000,4.06700000,793584.22000000
1736107200000,4.06700000,4.22500000,4.05000000,4.11900000,1095537.33000000
