Open time,Open,High,Low,Close,Volume
1714608000000,3.70200000,3.97200000,3.35000000,3.91100000,560432.00000000
1714694400000,3.91900000,4.56500000,3.88700000,4.04000000,1511820.00000000
1714780800000,4.04200000,4.20000000,4.00600000,4.12200000,379550.10000000
1714867200000,4.12500000,4.70000000,3.98600000,4.45300000,1024228.30000000
1714953600000,4.45900000,5.09800000,4.32700000,4.88000000,1345071.90000000
1715040000000,4.88000000,6.21300000,4.74000000,5.48000000,6388113.50000000
1715126400000,5.47800000,5.65600000,4.94400000,4.95000000,1797032.40000000
1715212800000,4.95500000,5.06800000,4.63600000,4.88900000,880567.50000000
1715299200000,4.88700000,5.31900000,4.67200000,4.75600000,983176.10000000
1715385600000,4.75600000,4.93400000,4.57600000,4.82800000,534494.90000000
1715472000000,4.82800000,4.88500000,4.55500000,4.63700000,479968.30000000
1715558400000,4.63800000,4.67100000,4.34900000,4.39400000,494483.40000000
1715644800000,4.39400000,4.49600000,3.91900000,3.99200000,794191.40000000
1715731200000,3.99300000,4.36200000,3.90600000,4.31600000,689728.70000000
1715817600000,4.31600000,4.73000000,4.25700000,4.49300000,1167265.80000000
1715904000000,4.48800000,4.82000000,4.35600000,4.60600000,714389.10000000
1715990400000,4.59300000,4.73600000,4.47700000,4.59300000,318255.90000000
1716076800000,4.59200000,4.66000000,4.26600000,4.29500000,265479.30000000
1716163200000,4.29400000,4.74400000,4.20300000,4.73200000,427947.40000000
1716249600000,4.73600000,4.83700000,4.56300000,4.67500000,723255.70000000
1716336000000,4.67300000,4.68700000,4.38800000,4.45900000,433422.60000000
1716422400000,4.45300000,4.64600000,4.28000000,4.49300000,389361.40000000
1716508800000,4.49900000,4.55900000,4.31400000,4.49300000,335153.70000000
1716595200000,4.49400000,4.61000000,4.47300000,4.60100000,187363.30000000
1716681600000,4.60800000,4.70000000,4.53600000,4.61200000,262283.80000000
1716768000000,4.61200000,4.69900000,4.38800000,4.48400000,512879.80000000
1716854400000,4.48100000,4.50000000,4.18800000,4.25900000,554770.50000000
1716940800000,4.25300000,4.32200000,4.17000000,4.23700000,333574.20000000
1717027200000,4.23600000,4.34200000,4.10800000,4.27000000,451962.00000000
1717113600000,4.27000000,4.42800000,4.18200000,4.36100000,518026.30000000
1717200000000,4.35600000,4.38400000,4.00900000,4.05700000,648166.30000000
1717286400000,4.05700000,4.10500000,3.81500000,3.87800000,633784.90000000
1717372800000,3.87600000,4.04100000,3.83100000,3.93600000,443510.90000000
1717459200000,3.93600000,4.04100000,3.82500000,3.99200000,255419.10000000
1717545600000,3.99200000,4.09500000,3.97000000,4.00800000,352814.10000000
1717632000000,4.01200000,4.09000000,3.97000000,4.08200000,218646.60000000
1717718400000,4.07700000,4.09900000,3.56700000,3.71100000,447946.60000000
1717804800000,3.71100000,3.76800000,3.55100000,3.60800000,318815.70000000
1717891200000,3.61300000,3.84300000,3.58300000,3.84300000,283586.40000000
1717977600000,3.83700000,3.85900000,3.69100000,3.70400000,366519.10000000
1718064000000,3.70400000,3.72500000,3.41800000,3.51900000,421335.40000000
1718150400000,3.51600000,3.73700000,3.44800000,3.56700000,411494.90000000
1718236800000,3.56600000,3.58100000,3.33900000,3.36400000,431804.10000000
1718323200000,3.36100000,3.39400000,2.89000000,2.98200000,906047.30000000
1718409600000,2.98200000,3.05400000,2.93900000,2.96400000,382369.60000000
1718496000000,2.96300000,3.00100000,2.88900000,2.97300000,275844.00000000
1718582400000,2.97300000,2.99700000,2.63500000,2.70000000,449245.70000000
1718668800000,2.70000000,2.71100000,2.40400000,2.49100000,554626.90000000
1718755200000,2.49100000,2.60100000,2.46100000,2.51200000,308095.80000000
1718841600000,2.51200000,2.71200000,2.50000000,2.59500000,410099.80000000
1718928000000,2.59700000,2.69000000,2.54900000,2.64400000,490101.30000000
1719014400000,2.64300000,2.65100000,2.53600000,2.57100000,311482.10000000
1719100800000,2.56700000,2.68800000,2.45500000,2.48200000,324985.30000000
1719187200000,2.48500000,2.56500000,2.37600000,2.56100000,485745.80000000
1719273600000,2.56100000,2.63900000,2.53300000,2.59000000,372998.90000000
1719360000000,2.59000000,2.62200000,2.46800000,2.48800000,336004.00000000
1719446400000,2.48500000,2.57000000,2.41300000,2.55700000,325715.80000000
1719532800000,2.55600000,2.73500000,2.44700000,2.45200000,710772.50000000
1719619200000,2.45100000,2.48600000,2.38100000,2.39500000,186620.40000000
1719705600000,2.39500000,2.56800000,2.33800000,2.55200000,254231.30000000
