Open time,Open,High,Low,Close,Volume
1714536000000,3.67400000,3.71000000,3.48100000,3.64300000,5420922.60000000
1714550400000,3.64400000,3.72900000,3.55100000,3.69800000,4298524.70000000
1714564800000,3.69700000,3.73400000,3.50400000,3.53900000,3245594.20000000
1714579200000,3.53800000,3.90600000,3.46800000,3.65700000,7534383.70000000
1714593600000,3.65900000,3.83100000,3.60000000,3.79100000,3093666.00000000
1714608000000,3.79200000,3.81800000,3.59200000,3.70900000,2744566.00000000
1714622400000,3.70800000,3.78000000,3.61200000,3.72900000,3069385.30000000
1714636800000,3.72800000,3.94300000,3.71000000,3.88700000,5694861.60000000
1714651200000,3.88700000,3.94600000,3.73000000,3.74900000,5390730.50000000
1714665600000,3.75000000,3.80400000,3.68900000,3.77800000,2281622.20000000
1714680000000,3.77500000,3.83200000,3.70600000,3.77500000,1702472.50000000
1714694400000,3.77500000,3.88700000,3.71900000,3.79200000,2755826.20000000
1714708800000,3.79100000,3.82500000,3.65100000,3.67000000,2262068.50000000
1714723200000,3.67000000,3.75700000,3.66200000,3.69800000,1872086.00000000
1714737600000,3.69700000,3.95000000,3.68500000,3.92600000,5486104.30000000
1714752000000,3.92700000,3.98900000,3.89000000,3.95900000,2465047.70000000
1714766400000,3.95800000,4.06300000,3.94500000,3.96300000,2355754.50000000
1714780800000,3.96400000,4.03700000,3.89600000,3.96000000,2191961.80000000
1714795200000,3.95800000,4.09200000,3.92600000,4.01700000,2391051.00000000
1714809600000,4.01600000,4.16500000,3.94100000,4.02100000,3631071.40000000
1714824000000,4.02100000,4.04300000,3.91800000,3.95800000,2735962.60000000
1714838400000,3.95700000,4.06800000,3.90300000,4.05000000,1550135.10000000
1714852800000,4.04900000,4.16900000,4.01800000,4.02500000,2615908.10000000
1714867200000,4.02600000,4.09900000,3.82600000,3.86200000,3267553.90000000
1714881600000,3.86100000,3.94600000,3.82000000,3.90300000,2209983.20000000
1714896000000,3.90200000,4.20800000,3.88800000,4.11900000,4959328.40000000
1714910400000,4.11900000,4.13200000,4.00400000,4.10100000,4213404.30000000
1714924800000,4.10200000,4.16500000,3.98600000,4.01000000,2602411.50000000
1714939200000,4.00700000,4.15000000,3.97500000,4.10600000,1681752.80000000
1714953600000,4.10400000,4.23000000,4.10000000,4.18000000,3563266.80000000
1714968000000,4.18100000,4.30800000,4.14700000,4.22900000,3361582.70000000
1714982400000,4.23000000,4.32300000,4.10900000,4.13500000,4835711.00000000
1714996800000,4.13600000,4.16900000,3.92100000,4.01600000,4581639.60000000
1715011200000,4.01500000,4.02500000,3.86000000,3.90100000,2014006.00000000
1715025600000,3.90200000,3.96600000,3.88600000,3.90500000,1030594.60000000
1715040000000,3.90400000,4.05000000,3.89200000,3.93700000,2004390.80000000
1715054400000,3.93600000,3.96000000,3.86400000,3.88800000,1474719.50000000
1715068800000,3.88900000,4.02600000,3.87800000,3.90200000,2539256.10000000
1715083200000,3.90200000,3.98100000,3.82000000,3.93200000,3052658.60000000
1715097600000,3.93100000,3.96000000,3.84500000,3.85800000,1318134.00000000
1715112000000,3.85800000,3.87600000,3.76700000,3.77200000,1877418.90000000
1715126400000,3.77100000,3.85100000,3.71500000,3.81500000,1609668.60000000
1715140800000,3.81500000,3.82900000,3.63600000,3.70300000,2690896.30000000
1715155200000,3.70300000,3.74600000,3.66200000,3.68200000,2234649.20000000
1715169600000,3.68200000,3.80000000,3.62800000,3.67000000,3535119.60000000
1715184000000,3.67100000,3.73700000,3.63400000,3.64900000,1751017.40000000
1715198400000,3.65000000,3.66700000,3.51800000,3.61200000,1835641.80000000
1715212800000,3.61100000,3.72200000,3.60200000,3.69500000,1073628.20000000
1715227200000,3.69300000,3.73900000,3.66800000,3.67900000,1288883.60000000
1715241600000,3.68000000,3.69700000,3.58700000,3.63400000,1727186.30000000
1715256000000,3.63400000,3.83600000,3.63000000,3.82400000,2886516.90000000
1715270400000,3.82300000,3.86900000,3.74900000,3.79400000,1577138.80000000
1715284800000,3.79300000,3.88000000,3.76100000,3.81600000,1052522.10000000
1715299200000,3.81700000,3.85000000,3.76900000,3.79800000,1064442.60000000
1715313600000,3.79800000,3.84100000,3.79000000,3.80200000,1112997.80000000
1715328000000,3.80300000,3.97700000,3.77500000,3.94400000,3116738.60000000
1715342400000,3.94300000,3.95100000,3.68300000,3.71200000,4178791.10000000
1715356800000,3.71000000,3.74000000,3.61900000,3.65500000,2198436.00000000
1715371200000,3.65800000,3.68400000,3.61500000,3.66700000,1273051.60000000
1715385600000,3.66600000,3.72500000,3.60700000,3.62400000,1141306.40000000
1715400000000,3.62400000,3.66300000,3.60300000,3.64300000,803099.60000000
1715414400000,3.64400000,3.65200000,3.54900000,3.57200000,1650782.80000000
1715428800000,3.57200000,3.73300000,3.57200000,3.70600000,1493692.30000000
1715443200000,3.70600000,3.73200000,3.66000000,3.69300000,932134.90000000
1715457600000,3.69300000,3.69300000,3.60300000,3.61200000,741362.50000000
1715472000000,3.61200000,3.64500000,3.60700000,3.62400000,412033.20000000
1715486400000,3.62400000,3.65500000,3.58400000,3.59600000,610976.60000000
1715500800000,3.59500000,3.66500000,3.58500000,3.62200000,800092.70000000
1715515200000,3.62200000,3.71400000,3.60100000,3.69500000,1739845.20000000
1715529600000,3.69500000,3.72300000,3.64900000,3.67600000,1380173.50000000
1715544000000,3.67700000,3.69400000,3.61700000,3.66800000,682315.10000000
1715558400000,3.66800000,3.71400000,3.39700000,3.49800000,2658409.50000000
1715572800000,3.49800000,3.75000000,3.46800000,3.71900000,2052336.10000000
1715587200000,3.71800000,3.74200000,3.59300000,3.61400000,2491040.90000000
1715601600000,3.61400000,3.62300000,3.54500000,3.56700000,2065365.10000000
1715616000000,3.56800000,3.63000000,3.45300000,3.49900000,2069494.10000000
1715630400000,3.49800000,3.52000000,3.45900000,3.50500000,487977.50000000
1715644800000,3.50500000,3.53100000,3.42900000,3.45600000,1247744.70000000
1715659200000,3.45500000,3.49600000,3.36200000,3.45700000,1562074.60000000
1715673600000,3.45800000,3.45900000,3.36300000,3.37700000,1570454.10000000
1715688000000,3.37600000,3.39800000,3.29600000,3.33400000,2830540.10000000
1715702400000,3.33400000,3.33400000,3.21700000,3.31800000,1579112.70000000
1715716800000,3.31800000,3.33600000,3.28800000,3.30000000,505200.70000000
1715731200000,3.30000000,3.36200000,3.29300000,3.35700000,627385.40000000
1715745600000,3.35800000,3.38300000,3.33600000,3.35900000,629707.80000000
1715760000000,3.35700000,3.37300000,3.25600000,3.27800000,1313447.10000000
1715774400000,3.27800000,3.47300000,3.24500000,3.42900000,4519990.60000000
1715788800000,3.42900000,3.56800000,3.39800000,3.54500000,1696913.00000000
1715803200000,3.54500000,3.57300000,3.48500000,3.52100000,1709220.40000000
1715817600000,3.51900000,3.56400000,3.49100000,3.54800000,1366030.20000000
1715832000000,3.54800000,3.58000000,3.50200000,3.56400000,1087546.10000000
1715846400000,3.56400000,3.58700000,3.50200000,3.52700000,1079326.40000000
1715860800000,3.52700000,3.52700000,3.15300000,3.21400000,4740849.20000000
1715875200000,3.21400000,3.27300000,3.16700000,3.22100000,2473524.40000000
1715889600000,3.22100000,3.25200000,3.20700000,3.23300000,879574.90000000
