Open time,Open,High,Low,Close,Volume
1714525200000,2999.05000000,3014.70000000,2978.27000000,3002.33000000,16442.86930000
1714528800000,3002.33000000,3003.80000000,2960.03000000,2987.81000000,18023.45670000
1714532400000,2987.81000000,3008.00000000,2985.90000000,3004.37000000,6505.33770000
1714536000000,3004.37000000,3013.87000000,3002.40000000,3006.19000000,7007.86300000
1714539600000,3006.19000000,3010.75000000,2986.21000000,2995.00000000,10166.27170000
1714543200000,2995.00000000,2997.11000000,2950.00000000,2954.16000000,19114.96710000
1714546800000,2954.16000000,2957.25000000,2859.00000000,2869.71000000,87637.09470000
1714550400000,2869.70000000,2874.53000000,2817.00000000,2862.59000000,74822.12370000
1714554000000,2862.59000000,2891.75000000,2857.36000000,2875.97000000,30422.43190000
1714557600000,2875.98000000,2897.66000000,2860.00000000,2894.45000000,16754.98090000
1714561200000,2894.44000000,2906.27000000,2880.00000000,2905.39000000,21421.47890000
1714564800000,2905.40000000,2934.00000000,2898.32000000,2917.01000000,21260.10430000
1714568400000,2917.00000000,2921.35000000,2880.00000000,2889.64000000,17983.55700000
1714572000000,2889.64000000,2912.42000000,2882.03000000,2906.00000000,15255.12650000
1714575600000,2906.00000000,2907.56000000,2865.91000000,2885.45000000,21544.15110000
1714579200000,2885.46000000,2913.23000000,2875.63000000,2891.01000000,15208.66030000
1714582800000,2891.00000000,2933.63000000,2868.72000000,2921.92000000,19072.67210000
1714586400000,2921.92000000,3015.73000000,2918.14000000,2990.04000000,89485.86910000
1714590000000,2990.04000000,3001.20000000,2909.97000000,2926.06000000,48675.76210000
1714593600000,2926.05000000,2948.00000000,2914.42000000,2941.19000000,16862.75160000
1714597200000,2941.20000000,2976.50000000,2935.81000000,2967.99000000,14539.16330000
1714600800000,2968.00000000,2980.49000000,2966.07000000,2969.56000000,10787.24080000
1714604400000,2969.56000000,2984.89000000,2962.61000000,2972.46000000,10819.16880000
1714608000000,2972.46000000,2982.18000000,2944.68000000,2948.40000000,13371.69590000
1714611600000,2948.41000000,2957.05000000,2893.26000000,2906.02000000,23929.18520000
1714615200000,2906.01000000,2929.49000000,2901.55000000,2917.20000000,23550.39660000
1714618800000,2917.19000000,2934.00000000,2917.19000000,2929.33000000,13593.56340000
1714622400000,2929.34000000,2938.00000000,2917.54000000,2922.80000000,10692.11030000
1714626000000,2922.80000000,2923.19000000,2898.20000000,2916.06000000,10234.10640000
1714629600000,2916.05000000,2925.22000000,2910.14000000,2914.60000000,7378.49400000
1714633200000,2914.60000000,2936.61000000,2914.05000000,2921.22000000,11471.46950000
1714636800000,2921.22000000,2946.16000000,2916.73000000,2941.80000000,13350.74740000
1714640400000,2941.80000000,2948.40000000,2934.60000000,2946.35000000,7557.17750000
1714644000000,2946.36000000,2968.00000000,2937.54000000,2965.66000000,15119.48540000
1714647600000,2965.66000000,3002.51000000,2965.21000000,2995.55000000,43060.28390000
