Open time,Open,High,Low,Close,Volume
1714608000000,1.55900000,1.64800000,1.50700000,1.61900000,1050117.90000000
1714694400000,1.61900000,1.68100000,1.57600000,1.65900000,1368910.00000000
1714780800000,1.66100000,1.69500000,1.61600000,1.61600000,1296816.00000000
1714867200000,1.61600000,1.68400000,1.58300000,1.67500000,820403.40000000
1714953600000,1.67500000,1.76800000,1.64400000,1.66300000,1397421.90000000
1715040000000,1.66300000,2.54300000,1.65500000,1.92600000,7853237.90000000
1715126400000,1.92900000,1.93000000,1.56500000,1.60400000,3049416.90000000
1715212800000,1.60300000,1.64200000,1.54500000,1.57200000,907069.00000000
1715299200000,1.57100000,1.61700000,1.50500000,1.52200000,707257.20000000
1715385600000,1.52100000,1.77500000,1.51800000,1.54100000,2432016.60000000
1715472000000,1.54400000,1.58500000,1.52300000,1.54500000,592892.60000000
1715558400000,1.54400000,1.56500000,1.48400000,1.52000000,618042.60000000
1715644800000,1.51800000,1.71100000,1.49500000,1.54100000,2282882.20000000
1715731200000,1.53900000,1.68000000,1.52200000,1.64300000,858067.50000000
1715817600000,1.64200000,1.70000000,1.56500000,1.60400000,903384.60000000
1715904000000,1.60100000,1.70000000,1.59000000,1.68100000,923202.70000000
1715990400000,1.68400000,1.75400000,1.67400000,1.70900000,1073053.70000000
1716076800000,1.70900000,1.72600000,1.62700000,1.64100000,885077.60000000
1716163200000,1.64000000,1.77400000,1.60800000,1.76200000,976783.40000000
1716249600000,1.76200000,1.85200000,1.73300000,1.84700000,1130361.20000000
1716336000000,1.84600000,1.85200000,1.75000000,1.78100000,987577.10000000
1716422400000,1.78100000,1.82000000,1.65400000,1.72500000,962380.40000000
1716508800000,1.72400000,1.77100000,1.65900000,1.74300000,566403.90000000
1716595200000,1.74100000,1.78600000,1.73700000,1.77700000,362086.70000000
1716681600000,1.77700000,1.84000000,1.75000000,1.82000000,651568.50000000
1716768000000,1.81700000,1.85800000,1.75600000,1.80100000,699652.80000000
1716854400000,1.80100000,1.82000000,1.74700000,1.78900000,438376.90000000
1716940800000,1.78800000,1.83500000,1.76800000,1.77800000,392333.40000000
1717027200000,1.77800000,1.88700000,1.75000000,1.79800000,781473.50000000
1717113600000,1.79800000,1.88000000,1.76500000,1.82900000,778180.50000000
1717200000000,1.82900000,1.84700000,1.76700000,1.76700000,464912.40000000
1717286400000,1.76700000,1.79800000,1.70200000,1.72200000,399762.00000000
1717372800000,1.72200000,1.77300000,1.71500000,1.73100000,436983.40000000
1717459200000,1.73000000,1.80700000,1.70600000,1.80500000,576872.20000000
1717545600000,1.80500000,1.86700000,1.79600000,1.85400000,695624.40000000
1717632000000,1.85400000,1.86100000,1.80400000,1.84200000,406297.20000000
1717718400000,1.84100000,1.85800000,1.63000000,1.63500000,850166.20000000
1717804800000,1.63300000,1.65400000,1.53800000,1.55600000,545439.30000000
