Open time,Open,High,Low,Close,Volume
1714536000000,4.00300000,4.02400000,3.83000000,3.84100000,38501.45000000
1714550400000,3.83900000,3.92000000,3.76200000,3.92000000,26587.14000000
1714564800000,3.91900000,3.95700000,3.87500000,3.88400000,21277.73000000
1714579200000,3.88300000,4.06400000,3.84000000,3.95300000,74242.57000000
1714593600000,3.95100000,4.04100000,3.93100000,4.01400000,20124.31000000
1714608000000,4.01300000,4.02600000,3.86500000,3.90000000,32537.34000000
1714622400000,3.90000000,3.90600000,3.83300000,3.87200000,10562.98000000
1714636800000,3.87300000,4.03500000,3.86600000,4.02400000,22950.51000000
1714651200000,4.02400000,4.05200000,3.95300000,4.03300000,33829.77000000
1714665600000,4.03500000,4.08900000,4.01500000,4.07100000,23554.39000000
1714680000000,4.07100000,4.15100000,4.03500000,4.08200000,57669.91000000
1714694400000,4.08300000,4.14100000,4.06100000,4.09800000,27472.25000000
1714708800000,4.09800000,4.11600000,4.03000000,4.09700000,51402.94000000
1714723200000,4.09700000,4.15300000,4.04800000,4.10000000,65079.61000000
1714737600000,4.09900000,4.25200000,4.08300000,4.24100000,91295.90000000
1714752000000,4.24400000,4.28200000,4.21200000,4.27200000,29978.71000000
1714766400000,4.27200000,4.30700000,4.25700000,4.30000000,35179.35000000
1714780800000,4.30200000,4.34600000,4.22900000,4.26700000,29038.41000000
1714795200000,4.26800000,4.29100000,4.21200000,4.22900000,35485.74000000
1714809600000,4.23100000,4.28200000,4.21300000,4.22200000,34608.12000000
1714824000000,4.22200000,4.26800000,4.21100000,4.25000000,28093.78000000
1714838400000,4.24900000,4.35600000,4.24400000,4.34600000,32511.88000000
1714852800000,4.34600000,4.38400000,4.31200000,4.37200000,42336.38000000
1714867200000,4.37300000,4.39600000,4.21000000,4.24100000,53584.29000000
1714881600000,4.24000000,4.34000000,4.23300000,4.33000000,37593.39000000
1714896000000,4.33000000,4.38500000,4.31700000,4.37200000,60539.31000000
1714910400000,4.37200000,4.46700000,4.32500000,4.44000000,83102.40000000
1714924800000,4.44100000,4.45400000,4.32400000,4.35400000,72813.28000000
1714939200000,4.35400000,4.37000000,4.29600000,4.35100000,54274.80000000
1714953600000,4.35200000,4.41200000,4.28500000,4.29300000,94589.44000000
1714968000000,4.29200000,4.39600000,4.28800000,4.35800000,75963.35000000
1714982400000,4.35500000,4.44600000,4.33600000,4.38900000,95830.28000000
1714996800000,4.39000000,4.39700000,4.30300000,4.33900000,60679.06000000
1715011200000,4.33800000,4.36800000,4.27000000,4.31300000,71098.99000000
1715025600000,4.31800000,4.32400000,4.21100000,4.21800000,42084.46000000
1715040000000,4.21600000,4.25200000,4.16600000,4.17800000,52280.64000000
1715054400000,4.17800000,4.19700000,4.12600000,4.14600000,35118.56000000
1715068800000,4.14700000,4.23100000,4.14200000,4.18400000,68803.26000000
1715083200000,4.18400000,4.27600000,4.17800000,4.22200000,75411.78000000
1715097600000,4.22900000,4.28900000,4.21000000,4.24400000,52011.38000000
1715112000000,4.24800000,4.28100000,4.15500000,4.16300000,41665.76000000
1715126400000,4.16200000,4.19000000,4.11500000,4.12900000,47395.57000000
1715140800000,4.12800000,4.14400000,4.02200000,4.04500000,62255.01000000
1715155200000,4.04100000,4.07800000,4.02000000,4.02600000,51931.01000000
1715169600000,4.02500000,4.11400000,4.00200000,4.08300000,60369.70000000
1715184000000,4.08200000,4.16400000,4.06400000,4.15300000,60909.03000000
1715198400000,4.15200000,4.16300000,4.07400000,4.11400000,62676.06000000
1715212800000,4.11000000,4.24500000,4.09400000,4.22700000,66659.70000000
1715227200000,4.22600000,4.32200000,4.15500000,4.17000000,168797.12000000
1715241600000,4.16900000,4.22600000,4.06600000,4.10400000,63397.69000000
1715256000000,4.10500000,4.17700000,4.06100000,4.14900000,65515.48000000
1715270400000,4.14500000,4.20400000,4.13100000,4.19600000,68933.09000000
