Open time,Open,High,Low,Close,Volume
1714608000000,4.85800000,4.97000000,4.66800000,4.89300000,456899.50000000
1714694400000,4.89300000,5.21200000,4.82500000,5.11600000,571534.10000000
1714780800000,5.11700000,5.24000000,5.06400000,5.07700000,512806.60000000
1714867200000,5.08000000,5.24500000,4.99800000,5.18100000,736475.90000000
1714953600000,5.18100000,5.33000000,5.06700000,5.11400000,470326.80000000
1715040000000,5.11500000,5.29100000,5.05500000,5.08000000,668938.80000000
1715126400000,5.07800000,5.25200000,5.00200000,5.10100000,792056.60000000
1715212800000,5.10200000,5.26800000,5.01300000,5.24500000,466626.30000000
1715299200000,5.24500000,5.29500000,4.88800000,4.97400000,584535.20000000
1715385600000,4.97300000,5.07200000,4.92100000,4.93600000,213449.80000000
1715472000000,4.92900000,4.99400000,4.86200000,4.90200000,172818.50000000
1715558400000,4.90200000,4.99500000,4.69900000,4.90000000,406431.70000000
1715644800000,4.90000000,4.94900000,4.76900000,4.78300000,389943.60000000
1715731200000,4.78400000,5.08300000,4.75100000,5.04400000,406382.70000000
1715817600000,5.04700000,5.09500000,4.93100000,5.03800000,358578.50000000
1715904000000,5.03800000,5.21600000,4.98400000,5.18200000,342993.80000000
1715990400000,5.18100000,5.22400000,5.11300000,5.16700000,236321.50000000
1716076800000,5.16700000,5.18400000,4.93800000,4.97900000,265161.40000000
1716163200000,4.98000000,5.37600000,4.91000000,5.36600000,670765.30000000
1716249600000,5.36800000,5.39800000,5.23400000,5.29200000,604134.20000000
1716336000000,5.29400000,5.30300000,5.11800000,5.19100000,474401.70000000
1716422400000,5.19200000,5.25000000,4.79300000,5.00400000,735754.10000000
1716508800000,5.00200000,5.13800000,4.89000000,5.13800000,351010.60000000
1716595200000,5.13600000,5.25700000,5.12000000,5.19200000,439963.40000000
1716681600000,5.19500000,5.22100000,5.08500000,5.11900000,408128.30000000
1716768000000,5.12100000,5.30800000,5.07300000,5.22900000,503004.10000000
1716854400000,5.23200000,5.33700000,5.08900000,5.23600000,893924.50000000
1716940800000,5.23700000,5.30700000,5.10600000,5.12800000,674934.60000000
1717027200000,5.12600000,5.15200000,4.91100000,4.99000000,436268.40000000
1717113600000,4.98800000,5.01500000,4.86700000,4.98400000,282191.70000000
1717200000000,4.98300000,4.99000000,4.94200000,4.96200000,140688.90000000
1717286400000,4.96000000,4.99700000,4.83200000,4.90200000,392412.40000000
1717372800000,4.90500000,5.01700000,4.86500000,4.91800000,518187.80000000
1717459200000,4.91700000,5.05000000,4.88800000,5.02100000,648495.80000000
1717545600000,5.02400000,5.09300000,5.00000000,5.07200000,546658.20000000
1717632000000,5.07200000,5.08000000,4.90500000,4.98600000,306897.30000000
1717718400000,4.98100000,5.05700000,4.09600000,4.57400000,1148099.90000000
1717804800000,4.57300000,4.59000000,4.28700000,4.33500000,562177.70000000
1717891200000,4.33500000,4.48100000,4.26300000,4.42700000,214989.20000000
1717977600000,4.42800000,4.43400000,4.31100000,4.34700000,229579.20000000
1718064000000,4.34800000,4.36100000,4.02100000,4.11300000,442899.10000000
1718150400000,4.11500000,4.41700000,4.04100000,4.32400000,754613.60000000
1718236800000,4.32600000,4.42500000,4.11400000,4.14200000,443315.60000000
1718323200000,4.14900000,4.21100000,3.85000000,4.02600000,387367.60000000
1718409600000,4.02800000,4.10200000,4.00100000,4.08200000,143176.10000000
1718496000000,4.08400000,4.13200000,4.00600000,4.11000000,176715.40000000
1718582400000,4.11000000,4.87500000,3.51700000,3.73300000,1912698.80000000
1718668800000,3.73100000,3.74400000,3.16700000,3.52000000,1160652.40000000
1718755200000,3.52100000,3.67500000,3.47000000,3.60400000,385773.10000000
1718841600000,3.60300000,3.87100000,3.58400000,3.65500000,514243.20000000
1718928000000,3.65600000,4.26700000,3.60500000,3.83000000,3582915.30000000
1719014400000,3.82900000,3.87900000,3.61700000,3.64400000,952575.10000000
1719100800000,3.64400000,3.68900000,3.53100000,3.56800000,396643.20000000
1719187200000,3.57000000,3.64000000,3.33000000,3.56500000,671481.40000000
1719273600000,3.56500000,3.67400000,3.54200000,3.63600000,284355.90000000
1719360000000,3.63500000,3.69700000,3.56400000,3.64300000,290098.20000000
1719446400000,3.64400000,3.72700000,3.55400000,3.69100000,232317.30000000
1719532800000,3.69200000,4.13600000,3.66000000,3.73000000,2866500.80000000
1719619200000,3.73000000,3.99900000,3.67000000,3.67300000,1119835.10000000
1719705600000,3.67200000,3.76100000,3.55100000,3.75700000,557046.70000000
1719792000000,3.75700000,3.78800000,3.65200000,3.67400000,303877.30000000
1719878400000,3.67700000,3.74100000,3.62100000,3.68400000,209722.20000000
1719964800000,3.68500000,3.69800000,3.46900000,3.51200000,263601.20000000
1720051200000,3.51400000,3.54000000,3.14800000,3.16900000,516265.30000000
1720137600000,3.16900000,3.17300000,2.71300000,3.04500000,1320255.00000000
1720224000000,3.04400000,3.27400000,3.02100000,3.24600000,352020.20000000
1720310400000,3.24800000,3.29500000,3.02500000,3.04600000,515645.60000000
1720396800000,3.04700000,3.27800000,2.90200000,3.15400000,618460.70000000
1720483200000,3.15300000,3.28200000,3.12200000,3.26600000,303161.40000000
1720569600000,3.27000000,3.34200000,3.22100000,3.32300000,239255.40000000
1720656000000,3.32000000,3.41200000,3.24700000,3.26900000,379297.20000000
1720742400000,3.26900000,3.35200000,3.20900000,3.34100000,267171.70000000
1720828800000,3.34000000,3.53000000,3.33100000,3.49100000,366478.60000000
1720915200000,3.49100000,4.00800000,3.45200000,3.78600000,4450503.80000000
1721001600000,3.78400000,3.90900000,3.74100000,3.89200000,1146604.90000000
1721088000000,3.88700000,3.90400000,3.66400000,3.82700000,647753.30000000
1721174400000,3.82500000,3.91500000,3.74300000,3.79900000,545351.40000000
1721260800000,3.79900000,3.91800000,3.67700000,3.82900000,563625.70000000
1721347200000,3.83400000,3.94000000,3.73600000,3.93200000,340749.00000000
1721433600000,3.93000000,3.93600000,3.85600000,3.91900000,186324.00000000
1721520000000,3.91800000,4.15400000,3.77700000,4.01300000,1334344.30000000
1721606400000,4.01200000,4.13000000,3.80900000,3.85300000,512192.50000000
1721692800000,3.85300000,3.88500000,3.68200000,3.73700000,298147.90000000
1721779200000,3.73700000,3.83800000,3.66800000,3.70200000,230672.60000000
1721865600000,3.70000000,3.73300000,3.50600000,3.64400000,425505.50000000
1721952000000,3.64200000,3.81200000,3.63900000,3.80700000,181652.20000000
1722038400000,3.80700000,3.88600000,3.78300000,3.86600000,264307.50000000
1722124800000,3.86700000,3.87300000,3.75600000,3.80700000,161691.00000000
1722211200000,3.80700000,3.91800000,3.79500000,3.84300000,273567.10000000
1722297600000,3.84300000,3.88600000,3.65700000,3.72100000,185099.10000000
1722384000000,3.72200000,3.79000000,3.59000000,3.61400000,231842.40000000
1722470400000,3.61400000,3.64100000,3.29400000,3.55900000,380653.50000000
1722556800000,3.55700000,3.57600000,3.30500000,3.37100000,326662.80000000
1722643200000,3.37100000,3.40700000,3.14500000,3.21400000,357745.10000000
1722729600000,3.21500000,3.26100000,2.94200000,3.04500000,321378.10000000
1722816000000,3.04900000,3.07900000,2.46700000,2.83300000,2345111.60000000
1722902400000,2.83100000,3.00000000,2.82800000,2.95100000,490606.80000000
1722988800000,2.94800000,3.05100000,2.85700000,2.91800000,363158.60000000
1723075200000,2.91800000,3.64400000,2.86800000,3.53700000,1768673.60000000
1723161600000,3.53800000,3.85500000,3.45300000,3.66100000,2267761.00000000
1723248000000,3.65900000,3.72600000,3.56200000,3.60600000,491403.10000000
1723334400000,3.61000000,3.62700000,3.30900000,3.32700000,433782.00000000
1723420800000,3.32700000,3.44300000,3.24900000,3.34400000,584294.00000000
1723507200000,3.34200000,3.36000000,3.22500000,3.32500000,257885.90000000
1723593600000,3.32200000,3.37300000,3.22100000,3.30400000,281514.10000000
1723680000000,3.30200000,3.32100000,3.11700000,3.18500000,249648.90000000
1723766400000,3.18800000,3.28300000,3.10300000,3.19200000,747102.20000000
1723852800000,3.19200000,3.21500000,3.17000000,3.21100000,124139.30000000
1723939200000,3.20500000,3.26000000,3.12900000,3.18200000,345737.20000000
1724025600000,3.18400000,3.29000000,3.15900000,3.28300000,306788.30000000
1724112000000,3.28300000,3.40600000,3.26700000,3.36000000,362784.00000000
1724198400000,3.36100000,3.45900000,3.32400000,3.41200000,267053.70000000
1724284800000,3.41600000,3.45300000,3.34500000,3.42100000,177705.60000000
1724371200000,3.42300000,4.00500000,3.41900000,3.84200000,1291491.00000000
