Open time,Open,High,Low,Close,Volume
1714525200000,3.33900000,3.36400000,3.31900000,3.33800000,94693.84700000
1714528800000,3.33600000,3.33600000,3.26100000,3.29500000,131587.16700000
1714532400000,3.29200000,3.29300000,3.23700000,3.26800000,76505.03900000
1714536000000,3.26000000,3.34000000,3.25000000,3.29200000,141503.02200000
1714539600000,3.29200000,3.33100000,3.28200000,3.32500000,101224.25200000
1714543200000,3.32500000,3.33000000,3.29300000,3.31200000,89888.97800000
1714546800000,3.31100000,3.31800000,3.23700000,3.28300000,250455.82000000
1714550400000,3.28500000,3.42800000,3.27600000,3.40000000,295047.54600000
1714554000000,3.40300000,3.49700000,3.40200000,3.44300000,211870.11500000
1714557600000,3.44200000,3.53400000,3.42100000,3.52700000,155561.21300000
1714561200000,3.53000000,3.54100000,3.46500000,3.48700000,149756.44900000
1714564800000,3.48500000,3.53200000,3.44400000,3.50800000,145830.69200000
1714568400000,3.50700000,3.51300000,3.45900000,3.48700000,70038.14700000
1714572000000,3.48700000,3.51700000,3.43400000,3.51700000,133744.11900000
1714575600000,3.51800000,3.52300000,3.46800000,3.49000000,99852.59600000
1714579200000,3.49000000,3.53700000,3.45900000,3.50700000,163497.92800000
1714582800000,3.50600000,3.62300000,3.48200000,3.60000000,208959.67500000
1714586400000,3.59700000,3.62300000,3.42700000,3.50600000,399644.69500000
1714590000000,3.50800000,3.56300000,3.38800000,3.41000000,299157.94800000
1714593600000,3.41100000,3.45100000,3.38500000,3.43100000,126831.22100000
1714597200000,3.43200000,3.44800000,3.38700000,3.40700000,119291.22400000
1714600800000,3.40600000,3.42000000,3.34300000,3.38100000,114283.26000000
1714604400000,3.38100000,3.43400000,3.35500000,3.40200000,114297.93500000
1714608000000,3.40400000,3.50000000,3.33100000,3.33900000,166291.32100000
1714611600000,3.33900000,3.36800000,3.28800000,3.33100000,127165.98500000
1714615200000,3.33500000,3.34800000,3.30700000,3.34700000,45987.13900000
1714618800000,3.34600000,3.46800000,3.34600000,3.40600000,165678.41600000
1714622400000,3.40600000,3.41300000,3.31100000,3.33000000,112297.73500000
1714626000000,3.33000000,3.35500000,3.30300000,3.33800000,92639.88600000
1714629600000,3.33600000,3.33600000,3.29700000,3.32900000,78966.02700000
1714633200000,3.33300000,3.34800000,3.28900000,3.29900000,73884.48300000
1714636800000,3.29800000,3.34600000,3.28600000,3.31800000,82595.89300000
1714640400000,3.31200000,3.37000000,3.29600000,3.36900000,73515.80700000
1714644000000,3.37000000,3.70600000,3.35600000,3.65100000,325693.94600000
1714647600000,3.64600000,3.73800000,3.49000000,3.60000000,622550.32300000
1714651200000,3.59900000,3.66700000,3.52500000,3.57500000,289783.39900000
1714654800000,3.57500000,3.57500000,3.48500000,3.51800000,173765.64300000
1714658400000,3.51600000,3.59400000,3.46800000,3.52500000,276857.51500000
1714662000000,3.52200000,3.53400000,3.46700000,3.46900000,157097.45100000
1714665600000,3.46800000,3.46900000,3.38000000,3.38300000,306374.19100000
1714669200000,3.38400000,3.45600000,3.37000000,3.43300000,145982.92900000
1714672800000,3.43200000,3.45000000,3.38400000,3.41900000,86143.30000000
1714676400000,3.41800000,3.50000000,3.40400000,3.49700000,100676.83100000
1714680000000,3.49500000,3.54400000,3.46600000,3.49200000,78782.04100000
