Open time,Open,High,Low,Close,Volume
1714525200000,1.90600000,1.95230000,1.89150000,1.94690000,160339.08000000
1714528800000,1.94760000,1.95420000,1.92150000,1.94230000,89756.80000000
1714532400000,1.94250000,1.97510000,1.94060000,1.97180000,102289.53000000
1714536000000,1.97180000,1.99390000,1.97050000,1.98140000,137735.00000000
1714539600000,1.98180000,1.98650000,1.95320000,1.96090000,153971.34000000
1714543200000,1.96080000,1.96280000,1.91400000,1.91840000,177464.85000000
1714546800000,1.91830000,1.92370000,1.86710000,1.88760000,321905.33000000
1714550400000,1.88750000,1.89330000,1.85320000,1.88970000,270961.02000000
1714554000000,1.88890000,1.92240000,1.88680000,1.89770000,189242.04000000
1714557600000,1.89780000,1.91390000,1.88790000,1.91230000,128388.58000000
1714561200000,1.91400000,1.91520000,1.89520000,1.91470000,82671.98000000
1714564800000,1.91470000,1.95660000,1.90790000,1.94990000,163335.17000000
1714568400000,1.94990000,1.95350000,1.92350000,1.93270000,103543.77000000
1714572000000,1.93360000,1.94630000,1.92060000,1.94230000,121211.21000000
1714575600000,1.94270000,1.94270000,1.90280000,1.91840000,123379.55000000
1714579200000,1.91850000,1.93320000,1.89810000,1.90300000,117353.70000000
1714582800000,1.90300000,1.95940000,1.89100000,1.94800000,80336.41000000
1714586400000,1.94830000,2.05060000,1.94810000,2.02690000,344603.55000000
1714590000000,2.02710000,2.04370000,1.96340000,1.97510000,242028.35000000
1714593600000,1.97520000,1.98580000,1.95470000,1.97350000,112810.37000000
1714597200000,1.97380000,2.00860000,1.96550000,2.00780000,104634.75000000
1714600800000,2.00770000,2.02670000,2.00210000,2.02010000,155557.58000000
1714604400000,2.02020000,2.04260000,2.01240000,2.02670000,112073.93000000
1714608000000,2.02690000,2.03860000,1.99510000,2.01060000,138869.58000000
1714611600000,2.01020000,2.01920000,1.96460000,1.99200000,197400.56000000
1714615200000,1.99180000,1.99770000,1.97020000,1.97540000,80641.33000000
1714618800000,1.97810000,1.99680000,1.97630000,1.99260000,40662.71000000
1714622400000,1.99270000,2.00180000,1.98070000,1.98900000,44266.58000000
1714626000000,1.99030000,2.00050000,1.97490000,1.99950000,49908.97000000
1714629600000,2.00010000,2.01050000,1.99280000,2.00170000,41864.33000000
1714633200000,2.00110000,2.03200000,2.00100000,2.00770000,82859.80000000
1714636800000,2.00740000,2.03000000,2.00320000,2.00990000,183196.22000000
1714640400000,2.01090000,2.03630000,2.00770000,2.03430000,67359.98000000
1714644000000,2.03430000,2.04660000,2.02430000,2.04630000,87432.52000000
1714647600000,2.04680000,2.10900000,2.04480000,2.10670000,449740.56000000
1714651200000,2.10660000,2.12370000,2.09740000,2.09990000,153464.11000000
1714654800000,2.10040000,2.10510000,2.08720000,2.09180000,111205.08000000
1714658400000,2.09160000,2.14280000,2.08440000,2.13620000,144725.64000000
1714662000000,2.13620000,2.15110000,2.12930000,2.13140000,127756.16000000
1714665600000,2.13330000,2.14010000,2.12040000,2.13400000,145855.44000000
1714669200000,2.13490000,2.16710000,2.13090000,2.15040000,152834.18000000
1714672800000,2.15090000,2.18950000,2.14720000,2.16920000,197626.67000000
1714676400000,2.16910000,2.17410000,2.14680000,2.17090000,126559.55000000
1714680000000,2.17080000,2.18720000,2.15610000,2.16540000,196302.00000000
1714683600000,2.16560000,2.23080000,2.16380000,2.21800000,290489.40000000
1714687200000,2.21900000,2.25820000,2.21880000,2.25130000,398843.58000000
1714690800000,2.25130000,2.26290000,2.20760000,2.21120000,152542.51000000
1714694400000,2.21100000,2.22220000,2.19090000,2.21630000,231392.79000000
1714698000000,2.21700000,2.26270000,2.21660000,2.24760000,222278.19000000
1714701600000,2.24670000,2.27850000,2.24350000,2.25300000,251154.05000000
1714705200000,2.25370000,2.28810000,2.24110000,2.24220000,155740.48000000
1714708800000,2.24210000,2.24250000,2.21060000,2.22500000,142988.32000000
1714712400000,2.22540000,2.24010000,2.21490000,2.22100000,64778.13000000
1714716000000,2.22040000,2.22870000,2.20900000,2.22280000,77619.99000000
1714719600000,2.22230000,2.23150000,2.20670000,2.21720000,109657.20000000
1714723200000,2.21710000,2.23420000,2.19380000,2.19830000,111976.27000000
1714726800000,2.19860000,2.24290000,2.19720000,2.22920000,76396.05000000
1714730400000,2.22880000,2.23180000,2.20060000,2.21030000,117534.40000000
1714734000000,2.21040000,2.23380000,2.19380000,2.22790000,87210.78000000
1714737600000,2.22720000,2.29390000,2.21420000,2.26390000,304438.43000000
1714741200000,2.26340000,2.29550000,2.25570000,2.25950000,233203.83000000
1714744800000,2.26000000,2.26910000,2.22290000,2.22340000,160423.01000000
1714748400000,2.22430000,2.23940000,2.20940000,2.23600000,133287.77000000
1714752000000,2.23650000,2.27270000,2.23650000,2.25400000,227427.78000000
1714755600000,2.25510000,2.27680000,2.25010000,2.27530000,110984.83000000
1714759200000,2.27570000,2.27650000,2.26040000,2.27280000,85397.00000000
1714762800000,2.27310000,2.27680000,2.26310000,2.27070000,64902.13000000
1714766400000,2.26980000,2.28460000,2.26590000,2.28220000,119732.19000000
1714770000000,2.28280000,2.29000000,2.25460000,2.26030000,87811.20000000
1714773600000,2.25950000,2.26810000,2.24120000,2.25940000,122856.02000000
1714777200000,2.25980000,2.26750000,2.24780000,2.25010000,60738.21000000
1714780800000,2.25070000,2.27730000,2.25020000,2.26090000,117934.52000000
1714784400000,2.26080000,2.26140000,2.23060000,2.23110000,68947.11000000
1714788000000,2.23200000,2.24800000,2.22420000,2.23710000,66781.95000000
1714791600000,2.23770000,2.25550000,2.23690000,2.24340000,42203.94000000
1714795200000,2.24380000,2.25380000,2.22960000,2.23710000,32968.95000000
1714798800000,2.23800000,2.24850000,2.22590000,2.24240000,43384.16000000
1714802400000,2.24250000,2.24250000,2.22460000,2.22600000,50864.52000000
1714806000000,2.22600000,2.23280000,2.22180000,2.22280000,45606.50000000
1714809600000,2.22280000,2.24110000,2.22240000,2.23400000,38275.93000000
1714813200000,2.23350000,2.24370000,2.21410000,2.21620000,63519.25000000
1714816800000,2.21660000,2.26110000,2.21320000,2.26040000,159829.30000000
1714820400000,2.26050000,2.26090000,2.20450000,2.21330000,267587.24000000
1714824000000,2.21330000,2.22460000,2.20410000,2.21820000,140655.22000000
1714827600000,2.21790000,2.21910000,2.19270000,2.20180000,160823.44000000
1714831200000,2.20170000,2.22710000,2.19760000,2.22450000,97292.27000000
1714834800000,2.22400000,2.22860000,2.21130000,2.22850000,87911.24000000
1714838400000,2.22830000,2.24340000,2.22380000,2.23110000,111527.41000000
1714842000000,2.23100000,2.23780000,2.21690000,2.22600000,48392.11000000
1714845600000,2.22490000,2.23400000,2.22010000,2.23240000,26521.84000000
1714849200000,2.23250000,2.25000000,2.22920000,2.24750000,50896.40000000
1714852800000,2.24750000,2.25610000,2.23790000,2.23820000,89244.76000000
1714856400000,2.23820000,2.24590000,2.22260000,2.23320000,43583.91000000
1714860000000,2.23360000,2.23600000,2.22090000,2.22390000,59005.37000000
1714863600000,2.22290000,2.23390000,2.22290000,2.22830000,36066.94000000
1714867200000,2.22870000,2.23300000,2.20220000,2.22320000,57653.85000000
1714870800000,2.22270000,2.22410000,2.17400000,2.19190000,120658.81000000
1714874400000,2.19090000,2.20410000,2.19000000,2.19330000,19736.01000000
1714878000000,2.19340000,2.21870000,2.18180000,2.20850000,38548.12000000
1714881600000,2.20860000,2.21610000,2.18670000,2.19180000,52592.43000000
1714885200000,2.19300000,2.20150000,2.17590000,2.17870000,33892.43000000
1714888800000,2.17860000,2.20670000,2.17290000,2.20040000,32935.92000000
1714892400000,2.19990000,2.23910000,2.19880000,2.21720000,119391.05000000
1714896000000,2.21750000,2.22630000,2.20600000,2.21700000,63856.62000000
1714899600000,2.21710000,2.21800000,2.19770000,2.21260000,42849.05000000
1714903200000,2.21210000,2.21900000,2.20220000,2.21010000,22664.83000000
1714906800000,2.21050000,2.23180000,2.20490000,2.22160000,82147.68000000
1714910400000,2.22100000,2.22280000,2.19650000,2.20090000,41562.27000000
1714914000000,2.20060000,2.22380000,2.19080000,2.21370000,98856.56000000
1714917600000,2.21470000,2.22320000,2.18570000,2.22270000,81997.09000000
1714921200000,2.22310000,2.24610000,2.21800000,2.24230000,167781.59000000
1714924800000,2.24250000,2.29060000,2.23890000,2.27560000,233766.22000000
1714928400000,2.27580000,2.28670000,2.25880000,2.27220000,63846.50000000
1714932000000,2.27200000,2.27860000,2.24370000,2.24790000,106968.75000000
1714935600000,2.24790000,2.25240000,2.23130000,2.23890000,62124.26000000
1714939200000,2.23840000,2.25420000,2.23000000,2.24690000,80469.36000000
1714942800000,2.24660000,2.24660000,2.22640000,2.24080000,49864.40000000
1714946400000,2.24170000,2.24480000,2.22890000,2.23370000,48902.51000000
1714950000000,2.23400000,2.24860000,2.23230000,2.24100000,55126.85000000
1714953600000,2.24210000,2.29790000,2.23700000,2.25920000,220015.78000000
1714957200000,2.25940000,2.27080000,2.23980000,2.24100000,74566.78000000
1714960800000,2.24040000,2.24400000,2.21850000,2.21900000,56674.92000000
1714964400000,2.21830000,2.22400000,2.19920000,2.21150000,115005.06000000
1714968000000,2.21140000,2.22150000,2.20110000,2.22020000,45991.08000000
1714971600000,2.22020000,2.26920000,2.20700000,2.25950000,204162.59000000
1714975200000,2.25910000,2.28710000,2.25620000,2.27000000,83808.55000000
1714978800000,2.26970000,2.29040000,2.26520000,2.27510000,116336.36000000
1714982400000,2.27490000,2.30550000,2.26920000,2.30220000,267666.07000000
1714986000000,2.30280000,2.30890000,2.27520000,2.28630000,153481.95000000
1714989600000,2.28630000,2.29090000,2.21310000,2.22380000,185617.21000000
1714993200000,2.22400000,2.24550000,2.22210000,2.24310000,85997.16000000
1714996800000,2.24310000,2.24890000,2.17370000,2.19390000,222375.02000000
1715000400000,2.19470000,2.21780000,2.18380000,2.21080000,130700.65000000
1715004000000,2.21180000,2.22600000,2.17680000,2.17680000,125313.95000000
1715007600000,2.17730000,2.22500000,2.16320000,2.21020000,122720.92000000
1715011200000,2.20930000,2.21830000,2.18490000,2.19020000,54830.14000000
1715014800000,2.18950000,2.20950000,2.18290000,2.19520000,68347.38000000
1715018400000,2.19650000,2.21270000,2.18500000,2.20310000,39610.36000000
1715022000000,2.20320000,2.20330000,2.17240000,2.19550000,106386.78000000
1715025600000,2.19510000,2.20540000,2.18970000,2.20230000,43163.92000000
1715029200000,2.20280000,2.20580000,2.18760000,2.18840000,48943.75000000
1715032800000,2.18750000,2.18900000,2.17470000,2.17990000,52762.71000000
1715036400000,2.17870000,2.17990000,2.16100000,2.16480000,58810.58000000
1715040000000,2.16470000,2.18420000,2.15650000,2.16550000,121688.40000000
1715043600000,2.16600000,2.18820000,2.16110000,2.18290000,61677.96000000
1715047200000,2.18320000,2.19170000,2.17020000,2.17210000,45370.08000000
1715050800000,2.17180000,2.17640000,2.12460000,2.14700000,105841.29000000
1715054400000,2.14800000,2.15460000,2.14050000,2.14840000,87154.76000000
1715058000000,2.14800000,2.14900000,2.12430000,2.13390000,134462.73000000
1715061600000,2.13370000,2.16340000,2.12140000,2.13390000,192563.73000000
1715065200000,2.13270000,2.13930000,2.12670000,2.13020000,61017.49000000
1715068800000,2.12890000,2.21560000,2.12480000,2.20810000,217736.77000000
1715072400000,2.20800000,2.22990000,2.19220000,2.19540000,65517.38000000
1715076000000,2.19400000,2.20220000,2.18040000,2.19810000,30722.44000000
1715079600000,2.19830000,2.21000000,2.17000000,2.17240000,58829.74000000
1715083200000,2.17260000,2.21450000,2.17230000,2.20960000,172135.99000000
1715086800000,2.21010000,2.24470000,2.19470000,2.21540000,147269.13000000
1715090400000,2.21580000,2.27690000,2.21150000,2.27330000,157139.94000000
1715094000000,2.27340000,2.28580000,2.23260000,2.23310000,135938.74000000
1715097600000,2.23340000,2.24380000,2.20790000,2.22650000,46720.39000000
1715101200000,2.22660000,2.22940000,2.21050000,2.22380000,35423.74000000
