Open time,Open,High,Low,Close,Volume
1714536000000,2.93900000,2.96800000,2.74900000,2.90400000,2325521.60000000
1714550400000,2.90300000,2.95400000,2.86100000,2.88400000,1454245.60000000
1714564800000,2.88400000,3.00300000,2.84300000,2.85800000,2313705.50000000
1714579200000,2.85700000,3.20000000,2.84100000,3.12400000,2622157.20000000
1714593600000,3.12500000,3.27500000,3.10200000,3.22900000,2004722.20000000
1714608000000,3.22900000,3.24600000,3.13500000,3.22300000,1588522.20000000
1714622400000,3.22300000,3.35500000,3.21100000,3.30800000,5046607.50000000
1714636800000,3.30800000,3.52900000,3.28600000,3.52200000,4020748.90000000
1714651200000,3.52500000,3.59600000,3.42600000,3.58400000,3473073.40000000
1714665600000,3.58500000,3.81000000,3.53900000,3.59300000,6338880.00000000
1714680000000,3.59400000,3.67600000,3.52700000,3.52900000,2261259.00000000
1714694400000,3.53000000,3.59800000,3.45600000,3.49800000,1875906.70000000
1714708800000,3.49600000,3.62100000,3.49400000,3.57300000,1044321.20000000
1714723200000,3.56900000,3.58700000,3.50000000,3.56700000,1978099.10000000
1714737600000,3.56700000,3.71200000,3.42200000,3.49400000,5418227.60000000
1714752000000,3.49400000,3.58700000,3.44100000,3.45600000,1767383.80000000
1714766400000,3.45600000,3.54500000,3.44800000,3.48400000,1441552.30000000
1714780800000,3.48300000,3.64000000,3.48200000,3.60000000,1543787.40000000
1714795200000,3.59800000,3.71000000,3.55500000,3.68300000,1869589.20000000
1714809600000,3.68200000,3.72900000,3.61600000,3.65700000,2431603.80000000
1714824000000,3.65700000,3.74400000,3.53500000,3.53900000,1546355.50000000
1714838400000,3.53800000,3.80000000,3.51600000,3.55200000,3030676.00000000
1714852800000,3.55300000,3.57200000,3.51800000,3.53300000,463372.40000000
1714867200000,3.53500000,3.57700000,3.42400000,3.45700000,1070423.10000000
1714881600000,3.45600000,3.48400000,3.39400000,3.40100000,1212385.50000000
1714896000000,3.40100000,3.46900000,3.39400000,3.44500000,743307.90000000
1714910400000,3.44500000,3.48300000,3.41200000,3.42400000,980339.00000000
1714924800000,3.42400000,3.43100000,3.36600000,3.41000000,845977.50000000
1714939200000,3.41200000,3.61000000,3.39700000,3.57500000,1659926.20000000
1714953600000,3.57600000,3.69300000,3.44300000,3.48900000,2731562.00000000
1714968000000,3.48900000,3.59400000,3.48600000,3.52000000,1020956.80000000
