Open time,Open,High,Low,Close,Volume
1714608000000,1.01500000,1.03400000,0.97600000,1.01800000,4640524.00000000
1714694400000,1.01700000,1.09600000,1.01300000,1.08200000,5504992.50000000
1714780800000,1.08300000,1.09400000,1.06800000,1.07400000,2877062.10000000
1714867200000,1.07400000,1.10200000,1.04700000,1.07700000,4411114.50000000
1714953600000,1.07800000,1.09800000,1.02700000,1.03600000,5783778.20000000
1715040000000,1.03700000,1.06500000,1.01900000,1.03400000,5545413.10000000
1715126400000,1.03300000,1.06600000,1.01300000,1.04900000,7381456.70000000
1715212800000,1.04900000,1.08900000,1.03300000,1.08400000,5973725.60000000
1715299200000,1.08400000,1.08800000,0.99400000,1.01900000,5965013.30000000
1715385600000,1.02000000,1.03000000,1.00300000,1.00500000,2743250.10000000
1715472000000,1.00500000,1.02200000,0.99000000,0.99400000,2228540.50000000
1715558400000,0.99400000,1.00800000,0.94100000,0.98100000,3950981.80000000
1715644800000,0.98100000,0.98400000,0.92100000,0.92900000,3094982.30000000
1715731200000,0.92800000,1.01600000,0.92100000,1.00600000,3481485.90000000
1715817600000,1.00600000,1.02200000,0.95800000,0.98800000,3328171.10000000
1715904000000,0.98800000,1.04700000,0.98500000,1.02800000,2133140.90000000
1715990400000,1.02700000,1.03300000,1.01100000,1.02600000,1389311.90000000
1716076800000,1.02600000,1.04500000,0.96800000,0.97800000,1730350.30000000
1716163200000,0.97700000,1.09600000,0.95700000,1.09200000,3561670.40000000
1716249600000,1.09200000,1.13300000,1.07900000,1.10300000,5762810.40000000
1716336000000,1.10400000,1.11300000,1.06400000,1.09100000,3904481.10000000
1716422400000,1.09200000,1.14500000,1.03300000,1.13300000,7201630.90000000
1716508800000,1.13200000,1.17500000,1.08000000,1.13200000,4771765.40000000
1716595200000,1.13200000,1.17500000,1.12600000,1.14300000,2428738.40000000
1716681600000,1.14300000,1.17100000,1.11000000,1.11900000,3154864.10000000
1716768000000,1.11900000,1.18200000,1.11400000,1.15900000,2509447.20000000
1716854400000,1.15900000,1.20400000,1.10700000,1.16400000,4542736.90000000
1716940800000,1.16400000,1.16800000,1.11800000,1.12100000,3692879.90000000
1717027200000,1.12200000,1.15800000,1.08700000,1.12500000,2163784.60000000
1717113600000,1.12500000,1.17100000,1.11600000,1.14600000,2590868.50000000
1717200000000,1.14600000,1.15300000,1.12400000,1.12500000,1999766.70000000
1717286400000,1.12500000,1.23500000,1.12400000,1.16000000,5497612.00000000
1717372800000,1.15900000,1.26800000,1.14000000,1.22300000,7988930.70000000
1717459200000,1.22200000,1.23300000,1.17500000,1.19200000,3510132.50000000
1717545600000,1.19200000,1.26200000,1.18800000,1.23200000,2320072.70000000
1717632000000,1.23200000,1.53300000,1.22700000,1.26300000,34034826.80000000
1717718400000,1.26200000,1.26400000,1.04900000,1.14200000,8894467.90000000
