Open time,Open,High,Low,Close,Volume
1714536000000,1.58900000,1.62700000,1.56000000,1.57700000,436645.80000000
1714550400000,1.57700000,1.64900000,1.54700000,1.63300000,1098176.30000000
1714564800000,1.63300000,1.65600000,1.60200000,1.62800000,486270.40000000
1714579200000,1.62900000,1.71800000,1.61500000,1.69200000,799403.40000000
1714593600000,1.69100000,1.73100000,1.66700000,1.69500000,526955.60000000
1714608000000,1.69500000,1.74100000,1.66400000,1.71000000,1092543.50000000
1714622400000,1.71000000,1.77900000,1.69200000,1.76700000,546066.30000000
1714636800000,1.76600000,1.82200000,1.73000000,1.79200000,615055.30000000
1714651200000,1.79200000,1.84800000,1.73300000,1.79000000,1099646.50000000
1714665600000,1.79000000,1.85600000,1.78500000,1.82400000,529769.40000000
1714680000000,1.82500000,1.85000000,1.78700000,1.79300000,425872.90000000
1714694400000,1.79300000,1.87600000,1.78900000,1.82100000,702217.40000000
1714708800000,1.81900000,1.87000000,1.80900000,1.84000000,332761.00000000
1714723200000,1.83900000,1.88400000,1.81800000,1.86900000,602289.80000000
1714737600000,1.86800000,1.89000000,1.85200000,1.88400000,511844.60000000
1714752000000,1.88400000,1.91800000,1.87800000,1.87900000,259654.60000000
1714766400000,1.88000000,1.89800000,1.86700000,1.87700000,322067.10000000
1714780800000,1.87700000,1.92100000,1.84100000,1.85800000,553179.10000000
1714795200000,1.85800000,1.97500000,1.85800000,1.97400000,412767.40000000
1714809600000,1.97300000,2.11000000,1.95200000,1.95600000,1751411.70000000
1714824000000,1.95700000,2.07700000,1.92900000,2.01100000,926527.00000000
1714838400000,2.01200000,2.01700000,1.95400000,1.98800000,399418.40000000
1714852800000,1.99000000,1.99700000,1.95300000,1.95900000,202162.30000000
1714867200000,1.96000000,1.96600000,1.87800000,1.90600000,680220.30000000
1714881600000,1.90500000,1.93100000,1.89800000,1.91800000,312669.80000000
1714896000000,1.91900000,1.95200000,1.89900000,1.91400000,263252.40000000
1714910400000,1.91400000,1.93100000,1.89600000,1.91000000,364734.10000000
1714924800000,1.90900000,1.91700000,1.90200000,1.90600000,241339.50000000
1714939200000,1.90500000,1.92600000,1.89900000,1.91300000,205045.50000000
1714953600000,1.91300000,1.93700000,1.86800000,1.89100000,508304.90000000
1714968000000,1.88900000,1.93000000,1.88500000,1.92300000,304172.50000000
