Open time,Open,High,Low,Close,Volume
1729242000000,1.05300000,4.06000000,0.55000000,1.64900000,14566131.15000000
1729245600000,1.64600000,1.94700000,1.57500000,1.75500000,11167942.10000000
1729249200000,1.75200000,1.80000000,1.60400000,1.66000000,4793873.07000000
1729252800000,1.65900000,1.78800000,1.63700000,1.78000000,4077637.50000000
1729256400000,1.77800000,1.78700000,1.65100000,1.72100000,2534995.12000000
1729260000000,1.71800000,1.74000000,1.62400000,1.65000000,2383376.60000000
1729263600000,1.65000000,1.65300000,1.53400000,1.58500000,2689542.68000000
1729267200000,1.58500000,1.60800000,1.42200000,1.44800000,2889569.02000000
1729270800000,1.44500000,1.51000000,1.40100000,1.50800000,2846869.05000000
1729274400000,1.50800000,1.53900000,1.46400000,1.47800000,1415406.04000000
1729278000000,1.47800000,1.59000000,1.47000000,1.57500000,1764121.88000000
1729281600000,1.57300000,1.58500000,1.54500000,1.55900000,933598.25000000
1729285200000,1.56000000,1.56400000,1.54500000,1.55600000,440157.17000000
1729288800000,1.55300000,1.55700000,1.46700000,1.51900000,980300.85000000
1729292400000,1.51900000,1.55000000,1.48400000,1.48400000,523370.39000000
1729296000000,1.48400000,1.53600000,1.46200000,1.48500000,691580.86000000
1729299600000,1.48200000,1.51000000,1.44400000,1.45800000,606872.85000000
1729303200000,1.45800000,1.47500000,1.44000000,1.45000000,348061.74000000
1729306800000,1.45200000,1.50200000,1.44300000,1.49200000,635780.14000000
1729310400000,1.49200000,1.49600000,1.44800000,1.45000000,496618.14000000
1729314000000,1.44900000,1.47000000,1.43000000,1.43100000,645980.93000000
1729317600000,1.43100000,1.44900000,1.41200000,1.41900000,743166.44000000
1729321200000,1.41900000,1.42100000,1.33400000,1.33500000,1818290.70000000
1729324800000,1.33500000,1.39900000,1.31600000,1.37200000,1857494.26000000
1729328400000,1.37200000,1.39600000,1.33400000,1.36400000,1080814.67000000
1729332000000,1.36600000,1.40800000,1.36000000,1.38600000,986466.80000000
1729335600000,1.38500000,1.44500000,1.37300000,1.40400000,1341343.39000000
1729339200000,1.40100000,1.42500000,1.35800000,1.35800000,814832.10000000
1729342800000,1.35800000,1.38100000,1.33500000,1.36600000,700334.22000000
1729346400000,1.36600000,1.38100000,1.35000000,1.36200000,449437.34000000
1729350000000,1.36000000,1.38100000,1.35000000,1.36200000,419406.90000000
1729353600000,1.36000000,1.38000000,1.35000000,1.36500000,536520.90000000
1729357200000,1.36600000,1.37000000,1.30500000,1.31600000,712632.00000000
1729360800000,1.31900000,1.35000000,1.30300000,1.32100000,569906.24000000
1729364400000,1.32100000,1.33200000,1.29100000,1.29100000,573935.48000000
1729368000000,1.29100000,1.32000000,1.27000000,1.30400000,667113.91000000
1729371600000,1.30200000,1.33000000,1.28800000,1.30000000,525287.14000000
1729375200000,1.30000000,1.32700000,1.29800000,1.31100000,393727.08000000
1729378800000,1.31100000,1.32000000,1.30000000,1.31400000,258810.42000000
1729382400000,1.31400000,1.31400000,1.24000000,1.24100000,830457.93000000
1729386000000,1.24300000,1.25100000,1.20600000,1.21800000,742135.46000000
1729389600000,1.21700000,1.22800000,1.15500000,1.17400000,866772.68000000
1729393200000,1.17700000,1.20400000,1.11200000,1.13400000,1014519.73000000
1729396800000,1.13400000,1.14300000,1.11100000,1.13800000,760244.55000000
1729400400000,1.13700000,1.15800000,1.10000000,1.13400000,1232045.53000000
1729404000000,1.13400000,1.15800000,1.11500000,1.13300000,685513.50000000
1729407600000,1.13500000,1.20000000,1.13200000,1.15900000,1044093.81000000
1729411200000,1.15900000,1.24000000,1.15800000,1.22500000,1045939.62000000
1729414800000,1.22500000,1.28400000,1.20700000,1.23800000,1476235.70000000
1729418400000,1.24000000,1.24200000,1.16000000,1.18100000,1097100.31000000
1729422000000,1.18200000,1.21100000,1.18100000,1.18400000,707875.02000000
1729425600000,1.18300000,1.20500000,1.14000000,1.14800000,990758.65000000
1729429200000,1.14800000,1.18200000,1.14700000,1.17400000,820718.27000000
1729432800000,1.17500000,1.18900000,1.17000000,1.18200000,846944.11000000
1729436400000,1.18100000,1.31300000,1.17800000,1.30600000,2107442.12000000
1729440000000,1.30600000,1.31600000,1.24300000,1.25500000,942457.66000000
1729443600000,1.25700000,1.29900000,1.24600000,1.25900000,611877.56000000
1729447200000,1.25800000,1.28600000,1.25500000,1.26600000,322877.39000000
1729450800000,1.26600000,1.28600000,1.23400000,1.24700000,489059.41000000
1729454400000,1.24900000,1.27900000,1.24600000,1.25900000,339367.49000000
1729458000000,1.25900000,1.26000000,1.21200000,1.22300000,480185.41000000
1729461600000,1.22300000,1.25400000,1.20300000,1.24300000,403841.40000000
1729465200000,1.24300000,1.24800000,1.22700000,1.24200000,192710.07000000
1729468800000,1.24100000,1.28500000,1.21900000,1.25600000,458431.35000000
1729472400000,1.25600000,1.29900000,1.23900000,1.25300000,503312.44000000
1729476000000,1.25300000,1.27000000,1.22400000,1.23300000,275701.12000000
1729479600000,1.23200000,1.27500000,1.23000000,1.26800000,261058.62000000
1729483200000,1.26800000,1.55000000,1.26200000,1.37000000,4816167.90000000
1729486800000,1.37000000,1.50000000,1.36900000,1.42600000,2442723.89000000
1729490400000,1.42600000,1.44800000,1.39000000,1.42400000,1351965.72000000
1729494000000,1.42300000,1.43400000,1.36400000,1.38000000,1084081.33000000
1729497600000,1.37900000,1.46600000,1.37900000,1.44900000,1245706.90000000
1729501200000,1.44800000,1.46600000,1.39000000,1.41300000,1399142.69000000
1729504800000,1.41300000,1.51000000,1.41100000,1.49100000,2404692.33000000
1729508400000,1.49100000,1.57000000,1.45600000,1.47400000,3916443.52000000
1729512000000,1.47400000,1.54800000,1.43100000,1.50400000,2498640.88000000
1729515600000,1.50500000,1.50500000,1.36200000,1.38400000,2173039.97000000
1729519200000,1.38300000,1.41900000,1.32900000,1.36200000,1682900.00000000
1729522800000,1.36000000,1.37100000,1.30500000,1.32600000,1307005.27000000
1729526400000,1.32500000,1.34700000,1.25600000,1.30500000,1171959.42000000
1729530000000,1.30600000,1.38000000,1.30500000,1.38000000,1236798.82000000
1729533600000,1.38000000,1.39200000,1.27900000,1.32000000,1712152.09000000
1729537200000,1.32000000,1.33600000,1.29700000,1.31400000,512049.84000000
1729540800000,1.31400000,1.38000000,1.31100000,1.35500000,708573.71000000
1729544400000,1.35700000,1.37600000,1.33500000,1.36600000,480605.80000000
1729548000000,1.36600000,1.38000000,1.34700000,1.36700000,335707.25000000
1729551600000,1.36700000,1.37000000,1.33000000,1.34000000,206702.46000000
1729555200000,1.34000000,1.37000000,1.31800000,1.33900000,556737.66000000
1729558800000,1.33700000,1.34900000,1.28900000,1.30900000,433883.13000000
1729562400000,1.30900000,1.35600000,1.30900000,1.32200000,356129.49000000
1729566000000,1.32000000,1.34600000,1.30200000,1.33100000,276906.35000000
1729569600000,1.33000000,1.33200000,1.30200000,1.32900000,253408.20000000
1729573200000,1.32700000,1.32800000,1.28600000,1.30000000,367188.46000000
1729576800000,1.30000000,1.32600000,1.29900000,1.30800000,319326.95000000
1729580400000,1.30900000,1.31600000,1.27700000,1.28300000,549449.33000000
1729584000000,1.28300000,1.32000000,1.28100000,1.28200000,545375.71000000
1729587600000,1.28100000,1.28600000,1.24100000,1.27500000,778038.73000000
1729591200000,1.27500000,1.30500000,1.26200000,1.29500000,352271.27000000
1729594800000,1.29700000,1.30700000,1.27800000,1.28000000,379582.91000000
1729598400000,1.28200000,1.28900000,1.23600000,1.25600000,623142.85000000
1729602000000,1.25600000,1.25900000,1.21400000,1.23600000,632893.28000000
1729605600000,1.23600000,1.25700000,1.21400000,1.24200000,436333.66000000
1729609200000,1.24200000,1.24500000,1.20000000,1.22500000,571682.64000000
1729612800000,1.22500000,1.23000000,1.20500000,1.23000000,383024.71000000
1729616400000,1.22900000,1.25300000,1.22400000,1.23400000,463274.23000000
1729620000000,1.23400000,1.24800000,1.21400000,1.23000000,370642.94000000
1729623600000,1.23000000,1.23200000,1.21700000,1.22400000,191160.98000000
1729627200000,1.22500000,1.24200000,1.21800000,1.23000000,151266.48000000
1729630800000,1.23100000,1.24000000,1.22500000,1.23300000,116884.14000000
1729634400000,1.23400000,1.25500000,1.22800000,1.24400000,269864.10000000
1729638000000,1.24300000,1.24400000,1.21400000,1.22300000,237535.77000000
1729641600000,1.22100000,1.24600000,1.21600000,1.24400000,134451.36000000
1729645200000,1.24400000,1.25500000,1.20500000,1.20500000,296158.99000000
1729648800000,1.20500000,1.21000000,1.18000000,1.19200000,395059.12000000
1729652400000,1.19200000,1.21000000,1.18300000,1.20800000,135027.07000000
1729656000000,1.20800000,1.22300000,1.19900000,1.20900000,107904.40000000
1729659600000,1.20900000,1.21200000,1.19000000,1.20300000,154722.39000000
1729663200000,1.20300000,1.21600000,1.19800000,1.20800000,172426.48000000
1729666800000,1.21000000,1.25000000,1.20000000,1.24000000,410822.57000000
1729670400000,1.24100000,1.24100000,1.17400000,1.18800000,574924.84000000
1729674000000,1.18800000,1.18900000,1.15200000,1.18300000,568609.68000000
1729677600000,1.18500000,1.19600000,1.16000000,1.16800000,251268.23000000
1729681200000,1.16700000,1.17000000,1.14000000,1.15100000,383407.31000000
1729684800000,1.15000000,1.16000000,1.10400000,1.13800000,929061.54000000
1729688400000,1.13800000,1.15400000,1.13100000,1.13200000,389171.23000000
1729692000000,1.13200000,1.17200000,1.12600000,1.15900000,361543.31000000
1729695600000,1.15900000,1.20300000,1.15900000,1.17500000,710107.51000000
1729699200000,1.17700000,1.19500000,1.14000000,1.16300000,335974.42000000
1729702800000,1.16200000,1.17300000,1.13700000,1.16400000,192269.93000000
1729706400000,1.16300000,1.21000000,1.14000000,1.18700000,472023.06000000
