Open time,Open,High,Low,Close,Volume
1714525200000,0.41270000,0.41780000,0.40980000,0.41700000,593633.00000000
1714528800000,0.41740000,0.41740000,0.41200000,0.41630000,646017.00000000
1714532400000,0.41630000,0.41790000,0.41500000,0.41760000,233538.00000000
1714536000000,0.41760000,0.42010000,0.41700000,0.41880000,125433.00000000
1714539600000,0.41890000,0.42000000,0.41600000,0.41810000,185507.00000000
1714543200000,0.41860000,0.41870000,0.41320000,0.41410000,301498.00000000
1714546800000,0.41390000,0.41570000,0.40200000,0.40680000,2143341.00000000
1714550400000,0.40670000,0.40740000,0.39440000,0.40410000,2249245.00000000
1714554000000,0.40420000,0.41000000,0.40320000,0.40560000,578245.00000000
1714557600000,0.40540000,0.40890000,0.40420000,0.40840000,536653.00000000
1714561200000,0.40860000,0.41080000,0.40710000,0.41070000,242735.00000000
1714564800000,0.41070000,0.41660000,0.40970000,0.41550000,763829.00000000
1714568400000,0.41580000,0.41640000,0.41030000,0.41160000,763813.00000000
1714572000000,0.41190000,0.41350000,0.40720000,0.40950000,698334.00000000
1714575600000,0.40970000,0.40970000,0.40360000,0.40870000,526881.00000000
1714579200000,0.40880000,0.41160000,0.40550000,0.40630000,297013.00000000
1714582800000,0.40620000,0.41480000,0.40480000,0.41360000,527728.00000000
1714586400000,0.41380000,0.42900000,0.41370000,0.42650000,1055496.00000000
1714590000000,0.42670000,0.42900000,0.41390000,0.41600000,1292594.00000000
1714593600000,0.41620000,0.41990000,0.41250000,0.41860000,462751.00000000
1714597200000,0.41840000,0.42430000,0.41710000,0.42350000,356222.00000000
1714600800000,0.42360000,0.42550000,0.42250000,0.42280000,287061.00000000
1714604400000,0.42270000,0.42570000,0.42220000,0.42410000,221784.00000000
1714608000000,0.42390000,0.42470000,0.41600000,0.41660000,528929.00000000
1714611600000,0.41630000,0.41870000,0.41010000,0.41650000,618436.00000000
1714615200000,0.41680000,0.42120000,0.41650000,0.41930000,356279.00000000
1714618800000,0.42000000,0.42260000,0.41920000,0.42110000,93866.00000000
1714622400000,0.42110000,0.42300000,0.41880000,0.41950000,134373.00000000
1714626000000,0.41990000,0.42080000,0.41690000,0.42030000,229366.00000000
