Open time,Open,High,Low,Close,Volume
1714608000000,3.15900000,3.24900000,3.05200000,3.22200000,909910.00000000
1714694400000,3.22000000,3.37500000,3.17300000,3.33700000,1059384.20000000
1714780800000,3.33600000,3.37900000,3.29800000,3.31700000,920859.30000000
1714867200000,3.31600000,3.45400000,3.24500000,3.36700000,1171382.20000000
1714953600000,3.36700000,3.48800000,3.29800000,3.31000000,1317436.70000000
1715040000000,3.31000000,3.41000000,3.25900000,3.29000000,1285769.90000000
1715126400000,3.28800000,3.35700000,3.22600000,3.28300000,1220468.50000000
1715212800000,3.28300000,3.39700000,3.23200000,3.37400000,1003092.50000000
1715299200000,3.37500000,3.44000000,3.15000000,3.19100000,1566134.70000000
1715385600000,3.19100000,3.29800000,3.17700000,3.18400000,766246.40000000
1715472000000,3.18300000,3.23900000,3.14700000,3.16900000,764429.30000000
1715558400000,3.17000000,3.27000000,3.05300000,3.17300000,1430602.00000000
1715644800000,3.16800000,3.23200000,3.07200000,3.08700000,1136565.60000000
1715731200000,3.08800000,3.29900000,3.08300000,3.27900000,981305.00000000
1715817600000,3.27900000,3.35200000,3.19400000,3.33300000,1254315.80000000
1715904000000,3.33200000,3.45600000,3.30900000,3.40000000,1307202.60000000
1715990400000,3.40000000,3.43100000,3.33400000,3.38800000,812888.60000000
1716076800000,3.38900000,3.39100000,3.22000000,3.24600000,696810.20000000
1716163200000,3.24600000,3.59500000,3.19600000,3.56700000,1648678.70000000
1716249600000,3.56800000,3.62100000,3.51400000,3.55600000,1541686.10000000
1716336000000,3.55600000,3.56500000,3.39300000,3.46500000,1549281.40000000
1716422400000,3.46500000,3.52800000,3.25000000,3.43100000,2090673.40000000
1716508800000,3.43000000,3.53000000,3.35200000,3.52600000,972401.40000000
1716595200000,3.52300000,3.57000000,3.49400000,3.51900000,770465.20000000
1716681600000,3.51800000,3.54000000,3.39500000,3.43000000,632274.50000000
1716768000000,3.42800000,3.58900000,3.40000000,3.51400000,1099177.70000000
1716854400000,3.51500000,3.57000000,3.40000000,3.53400000,1271932.90000000
1716940800000,3.53500000,3.65500000,3.49500000,3.52200000,2264679.90000000
1717027200000,3.52200000,3.64800000,3.40100000,3.46700000,1536400.70000000
1717113600000,3.46700000,3.49000000,3.37500000,3.42800000,682332.30000000
1717200000000,3.42900000,3.46000000,3.39300000,3.44800000,444562.80000000
1717286400000,3.44800000,3.57200000,3.42300000,3.44000000,879797.50000000
1717372800000,3.43900000,3.56500000,3.41300000,3.49100000,824735.20000000
1717459200000,3.49000000,3.60900000,3.48400000,3.60500000,766582.50000000
1717545600000,3.60600000,3.78000000,3.58200000,3.69800000,1784338.90000000
1717632000000,3.69800000,3.75000000,3.60200000,3.64900000,1107665.60000000
1717718400000,3.64800000,3.77200000,3.09200000,3.31200000,2601697.40000000
1717804800000,3.31200000,3.31200000,3.09600000,3.13700000,1208225.20000000
1717891200000,3.13600000,3.36700000,3.11500000,3.32800000,875223.90000000
1717977600000,3.33100000,3.33300000,3.14900000,3.16900000,963941.70000000
1718064000000,3.16900000,3.18100000,2.96000000,3.00300000,1217553.00000000
1718150400000,3.00500000,3.18000000,2.93500000,3.10500000,1021881.50000000
1718236800000,3.10600000,3.11000000,2.92300000,2.94700000,927017.20000000
1718323200000,2.95000000,3.00000000,2.71800000,2.80400000,1723970.10000000
1718409600000,2.80400000,2.91100000,2.80000000,2.83300000,1133996.30000000
1718496000000,2.83400000,2.88800000,2.78100000,2.82900000,1233037.80000000
1718582400000,2.82800000,2.85000000,2.55100000,2.61000000,2171694.60000000
1718668800000,2.61200000,2.62800000,2.25000000,2.42800000,3207116.80000000
1718755200000,2.42400000,2.54800000,2.39500000,2.48300000,1068194.60000000
1718841600000,2.48200000,2.61500000,2.45900000,2.48000000,1166988.40000000
1718928000000,2.48000000,2.54900000,2.44300000,2.47900000,726219.90000000
1719014400000,2.48000000,2.52200000,2.44300000,2.46600000,374904.90000000
1719100800000,2.46700000,2.52500000,2.42800000,2.44300000,592180.00000000
1719187200000,2.44400000,2.55000000,2.31000000,2.54400000,1757348.80000000
1719273600000,2.54100000,2.59800000,2.52000000,2.55200000,636172.30000000
1719360000000,2.55300000,2.57400000,2.47400000,2.51800000,650084.30000000
1719446400000,2.52000000,2.58700000,2.47700000,2.57400000,581712.10000000
1719532800000,2.57400000,2.61600000,2.50700000,2.52200000,625460.80000000
1719619200000,2.52300000,2.56700000,2.48600000,2.49600000,519126.80000000
1719705600000,2.49700000,2.62100000,2.47900000,2.60800000,863377.60000000
1719792000000,2.60800000,2.63600000,2.50700000,2.51600000,719725.10000000
1719878400000,2.51600000,2.56000000,2.49400000,2.55600000,542379.20000000
1719964800000,2.55700000,2.57200000,2.41200000,2.43100000,1055311.80000000
1720051200000,2.43200000,2.44300000,2.06300000,2.08700000,2482293.60000000
