Open time,Open,High,Low,Close,Volume
1714536000000,1.47530000,1.49600000,1.37380000,1.39470000,856654.40000000
1714550400000,1.39440000,1.40150000,1.33000000,1.37740000,1183387.20000000
1714564800000,1.37620000,1.40040000,1.34050000,1.36080000,1201368.60000000
1714579200000,1.35970000,1.45060000,1.34300000,1.39220000,648007.00000000
1714593600000,1.39180000,1.45720000,1.38170000,1.42880000,911049.40000000
1714608000000,1.42790000,1.45720000,1.36280000,1.39780000,1181430.50000000
1714622400000,1.39740000,1.42080000,1.28100000,1.32860000,2321311.80000000
1714636800000,1.32840000,1.37750000,1.30440000,1.35940000,748833.30000000
1714651200000,1.35920000,1.38730000,1.34040000,1.38220000,1233399.50000000
1714665600000,1.38260000,1.39590000,1.35700000,1.37560000,587701.50000000
1714680000000,1.37530000,1.44110000,1.35770000,1.38970000,448212.80000000
1714694400000,1.39030000,1.45830000,1.38270000,1.42050000,2072493.60000000
1714708800000,1.42070000,1.45060000,1.38570000,1.40010000,1687444.20000000
1714723200000,1.39860000,1.41230000,1.35560000,1.36760000,492895.10000000
1714737600000,1.36630000,1.46380000,1.35920000,1.45300000,886026.50000000
1714752000000,1.45180000,1.47190000,1.42910000,1.45370000,353093.70000000
1714766400000,1.45240000,1.48670000,1.44680000,1.46360000,1403371.60000000
1714780800000,1.46290000,1.47590000,1.43680000,1.45680000,1669169.80000000
1714795200000,1.45610000,1.47330000,1.43240000,1.43380000,311129.00000000
1714809600000,1.43370000,1.46310000,1.41280000,1.44590000,454274.50000000
1714824000000,1.44580000,1.47900000,1.43170000,1.45200000,965735.20000000
1714838400000,1.45220000,1.47800000,1.44650000,1.46280000,941630.10000000
1714852800000,1.46320000,1.46570000,1.43360000,1.43710000,130086.90000000
1714867200000,1.43600000,1.44010000,1.38510000,1.40040000,466363.30000000
1714881600000,1.40050000,1.43220000,1.38830000,1.42910000,498671.30000000
1714896000000,1.42820000,1.46100000,1.41900000,1.44860000,1301323.20000000
1714910400000,1.44750000,1.48130000,1.43640000,1.47410000,605285.00000000
1714924800000,1.47350000,1.48430000,1.44600000,1.45700000,373441.40000000
1714939200000,1.45660000,1.46410000,1.44510000,1.45750000,100736.70000000
1714953600000,1.45780000,1.47150000,1.43150000,1.43670000,131233.60000000
1714968000000,1.43700000,1.47320000,1.42590000,1.47000000,326838.30000000
1714982400000,1.47040000,1.52000000,1.46150000,1.46670000,449207.90000000
1714996800000,1.46750000,1.46880000,1.41910000,1.44160000,343043.40000000
1715011200000,1.44230000,1.44430000,1.41460000,1.42680000,255422.50000000
1715025600000,1.42760000,1.43530000,1.41110000,1.41250000,137852.50000000
1715040000000,1.41170000,1.44020000,1.39940000,1.40890000,172567.40000000
1715054400000,1.40890000,1.41510000,1.38080000,1.39870000,414451.00000000
1715068800000,1.39810000,1.42720000,1.39560000,1.40640000,262719.20000000
1715083200000,1.40690000,1.42480000,1.39680000,1.41430000,189097.70000000
1715097600000,1.41320000,1.41930000,1.40300000,1.40320000,134175.90000000
1715112000000,1.40400000,1.42170000,1.35950000,1.36050000,196548.80000000
1715126400000,1.35990000,1.36780000,1.34230000,1.36370000,153037.40000000
1715140800000,1.36340000,1.37810000,1.35540000,1.36080000,250951.70000000
1715155200000,1.36070000,1.36500000,1.34420000,1.34950000,170735.80000000
1715169600000,1.35010000,1.41300000,1.34010000,1.40090000,358505.70000000
1715184000000,1.40120000,1.64870000,1.40120000,1.56700000,3112087.30000000
1715198400000,1.56800000,1.57340000,1.45260000,1.48840000,1964090.30000000
1715212800000,1.48840000,1.58000000,1.46740000,1.47560000,955605.90000000
1715227200000,1.47430000,1.55900000,1.45380000,1.49440000,694129.90000000
1715241600000,1.49490000,1.52750000,1.40780000,1.41920000,773418.80000000
1715256000000,1.41990000,1.50780000,1.40340000,1.48110000,868821.20000000
1715270400000,1.48140000,1.49720000,1.46300000,1.48990000,315168.50000000
1715284800000,1.49030000,1.51000000,1.47350000,1.49320000,251334.60000000
1715299200000,1.49430000,1.52000000,1.48730000,1.51200000,127524.90000000
1715313600000,1.51080000,1.51560000,1.48360000,1.48580000,179276.60000000
1715328000000,1.48710000,1.48870000,1.46560000,1.47290000,145206.30000000
1715342400000,1.47270000,1.47500000,1.38870000,1.39560000,531866.80000000
1715356800000,1.39460000,1.41590000,1.38710000,1.39730000,263861.50000000
1715371200000,1.39710000,1.40620000,1.38700000,1.40080000,143609.70000000
1715385600000,1.40060000,1.42600000,1.39670000,1.41850000,111634.50000000
1715400000000,1.41710000,1.42620000,1.40880000,1.41260000,87266.70000000
1715414400000,1.41200000,1.42970000,1.40080000,1.40820000,149142.20000000
1715428800000,1.40920000,1.45980000,1.40820000,1.45290000,160529.70000000
1715443200000,1.45270000,1.47430000,1.43290000,1.43440000,199043.90000000
1715457600000,1.43340000,1.43600000,1.41880000,1.41940000,87044.00000000
1715472000000,1.41980000,1.43250000,1.41660000,1.41700000,97254.70000000
1715486400000,1.41790000,1.42060000,1.39200000,1.39330000,103846.50000000
1715500800000,1.39340000,1.41040000,1.39070000,1.40800000,281548.20000000
1715515200000,1.40790000,1.41050000,1.39030000,1.40220000,513733.60000000
1715529600000,1.40230000,1.41110000,1.39000000,1.39780000,125091.50000000
1715544000000,1.39780000,1.40720000,1.38700000,1.39130000,382939.00000000
1715558400000,1.39120000,1.40870000,1.33400000,1.34850000,471856.00000000
1715572800000,1.34830000,1.37180000,1.32440000,1.36690000,342620.10000000
1715587200000,1.36700000,1.39080000,1.36290000,1.37230000,539414.30000000
1715601600000,1.37270000,1.38230000,1.34610000,1.35860000,1375408.90000000
1715616000000,1.35820000,1.37560000,1.30950000,1.33700000,459855.80000000
1715630400000,1.33690000,1.33860000,1.29290000,1.30570000,1102545.60000000
1715644800000,1.30580000,1.32020000,1.29870000,1.30710000,237877.40000000
1715659200000,1.30620000,1.32720000,1.21000000,1.29530000,784891.40000000
1715673600000,1.29530000,1.29590000,1.24360000,1.24970000,258526.80000000
1715688000000,1.24960000,1.28160000,1.22200000,1.26380000,505976.40000000
1715702400000,1.26410000,1.46740000,1.26250000,1.39640000,2446460.00000000
1715716800000,1.39570000,1.40350000,1.34020000,1.35480000,1188600.40000000
1715731200000,1.35530000,1.40580000,1.33220000,1.39300000,340887.10000000
1715745600000,1.39350000,1.41330000,1.35130000,1.37460000,342245.10000000
1715760000000,1.37450000,1.40340000,1.33120000,1.35180000,493529.90000000
1715774400000,1.34990000,1.43800000,1.33220000,1.41450000,1079650.40000000
1715788800000,1.41240000,1.43010000,1.39450000,1.42120000,951662.60000000
1715803200000,1.42130000,1.42890000,1.40280000,1.40740000,624158.00000000
1715817600000,1.40730000,1.43000000,1.40400000,1.42570000,249757.20000000
1715832000000,1.42550000,1.44500000,1.41310000,1.42210000,166542.10000000
1715846400000,1.42160000,1.42360000,1.39500000,1.40370000,140594.20000000
1715860800000,1.40360000,1.40490000,1.35000000,1.37250000,426393.10000000
