Open time,Open,High,Low,Close,Volume
1714525200000,4.12300000,4.24500000,4.10200000,4.19600000,417826.00000000
1714528800000,4.19600000,4.21100000,4.13300000,4.19000000,249614.20000000
1714532400000,4.19100000,4.28000000,4.15300000,4.24600000,250611.10000000
1714536000000,4.24700000,4.29100000,4.21600000,4.23500000,229331.80000000
1714539600000,4.23600000,4.29500000,4.12800000,4.14800000,406698.40000000
1714543200000,4.14700000,4.18700000,4.10800000,4.14500000,313081.90000000
1714546800000,4.14300000,4.26200000,4.02800000,4.15800000,1416101.80000000
1714550400000,4.15900000,4.27000000,4.07900000,4.26800000,711190.90000000
1714554000000,4.26800000,4.34900000,4.23000000,4.24400000,655730.10000000
1714557600000,4.24300000,4.29500000,4.20300000,4.25700000,353959.10000000
1714561200000,4.25700000,4.25700000,4.15100000,4.16900000,302718.70000000
1714564800000,4.16800000,4.22600000,4.13500000,4.15400000,487643.80000000
1714568400000,4.15300000,4.15900000,4.10200000,4.13200000,294653.40000000
1714572000000,4.13300000,4.21800000,4.12600000,4.18900000,280126.30000000
1714575600000,4.18800000,4.18900000,4.09200000,4.11200000,583319.10000000
1714579200000,4.10700000,4.17200000,4.05400000,4.10300000,377517.30000000
1714582800000,4.10100000,4.22800000,4.07000000,4.19100000,306615.90000000
1714586400000,4.19100000,4.44800000,4.19100000,4.38100000,973762.20000000
1714590000000,4.38300000,4.43700000,4.20000000,4.22200000,801451.40000000
1714593600000,4.22300000,4.27400000,4.16600000,4.27000000,473083.40000000
1714597200000,4.27100000,4.35400000,4.25800000,4.30200000,249184.10000000
1714600800000,4.30200000,4.33600000,4.28300000,4.29900000,218632.20000000
1714604400000,4.29800000,4.34400000,4.27800000,4.30100000,200918.10000000
1714608000000,4.30100000,4.31800000,4.20500000,4.22700000,230914.50000000
1714611600000,4.22600000,4.24400000,4.14000000,4.15100000,285913.40000000
1714615200000,4.15100000,4.21600000,4.15000000,4.19600000,141546.60000000
1714618800000,4.19600000,4.27700000,4.19500000,4.24200000,192302.80000000
1714622400000,4.24200000,4.38300000,4.24000000,4.28200000,457395.70000000
1714626000000,4.28200000,4.31500000,4.23500000,4.29800000,158875.50000000
1714629600000,4.30000000,4.32600000,4.24300000,4.24800000,136006.10000000
1714633200000,4.25000000,4.28300000,4.22200000,4.22500000,166322.50000000
1714636800000,4.22300000,4.31700000,4.21400000,4.30800000,149829.30000000
1714640400000,4.30900000,4.34200000,4.26200000,4.32000000,217206.40000000
1714644000000,4.32000000,4.34500000,4.29900000,4.32000000,192584.90000000
1714647600000,4.32000000,4.42400000,4.31700000,4.41700000,447240.50000000
1714651200000,4.41800000,4.49800000,4.41000000,4.41800000,430684.40000000
1714654800000,4.41900000,4.42900000,4.34700000,4.36500000,248073.70000000
1714658400000,4.36400000,4.47800000,4.31700000,4.46400000,372143.10000000
1714662000000,4.46200000,4.53500000,4.45200000,4.47300000,459919.00000000
1714665600000,4.47200000,4.47300000,4.40200000,4.42000000,181013.00000000
1714669200000,4.42000000,4.49700000,4.41100000,4.46300000,233909.50000000
1714672800000,4.46300000,4.50800000,4.42000000,4.46600000,191541.30000000
1714676400000,4.46600000,4.51100000,4.44800000,4.51100000,179758.50000000
1714680000000,4.51000000,4.55700000,4.47700000,4.48600000,269296.70000000
1714683600000,4.48600000,4.59000000,4.48200000,4.57100000,162130.00000000
1714687200000,4.57200000,4.64400000,4.55000000,4.57600000,317510.40000000
1714690800000,4.57600000,4.58000000,4.53100000,4.53900000,112788.70000000
1714694400000,4.54000000,4.56500000,4.49800000,4.51100000,122050.00000000
1714698000000,4.51000000,4.65500000,4.50200000,4.57500000,398170.70000000
1714701600000,4.57600000,4.68600000,4.55300000,4.66700000,257825.30000000
1714705200000,4.66800000,4.75900000,4.66000000,4.67400000,468249.40000000
1714708800000,4.67300000,4.71800000,4.62500000,4.64400000,208044.00000000
1714712400000,4.64400000,4.67400000,4.60200000,4.61400000,100118.90000000
1714716000000,4.61500000,4.63600000,4.58400000,4.60800000,123599.80000000
1714719600000,4.61000000,4.63800000,4.53400000,4.53500000,203976.00000000
1714723200000,4.53500000,4.63100000,4.53000000,4.62000000,188366.30000000
1714726800000,4.62100000,4.71600000,4.61900000,4.69800000,269128.80000000
1714730400000,4.69900000,4.81000000,4.68100000,4.72400000,677863.00000000
1714734000000,4.72400000,4.73500000,4.63300000,4.66100000,322039.30000000
1714737600000,4.66200000,4.84200000,4.65100000,4.79300000,707031.20000000
1714741200000,4.79500000,4.91000000,4.78800000,4.86700000,714115.50000000
1714744800000,4.86800000,4.91000000,4.79000000,4.80800000,473385.10000000
1714748400000,4.80800000,4.87300000,4.78500000,4.86500000,270352.80000000
1714752000000,4.86800000,5.03000000,4.85800000,4.95100000,754077.20000000
1714755600000,4.95100000,5.18900000,4.94800000,5.15900000,813487.60000000
1714759200000,5.15800000,5.24900000,5.09000000,5.11700000,1013724.80000000
1714762800000,5.11700000,5.12100000,4.98500000,5.03200000,716481.90000000
1714766400000,5.03200000,5.12000000,5.01000000,5.08800000,462714.00000000
1714770000000,5.08900000,5.09800000,5.00500000,5.04700000,353690.50000000
1714773600000,5.04600000,5.05400000,5.01100000,5.03000000,124907.00000000
1714777200000,5.03100000,5.07600000,5.00500000,5.02600000,115545.30000000
1714780800000,5.02800000,5.11200000,5.01800000,5.09300000,189659.60000000
1714784400000,5.09400000,5.16100000,5.07400000,5.08800000,375951.70000000
1714788000000,5.08800000,5.11200000,5.05700000,5.07400000,253640.90000000
1714791600000,5.07700000,5.14800000,5.06500000,5.08800000,212947.10000000
1714795200000,5.08800000,5.14000000,5.06500000,5.10400000,169216.00000000
1714798800000,5.10500000,5.11700000,5.02600000,5.06500000,192074.80000000
1714802400000,5.06400000,5.08500000,5.02400000,5.06300000,157234.20000000
1714806000000,5.06400000,5.07500000,5.03000000,5.05600000,70604.90000000
1714809600000,5.05600000,5.06800000,5.03000000,5.05900000,82539.90000000
1714813200000,5.06000000,5.10900000,4.99000000,5.02500000,252651.30000000
1714816800000,5.02600000,5.14600000,5.00300000,5.12900000,259749.20000000
1714820400000,5.13000000,5.16500000,5.03100000,5.04800000,346952.70000000
1714824000000,5.04900000,5.24300000,5.03200000,5.15400000,401242.80000000
1714827600000,5.15400000,5.15400000,5.07200000,5.09700000,182478.80000000
1714831200000,5.09700000,5.17200000,5.09600000,5.12400000,169004.10000000
1714834800000,5.12400000,5.16700000,5.08600000,5.13700000,338393.90000000
1714838400000,5.13800000,5.15500000,5.08600000,5.12600000,140448.70000000
1714842000000,5.12700000,5.12700000,5.06200000,5.08000000,157162.50000000
1714845600000,5.08100000,5.14000000,5.07100000,5.11600000,86067.50000000
1714849200000,5.11600000,5.15900000,5.10700000,5.15200000,79491.20000000
1714852800000,5.15100000,5.17500000,5.13200000,5.15000000,138180.00000000
1714856400000,5.14900000,5.15600000,5.07500000,5.09500000,110095.20000000
1714860000000,5.09400000,5.10300000,5.06900000,5.07600000,63673.60000000
1714863600000,5.07500000,5.11800000,5.07000000,5.08500000,82845.70000000
1714867200000,5.08500000,5.10900000,5.01300000,5.05500000,164586.30000000
1714870800000,5.05600000,5.08400000,4.92700000,4.98700000,365465.60000000
1714874400000,4.98600000,5.03100000,4.97900000,5.00500000,195391.90000000
1714878000000,5.00500000,5.03200000,4.96800000,5.01100000,155022.10000000
1714881600000,5.01100000,5.03900000,4.99100000,5.03600000,58171.40000000
1714885200000,5.03600000,5.08800000,5.03300000,5.04400000,131742.00000000
1714888800000,5.04400000,5.08800000,5.02000000,5.03800000,102960.20000000
1714892400000,5.03800000,5.08300000,5.03500000,5.04800000,122801.00000000
1714896000000,5.04900000,5.17000000,5.01500000,5.11200000,321290.70000000
1714899600000,5.11200000,5.15900000,5.06600000,5.14900000,126489.40000000
1714903200000,5.14900000,5.16300000,5.09200000,5.13800000,131766.20000000
1714906800000,5.13800000,5.27700000,5.11700000,5.24100000,467964.60000000
1714910400000,5.24000000,5.24100000,5.15900000,5.16800000,207713.30000000
1714914000000,5.16500000,5.24500000,5.13300000,5.16700000,245539.00000000
1714917600000,5.16700000,5.18600000,5.07100000,5.14700000,427827.10000000
1714921200000,5.15000000,5.19100000,5.11100000,5.12600000,307639.20000000
1714924800000,5.12800000,5.15100000,5.07900000,5.13500000,278479.90000000
1714928400000,5.13500000,5.14400000,5.08300000,5.09100000,154408.60000000
1714932000000,5.09200000,5.09500000,5.01600000,5.03900000,160514.70000000
1714935600000,5.04000000,5.06600000,5.02200000,5.04500000,94748.40000000
1714939200000,5.04400000,5.10400000,5.03500000,5.07300000,143251.20000000
1714942800000,5.07200000,5.07300000,5.04100000,5.06400000,72498.80000000
1714946400000,5.06300000,5.08100000,5.02900000,5.07700000,111097.40000000
1714950000000,5.07700000,5.09000000,5.03200000,5.04900000,280284.50000000
1714953600000,5.05000000,5.12200000,5.03600000,5.10000000,163884.60000000
1714957200000,5.09800000,5.11500000,5.03700000,5.04300000,145491.90000000
1714960800000,5.04300000,5.06000000,4.99200000,4.99800000,157204.10000000
1714964400000,4.99600000,5.02500000,4.96500000,5.01900000,215307.20000000
1714968000000,5.01900000,5.08200000,5.00600000,5.05300000,143897.50000000
1714971600000,5.05200000,5.11200000,5.04200000,5.09200000,147729.20000000
1714975200000,5.09200000,5.14600000,5.08000000,5.10800000,112539.30000000
1714978800000,5.10700000,5.19000000,5.10300000,5.18400000,166956.60000000
1714982400000,5.18400000,5.26900000,5.18400000,5.20100000,376476.10000000
1714986000000,5.20000000,5.33800000,5.15900000,5.33800000,601188.10000000
1714989600000,5.33900000,5.41000000,5.13400000,5.20500000,875358.60000000
1714993200000,5.20400000,5.25200000,5.10400000,5.12200000,375646.50000000
1714996800000,5.12500000,5.14600000,4.93000000,5.01200000,594192.60000000
1715000400000,5.01200000,5.06100000,4.98900000,5.05500000,285633.80000000
1715004000000,5.05500000,5.08500000,4.86400000,4.89400000,528775.90000000
1715007600000,4.89400000,4.98400000,4.85000000,4.94900000,334201.50000000
1715011200000,4.94800000,5.00500000,4.91100000,4.91900000,254409.20000000
1715014800000,4.92000000,4.95200000,4.87900000,4.90100000,193658.20000000
1715018400000,4.90100000,4.95300000,4.88500000,4.94200000,146860.90000000
1715022000000,4.94200000,4.95700000,4.89100000,4.94400000,157961.40000000
1715025600000,4.94300000,4.99000000,4.93300000,4.98400000,90310.20000000
1715029200000,4.98500000,5.01600000,4.98100000,5.00700000,112319.90000000
1715032800000,5.00700000,5.09300000,4.98600000,5.06800000,227582.60000000
1715036400000,5.06600000,5.06600000,4.97500000,4.99200000,163060.70000000
1715040000000,4.99200000,5.07300000,4.99100000,5.01300000,199085.00000000
1715043600000,5.01200000,5.11200000,4.99900000,5.10500000,226416.90000000
1715047200000,5.10800000,5.11800000,5.05300000,5.07400000,203585.20000000
1715050800000,5.07300000,5.08200000,4.95000000,5.02200000,252206.10000000
1715054400000,5.02200000,5.04600000,5.00100000,5.02300000,109885.10000000
1715058000000,5.02300000,5.03000000,4.96500000,5.00500000,115801.80000000
1715061600000,5.00400000,5.09100000,4.98700000,5.05700000,179878.00000000
1715065200000,5.05700000,5.07400000,4.98500000,4.99100000,219201.00000000
1715068800000,4.98800000,5.04900000,4.96900000,5.00700000,283490.60000000
1715072400000,5.00700000,5.03500000,4.96900000,4.97000000,208406.30000000
1715076000000,4.97000000,4.97300000,4.90300000,4.96000000,211274.00000000
1715079600000,4.96100000,4.98100000,4.89300000,4.90100000,196827.40000000
1715083200000,4.90100000,4.94000000,4.89100000,4.91900000,148918.60000000
1715086800000,4.92000000,4.93100000,4.85600000,4.88300000,169685.40000000
1715090400000,4.88400000,4.96400000,4.85000000,4.95900000,313139.80000000
1715094000000,4.96000000,4.99900000,4.92400000,4.94000000,220768.20000000
1715097600000,4.94100000,4.95300000,4.88700000,4.94100000,134341.00000000
1715101200000,4.94100000,4.94200000,4.88800000,4.89900000,107934.10000000
1715104800000,4.90100000,4.90200000,4.81000000,4.86700000,142895.10000000
1715108400000,4.86900000,4.89000000,4.83800000,4.86900000,100381.40000000
1715112000000,4.86900000,4.89500000,4.85300000,4.86400000,90085.70000000
1715115600000,4.86300000,4.87300000,4.79300000,4.84500000,108641.50000000
1715119200000,4.84200000,4.84500000,4.78700000,4.80100000,134971.30000000
1715122800000,4.80100000,4.80700000,4.71100000,4.71300000,219856.90000000
1715126400000,4.71200000,4.77100000,4.68800000,4.75700000,224317.80000000
