Open time,Open,High,Low,Close,Volume
1714608000000,0.97200000,1.01300000,0.93700000,0.99900000,1461661.80000000
1714694400000,0.99900000,1.06600000,0.98800000,1.05800000,1646120.75000000
1714780800000,1.05800000,1.06700000,1.04300000,1.04800000,1204391.79000000
1714867200000,1.04800000,1.09900000,1.02200000,1.07900000,1701928.93000000
1714953600000,1.07900000,1.10500000,1.04600000,1.05000000,1789882.45000000
1715040000000,1.05000000,1.07700000,1.02400000,1.02800000,2343231.53000000
1715126400000,1.02800000,1.07000000,1.00500000,1.03900000,1753677.45000000
1715212800000,1.03900000,1.12700000,1.03100000,1.10300000,3401278.50000000
1715299200000,1.10200000,1.12300000,1.00100000,1.01200000,3036678.62000000
1715385600000,1.01200000,1.03200000,1.00200000,1.00500000,1272949.60000000
1715472000000,1.00500000,1.01400000,0.96600000,0.97000000,1717150.60000000
1715558400000,0.97000000,1.02700000,0.92300000,0.99000000,2033214.02000000
1715644800000,0.99000000,1.01600000,0.96500000,0.96900000,1702778.54000000
1715731200000,0.97000000,1.04400000,0.95700000,1.03400000,1631852.01000000
1715817600000,1.03400000,1.04600000,0.96800000,1.01600000,1691599.27000000
1715904000000,1.01600000,1.07300000,1.00500000,1.05500000,958162.61000000
1715990400000,1.05600000,1.06900000,1.03100000,1.04900000,729148.62000000
1716076800000,1.04900000,1.05600000,0.98900000,0.99600000,927137.72000000
1716163200000,0.99700000,1.11400000,0.97700000,1.11100000,2447140.31000000
1716249600000,1.11200000,1.14500000,1.09000000,1.11400000,1915041.45000000
1716336000000,1.11400000,1.12100000,1.07600000,1.10300000,1316269.90000000
1716422400000,1.10300000,1.12500000,1.00100000,1.07600000,2745405.17000000
1716508800000,1.07600000,1.09200000,1.02600000,1.07600000,1019641.32000000
1716595200000,1.07500000,1.22500000,1.07300000,1.19500000,6620585.15000000
1716681600000,1.19500000,1.24800000,1.14400000,1.15400000,3063582.21000000
1716768000000,1.15400000,1.28800000,1.15200000,1.24700000,3017570.68000000
1716854400000,1.24700000,1.24800000,1.17200000,1.18700000,2442180.22000000
1716940800000,1.18700000,1.27700000,1.18100000,1.19200000,2919399.37000000
1717027200000,1.19200000,1.21100000,1.13100000,1.16100000,1631874.87000000
1717113600000,1.16100000,1.16600000,1.10900000,1.12900000,1213407.47000000
1717200000000,1.12900000,1.13500000,1.11300000,1.12800000,557249.26000000
1717286400000,1.12700000,1.22700000,1.12600000,1.17600000,4495941.00000000
1717372800000,1.17600000,1.21200000,1.14000000,1.14900000,2531154.68000000
1717459200000,1.14800000,1.19700000,1.13400000,1.19200000,1559562.04000000
1717545600000,1.19200000,1.21200000,1.17400000,1.18900000,1932704.78000000
1717632000000,1.18900000,1.21100000,1.15500000,1.18200000,2039895.01000000
1717718400000,1.18100000,1.19900000,0.95400000,1.07000000,4122832.13000000
1717804800000,1.06900000,1.08300000,0.99000000,1.00300000,1845857.79000000
1717891200000,1.00300000,1.01600000,0.98200000,1.01100000,1083894.75000000
1717977600000,1.01100000,1.01700000,0.96800000,0.97800000,1320625.91000000
1718064000000,0.97800000,0.98500000,0.90600000,0.92700000,2076501.85000000
1718150400000,0.92800000,0.99300000,0.90000000,0.96400000,2051590.23000000
1718236800000,0.96400000,0.97100000,0.91200000,0.91700000,1040955.48000000
1718323200000,0.91800000,0.94000000,0.84000000,0.87300000,2724052.10000000
1718409600000,0.87400000,0.89000000,0.86000000,0.86700000,821923.53000000
1718496000000,0.86700000,0.86800000,0.83800000,0.86500000,1621204.71000000
1718582400000,0.86400000,0.87400000,0.77000000,0.79900000,2229082.46000000
1718668800000,0.79800000,0.80100000,0.68000000,0.73200000,4303266.28000000
1718755200000,0.73300000,0.76000000,0.72300000,0.74700000,1242930.21000000
1718841600000,0.74600000,0.79500000,0.74300000,0.76200000,1131313.54000000
1718928000000,0.76300000,0.77800000,0.74400000,0.75500000,1151629.91000000
1719014400000,0.75500000,0.76400000,0.73800000,0.75000000,662972.60000000
1719100800000,0.74900000,0.77200000,0.71600000,0.72600000,856770.50000000
1719187200000,0.72700000,0.74100000,0.68300000,0.73900000,1965353.76000000
1719273600000,0.73900000,0.77500000,0.73100000,0.76500000,1198050.32000000
1719360000000,0.76500000,0.77200000,0.73300000,0.74300000,864732.22000000
1719446400000,0.74300000,0.77300000,0.72000000,0.76000000,1324216.18000000
1719532800000,0.76000000,0.77300000,0.73600000,0.73800000,1096518.25000000
1719619200000,0.73800000,0.74900000,0.70800000,0.71200000,774258.27000000
1719705600000,0.71200000,0.75800000,0.70200000,0.75600000,1193405.41000000
1719792000000,0.75600000,0.77800000,0.72700000,0.72800000,1688197.83000000
1719878400000,0.72900000,0.74000000,0.71100000,0.73300000,1243094.70000000
1719964800000,0.73300000,0.73800000,0.67200000,0.68200000,1923404.24000000
1720051200000,0.68300000,0.68400000,0.56300000,0.56900000,7051620.57000000
1720137600000,0.56900000,0.58200000,0.50000000,0.56600000,7380252.09000000
1720224000000,0.56600000,0.61000000,0.55800000,0.60500000,2221607.94000000
1720310400000,0.60500000,0.61800000,0.56800000,0.57200000,2576401.46000000
1720396800000,0.57300000,0.61500000,0.54800000,0.58700000,4247348.34000000
1720483200000,0.58700000,0.60800000,0.57600000,0.60400000,1940464.78000000
1720569600000,0.60400000,0.62100000,0.59600000,0.60800000,1943989.79000000
1720656000000,0.60800000,0.63000000,0.59400000,0.59700000,2433434.80000000
