Open time,Open,High,Low,Close,Volume
1714525200000,0.01781000,0.01794000,0.01769000,0.01790000,3080184.83000000
1714528800000,0.01790000,0.01795000,0.01769000,0.01783000,3601764.31000000
1714532400000,0.01783000,0.01790000,0.01772000,0.01785000,2540129.86000000
1714536000000,0.01785000,0.01807000,0.01783000,0.01787000,4396644.68000000
1714539600000,0.01787000,0.01790000,0.01772000,0.01783000,2940636.66000000
1714543200000,0.01782000,0.01789000,0.01751000,0.01754000,2717331.13000000
1714546800000,0.01752000,0.01762000,0.01707000,0.01722000,9314400.58000000
1714550400000,0.01722000,0.01730000,0.01684000,0.01730000,7891997.64000000
1714554000000,0.01727000,0.01755000,0.01726000,0.01734000,4619194.44000000
1714557600000,0.01736000,0.01751000,0.01729000,0.01749000,3349482.57000000
1714561200000,0.01750000,0.01768000,0.01744000,0.01765000,3247989.95000000
1714564800000,0.01764000,0.01798000,0.01759000,0.01791000,4622325.73000000
1714568400000,0.01791000,0.01794000,0.01760000,0.01777000,3984866.40000000
1714572000000,0.01777000,0.01791000,0.01761000,0.01786000,5278641.87000000
1714575600000,0.01785000,0.01787000,0.01762000,0.01778000,2817308.35000000
1714579200000,0.01778000,0.01795000,0.01762000,0.01768000,4729225.20000000
1714582800000,0.01768000,0.01799000,0.01754000,0.01796000,5889816.46000000
1714586400000,0.01791000,0.01863000,0.01790000,0.01847000,11544683.73000000
1714590000000,0.01848000,0.01868000,0.01782000,0.01794000,8619272.72000000
1714593600000,0.01794000,0.01801000,0.01781000,0.01796000,3248932.61000000
1714597200000,0.01796000,0.01811000,0.01790000,0.01808000,2721589.45000000
1714600800000,0.01807000,0.01821000,0.01803000,0.01818000,2604725.87000000
1714604400000,0.01820000,0.01837000,0.01815000,0.01830000,1719585.77000000
1714608000000,0.01830000,0.01846000,0.01811000,0.01816000,2776662.07000000
1714611600000,0.01813000,0.01835000,0.01801000,0.01803000,2092173.15000000
1714615200000,0.01803000,0.01816000,0.01803000,0.01806000,747747.70000000
1714618800000,0.01806000,0.01818000,0.01804000,0.01809000,658885.63000000
1714622400000,0.01807000,0.01816000,0.01790000,0.01797000,1706197.78000000
1714626000000,0.01797000,0.01802000,0.01787000,0.01798000,873789.04000000
1714629600000,0.01795000,0.01800000,0.01769000,0.01789000,4516359.00000000
1714633200000,0.01789000,0.01800000,0.01782000,0.01786000,1300460.72000000
1714636800000,0.01783000,0.01802000,0.01780000,0.01794000,1450141.30000000
1714640400000,0.01794000,0.01804000,0.01788000,0.01797000,1624405.04000000
1714644000000,0.01797000,0.01822000,0.01795000,0.01816000,2306476.89000000
1714647600000,0.01816000,0.01859000,0.01816000,0.01850000,5016684.60000000
1714651200000,0.01847000,0.01861000,0.01840000,0.01843000,4483524.41000000
