Open time,Open,High,Low,Close,Volume
1714608000000,4.70900000,4.87300000,4.50900000,4.80500000,552865.40000000
1714694400000,4.80500000,4.94000000,4.72400000,4.86100000,344326.82000000
1714780800000,4.86100000,4.94000000,4.85100000,4.92600000,156940.74000000
1714867200000,4.92500000,5.31200000,4.85000000,5.07600000,435676.72000000
1714953600000,5.07400000,5.16100000,4.95700000,5.10400000,240025.26000000
1715040000000,5.10600000,5.68000000,4.32100000,4.52300000,2454665.05000000
1715126400000,4.52500000,4.55100000,4.15800000,4.17500000,965344.22000000
1715212800000,4.17500000,4.37000000,3.95000000,4.30400000,691938.44000000
1715299200000,4.30400000,4.53600000,4.04800000,4.11900000,795910.37000000
1715385600000,4.11900000,4.49500000,4.10000000,4.16000000,825598.88000000
1715472000000,4.16500000,4.25500000,4.01400000,4.04200000,370430.24000000
1715558400000,4.03800000,4.07200000,3.79900000,3.84200000,418294.57000000
1715644800000,3.84200000,3.86600000,3.67000000,3.75900000,323365.91000000
1715731200000,3.76000000,3.87300000,3.67500000,3.78400000,259553.55000000
1715817600000,3.78500000,3.89900000,3.68100000,3.80700000,232062.92000000
1715904000000,3.80400000,3.94700000,3.80000000,3.87600000,262716.25000000
1715990400000,3.87600000,4.00000000,3.86000000,3.98000000,248092.86000000
1716076800000,3.97900000,3.99600000,3.72600000,3.82100000,344398.97000000
1716163200000,3.82100000,4.00600000,3.76000000,4.00100000,308757.76000000
1716249600000,4.00000000,4.07900000,3.93700000,4.00700000,403963.98000000
1716336000000,4.00800000,4.10000000,3.96400000,3.99100000,235573.00000000
1716422400000,3.99600000,4.06500000,3.70000000,3.77200000,380126.91000000
1716508800000,3.77300000,3.85600000,3.69500000,3.82500000,277331.00000000
1716595200000,3.82600000,4.17300000,3.81400000,3.87100000,795414.13000000
1716681600000,3.87000000,4.48900000,3.78000000,3.83200000,1579154.57000000
1716768000000,3.83500000,3.91800000,3.71000000,3.78300000,491848.22000000
1716854400000,3.78500000,3.91800000,3.72600000,3.88500000,389798.05000000
1716940800000,3.88600000,3.92100000,3.79100000,3.80000000,362689.73000000
1717027200000,3.79600000,3.93300000,3.72600000,3.73800000,407087.04000000
1717113600000,3.73400000,3.81800000,3.71000000,3.75600000,170300.89000000
1717200000000,3.75300000,3.82900000,3.73000000,3.76300000,153233.06000000
1717286400000,3.76300000,3.77300000,3.65300000,3.67500000,231291.43000000
1717372800000,3.67400000,3.77400000,3.65100000,3.75200000,244863.93000000
1717459200000,3.74900000,3.94000000,3.68100000,3.78000000,565543.71000000
1717545600000,3.78300000,3.88600000,3.77900000,3.88300000,357460.10000000
1717632000000,3.87900000,4.40000000,3.80800000,3.80900000,1527277.43000000
1717718400000,3.80900000,3.82600000,3.37900000,3.50700000,615883.18000000
1717804800000,3.50700000,3.56200000,3.35800000,3.40400000,408095.60000000
1717891200000,3.40200000,3.61800000,3.39900000,3.47200000,374720.94000000
1717977600000,3.47200000,3.49600000,3.35700000,3.42500000,224112.78000000
1718064000000,3.42400000,3.44300000,3.10700000,3.20700000,332037.05000000
1718150400000,3.20600000,3.44200000,3.17600000,3.31400000,291359.16000000
1718236800000,3.31500000,3.38300000,3.15000000,3.26100000,307036.35000000
1718323200000,3.25900000,4.19000000,3.25300000,3.37500000,3341305.19000000
1718409600000,3.37700000,4.09700000,3.28400000,3.81600000,3174858.62000000
1718496000000,3.81800000,4.16200000,3.63100000,3.63200000,2722335.19000000
1718582400000,3.63400000,3.63800000,3.26300000,3.27500000,883993.74000000
1718668800000,3.27500000,3.28000000,2.81200000,3.00000000,591758.53000000
1718755200000,3.00300000,3.08300000,2.86300000,2.89400000,336258.62000000
1718841600000,2.89400000,3.09400000,2.85400000,3.01200000,664759.81000000
1718928000000,3.01200000,3.49900000,2.97100000,3.13100000,2371828.13000000
1719014400000,3.13100000,3.24200000,3.03400000,3.04000000,544124.54000000
1719100800000,3.04000000,3.32400000,3.00500000,3.10300000,1121174.28000000
1719187200000,3.10200000,3.22300000,2.93000000,3.09300000,570289.51000000
1719273600000,3.08900000,3.15100000,3.07100000,3.08300000,234725.98000000
1719360000000,3.08600000,3.16100000,3.01800000,3.09500000,314352.99000000
1719446400000,3.09500000,3.12200000,3.02600000,3.10000000,201800.44000000
1719532800000,3.09600000,3.20000000,3.06400000,3.07000000,336237.60000000
1719619200000,3.07000000,3.09800000,3.00200000,3.02400000,150756.39000000
1719705600000,3.02500000,3.09300000,2.95900000,3.07400000,155169.60000000
1719792000000,3.07800000,3.10900000,3.02000000,3.05800000,153683.47000000
1719878400000,3.05400000,3.11200000,2.99100000,3.04000000,260743.08000000
1719964800000,3.04000000,3.23300000,2.91500000,2.91500000,983051.83000000
1720051200000,2.91900000,2.96300000,2.67900000,2.69500000,273768.02000000
1720137600000,2.69500000,2.70300000,2.32700000,2.60900000,408190.67000000
1720224000000,2.60400000,2.73100000,2.57200000,2.70300000,140762.65000000
1720310400000,2.70800000,2.71200000,2.57000000,2.58300000,128215.14000000
1720396800000,2.58100000,2.73000000,2.50400000,2.68800000,264458.27000000
1720483200000,2.68600000,2.81800000,2.66500000,2.71800000,275666.69000000
