Open time,Open,High,Low,Close,Volume
1714525200000,4.16400000,4.19000000,4.13800000,4.16800000,13482.02300000
1714528800000,4.16800000,4.17300000,4.10100000,4.14800000,9201.47000000
1714532400000,4.14800000,4.18500000,4.13800000,4.16100000,7627.27000000
1714536000000,4.16200000,4.18000000,4.15900000,4.16400000,2774.07500000
1714539600000,4.16400000,4.17400000,4.10700000,4.12200000,12030.44900000
1714543200000,4.12200000,4.12400000,4.03400000,4.03500000,13872.90500000
1714546800000,4.03800000,4.04300000,3.94700000,4.01600000,59920.36100000
1714550400000,4.01400000,4.01900000,3.84100000,3.97000000,69522.82700000
1714554000000,3.97000000,4.03300000,3.95600000,4.01200000,20284.50000000
1714557600000,4.01600000,4.05200000,3.98800000,4.05200000,15313.27600000
1714561200000,4.04600000,4.11300000,4.02800000,4.11300000,16226.39400000
1714564800000,4.11200000,4.17400000,4.07100000,4.12400000,47685.45300000
1714568400000,4.12600000,4.15400000,4.09100000,4.10300000,21357.21200000
1714572000000,4.10900000,4.14100000,4.08800000,4.12400000,11207.76600000
1714575600000,4.12600000,4.12600000,4.04500000,4.06400000,18455.25100000
1714579200000,4.05800000,4.09200000,4.03400000,4.06200000,13785.19800000
1714582800000,4.06200000,4.12200000,4.02800000,4.10900000,15882.03500000
1714586400000,4.10700000,4.29200000,4.10300000,4.23300000,73661.17500000
1714590000000,4.23300000,4.26300000,4.11600000,4.13500000,46638.53400000
1714593600000,4.14300000,4.22500000,4.12800000,4.19300000,15038.25200000
1714597200000,4.18200000,4.28700000,4.17400000,4.25000000,15103.04600000
1714600800000,4.24700000,4.29800000,4.24400000,4.29200000,10692.89800000
1714604400000,4.29300000,4.31900000,4.28400000,4.30900000,10188.09300000
1714608000000,4.30400000,4.31400000,4.22300000,4.23700000,10603.64500000
1714611600000,4.23400000,4.26500000,4.18200000,4.18200000,10337.19500000
1714615200000,4.19200000,4.24400000,4.19200000,4.23600000,5365.08900000
1714618800000,4.23100000,4.26400000,4.23000000,4.24700000,4101.67600000
1714622400000,4.24200000,4.25600000,4.20600000,4.21700000,4126.68900000
1714626000000,4.21600000,4.22600000,4.17500000,4.21000000,9802.71200000
1714629600000,4.21300000,4.21800000,4.17900000,4.19100000,7711.46800000
1714633200000,4.19400000,4.23700000,4.19400000,4.20600000,6232.80000000
1714636800000,4.20200000,4.25400000,4.19600000,4.24000000,9684.67200000
1714640400000,4.24300000,4.29400000,4.24000000,4.26700000,10956.37700000
1714644000000,4.26100000,4.29400000,4.24400000,4.29200000,7253.77800000
1714647600000,4.29200000,4.39900000,4.29000000,4.37100000,28714.55700000
1714651200000,4.37100000,4.44100000,4.35500000,4.38600000,20226.38100000
1714654800000,4.39700000,4.42400000,4.35900000,4.37100000,22709.72100000
1714658400000,4.36600000,4.47000000,4.34200000,4.43500000,21027.77100000
1714662000000,4.43600000,4.50900000,4.43300000,4.48600000,22459.28200000
1714665600000,4.49300000,4.50000000,4.45800000,4.46300000,11800.64400000
1714669200000,4.46500000,4.55000000,4.45900000,4.54100000,19130.15300000
1714672800000,4.54200000,4.55000000,4.44900000,4.50000000,37024.94700000
1714676400000,4.49700000,4.50700000,4.46000000,4.50500000,15204.61900000
1714680000000,4.50500000,4.54000000,4.44700000,4.49100000,15980.68900000
1714683600000,4.48400000,4.53800000,4.48200000,4.50800000,10800.44600000
1714687200000,4.50800000,4.53800000,4.49600000,4.52600000,6535.53900000
1714690800000,4.52600000,4.52800000,4.47000000,4.47800000,5064.58700000
1714694400000,4.47500000,4.50800000,4.45300000,4.46700000,16885.14700000
1714698000000,4.46900000,4.54000000,4.46100000,4.52800000,6901.72900000
1714701600000,4.52300000,4.55900000,4.51400000,4.52900000,5681.98500000
1714705200000,4.53200000,4.56100000,4.51800000,4.55100000,3544.77600000
1714708800000,4.55000000,4.56900000,4.52000000,4.54000000,3234.38800000
1714712400000,4.54000000,4.55800000,4.51800000,4.52400000,4948.73100000
1714716000000,4.51900000,4.53100000,4.47000000,4.47700000,8951.74200000
1714719600000,4.47400000,4.49200000,4.42900000,4.44700000,6032.11300000
1714723200000,4.44700000,4.47900000,4.44200000,4.46800000,7868.17900000
1714726800000,4.46900000,4.47400000,4.42700000,4.45100000,20816.07500000
1714730400000,4.45000000,4.45600000,4.37100000,4.39600000,13107.36200000
