Open time,Open,High,Low,Close,Volume
1714536000000,3.56300000,3.57600000,3.38300000,3.42100000,160071.70000000
1714550400000,3.41900000,3.46900000,3.34300000,3.46900000,131439.50000000
1714564800000,3.46900000,3.52000000,3.39300000,3.43100000,245390.90000000
1714579200000,3.42900000,3.63600000,3.40700000,3.50500000,214137.40000000
1714593600000,3.50800000,3.58800000,3.47600000,3.57200000,52181.00000000
1714608000000,3.57200000,3.57900000,3.40600000,3.45700000,148926.50000000
1714622400000,3.45100000,3.47800000,3.42400000,3.42400000,118614.20000000
1714636800000,3.42400000,3.54100000,3.41700000,3.53800000,178824.40000000
1714651200000,3.53800000,3.57600000,3.47600000,3.56100000,145976.90000000
1714665600000,3.56300000,3.61700000,3.53900000,3.59400000,44469.50000000
1714680000000,3.60200000,3.62300000,3.55500000,3.57200000,78792.90000000
1714694400000,3.57200000,3.63000000,3.53700000,3.60000000,81163.90000000
1714708800000,3.60000000,3.60900000,3.54000000,3.55200000,56581.10000000
1714723200000,3.55300000,3.59100000,3.52800000,3.54800000,45581.00000000
1714737600000,3.54700000,3.70500000,3.53900000,3.69500000,111465.30000000
1714752000000,3.69700000,3.77800000,3.69400000,3.76700000,112531.10000000
1714766400000,3.76600000,3.81400000,3.74200000,3.74500000,89041.70000000
1714780800000,3.74700000,3.79400000,3.72400000,3.73100000,80282.30000000
1714795200000,3.73200000,3.75700000,3.72100000,3.72800000,29918.20000000
1714809600000,3.72600000,3.79600000,3.72500000,3.73700000,88168.00000000
1714824000000,3.73900000,3.81700000,3.73100000,3.75900000,105220.70000000
1714838400000,3.76000000,3.77200000,3.73200000,3.75800000,59234.60000000
1714852800000,3.75800000,3.77400000,3.71700000,3.73200000,40860.50000000
1714867200000,3.73200000,3.78700000,3.65800000,3.70100000,139710.90000000
1714881600000,3.70000000,3.73500000,3.67400000,3.72800000,48668.20000000
1714896000000,3.72700000,3.75600000,3.71600000,3.73600000,55369.20000000
1714910400000,3.73400000,3.80800000,3.69900000,3.80000000,95586.50000000
1714924800000,3.80100000,3.81200000,3.74800000,3.76600000,62823.70000000
1714939200000,3.76600000,3.76900000,3.72700000,3.76200000,50959.20000000
1714953600000,3.76400000,3.79900000,3.72700000,3.75600000,54818.10000000
1714968000000,3.75400000,3.87800000,3.74000000,3.86900000,126777.10000000
1714982400000,3.87000000,3.90700000,3.76200000,3.80200000,156380.70000000
1714996800000,3.80200000,3.80600000,3.66700000,3.73500000,163892.20000000
1715011200000,3.73500000,3.73900000,3.68300000,3.72300000,60106.80000000
1715025600000,3.72300000,3.74100000,3.68300000,3.68900000,37578.30000000
1715040000000,3.68900000,3.72300000,3.61300000,3.64200000,98823.00000000
1715054400000,3.64200000,3.67800000,3.63900000,3.67100000,58721.90000000
1715068800000,3.66100000,3.74400000,3.66100000,3.68200000,53521.80000000
1715083200000,3.68200000,3.77000000,3.67900000,3.73800000,75793.30000000
1715097600000,3.73900000,3.74700000,3.67100000,3.68300000,44721.70000000
1715112000000,3.68200000,3.70100000,3.59100000,3.59700000,53133.00000000
1715126400000,3.59600000,3.63700000,3.56600000,3.62600000,71765.50000000
1715140800000,3.62700000,3.63600000,3.56700000,3.57100000,49503.90000000
1715155200000,3.57500000,3.60400000,3.54900000,3.55900000,39217.30000000
1715169600000,3.56000000,3.62900000,3.53000000,3.60000000,367907.00000000
1715184000000,3.59900000,3.64300000,3.56800000,3.59900000,54745.80000000
1715198400000,3.59900000,3.61300000,3.50000000,3.51200000,86702.40000000
1715212800000,3.51300000,3.56000000,3.49800000,3.55300000,64943.30000000
1715227200000,3.55400000,3.57800000,3.51600000,3.52200000,72533.20000000
1715241600000,3.52300000,3.53800000,3.44300000,3.50200000,138044.60000000
1715256000000,3.50300000,3.58100000,3.47800000,3.57300000,118718.60000000
1715270400000,3.57400000,3.60600000,3.54400000,3.60100000,77695.70000000
1715284800000,3.60100000,3.64500000,3.58300000,3.61400000,69243.90000000
1715299200000,3.61500000,3.99500000,3.59600000,3.77800000,1502687.10000000
1715313600000,3.77700000,3.83800000,3.72900000,3.81100000,447200.80000000
1715328000000,3.81200000,3.85300000,3.75100000,3.78200000,243553.90000000
1715342400000,3.78200000,3.79000000,3.61500000,3.63900000,243390.30000000
1715356800000,3.63600000,3.65400000,3.54300000,3.55600000,146806.70000000
1715371200000,3.55800000,3.59800000,3.51200000,3.58300000,133689.10000000
1715385600000,3.58300000,3.66900000,3.52000000,3.52800000,193990.50000000
1715400000000,3.52700000,3.57600000,3.51600000,3.56400000,69034.10000000
1715414400000,3.56200000,3.56900000,3.50000000,3.51700000,71883.70000000
1715428800000,3.52000000,3.58100000,3.51300000,3.55700000,50367.70000000
1715443200000,3.55900000,3.57000000,3.54100000,3.54800000,42790.40000000
1715457600000,3.54800000,3.55000000,3.49200000,3.49800000,58347.30000000
1715472000000,3.49800000,3.51300000,3.47800000,3.48600000,53275.90000000
1715486400000,3.48400000,3.51300000,3.47800000,3.48400000,34523.50000000
1715500800000,3.48700000,3.54200000,3.48000000,3.51100000,44637.90000000
1715515200000,3.51100000,3.54800000,3.50000000,3.53500000,37767.40000000
1715529600000,3.54000000,3.55400000,3.48900000,3.50100000,33027.60000000
1715544000000,3.50000000,3.50100000,3.45000000,3.46900000,67326.50000000
1715558400000,3.46900000,3.48700000,3.31800000,3.37300000,133345.40000000
1715572800000,3.37000000,3.47100000,3.33600000,3.46600000,76576.70000000
1715587200000,3.46700000,3.53500000,3.46600000,3.51800000,91137.90000000
1715601600000,3.51700000,3.60500000,3.49400000,3.59500000,81596.10000000
1715616000000,3.59300000,3.64100000,3.53900000,3.58200000,82641.20000000
1715630400000,3.58300000,3.62300000,3.56700000,3.61200000,80956.80000000
1715644800000,3.61200000,3.67900000,3.51300000,3.55000000,234747.80000000
1715659200000,3.54700000,3.60900000,3.48500000,3.56600000,156141.90000000
1715673600000,3.56700000,3.56900000,3.52700000,3.54300000,82538.90000000
1715688000000,3.54100000,3.57200000,3.45300000,3.50800000,160989.10000000
1715702400000,3.50700000,3.50800000,3.44200000,3.48200000,83390.90000000
1715716800000,3.48200000,3.48600000,3.42500000,3.43600000,34456.30000000
1715731200000,3.43700000,3.48100000,3.41600000,3.46600000,32150.60000000
1715745600000,3.46600000,3.47700000,3.45200000,3.46600000,39919.20000000
1715760000000,3.46700000,3.50300000,3.42400000,3.44300000,46102.70000000
1715774400000,3.44300000,3.60300000,3.43200000,3.57100000,152236.80000000
1715788800000,3.57200000,3.65400000,3.56500000,3.65400000,56154.30000000
1715803200000,3.65400000,3.67800000,3.63000000,3.63200000,54242.90000000
1715817600000,3.63400000,3.67300000,3.60000000,3.66100000,63512.10000000
1715832000000,3.65900000,3.66000000,3.61300000,3.63600000,42416.00000000
1715846400000,3.63500000,3.64600000,3.60100000,3.62200000,37130.20000000
1715860800000,3.62000000,3.62200000,3.52600000,3.59400000,103663.20000000
1715875200000,3.59400000,3.63100000,3.58100000,3.60700000,42667.80000000
1715889600000,3.60700000,3.60800000,3.58100000,3.59900000,35734.90000000
1715904000000,3.60000000,3.65900000,3.57000000,3.64300000,68688.10000000
1715918400000,3.64200000,3.73400000,3.63200000,3.72400000,119041.00000000
1715932800000,3.72400000,3.73400000,3.67800000,3.68200000,66568.10000000
1715947200000,3.68300000,3.74400000,3.66900000,3.73900000,49711.40000000
1715961600000,3.74000000,3.75600000,3.69200000,3.71100000,39598.70000000
1715976000000,3.70900000,3.71500000,3.68100000,3.69100000,22524.00000000
1715990400000,3.69100000,3.72200000,3.67200000,3.72200000,30054.00000000
1716004800000,3.72100000,3.72300000,3.68800000,3.69600000,21355.70000000
1716019200000,3.69600000,3.75400000,3.68600000,3.72800000,207202.60000000
1716033600000,3.72800000,3.73100000,3.66300000,3.70300000,69784.80000000
1716048000000,3.70200000,3.73600000,3.70200000,3.71900000,25255.60000000
1716062400000,3.71900000,3.72700000,3.69600000,3.70500000,28121.30000000
1716076800000,3.70600000,3.73500000,3.68600000,3.71700000,34925.90000000
1716091200000,3.71400000,3.71800000,3.68300000,3.70300000,33656.70000000
1716105600000,3.70400000,3.70800000,3.64600000,3.67100000,31168.80000000
1716120000000,3.67000000,3.67200000,3.59500000,3.62000000,35026.70000000
1716134400000,3.62000000,3.62600000,3.57200000,3.58300000,17351.00000000
1716148800000,3.58200000,3.59300000,3.54500000,3.57300000,21655.60000000
1716163200000,3.57400000,3.60700000,3.51400000,3.59800000,31395.40000000
1716177600000,3.59500000,3.66400000,3.56400000,3.62200000,35421.10000000
1716192000000,3.62200000,3.63400000,3.59700000,3.60800000,37715.80000000
1716206400000,3.61100000,3.62600000,3.57900000,3.61900000,31820.30000000
1716220800000,3.61900000,3.82400000,3.61900000,3.81300000,166573.70000000
1716235200000,3.81900000,3.88700000,3.80000000,3.88200000,174065.10000000
1716249600000,3.88200000,3.92100000,3.81500000,3.83400000,108967.50000000
1716264000000,3.83300000,3.86700000,3.81100000,3.85800000,46769.60000000
1716278400000,3.85900000,3.88400000,3.85200000,3.86300000,83835.90000000
1716292800000,3.86100000,3.90800000,3.82100000,3.83200000,110079.30000000
1716307200000,3.83400000,3.98200000,3.82400000,3.88500000,396111.70000000
1716321600000,3.88500000,3.91500000,3.86700000,3.90500000,53209.30000000
1716336000000,3.90400000,3.90900000,3.86500000,3.87400000,33627.20000000
1716350400000,3.87600000,3.90000000,3.79800000,3.86700000,73690.00000000
1716364800000,3.86700000,3.89000000,3.80900000,3.81200000,53298.00000000
1716379200000,3.81000000,3.87600000,3.74500000,3.86800000,78279.90000000
1716393600000,3.86800000,3.89400000,3.79500000,3.82700000,38876.20000000
1716408000000,3.82800000,3.85900000,3.79100000,3.81700000,33116.60000000
1716422400000,3.81700000,3.85400000,3.78600000,3.85000000,35486.70000000
1716436800000,3.84900000,3.85300000,3.81500000,3.83500000,39401.80000000
1716451200000,3.83400000,3.83800000,3.77300000,3.83600000,41405.40000000
1716465600000,3.83500000,3.85300000,3.60900000,3.69600000,224846.70000000
1716480000000,3.69400000,3.70100000,3.60000000,3.65100000,59510.50000000
1716494400000,3.65100000,3.72400000,3.50300000,3.70400000,229073.10000000
1716508800000,3.70600000,3.73800000,3.69000000,3.72400000,52448.20000000
1716523200000,3.72700000,3.73200000,3.60100000,3.65600000,95610.10000000
1716537600000,3.65700000,3.80400000,3.60700000,3.69200000,669195.40000000
1716552000000,3.69000000,3.76100000,3.68000000,3.74100000,72138.50000000
1716566400000,3.74400000,3.77100000,3.71000000,3.76400000,43044.40000000
1716580800000,3.76300000,3.78200000,3.74800000,3.77400000,20064.60000000
1716595200000,3.77300000,3.79100000,3.76100000,3.77300000,30329.40000000
1716609600000,3.77300000,3.78300000,3.75400000,3.76100000,24962.10000000
1716624000000,3.76300000,3.80300000,3.75900000,3.78100000,27333.30000000
1716638400000,3.78100000,3.80600000,3.75200000,3.79100000,27634.30000000
1716652800000,3.79400000,3.80000000,3.76500000,3.76700000,49477.60000000
1716667200000,3.76800000,3.77700000,3.75100000,3.77200000,34831.20000000
