Open time,Open,High,Low,Close,Volume
1721952000000,7.03000000,7.03000000,6.30300000,6.77700000,4132651.62000000
1722038400000,6.77300000,6.85000000,6.35000000,6.46500000,2902047.18000000
1722124800000,6.46300000,6.55200000,6.15400000,6.26600000,1779112.68000000
1722211200000,6.26200000,6.66000000,6.11400000,6.15000000,2493409.54000000
1722297600000,6.15100000,6.30200000,5.92100000,6.00900000,1839028.31000000
1722384000000,6.01300000,6.18000000,5.70100000,5.74400000,2437149.11000000
1722470400000,5.74200000,5.89400000,5.10600000,5.60400000,5505511.87000000
1722556800000,5.60200000,5.64900000,4.83000000,4.93700000,3970023.10000000
1722643200000,4.93500000,5.33500000,4.75700000,4.95000000,4644617.18000000
1722729600000,4.94800000,5.08400000,4.31700000,4.53100000,4763026.42000000
1722816000000,4.53400000,4.60300000,3.41000000,4.13100000,13236235.10000000
1722902400000,4.13200000,4.90000000,4.12200000,4.67900000,7088799.74000000
1722988800000,4.67600000,4.98100000,4.29200000,4.37400000,5349783.11000000
1723075200000,4.37400000,5.07600000,4.27200000,5.04400000,5658348.53000000
1723161600000,5.04200000,5.12800000,4.80400000,4.85300000,3238950.11000000
1723248000000,4.85100000,4.96000000,4.75000000,4.89900000,1544163.13000000
1723334400000,4.90300000,5.11900000,4.46700000,4.48100000,3162902.27000000
1723420800000,4.48100000,4.77500000,4.42500000,4.70800000,2892397.88000000
1723507200000,4.70600000,4.87900000,4.52400000,4.82800000,2189383.14000000
1723593600000,4.82900000,4.97800000,4.63100000,4.70100000,2450192.37000000
1723680000000,4.70200000,4.85000000,4.46100000,4.54700000,2315523.71000000
1723766400000,4.54700000,4.62200000,4.30600000,4.50400000,1757213.43000000
1723852800000,4.50300000,4.57000000,4.39300000,4.51400000,1282696.17000000
1723939200000,4.51400000,4.63600000,4.46500000,4.49700000,1719603.68000000
1724025600000,4.49900000,4.61600000,4.31500000,4.61300000,1940561.43000000
1724112000000,4.61300000,4.71600000,4.37500000,4.49100000,2792032.73000000
1724198400000,4.49200000,4.85700000,4.38900000,4.78400000,2348874.72000000
1724284800000,4.78400000,5.09400000,4.70600000,5.05300000,3552400.38000000
1724371200000,5.05400000,5.77100000,5.04700000,5.59500000,4550259.49000000
1724457600000,5.59600000,6.37500000,5.44500000,6.19200000,5134497.30000000
1724544000000,6.19300000,6.49500000,6.10000000,6.31400000,5516158.30000000
1724630400000,6.31400000,6.42800000,5.96100000,6.16100000,4500823.78000000
1724716800000,6.16000000,6.58400000,5.56600000,5.71600000,6982833.88000000
1724803200000,5.71800000,6.14200000,5.45000000,5.52300000,7896085.91000000
1724889600000,5.52300000,5.87800000,5.17300000,5.24700000,5318530.16000000
1724976000000,5.24800000,5.32300000,4.89700000,5.23900000,3507846.31000000
1725062400000,5.24000000,5.33600000,4.95200000,5.00000000,1947490.47000000
1725148800000,4.99800000,5.16500000,4.80100000,4.82000000,3681883.40000000
1725235200000,4.82000000,5.15400000,4.77600000,5.08900000,3494916.85000000
1725321600000,5.08900000,5.20600000,4.70000000,4.70900000,2834078.26000000
1725408000000,4.70900000,5.05100000,4.53000000,4.92000000,3187861.80000000
1725494400000,4.92000000,4.95900000,4.62700000,4.67700000,2975989.98000000
1725580800000,4.67800000,4.94200000,4.43900000,4.68000000,3966618.79000000
1725667200000,4.68000000,4.89300000,4.66400000,4.71400000,2034756.93000000
1725753600000,4.71600000,4.94200000,4.70500000,4.87300000,2478996.17000000
1725840000000,4.87200000,5.25800000,4.79400000,5.16500000,4677128.16000000
1725926400000,5.16600000,5.35000000,5.00300000,5.26700000,4149746.58000000
