Open time,Open,High,Low,Close,Volume
1735693200000,4.55500000,4.55600000,4.49100000,4.49700000,156443.10000000
1735696800000,4.49700000,4.51500000,4.49700000,4.51000000,139738.40000000
1735700400000,4.51100000,4.51200000,4.47500000,4.48200000,176314.10000000
1735704000000,4.48200000,4.48300000,4.43800000,4.44700000,271917.20000000
1735707600000,4.44600000,4.48400000,4.44300000,4.46500000,128400.30000000
1735711200000,4.46500000,4.47200000,4.43400000,4.46000000,162581.10000000
1735714800000,4.45900000,4.46300000,4.44700000,4.45500000,85463.30000000
1735718400000,4.45600000,4.46400000,4.40600000,4.40900000,204644.00000000
1735722000000,4.40900000,4.42100000,4.37200000,4.40700000,411492.20000000
1735725600000,4.40800000,4.42200000,4.39800000,4.40200000,148049.10000000
1735729200000,4.40300000,4.46200000,4.39200000,4.44200000,226990.20000000
1735732800000,4.44300000,4.48100000,4.43700000,4.47700000,215425.20000000
1735736400000,4.47600000,4.50600000,4.46100000,4.48900000,240760.60000000
1735740000000,4.49100000,4.52000000,4.46000000,4.48800000,255707.00000000
1735743600000,4.48900000,4.52500000,4.46800000,4.52300000,212197.00000000
1735747200000,4.52300000,4.54900000,4.49600000,4.51400000,405971.10000000
1735750800000,4.51500000,4.53500000,4.48400000,4.52600000,217982.80000000
1735754400000,4.52700000,4.57900000,4.50700000,4.57400000,446045.70000000
1735758000000,4.57400000,4.61700000,4.54400000,4.59300000,439005.10000000
1735761600000,4.59400000,4.62200000,4.59200000,4.62100000,240577.60000000
1735765200000,4.62100000,4.63700000,4.60600000,4.62600000,257647.10000000
1735768800000,4.62800000,4.63300000,4.59600000,4.60500000,167795.00000000
1735772400000,4.60400000,4.61700000,4.58900000,4.59600000,128333.60000000
1735776000000,4.59500000,4.68700000,4.57900000,4.66100000,710607.30000000
1735779600000,4.66100000,4.69400000,4.64000000,4.65200000,332985.90000000
1735783200000,4.65300000,4.72300000,4.63800000,4.72300000,515238.90000000
1735786800000,4.72200000,4.74900000,4.69700000,4.71100000,347476.40000000
1735790400000,4.71300000,4.78400000,4.71200000,4.76000000,281024.10000000
1735794000000,4.76200000,4.76800000,4.73000000,4.74300000,185816.60000000
1735797600000,4.74300000,4.75900000,4.69800000,4.71900000,187407.00000000
1735801200000,4.72000000,4.78100000,4.71500000,4.78100000,242416.60000000
1735804800000,4.78100000,4.80800000,4.75200000,4.80100000,240948.90000000
1735808400000,4.79900000,4.86100000,4.79600000,4.85000000,348514.90000000
1735812000000,4.85100000,4.87300000,4.82700000,4.86700000,354007.30000000
1735815600000,4.86800000,4.87400000,4.83100000,4.87100000,242869.00000000
1735819200000,4.87200000,4.89800000,4.85800000,4.89000000,251817.50000000
1735822800000,4.89100000,4.90000000,4.85700000,4.86800000,239457.20000000
1735826400000,4.86700000,4.93900000,4.81700000,4.89600000,856650.90000000
1735830000000,4.89600000,4.90100000,4.82500000,4.84900000,365201.70000000
1735833600000,4.85100000,4.90300000,4.81300000,4.87200000,392244.70000000
1735837200000,4.87200000,4.90000000,4.81900000,4.85000000,372371.30000000
1735840800000,4.85000000,4.86300000,4.82900000,4.85300000,211809.70000000
1735844400000,4.85300000,4.87600000,4.83000000,4.83200000,158721.30000000
1735848000000,4.83400000,4.85300000,4.79500000,4.80300000,323224.90000000
1735851600000,4.80400000,4.81800000,4.78500000,4.80600000,232550.50000000
1735855200000,4.80500000,4.80500000,4.75600000,4.78300000,195028.60000000
1735858800000,4.78200000,4.82000000,4.77500000,4.81200000,179367.90000000
1735862400000,4.81500000,4.84200000,4.79800000,4.80800000,217056.90000000
1735866000000,4.80800000,4.83200000,4.77700000,4.82500000,289060.90000000
1735869600000,4.82600000,4.86900000,4.81900000,4.84800000,314963.90000000
1735873200000,4.84800000,4.87000000,4.82900000,4.86600000,215861.30000000
1735876800000,4.86700000,4.86700000,4.81200000,4.81800000,192051.80000000
1735880400000,4.81900000,4.82100000,4.78300000,4.80300000,163484.90000000
1735884000000,4.80400000,4.83500000,4.79300000,4.79400000,210155.00000000
1735887600000,4.79400000,4.79900000,4.75000000,4.76000000,256831.90000000
1735891200000,4.76000000,4.78700000,4.74600000,4.77300000,227586.70000000
1735894800000,4.77300000,4.85900000,4.77300000,4.84300000,362541.60000000
1735898400000,4.84400000,4.86900000,4.81800000,4.85900000,293976.10000000
1735902000000,4.85800000,4.91800000,4.85800000,4.91400000,296099.20000000
1735905600000,4.91600000,4.95500000,4.90400000,4.91800000,420236.40000000
1735909200000,4.91600000,4.95800000,4.91600000,4.94100000,378027.00000000
1735912800000,4.94100000,5.03900000,4.94100000,5.01900000,676464.30000000
1735916400000,5.01900000,5.08400000,5.01000000,5.06600000,460952.80000000
1735920000000,5.06800000,5.14700000,5.06600000,5.11900000,823259.80000000
1735923600000,5.12000000,5.14200000,5.09000000,5.09200000,460600.40000000
1735927200000,5.09200000,5.13300000,5.09200000,5.11700000,158097.40000000
1735930800000,5.11800000,5.14400000,5.10500000,5.13100000,236323.30000000
1735934400000,5.13200000,5.13500000,5.08700000,5.09500000,248413.00000000
