Open time,Open,High,Low,Close,Volume
1714536000000,3.21870000,3.24080000,2.98030000,3.00790000,1752014.10000000
1714550400000,3.00940000,3.06400000,2.80000000,3.06400000,3750398.50000000
1714564800000,3.06290000,3.10000000,3.00750000,3.06120000,1939458.20000000
1714579200000,3.06130000,3.29830000,3.04830000,3.16680000,2305835.40000000
1714593600000,3.16710000,3.23030000,3.13020000,3.20410000,505392.20000000
1714608000000,3.20400000,3.21340000,3.05620000,3.11810000,644192.50000000
1714622400000,3.11850000,3.13370000,3.07730000,3.10660000,402399.90000000
1714636800000,3.10660000,3.30150000,3.09640000,3.26430000,1076512.90000000
1714651200000,3.26450000,3.27350000,3.15330000,3.23150000,892021.30000000
1714665600000,3.23530000,3.25180000,3.19010000,3.22160000,534126.90000000
1714680000000,3.21970000,3.26120000,3.16790000,3.21020000,346906.70000000
1714694400000,3.21200000,3.27650000,3.16900000,3.24420000,508148.80000000
1714708800000,3.24400000,3.41370000,3.21550000,3.31500000,2194867.70000000
1714723200000,3.31560000,3.33240000,3.21140000,3.24730000,1036383.90000000
1714737600000,3.24660000,3.40950000,3.23410000,3.38580000,1505199.20000000
1714752000000,3.38810000,3.46810000,3.37310000,3.40820000,956695.80000000
1714766400000,3.40650000,3.47440000,3.39870000,3.41420000,520530.20000000
1714780800000,3.41390000,3.46200000,3.35630000,3.37720000,629383.00000000
1714795200000,3.37740000,3.44000000,3.35620000,3.38470000,612741.00000000
1714809600000,3.38480000,3.53240000,3.37710000,3.46700000,1048533.60000000
1714824000000,3.46740000,3.49200000,3.33230000,3.34000000,1273861.10000000
1714838400000,3.33990000,3.41230000,3.29000000,3.40950000,1234269.90000000
1714852800000,3.40970000,3.45500000,3.35380000,3.35610000,435894.30000000
1714867200000,3.35750000,3.37760000,3.23720000,3.30200000,668316.90000000
1714881600000,3.30270000,3.31440000,3.23770000,3.29200000,458154.60000000
1714896000000,3.29120000,3.33260000,3.26200000,3.30250000,428621.50000000
1714910400000,3.30160000,3.39320000,3.25190000,3.37420000,871930.70000000
1714924800000,3.37260000,3.55000000,3.35420000,3.42080000,1561990.10000000
1714939200000,3.41980000,3.42210000,3.33440000,3.36490000,416232.10000000
1714953600000,3.36560000,3.42440000,3.29130000,3.33830000,622936.90000000
1714968000000,3.33870000,3.50940000,3.32210000,3.44390000,1146436.40000000
1714982400000,3.44530000,3.53000000,3.32030000,3.35780000,1570825.00000000
1714996800000,3.35910000,3.36940000,3.21480000,3.25140000,1817266.20000000
1715011200000,3.25120000,3.26690000,3.19000000,3.23230000,812081.30000000
1715025600000,3.23130000,3.26010000,3.15640000,3.16280000,918722.40000000
1715040000000,3.16280000,3.22390000,3.10410000,3.13580000,1077899.90000000
1715054400000,3.13670000,3.19000000,3.10260000,3.15170000,864377.70000000
1715068800000,3.15150000,3.24480000,3.12240000,3.12690000,1753219.40000000
1715083200000,3.12790000,3.18140000,3.06580000,3.11230000,1846430.50000000
1715097600000,3.11230000,3.12110000,3.00090000,3.01960000,1335390.00000000
1715112000000,3.02020000,3.05490000,2.90230000,2.92750000,2033910.70000000
1715126400000,2.92680000,2.98890000,2.87560000,2.95050000,875271.80000000
1715140800000,2.95110000,2.96640000,2.86220000,2.90030000,1182304.80000000
1715155200000,2.89980000,2.92190000,2.79750000,2.84850000,2676845.50000000
1715169600000,2.84950000,2.96720000,2.83270000,2.90340000,1611319.50000000
1715184000000,2.90450000,2.94720000,2.85090000,2.88210000,767455.20000000
1715198400000,2.88260000,2.89780000,2.75630000,2.81990000,1500231.50000000
1715212800000,2.81860000,2.87570000,2.80510000,2.86660000,735270.70000000
1715227200000,2.86680000,2.90620000,2.82150000,2.83770000,632950.80000000
1715241600000,2.83690000,2.86610000,2.78280000,2.84260000,964083.00000000
1715256000000,2.84280000,2.92110000,2.81270000,2.89230000,1553562.20000000
1715270400000,2.89240000,2.94150000,2.83460000,2.90250000,855995.40000000
1715284800000,2.90220000,2.93870000,2.88220000,2.91540000,555583.70000000
1715299200000,2.91540000,2.94500000,2.88320000,2.91150000,632925.10000000
1715313600000,2.91140000,2.93680000,2.88620000,2.91580000,647554.20000000
1715328000000,2.91570000,2.93190000,2.88210000,2.92880000,605538.30000000
1715342400000,2.92880000,2.93800000,2.71620000,2.74510000,1810649.30000000
1715356800000,2.74340000,2.78740000,2.70000000,2.73260000,1267992.80000000
1715371200000,2.73240000,2.76330000,2.71500000,2.75300000,531720.30000000
1715385600000,2.75300000,2.78880000,2.72720000,2.76920000,715771.40000000
1715400000000,2.76980000,2.80540000,2.75240000,2.78510000,637868.50000000
1715414400000,2.78520000,2.79150000,2.71590000,2.75160000,659860.50000000
1715428800000,2.75160000,2.89000000,2.74070000,2.87460000,1339717.30000000
1715443200000,2.87520000,2.88520000,2.79640000,2.82070000,575325.50000000
1715457600000,2.82060000,2.82150000,2.77720000,2.79170000,273242.60000000
1715472000000,2.79210000,2.81640000,2.77940000,2.80640000,298134.70000000
1715486400000,2.80730000,2.86390000,2.76010000,2.77070000,674019.10000000
1715500800000,2.76890000,2.92190000,2.76480000,2.86050000,1090566.00000000
1715515200000,2.85980000,2.94190000,2.84990000,2.86840000,1963440.50000000
1715529600000,2.86880000,2.89610000,2.83620000,2.84760000,460097.20000000
1715544000000,2.84800000,2.85010000,2.79300000,2.81890000,316429.00000000
1715558400000,2.81980000,2.84320000,2.56450000,2.60830000,1896949.50000000
1715572800000,2.60800000,2.64660000,2.55000000,2.64050000,1283049.70000000
1715587200000,2.64050000,2.68420000,2.48600000,2.55060000,2821783.30000000
1715601600000,2.55050000,2.55120000,2.39150000,2.44200000,4152341.70000000
1715616000000,2.44170000,2.54390000,2.36220000,2.46800000,3595530.00000000
1715630400000,2.46810000,2.48030000,2.40570000,2.42440000,894254.00000000
1715644800000,2.42510000,2.43480000,2.25460000,2.28830000,4231018.70000000
1715659200000,2.28780000,2.34200000,2.26100000,2.29050000,3288500.00000000
1715673600000,2.29060000,2.30930000,2.23490000,2.28880000,1369058.50000000
1715688000000,2.28930000,2.31980000,2.22250000,2.24020000,2149789.80000000
1715702400000,2.24020000,2.26520000,2.16220000,2.25880000,2006657.70000000
1715716800000,2.25840000,2.27200000,2.22160000,2.23070000,526393.10000000
1715731200000,2.23100000,2.26770000,2.21150000,2.26150000,680555.60000000
1715745600000,2.26110000,2.26280000,2.21810000,2.23850000,522149.70000000
1715760000000,2.23850000,2.23860000,2.08690000,2.15600000,2252606.40000000
1715774400000,2.15560000,2.30830000,2.15020000,2.26890000,2608053.40000000
1715788800000,2.26820000,2.28520000,2.18220000,2.27820000,1644034.70000000
1715803200000,2.27810000,2.31110000,2.24070000,2.25530000,1222512.20000000
1715817600000,2.25420000,2.33360000,2.21620000,2.28520000,1785020.20000000
1715832000000,2.28520000,2.34800000,2.21790000,2.29350000,2354548.90000000
1715846400000,2.29460000,2.38000000,2.24390000,2.26830000,2324931.60000000
1715860800000,2.26810000,2.26810000,2.05730000,2.12090000,3064749.30000000
1715875200000,2.12000000,2.19600000,2.11270000,2.18030000,943350.70000000
1715889600000,2.17920000,2.18340000,2.14190000,2.14950000,353728.20000000
1715904000000,2.15060000,2.16890000,2.12580000,2.13400000,510461.20000000
1715918400000,2.13400000,2.21250000,2.09350000,2.20280000,1141579.80000000
1715932800000,2.20380000,2.26820000,2.19830000,2.20160000,1112319.30000000
1715947200000,2.20160000,2.29880000,2.17840000,2.28260000,2291385.20000000
1715961600000,2.28320000,2.29410000,2.20870000,2.24360000,780093.30000000
1715976000000,2.24400000,2.25520000,2.20370000,2.20530000,265674.70000000
1715990400000,2.20590000,2.26000000,2.19110000,2.24170000,475387.00000000
1716004800000,2.24120000,2.25140000,2.12830000,2.15300000,1845177.10000000
1716019200000,2.15280000,2.30660000,2.14630000,2.22720000,3158008.60000000
1716033600000,2.22820000,2.24570000,2.12110000,2.21300000,2081897.70000000
1716048000000,2.21300000,2.40870000,2.21300000,2.29370000,4199148.40000000
1716062400000,2.29430000,2.29430000,2.24040000,2.25100000,841072.10000000
1716076800000,2.25140000,2.26300000,2.22160000,2.22330000,689535.00000000
1716091200000,2.22290000,2.22290000,2.16970000,2.19920000,966147.00000000
1716105600000,2.19920000,2.19920000,2.13230000,2.15720000,1028213.80000000
1716120000000,2.15630000,2.18240000,2.10200000,2.12300000,1615881.50000000
1716134400000,2.12290000,2.12860000,2.05740000,2.09270000,1484297.90000000
1716148800000,2.09180000,2.09860000,2.05930000,2.07200000,285304.80000000
1716163200000,2.07180000,2.07390000,1.93600000,2.00890000,1638994.30000000
1716177600000,2.00910000,2.05350000,1.97900000,2.01430000,1393397.10000000
1716192000000,2.01500000,2.11410000,2.01070000,2.08110000,1896873.80000000
1716206400000,2.08150000,2.14470000,2.06080000,2.12000000,1195272.60000000
1716220800000,2.12020000,2.33860000,2.10110000,2.31470000,2680430.60000000
1716235200000,2.31480000,2.36570000,2.26850000,2.31040000,2272099.80000000
1716249600000,2.31000000,2.33810000,2.25580000,2.31250000,1838612.90000000
1716264000000,2.31370000,2.41290000,2.29450000,2.30820000,2048221.10000000
1716278400000,2.30800000,2.37010000,2.28500000,2.29910000,1525617.10000000
1716292800000,2.29830000,2.37770000,2.24670000,2.31190000,2826616.50000000
1716307200000,2.31310000,2.39460000,2.27320000,2.30330000,1247346.80000000
1716321600000,2.30460000,2.39510000,2.30240000,2.35990000,942003.40000000
1716336000000,2.35770000,2.41710000,2.29600000,2.31310000,1689190.00000000
1716350400000,2.31330000,2.32590000,2.24260000,2.25260000,1461227.20000000
1716364800000,2.25340000,2.27340000,2.17300000,2.17420000,1611272.40000000
1716379200000,2.17430000,2.23460000,2.13270000,2.22770000,1190676.70000000
1716393600000,2.22800000,2.34890000,2.22000000,2.30940000,2229088.30000000
1716408000000,2.30930000,2.33260000,2.23490000,2.25620000,1169835.50000000
1716422400000,2.25600000,2.30590000,2.20000000,2.26820000,795645.90000000
1716436800000,2.26820000,2.36560000,2.23300000,2.28720000,1534384.50000000
1716451200000,2.28780000,2.29670000,2.22510000,2.28930000,1211643.10000000
1716465600000,2.28780000,2.37590000,2.16150000,2.19770000,6356803.40000000
1716480000000,2.19710000,2.24140000,2.15320000,2.19350000,1354832.00000000
1716494400000,2.19370000,2.26350000,2.08370000,2.26040000,2714558.50000000
1716508800000,2.26000000,2.36700000,2.22670000,2.36530000,1417067.40000000
1716523200000,2.36580000,2.39740000,2.25220000,2.30480000,2047205.40000000
1716537600000,2.30220000,2.40660000,2.26410000,2.28420000,1945613.20000000
1716552000000,2.28470000,2.36630000,2.23290000,2.29780000,1759749.90000000
1716566400000,2.30000000,2.36380000,2.27170000,2.32660000,902117.30000000
1716580800000,2.32700000,2.64110000,2.30660000,2.43820000,4755630.00000000
1716595200000,2.43760000,2.43760000,2.33350000,2.36930000,2201298.30000000
1716609600000,2.36870000,2.38220000,2.33290000,2.35270000,1731453.00000000
1716624000000,2.35290000,2.44780000,2.34500000,2.40750000,2206747.10000000
1716638400000,2.40720000,2.52740000,2.37810000,2.49830000,3466807.00000000
